,balance,equity,balance_btc,equity_btc
0,1014.3470985199997,1000.0,0.0,0.0
60,1014.3470985199997,1000.0,0.0,0.0
120,1014.3470985199997,1000.0,0.0,0.0
180,1014.3470985199997,1000.0,0.0,0.0
240,1014.3470985199997,1000.0,0.0,0.0
300,1014.3470985199997,1000.0,0.0,0.0
360,1014.3470985199997,1000.0,0.0,0.0
420,1014.3470985199997,1000.0,0.0,0.0
480,1014.3470985199997,1000.0,0.0,0.0
540,1014.1804549399997,1014.2350985199997,0.0,-0.11200000000000321
600,1014.0143258599996,981.4078549399998,0.0,-32.772599999999905
660,1014.0143258599996,999.7497258599998,0.0,-14.264599999999868
720,1014.0143258599996,961.1473258599997,0.0,-52.86700000000002
780,1014.0143258599996,991.9499258599998,0.0,-22.06439999999989
840,1014.0143258599996,996.8413258599998,0.0,-17.172999999999842
900,1014.0143258599996,952.1577258599997,0.0,-61.85659999999991
960,1014.0143258599996,928.4939258599996,0.0,-85.52039999999995
1020,1010.1489093789104,930.6091258599997,0.0,-83.40519999999988
1080,1008.8179457185473,941.5761718599997,0.0,-68.57273751891064
1140,1008.8179457185473,917.3021623599998,0.0,-91.5157833585476
1200,1002.5994426982329,930.9885623599998,0.0,-77.82938335854747
1260,1001.4797771433616,923.6093670999999,0.0,-78.99007559823303
1320,998.2099256187477,945.63404672,0.0,-54.752447248490306
1380,998.2099256187477,947.2011067200001,0.0,-51.00881889874751
1440,995.934489879892,958.37910672,0.0,-39.830818898747665
1500,995.934489879892,977.8939929599998,0.0,-18.040496919892213
1560,995.934489879892,961.7344929599999,0.0,-34.19999691989205
1620,993.4547223927852,964.5289929599999,0.0,-31.40549691989209
1680,993.4547223927852,962.3411099799996,0.0,-31.11361241278559
1740,993.4547223927852,1005.4381099799998,0.0,11.98338758721452
1800,993.4547223927852,985.0429099799995,0.0,-8.411812412785661
1860,993.4547223927852,988.1993099799997,0.0,-5.2554124127854696
1920,993.4547223927852,989.4133099799997,0.0,-4.041412412785604
1980,993.4547223927852,959.7917099799997,0.0,-33.66301241278558
2040,1003.0012775293809,976.7877099799997,0.0,-16.66701241278556
2100,1018.5677124003295,1013.7568370799995,0.0,10.755559550618642
2160,1022.4271625799995,1022.4392240199995,0.0,3.8715116196700414
2220,1022.4271625799995,1022.4271625799995,0.0,0.0
2280,1022.4271625799995,1022.4271625799995,0.0,0.0
2340,1022.4271625799995,1022.4271625799995,0.0,0.0
2400,1022.4271625799995,1022.4271625799995,0.0,0.0
2460,1022.4271625799995,1022.4271625799995,0.0,0.0
2520,1022.4271625799995,1022.4271625799995,0.0,0.0
2580,1022.4271625799995,1022.4271625799995,0.0,0.0
2640,1022.4271625799995,1022.4271625799995,0.0,0.0
2700,1022.4271625799995,1022.4271625799995,0.0,0.0
2760,1022.4271625799995,1022.4271625799995,0.0,0.0
2820,1022.4271625799995,1022.4271625799995,0.0,0.0
2880,1022.4271625799995,1022.4271625799995,0.0,0.0
2940,1022.4271625799995,1022.4271625799995,0.0,0.0
3000,1022.4271625799995,1022.4271625799995,0.0,0.0
3060,1022.4271625799995,1022.4271625799995,0.0,0.0
3120,1022.4271625799995,1022.4271625799995,0.0,0.0
3180,1022.4271625799995,1022.4271625799995,0.0,0.0
3240,1022.4271625799995,1022.4271625799995,0.0,0.0
3300,1022.4271625799995,1022.4271625799995,0.0,0.0
3360,1022.4271625799995,1022.4271625799995,0.0,0.0
3420,1022.4271625799995,1022.4271625799995,0.0,0.0
3480,1022.4271625799995,1022.4271625799995,0.0,0.0
3540,1022.4271625799995,1022.4271625799995,0.0,0.0
3600,1022.4271625799995,1022.4271625799995,0.0,0.0
3660,1022.4271625799995,1022.4271625799995,0.0,0.0
3720,1022.4271625799995,1022.4271625799995,0.0,0.0
3780,1022.4271625799995,1022.4271625799995,0.0,0.0
3840,1022.3256285399995,1022.4271625799995,0.0,0.0
3900,1022.3256285399995,1022.3256285399995,0.0,0.0
3960,1022.3256285399995,1022.3256285399995,0.0,0.0
4020,1022.3256285399995,1022.3256285399995,0.0,0.0
4080,1022.3256285399995,1022.3256285399995,0.0,0.0
4140,1022.3256285399995,1022.3256285399995,0.0,0.0
4200,1022.3256285399995,1022.3256285399995,0.0,0.0
4260,1022.3256285399995,1022.3256285399995,0.0,0.0
4320,1022.3256285399995,1022.3256285399995,0.0,0.0
4380,1022.3256285399995,1022.3256285399995,0.0,0.0
4440,1022.3256285399995,1022.3256285399995,0.0,0.0
4500,1022.3256285399995,1022.3256285399995,0.0,0.0
4560,1022.3102792199995,1022.3256285399995,0.0,0.0
4620,1022.3102792199995,1022.3102792199995,0.0,0.0
4680,1022.3102792199995,1022.3102792199995,0.0,0.0
4740,1022.3102792199995,1022.3102792199995,0.0,0.0
4800,1022.3102792199995,1022.3102792199995,0.0,0.0
4860,1022.3102792199995,1022.3102792199995,0.0,0.0
4920,1022.3102792199995,1022.3102792199995,0.0,0.0
4980,1022.3102792199995,1022.3102792199995,0.0,0.0
5040,1022.3102792199995,1022.3102792199995,0.0,0.0
5100,1022.3102792199995,1022.3102792199995,0.0,0.0
5160,1022.3102792199995,1022.3102792199995,0.0,0.0
