,balance,equity,balance_btc,equity_btc
0,999.142255112,1000.0,0.0,0.0
60,999.142255112,1000.0,0.0,0.0
120,999.142255112,1000.0,0.0,0.0
180,999.142255112,1000.0,0.0,0.0
240,999.142255112,1000.0,0.0,0.0
300,999.142255112,1000.0,0.0,0.0
360,999.142255112,1000.0,0.0,0.0
420,999.142255112,1000.0,0.0,0.0
480,999.142255112,1000.0,0.0,0.0
540,999.142255112,1000.0,0.0,0.0
600,999.142255112,1000.0,0.0,0.0
660,999.142255112,1000.0,0.0,0.0
720,999.142255112,1000.0,0.0,0.0
780,999.142255112,1000.0,0.0,0.0
840,999.142255112,1000.0,0.0,0.0
900,999.142255112,1000.0,0.0,0.0
960,999.142255112,1000.0,0.0,0.0
1020,999.142255112,1000.0,0.0,0.0
1080,999.142255112,1000.0,0.0,0.0
1140,999.142255112,1000.0,0.0,0.0
1200,999.142255112,1000.0,0.0,0.0
1260,999.142255112,1000.0,0.0,0.0
1320,999.142255112,1000.0,0.0,0.0
1380,999.142255112,1000.0,0.0,0.0
1440,999.142255112,1000.0,0.0,0.0
1500,999.142255112,1000.0,0.0,0.0
1560,999.142255112,1000.0,0.0,0.0
1620,999.142255112,1000.0,0.0,0.0
1680,999.142255112,1000.0,0.0,0.0
1740,999.142255112,1000.0,0.0,0.0
1800,999.142255112,1000.0,0.0,0.0
1860,999.142255112,1000.0,0.0,0.0
1920,999.142255112,1000.0,0.0,0.0
1980,999.142255112,1000.0,0.0,0.0
2040,999.142255112,1000.0,0.0,0.0
2100,999.142255112,1000.0,0.0,0.0
2160,999.142255112,1000.0,0.0,0.0
2220,999.142255112,1000.0,0.0,0.0
2280,999.142255112,1000.0,0.0,0.0
2340,999.142255112,1000.0,0.0,0.0
2400,999.142255112,1000.0,0.0,0.0
2460,999.142255112,1000.0,0.0,0.0
2520,999.142255112,998.046075112,0.0,-1.0961799999999966
2580,999.142255112,998.966535112,0.0,-0.17572000000002844
2640,999.142255112,999.2761151120001,0.0,0.13385999999999332
2700,999.142255112,997.9020951120001,0.0,-1.2401600000000017
2760,999.142255112,998.9094951120001,0.0,-0.2327600000000184
2820,999.142255112,998.8299151120001,0.0,-0.31233999999999834
2880,999.142255112,998.4379951120001,0.0,-0.7042600000000184
2940,999.142255112,997.3372151120001,0.0,-1.80503999999999
3000,999.142255112,994.6687551120001,0.0,-4.4735
3060,999.142255112,997.782035112,0.0,-1.3602200000000284
3120,1000.186456032,997.814235112,0.0,-1.3280199999999949
3180,1000.186456032,1000.186456032,0.0,0.0
3240,1000.186456032,1000.186456032,0.0,0.0
3300,1000.186456032,1000.186456032,0.0,0.0
3360,1000.186456032,1000.186456032,0.0,0.0
3420,1000.186456032,1000.186456032,0.0,0.0
3480,1000.186456032,1000.186456032,0.0,0.0
3540,1000.186456032,1000.186456032,0.0,0.0
3600,1000.186456032,1000.186456032,0.0,0.0
3660,1000.186456032,1000.186456032,0.0,0.0
3720,1000.186456032,1000.186456032,0.0,0.0
3780,1000.186456032,1000.186456032,0.0,0.0
3840,1000.186456032,1000.186456032,0.0,0.0
3900,1000.186456032,1000.186456032,0.0,0.0
3960,1000.186456032,1000.186456032,0.0,0.0
4020,1000.186456032,1000.186456032,0.0,0.0
4080,1000.186456032,1000.186456032,0.0,0.0
4140,1000.186456032,1000.186456032,0.0,0.0
4200,1000.186456032,1000.186456032,0.0,0.0
4260,1000.186456032,1000.186456032,0.0,0.0
4320,1000.186456032,1000.186456032,0.0,0.0
4380,1000.186456032,1000.186456032,0.0,0.0
4440,1000.186456032,1000.186456032,0.0,0.0
4500,1000.186456032,1000.186456032,0.0,0.0
4560,1000.186456032,1000.186456032,0.0,0.0
4620,1000.186456032,1000.186456032,0.0,0.0
4680,1000.186456032,1000.186456032,0.0,0.0
4740,1000.186456032,1000.186456032,0.0,0.0
4800,1000.186456032,1000.186456032,0.0,0.0
4860,1000.186456032,1000.186456032,0.0,0.0
4920,1000.186456032,1000.186456032,0.0,0.0
4980,1000.186456032,1000.186456032,0.0,0.0
5040,1000.186456032,1000.186456032,0.0,0.0
5100,1000.186456032,1000.186456032,0.0,0.0
5160,1000.186456032,1000.186456032,0.0,0.0
5220,1000.186456032,1000.186456032,0.0,0.0
5280,1000.186456032,1000.186456032,0.0,0.0
5340,1000.186456032,1000.186456032,0.0,0.0
5400,1000.186456032,1000.186456032,0.0,0.0
