,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,1165,BTC,0.0,-0.05681762,999.94318238,0.0,999.94318238,1.0,0.043,6606.7,0.043,6606.7,entry_initial_normal_long
1,1171,BTC,1.4405,-0.05710572,1001.32657666,0.0,1001.32657666,1.0,-0.043,6640.2,0.0,6606.7,close_grid_long
2,1182,BTC,0.0,-0.0567944,1001.26978226,0.0,1001.26978226,1.0,0.043,6604.0,0.043,6604.0,entry_initial_normal_long
3,1188,BTC,1.4405,-0.057082499999999994,1002.65319976,0.0,1002.65319976,1.0,-0.043,6637.5,0.0,6604.0,close_grid_long
4,1227,BTC,0.0,-0.05674366,1002.5964561,0.0,1002.5964561,1.0,0.043,6598.1,0.043,6598.1,entry_initial_normal_long
5,1244,BTC,1.4405,-0.05703176,1003.9799243399999,0.0,1003.9799243399999,1.0,-0.043,6631.6,0.0,6598.1,close_grid_long
6,1272,BTC,0.0,-0.056672280000000005,1003.9232520599999,0.0,1003.9232520599999,1.0,0.043,6589.8,0.043,6589.8,entry_initial_normal_long
7,1291,BTC,1.4361999999999842,-0.05695952,1005.3024925399999,0.0,1005.3024925399999,1.0,-0.043,6623.2,0.0,6589.8,close_grid_long
8,1304,BTC,0.0,-0.05661122,1005.2458813199999,0.0,1005.2458813199999,1.0,0.043,6582.7,0.043,6582.7,entry_initial_normal_long
9,1344,BTC,1.4362000000000235,-0.056898460000000005,1006.6251828599999,0.0,1006.6251828599999,1.0,-0.043,6616.1,0.0,6582.7,close_grid_long
10,1617,BTC,0.0,-0.05639449999999999,1006.5687883599999,0.0,1006.5687883599999,1.0,0.043,6557.5,0.043,6557.5,entry_initial_normal_long
11,1625,BTC,1.9779999999999998,-0.056790099999999996,1008.4899982599999,0.0,1008.4899982599999,1.0,-0.043,6603.5,0.0,6557.5,close_grid_long
12,2546,BTC,0.0,-0.056131320000000005,1008.4338669399999,0.0,1008.4338669399999,1.0,0.042,6682.3,0.042,6682.3,entry_initial_normal_long
13,2714,BTC,1.4237999999999849,-0.05641608,1009.8012508599999,0.0,1009.8012508599999,1.0,-0.042,6716.2,0.0,6682.3,close_grid_long
14,2845,BTC,0.0,-0.05703262,1009.7442182399999,0.0,1009.7442182399999,1.0,0.043,6631.7,0.043,6631.7,entry_initial_normal_long
15,2876,BTC,1.4448000000000156,-0.05732158,1011.1316966599999,0.0,1011.1316966599999,1.0,-0.043,6665.3,0.0,6631.7,close_grid_long
16,2965,BTC,0.0,-0.05688298,1011.0748136799999,0.0,1011.0748136799999,1.0,0.043,6614.3,0.043,6614.3,entry_initial_normal_long
17,2975,BTC,1.4405,-0.05717108,1012.4581426,0.0,1012.4581426,1.0,-0.043,6647.8,0.0,6614.3,close_grid_long
18,3042,BTC,0.0,-0.05677892,1012.4013636799999,0.0,1012.4013636799999,1.0,0.043,6602.2,0.043,6602.2,entry_initial_normal_long
19,3150,BTC,1.4405,-0.057067019999999996,1013.7847966599999,0.0,1013.7847966599999,1.0,-0.043,6635.7,0.0,6602.2,close_grid_long
20,3667,BTC,0.0,-0.05656822,1013.7282284399998,0.0,1013.7282284399998,1.0,0.043,6577.7,0.043,6577.7,entry_initial_normal_long
21,3906,BTC,0.0,-0.18163696,1013.5465914799998,0.0,1013.5465914799998,1.0,0.149,6095.2,0.192,6203.259895833333,entry_grid_normal_long
22,4175,BTC,3.28860937500006,-0.11231640000000001,1016.7228844549999,0.0,1016.7228844549999,1.0,-0.09,6239.8,0.102,6203.259895833333,close_grid_long
23,4176,BTC,0.33154114583333466,-0.013713479999999998,1017.0407121208332,0.0,1017.0407121208332,1.0,-0.011,6233.4,0.091,6203.259895833333,close_grid_long
24,4176,BTC,3.033949479166744,-0.11350612000000002,1019.9611554799999,0.0,1019.9611554799999,1.0,-0.091,6236.6,0.0,6203.259895833333,close_grid_long
25,4485,BTC,0.0,-0.05682932000000001,1019.9043261599999,0.0,1019.9043261599999,1.0,0.046,6177.1,0.046,6177.1,entry_initial_normal_long
26,4499,BTC,1.4397999999999664,-0.05711728,1021.2870088799998,0.0,1021.2870088799998,1.0,-0.046,6208.4,0.0,6177.1,close_grid_long
