,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2461,BTC,0.0,-0.0363506,999.9636494,0.0,999.9636494,1.0,0.026,6990.5,0.026,6990.5,entry_initial_normal_long
1,2463,BTC,-0.34060000000000945,-0.03628248,999.58676692,0.0,999.58676692,1.0,-0.026,6977.4,0.0,6990.5,close_trailing_long
2,2464,BTC,0.0,-0.03627546,999.55049146,0.0,999.55049146,1.0,0.026,6976.05,0.026,6976.05,entry_initial_normal_long
3,2657,BTC,-0.3419000000000142,-0.036207079999999996,999.1723843799999,0.0,999.1723843799999,1.0,-0.026,6962.9,0.0,6976.05,close_trailing_long
4,10932,BTC,0.0,-0.03612796,999.1362564199999,0.0,999.1362564199999,1.0,0.022,8210.9,0.022,8210.9,entry_initial_normal_long
5,10949,BTC,1.8086200000000208,-0.036489684,1000.9083867359999,0.0,1000.9083867359999,1.0,-0.022,8293.11,0.0,8210.9,close_trailing_long
6,11070,BTC,0.0,-0.03596428,1000.8724224559999,0.0,1000.8724224559999,1.0,0.022,8173.7,0.022,8173.7,entry_initial_normal_long
7,11074,BTC,2.0990200000000168,-0.036384084000000004,1002.9350583719998,0.0,1002.9350583719998,1.0,-0.022,8269.11,0.0,8173.7,close_trailing_long
8,11078,BTC,0.0,-0.0358886,1002.8991697719998,0.0,1002.8991697719998,1.0,0.022,8156.5,0.022,8156.5,entry_initial_normal_long
9,11282,BTC,0.0,-0.127312,1002.7718577719999,0.0,1002.7718577719999,1.0,0.08,7957.0,0.102,8000.029411764707,entry_grid_normal_long
10,11323,BTC,-0.3753000000000993,-0.16312554,1002.2334322319998,0.0,1002.2334322319998,1.0,-0.102,7996.35,0.0,8000.029411764707,close_trailing_long
11,12780,BTC,0.0,-0.03575488,1002.1976773519998,0.0,1002.1976773519998,1.0,0.023,7772.8,0.023,7772.8,entry_initial_normal_long
12,12783,BTC,0.20033000000000084,-0.035794946,1002.3622124059998,0.0,1002.3622124059998,1.0,-0.023,7781.51,0.0,7772.8,close_trailing_long
13,12784,BTC,0.0,-0.035725072000000004,1002.3264873339998,0.0,1002.3264873339998,1.0,0.023,7766.32,0.023,7766.32,entry_initial_normal_long
14,12799,BTC,1.1886400000000066,-0.0359628,1003.4791645339998,0.0,1003.4791645339998,1.0,-0.023,7818.0,0.0,7766.32,close_trailing_long
15,19681,BTC,0.0,-0.03578652,1003.4433780139998,0.0,1003.4433780139998,1.0,0.021,8520.6,0.021,8520.6,entry_initial_normal_long
16,19684,BTC,1.5791999999999773,-0.03610236,1004.9864756539997,0.0,1004.9864756539997,1.0,-0.021,8595.8,0.0,8520.6,close_trailing_long
17,20406,BTC,0.0,-0.03626028,1004.9502153739998,0.0,1004.9502153739998,1.0,0.021,8633.4,0.021,8633.4,entry_initial_normal_long
18,20410,BTC,0.1379699999999939,-0.036287874,1005.0518974999998,0.0,1005.0518974999998,1.0,-0.021,8639.97,0.0,8633.4,close_trailing_long
19,20426,BTC,0.0,-0.036045240000000006,1005.0158522599997,0.0,1005.0158522599997,1.0,0.021,8582.2,0.021,8582.2,entry_initial_normal_long
20,20448,BTC,1.1852399999999725,-0.036282288,1006.1648099719997,0.0,1006.1648099719997,1.0,-0.021,8638.64,0.0,8582.2,close_trailing_long
21,26581,BTC,0.0,-0.03574480000000001,1006.1290651719997,0.0,1006.1290651719997,1.0,0.02,8936.2,0.02,8936.2,entry_initial_normal_long
22,26582,BTC,0.0,-0.12727842,1006.0017867519997,0.0,1006.0017867519997,1.0,0.073,8717.7,0.093,8764.689247311828,entry_grid_normal_long
23,26583,BTC,0.0,-1.1440147400000003,1004.8577720119997,0.0,1004.8577720119997,1.0,0.671,8524.7,0.764,8553.91335078534,entry_grid_inflated_long
24,26584,BTC,9.331785340314193,-0.13188584,1014.057671512314,0.0,1014.057671512314,1.0,-0.076,8676.7,0.688,8553.91335078534,close_grid_long
25,26584,BTC,30.338682460732812,-0.41836636,1043.9779876130467,0.0,1043.9779876130467,1.0,-0.241,8679.8,0.447,8553.91335078534,close_grid_long
26,26584,BTC,31.0857824607329,-0.41851578,1074.6452542937795,0.0,1074.6452542937795,1.0,-0.241,8682.9,0.206,8553.91335078534,close_grid_long
27,26586,BTC,14.617069738220062,-0.35534464400000004,1088.9069793879996,0.0,1088.9069793879996,1.0,-0.206,8624.87,0.0,8553.91335078534,close_trailing_long
28,26587,BTC,0.0,-0.039639488,1088.8673398999997,0.0,1088.8673398999997,1.0,0.023,8617.28,0.023,8617.28,entry_initial_normal_long
29,26590,BTC,0.20423999999998158,-0.039680336000000004,1089.0318995639998,0.0,1089.0318995639998,1.0,-0.023,8626.16,0.0,8617.28,close_trailing_long
30,26591,BTC,0.0,-0.039794093999999995,1088.9921054699998,0.0,1088.9921054699998,1.0,0.023,8650.89,0.023,8650.89,entry_initial_normal_long
31,26596,BTC,-0.37466999999997824,-0.03971916,1088.57771631,0.0,1088.57771631,1.0,-0.023,8634.6,0.0,8650.89,close_trailing_long
32,26597,BTC,0.0,-0.03985348,1088.53786283,0.0,1088.53786283,1.0,0.023,8663.8,0.023,8663.8,entry_initial_normal_long
