,balance,equity,balance_btc,equity_btc
0,1000.2883375000001,1000.0,0.0,0.0
60,1000.2883375000001,1000.0,0.0,0.0
120,1000.2883375000001,1000.0,0.0,0.0
180,1001.5920172460001,1000.1642175000002,0.0,-0.1241199999999994
240,1001.5920172460001,1001.5920172460001,0.0,0.0
300,1001.5831245900001,1001.5920172460001,0.0,0.0
360,1002.036113608,1001.7226445900001,0.0,0.13952000000000037
420,1002.036113608,1002.036113608,0.0,0.0
480,1002.036113608,1002.036113608,0.0,0.0
540,1002.036113608,1002.036113608,0.0,0.0
600,1002.036113608,1002.036113608,0.0,0.0
660,1002.1499536900001,1002.036113608,0.0,0.0
720,1002.1499536900001,1002.1499536900001,0.0,0.0
780,1002.1022227020001,1002.1499536900001,0.0,0.0
840,1002.48169323,1002.1022227020001,0.0,0.0
900,1003.2180170060001,1002.48169323,0.0,0.0
960,1003.2180170060001,1003.2180170060001,0.0,0.0
1020,1003.2180170060001,1003.2180170060001,0.0,0.0
1080,1003.2180170060001,1003.2180170060001,0.0,0.0
1140,1003.2180170060001,1003.2180170060001,0.0,0.0
1200,1003.2701024380001,1003.2180170060001,0.0,0.0
1260,1003.2701024380001,1003.2701024380001,0.0,0.0
1320,1003.2701024380001,1003.2701024380001,0.0,0.0
1380,1003.2611458960001,1003.2701024380001,0.0,0.0
1440,1003.3674238100001,1003.0011358960002,0.0,-0.2600099999999987
1500,1003.4565487500001,1003.1603238100001,0.0,-0.2071000000000014
1560,1003.4565487500001,1003.4565487500001,0.0,0.0
1620,1003.5612824240002,1003.5059548100002,0.0,0.05829999999999724
1680,1003.6923224240002,1003.8580824240001,0.0,0.2967999999999984
1740,1003.6923224240002,1003.6923224240002,0.0,0.0
1800,1003.6923224240002,1003.6923224240002,0.0,0.0
1860,1003.6604455920002,1003.6923224240002,0.0,0.0
1920,1004.6925586680003,1002.7074355920003,0.0,-0.9530099999999873
1980,1004.6925586680003,1004.6925586680003,0.0,0.0
2040,1004.6925586680003,1004.6925586680003,0.0,0.0
2100,1004.6925586680003,1004.6925586680003,0.0,0.0
2160,1004.6836393080002,1004.6925586680003,0.0,0.0
2220,1005.4748742680003,1005.4132393080002,0.0,0.7296000000000019
2280,1005.5949439800004,1005.4748742680003,0.0,0.0
2340,1006.1405764180005,1005.0709439800004,0.0,-0.5240000000000067
2400,1006.1405764180005,1006.1405764180005,0.0,0.0
2460,1006.1405764180005,1006.1405764180005,0.0,0.0
2520,1006.1302764340004,1006.1405764180005,0.0,0.0
2580,1006.0918667260004,1005.6016364340004,0.0,-0.5286399999999981
2640,1005.9868707480003,1006.0918667260004,0.0,0.0
2700,1006.7351804920004,1005.9868707480003,0.0,0.0
2760,1006.7351804920004,1006.7351804920004,0.0,0.0
2820,1006.7351804920004,1006.7351804920004,0.0,0.0
2880,1006.7351804920004,1006.7351804920004,0.0,0.0
2940,1007.6129244640003,1006.7351804920004,0.0,0.0
3000,1007.6129244640003,1007.6129244640003,0.0,0.0
3060,1007.6129244640003,1007.6129244640003,0.0,0.0
3120,1007.6129244640003,1007.6129244640003,0.0,0.0
3180,1007.6129244640003,1007.6129244640003,0.0,0.0
3240,1007.6129244640003,1007.6129244640003,0.0,0.0
3300,1007.6129244640003,1007.6129244640003,0.0,0.0
3360,1007.6129244640003,1007.6129244640003,0.0,0.0
3420,1007.6129244640003,1007.6129244640003,0.0,0.0
3480,1007.6129244640003,1007.6129244640003,0.0,0.0
3540,1007.6129244640003,1007.6129244640003,0.0,0.0
3600,1007.6056866460003,1007.6129244640003,0.0,0.0
3660,1008.4216422460003,1007.6056866460003,0.0,0.0
3720,1008.4216422460003,1008.4216422460003,0.0,0.0
3780,1008.4216422460003,1008.4216422460003,0.0,0.0
3840,1008.4216422460003,1008.4216422460003,0.0,0.0
3900,1008.4216422460003,1008.4216422460003,0.0,0.0
3960,1008.4216422460003,1008.4216422460003,0.0,0.0
4020,1008.4216422460003,1008.4216422460003,0.0,0.0
4080,1008.4216422460003,1008.4216422460003,0.0,0.0
4140,1008.4216422460003,1008.4216422460003,0.0,0.0
4200,1008.4216422460003,1008.4216422460003,0.0,0.0
4260,1008.4126579620003,1008.4216422460003,0.0,0.0
4320,1008.4018577580002,1007.7530379620002,0.0,-0.6596199999999981
4380,1008.5050820440002,1007.0010177580002,0.0,-1.4008399999999872
4440,1008.5050820440002,1008.5050820440002,0.0,0.0
4500,1008.5050820440002,1008.5050820440002,0.0,0.0
4560,1008.5050820440002,1008.5050820440002,0.0,0.0
4620,1008.5050820440002,1008.5050820440002,0.0,0.0
4680,1008.5050820440002,1008.5050820440002,0.0,0.0
4740,1008.5050820440002,1008.5050820440002,0.0,0.0
4800,1008.5050820440002,1008.5050820440002,0.0,0.0
4860,1008.5050820440002,1008.5050820440002,0.0,0.0
4920,1008.4917623760002,1008.5050820440002,0.0,0.0
4980,1008.4532963400002,1008.2703623760002,0.0,-0.22140000000000293
5040,1008.4532963400002,1008.4532963400002,0.0,0.0
5100,1008.4532963400002,1008.4532963400002,0.0,0.0
5160,1008.4532963400002,1008.4532963400002,0.0,0.0
5220,1008.4532963400002,1008.4532963400002,0.0,0.0
5280,1008.4532963400002,1008.4532963400002,0.0,0.0
5340,1008.4532963400002,1008.4532963400002,0.0,0.0
5400,1008.4532963400002,1008.4532963400002,0.0,0.0
5460,1008.4532963400002,1008.4532963400002,0.0,0.0
5520,1008.4532963400002,1008.4532963400002,0.0,0.0
5580,1008.4532963400002,1008.4532963400002,0.0,0.0
5640,1008.4532963400002,1008.4532963400002,0.0,0.0
5700,1008.4532963400002,1008.4532963400002,0.0,0.0
5760,1008.4532963400002,1008.4532963400002,0.0,0.0
5820,1008.4532963400002,1008.4532963400002,0.0,0.0
5880,1008.4532963400002,1008.4532963400002,0.0,0.0
5940,1008.4532963400002,1008.4532963400002,0.0,0.0
6000,1008.4532963400002,1008.4532963400002,0.0,0.0
6060,1008.4532963400002,1008.4532963400002,0.0,0.0
6120,1008.4532963400002,1008.4532963400002,0.0,0.0
6180,1008.4532963400002,1008.4532963400002,0.0,0.0
6240,1008.4532963400002,1008.4532963400002,0.0,0.0
6300,1008.4532963400002,1008.4532963400002,0.0,0.0
6360,1008.4532963400002,1008.4532963400002,0.0,0.0
6420,1008.4532963400002,1008.4532963400002,0.0,0.0
6480,1008.4532963400002,1008.4532963400002,0.0,0.0
6540,1008.4532963400002,1008.4532963400002,0.0,0.0
6600,1008.4532963400002,1008.4532963400002,0.0,0.0
6660,1008.4532963400002,1008.4532963400002,0.0,0.0
6720,1008.4532963400002,1008.4532963400002,0.0,0.0
6780,1008.4532963400002,1008.4532963400002,0.0,0.0
6840,1008.4532963400002,1008.4532963400002,0.0,0.0
6900,1008.4532963400002,1008.4532963400002,0.0,0.0
6960,1008.4532963400002,1008.4532963400002,0.0,0.0
7020,1008.4532963400002,1008.4532963400002,0.0,0.0
7080,1008.4532963400002,1008.4532963400002,0.0,0.0
7140,1008.4532963400002,1008.4532963400002,0.0,0.0
7200,1008.4532963400002,1008.4532963400002,0.0,0.0
7260,1008.4532963400002,1008.4532963400002,0.0,0.0
7320,1008.4532963400002,1008.4532963400002,0.0,0.0
7380,1008.4919591760001,1008.4532963400002,0.0,0.0
7440,1008.4919591760001,1008.4919591760001,0.0,0.0
7500,1008.4714609920001,1008.4919591760001,0.0,0.0
7560,1008.6490359480001,1008.4714609920001,0.0,0.0
7620,1008.6490359480001,1008.6490359480001,0.0,0.0
7680,1008.6490359480001,1008.6490359480001,0.0,0.0
7740,1008.6490359480001,1008.6490359480001,0.0,0.0
7800,1009.004289804,1008.6490359480001,0.0,0.0
7860,1009.314485704,1008.924489804,0.0,-0.0797999999999986
7920,1009.7180808940001,1009.314485704,0.0,0.0
7980,1009.9282921100001,1009.7874006940001,0.0,0.0
8040,1009.9282921100001,1009.9282921100001,0.0,0.0
8100,1009.9282921100001,1009.9282921100001,0.0,0.0
8160,1009.9085056560001,1009.9282921100001,0.0,0.0
8220,1010.0509167560001,1009.4912356560001,0.0,-0.4172699999999921
8280,1010.0419536680001,1010.0509167560001,0.0,0.0
8340,1010.5630445480001,1010.4029136680001,0.0,0.36096000000000095
8400,1010.5630445480001,1010.5630445480001,0.0,0.0
8460,1010.5630445480001,1010.5630445480001,0.0,0.0
8520,1010.5630445480001,1010.5630445480001,0.0,0.0
8580,1010.5630445480001,1010.5630445480001,0.0,0.0
8640,1010.5630445480001,1010.5630445480001,0.0,0.0
8700,1010.5630445480001,1010.5630445480001,0.0,0.0
8760,1010.5630445480001,1010.5630445480001,0.0,0.0
8820,1010.7447066920001,1010.5630445480001,0.0,0.0
8880,1012.0923248580002,1009.7915466920001,0.0,-0.9531599999999983
8940,1012.0923248580002,1012.0923248580002,0.0,0.0
9000,1012.0923248580002,1012.0923248580002,0.0,0.0
9060,1012.0923248580002,1012.0923248580002,0.0,0.0
9120,1012.0923248580002,1012.0923248580002,0.0,0.0
9180,1012.0923248580002,1012.0923248580002,0.0,0.0
9240,1012.0923248580002,1012.0923248580002,0.0,0.0
9300,1012.0923248580002,1012.0923248580002,0.0,0.0
9360,1012.0923248580002,1012.0923248580002,0.0,0.0
9420,1012.0833029780002,1012.0923248580002,0.0,0.0
9480,1012.0833029780002,1011.7599029780002,0.0,-0.323399999999997
9540,1012.0724088380002,1011.2699029780002,0.0,-0.8133999999999975
9600,1013.1719688780003,1012.0931088380003,0.0,0.02069999999999217
9660,1013.1719688780003,1013.1719688780003,0.0,0.0
9720,1013.1719688780003,1013.1719688780003,0.0,0.0
9780,1013.1719688780003,1013.1719688780003,0.0,0.0
9840,1013.1719688780003,1013.1719688780003,0.0,0.0
9900,1013.1719688780003,1013.1719688780003,0.0,0.0
9960,1013.1719688780003,1013.1719688780003,0.0,0.0
10020,1013.1719688780003,1013.1719688780003,0.0,0.0
10080,1013.1719688780003,1013.1719688780003,0.0,0.0
10140,1013.1719688780003,1013.1719688780003,0.0,0.0
10200,1013.1719688780003,1013.1719688780003,0.0,0.0
10260,1013.1719688780003,1013.1719688780003,0.0,0.0
10320,1013.2939872780003,1013.1719688780003,0.0,0.0
10380,1013.2939872780003,1013.2939872780003,0.0,0.0
10440,1013.2939872780003,1013.2939872780003,0.0,0.0
10500,1013.2849652280003,1013.2939872780003,0.0,0.0
10560,1013.5571079920003,1013.4672152280002,0.0,0.1822500000000024
10620,1013.8907323120003,1014.2942279920003,0.0,0.7371199999999973
10680,1013.8907323120003,1013.8907323120003,0.0,0.0
10740,1013.8907323120003,1013.8907323120003,0.0,0.0
10800,1013.8907323120003,1013.8907323120003,0.0,0.0
10860,1013.8907323120003,1013.8907323120003,0.0,0.0
10920,1013.8907323120003,1013.8907323120003,0.0,0.0
10980,1013.8907323120003,1013.8907323120003,0.0,0.0
11040,1013.8907323120003,1013.8907323120003,0.0,0.0
11100,1013.8907323120003,1013.8907323120003,0.0,0.0
11160,1013.8907323120003,1013.8907323120003,0.0,0.0
11220,1013.8907323120003,1013.8907323120003,0.0,0.0
11280,1013.8907323120003,1013.8907323120003,0.0,0.0
11340,1013.8907323120003,1013.8907323120003,0.0,0.0
11400,1013.8907323120003,1013.8907323120003,0.0,0.0
11460,1013.8907323120003,1013.8907323120003,0.0,0.0
11520,1013.8907323120003,1013.8907323120003,0.0,0.0
11580,1013.8907323120003,1013.8907323120003,0.0,0.0
11640,1013.8907323120003,1013.8907323120003,0.0,0.0
11700,1013.8907323120003,1013.8907323120003,0.0,0.0
11760,1013.8907323120003,1013.8907323120003,0.0,0.0
11820,1013.8907323120003,1013.8907323120003,0.0,0.0
11880,1013.8907323120003,1013.8907323120003,0.0,0.0
11940,1013.8907323120003,1013.8907323120003,0.0,0.0
12000,1013.8907323120003,1013.8907323120003,0.0,0.0
12060,1013.8907323120003,1013.8907323120003,0.0,0.0
12120,1013.8907323120003,1013.8907323120003,0.0,0.0
12180,1013.8907323120003,1013.8907323120003,0.0,0.0
12240,1013.8907323120003,1013.8907323120003,0.0,0.0
12300,1013.8907323120003,1013.8907323120003,0.0,0.0
12360,1014.0515575360002,1013.8907323120003,0.0,0.0
12420,1014.0515575360002,1014.0515575360002,0.0,0.0
12480,1014.0515575360002,1014.0515575360002,0.0,0.0
12540,1014.0515575360002,1014.0515575360002,0.0,0.0
12600,1014.0515575360002,1014.0515575360002,0.0,0.0
12660,1014.0515575360002,1014.0515575360002,0.0,0.0
12720,1014.0515575360002,1014.0515575360002,0.0,0.0
12780,1014.0515575360002,1014.0515575360002,0.0,0.0
12840,1014.0515575360002,1014.0515575360002,0.0,0.0
12900,1014.0515575360002,1014.0515575360002,0.0,0.0
12960,1014.0515575360002,1014.0515575360002,0.0,0.0
13020,1014.0515575360002,1014.0515575360002,0.0,0.0
13080,1014.0515575360002,1014.0515575360002,0.0,0.0
13140,1014.0515575360002,1014.0515575360002,0.0,0.0
13200,1014.4547203260001,1014.0515575360002,0.0,0.0
13260,1014.4457117660002,1014.4547203260001,0.0,0.0
13320,1014.7498405660001,1014.7589117660002,0.0,0.3131999999999993
13380,1014.7498405660001,1014.7498405660001,0.0,0.0
13440,1014.7498405660001,1014.7498405660001,0.0,0.0
13500,1014.7498405660001,1014.7498405660001,0.0,0.0
13560,1014.7760870720001,1014.7498405660001,0.0,0.0
13620,1014.7760870720001,1014.7760870720001,0.0,0.0
13680,1014.7760870720001,1014.7760870720001,0.0,0.0
13740,1014.7760870720001,1014.7760870720001,0.0,0.0
13800,1014.7197953120001,1014.7760870720001,0.0,0.0
13860,1014.7197953120001,1014.7022753120001,0.0,-0.017520000000001312
13920,1014.7197953120001,1014.3956753120001,0.0,-0.32411999999999996
13980,1014.7197953120001,1014.0160753120001,0.0,-0.7037199999999987
14040,1014.7197953120001,1014.0744753120001,0.0,-0.645319999999997
14100,1014.7197953120001,1014.1036753120001,0.0,-0.6161200000000002
14160,1014.7808583520001,1014.1036753120001,0.0,-0.6161200000000002
14220,1014.7808583520001,1014.7808583520001,0.0,0.0
14280,1014.7808583520001,1014.7808583520001,0.0,0.0
14340,1014.7808583520001,1014.7808583520001,0.0,0.0
14400,1014.7808583520001,1014.7808583520001,0.0,0.0
14460,1014.7808583520001,1014.7808583520001,0.0,0.0
14520,1014.7808583520001,1014.7808583520001,0.0,0.0
14580,1014.7808583520001,1014.7808583520001,0.0,0.0
14640,1014.7808583520001,1014.7808583520001,0.0,0.0
14700,1014.7808583520001,1014.7808583520001,0.0,0.0
14760,1014.7808583520001,1014.7808583520001,0.0,0.0
14820,1014.7808583520001,1014.7808583520001,0.0,0.0
14880,1014.7808583520001,1014.7808583520001,0.0,0.0
14940,1014.7808583520001,1014.7808583520001,0.0,0.0
15000,1014.7808583520001,1014.7808583520001,0.0,0.0
15060,1014.7808583520001,1014.7808583520001,0.0,0.0
15120,1014.7808583520001,1014.7808583520001,0.0,0.0
15180,1014.7808583520001,1014.7808583520001,0.0,0.0
15240,1014.7808583520001,1014.7808583520001,0.0,0.0
15300,1014.7808583520001,1014.7808583520001,0.0,0.0
15360,1014.7808583520001,1014.7808583520001,0.0,0.0
15420,1014.7808583520001,1014.7808583520001,0.0,0.0
15480,1014.7808583520001,1014.7808583520001,0.0,0.0
15540,1014.7808583520001,1014.7808583520001,0.0,0.0
15600,1014.7808583520001,1014.7808583520001,0.0,0.0
15660,1014.7808583520001,1014.7808583520001,0.0,0.0
15720,1014.7808583520001,1014.7808583520001,0.0,0.0
15780,1014.7808583520001,1014.7808583520001,0.0,0.0
15840,1014.7808583520001,1014.7808583520001,0.0,0.0
15900,1014.7808583520001,1014.7808583520001,0.0,0.0
15960,1014.7808583520001,1014.7808583520001,0.0,0.0
16020,1014.7808583520001,1014.7808583520001,0.0,0.0
16080,1014.7808583520001,1014.7808583520001,0.0,0.0
16140,1014.7808583520001,1014.7808583520001,0.0,0.0
16200,1014.7808583520001,1014.7808583520001,0.0,0.0
16260,1014.7808583520001,1014.7808583520001,0.0,0.0
16320,1014.7808583520001,1014.7808583520001,0.0,0.0
16380,1014.7808583520001,1014.7808583520001,0.0,0.0
16440,1014.7808583520001,1014.7808583520001,0.0,0.0
16500,1014.7808583520001,1014.7808583520001,0.0,0.0
16560,1014.7808583520001,1014.7808583520001,0.0,0.0
16620,1014.7808583520001,1014.7808583520001,0.0,0.0
16680,1014.7808583520001,1014.7808583520001,0.0,0.0
16740,1014.7808583520001,1014.7808583520001,0.0,0.0
16800,1014.7808583520001,1014.7808583520001,0.0,0.0
16860,1014.7808583520001,1014.7808583520001,0.0,0.0
16920,1014.7808583520001,1014.7808583520001,0.0,0.0
16980,1014.7808583520001,1014.7808583520001,0.0,0.0
17040,1014.7808583520001,1014.7808583520001,0.0,0.0
17100,1014.7808583520001,1014.7808583520001,0.0,0.0
17160,1014.7808583520001,1014.7808583520001,0.0,0.0
17220,1014.7808583520001,1014.7808583520001,0.0,0.0
17280,1014.7808583520001,1014.7808583520001,0.0,0.0
17340,1014.7808583520001,1014.7808583520001,0.0,0.0
17400,1014.7808583520001,1014.7808583520001,0.0,0.0
17460,1014.7808583520001,1014.7808583520001,0.0,0.0
17520,1014.7808583520001,1014.7808583520001,0.0,0.0
17580,1014.7808583520001,1014.7808583520001,0.0,0.0
17640,1014.7808583520001,1014.7808583520001,0.0,0.0
17700,1014.7808583520001,1014.7808583520001,0.0,0.0
17760,1014.7808583520001,1014.7808583520001,0.0,0.0
17820,1014.7808583520001,1014.7808583520001,0.0,0.0
17880,1014.7808583520001,1014.7808583520001,0.0,0.0
17940,1014.7808583520001,1014.7808583520001,0.0,0.0
18000,1014.7808583520001,1014.7808583520001,0.0,0.0
18060,1014.7808583520001,1014.7808583520001,0.0,0.0
18120,1014.7808583520001,1014.7808583520001,0.0,0.0
18180,1014.7808583520001,1014.7808583520001,0.0,0.0
18240,1014.7808583520001,1014.7808583520001,0.0,0.0
18300,1014.7808583520001,1014.7808583520001,0.0,0.0
18360,1014.7808583520001,1014.7808583520001,0.0,0.0
18420,1014.7808583520001,1014.7808583520001,0.0,0.0
18480,1014.7808583520001,1014.7808583520001,0.0,0.0
18540,1014.7808583520001,1014.7808583520001,0.0,0.0
18600,1014.7808583520001,1014.7808583520001,0.0,0.0
18660,1014.7808583520001,1014.7808583520001,0.0,0.0
18720,1014.7808583520001,1014.7808583520001,0.0,0.0
18780,1014.7808583520001,1014.7808583520001,0.0,0.0
