,balance,equity,balance_btc,equity_btc
0,999.994189444,1000.0,0.0,0.0
60,999.994189444,1000.0,0.0,0.0
120,999.994189444,1000.0,0.0,0.0
180,999.994189444,1000.0,0.0,0.0
240,999.994189444,1000.0,0.0,0.0
300,999.994189444,1000.0,0.0,0.0
360,999.994189444,1000.0,0.0,0.0
420,999.994189444,1000.0,0.0,0.0
480,999.994189444,1000.0,0.0,0.0
540,999.994189444,1000.0,0.0,0.0
600,999.994189444,1000.0,0.0,0.0
660,999.994189444,1000.0,0.0,0.0
720,999.994189444,1000.207571444,0.0,0.21338199999999985
780,999.994189444,1000.084466444,0.0,0.09027699999999775
840,999.994189444,1000.1911574439999,0.0,0.19696799999999767
900,999.994189444,999.715151444,0.0,-0.27903800000000145
960,999.994189444,999.764393444,0.0,-0.22979600000000203
1020,999.994189444,999.485355444,0.0,-0.5088339999999999
1080,999.994189444,998.992935444,0.0,-1.0012540000000012
1140,999.994189444,999.0339704439999,0.0,-0.9602190000000028
1200,999.994189444,999.1242474439999,0.0,-0.8699420000000015
1260,999.994189444,999.6002534439999,0.0,-0.39393600000000245
1320,999.994189444,999.674116444,0.0,-0.3200729999999998
1380,999.994189444,999.542804444,0.0,-0.451385000000003
1440,999.994189444,999.6248744439999,0.0,-0.3693150000000027
1500,999.994189444,999.4443204439999,0.0,-0.5498690000000018
1560,999.994189444,999.7561864439999,0.0,-0.23800300000000313
1620,999.994189444,999.551011444,0.0,-0.44317800000000185
1680,999.994189444,999.4443204439999,0.0,-0.5498690000000018
1740,999.994189444,999.419699444,0.0,-0.5744900000000015
1800,999.994189444,999.747979444,0.0,-0.24621000000000065
1860,999.994189444,999.460734444,0.0,-0.5334550000000032
1920,999.994189444,999.6905304439999,0.0,-0.3036590000000012
1980,999.994189444,999.649495444,0.0,-0.34469400000000305
2040,999.994189444,999.797221444,0.0,-0.19696800000000123
2100,999.994189444,999.739772444,0.0,-0.2544170000000017
2160,999.994189444,999.780807444,0.0,-0.21338199999999985
2220,999.994189444,999.7561864439999,0.0,-0.23800300000000313
2280,999.994189444,999.6905304439999,0.0,-0.3036590000000012
2340,999.994189444,999.649495444,0.0,-0.34469400000000305
2400,999.994189444,999.6330814439999,0.0,-0.36110800000000165
2460,999.994189444,999.403285444,0.0,-0.5909040000000001
2520,999.994189444,999.4114924439999,0.0,-0.5826970000000026
2580,999.994189444,999.641288444,0.0,-0.3529010000000006
2640,999.994189444,999.485355444,0.0,-0.5088339999999999
2700,999.994189444,999.698737444,0.0,-0.29545200000000005
2760,999.994189444,999.608460444,0.0,-0.3857290000000014
2820,999.994189444,999.616667444,0.0,-0.3775220000000003
2880,999.994189444,999.871084444,0.0,-0.1231050000000021
2940,999.994189444,999.887498444,0.0,-0.10669099999999992
3000,999.994189444,999.542804444,0.0,-0.451385000000003
3060,999.994189444,999.649495444,0.0,-0.34469400000000305
3120,999.994189444,999.575632444,0.0,-0.4185570000000022
3180,999.994189444,999.403285444,0.0,-0.5909040000000001
3240,999.994189444,999.452527444,0.0,-0.5416620000000008
3300,999.994189444,999.403285444,0.0,-0.5909040000000001
3360,999.994189444,999.5345974439999,0.0,-0.4595920000000005
3420,999.994189444,999.608460444,0.0,-0.3857290000000014
3480,999.994189444,999.551011444,0.0,-0.44317800000000185
3540,999.994189444,999.583839444,0.0,-0.4103500000000011
3600,999.994189444,999.6330814439999,0.0,-0.36110800000000165
3660,999.994189444,999.460734444,0.0,-0.5334550000000032
3720,999.994189444,999.337629444,0.0,-0.6565600000000017
3780,999.994189444,999.075005444,0.0,-0.919184000000001
3840,999.994189444,999.165282444,0.0,-0.8289069999999997
3900,999.994189444,999.247352444,0.0,-0.7468370000000031
3960,999.994189444,999.198110444,0.0,-0.7960790000000024
4020,999.994189444,999.263766444,0.0,-0.7304230000000008
4080,999.994189444,999.214524444,0.0,-0.7796650000000003
4140,999.994189444,999.2227314439999,0.0,-0.7714580000000028
4200,999.994189444,999.460734444,0.0,-0.5334550000000032
4260,999.994189444,999.395078444,0.0,-0.5991110000000012
4320,999.994189444,999.436113444,0.0,-0.5580760000000029
4380,999.994189444,999.5017694439999,0.0,-0.4924200000000013
4440,999.994189444,999.452527444,0.0,-0.5416620000000008
4500,999.994189444,999.5345974439999,0.0,-0.4595920000000005
4560,999.994189444,999.6330814439999,0.0,-0.36110800000000165
4620,999.994189444,999.682323444,0.0,-0.31186600000000225
4680,999.994189444,999.509976444,0.0,-0.4842130000000002
4740,999.994189444,999.485355444,0.0,-0.5088339999999999
4800,999.994189444,999.4689414439999,0.0,-0.525248000000002
4860,999.994189444,999.6002534439999,0.0,-0.39393600000000245
4920,999.994189444,999.608460444,0.0,-0.3857290000000014
4980,999.994189444,999.239145444,0.0,-0.7550440000000006
5040,999.994189444,999.321215444,0.0,-0.6729740000000003
5100,999.994189444,999.493562444,0.0,-0.5006270000000024
5160,999.994189444,999.8136354439999,0.0,-0.1805540000000026
5220,999.994189444,999.994189444,0.0,0.0
5280,999.994189444,1000.0023964439999,0.0,0.00820699999999753
5340,999.994189444,999.830049444,0.0,-0.16414000000000042
5400,999.994189444,999.8792914439999,0.0,-0.11489800000000101
5460,999.994189444,999.698737444,0.0,-0.29545200000000005
5520,999.994189444,999.7233584439999,0.0,-0.2708310000000004
5580,999.994189444,999.551011444,0.0,-0.44317800000000185
5640,999.994189444,999.485355444,0.0,-0.5088339999999999
5700,999.994189444,999.4689414439999,0.0,-0.525248000000002
5760,999.994189444,999.706944444,0.0,-0.2872450000000025
5820,999.994189444,999.7561864439999,0.0,-0.23800300000000313
5880,999.994189444,999.780807444,0.0,-0.21338199999999985
5940,999.994189444,999.854670444,0.0,-0.13951900000000073
6000,999.994189444,1000.150122444,0.0,0.15593299999999935
6060,999.994189444,1000.150122444,0.0,0.15593299999999935
6120,999.994189444,1000.199364444,0.0,0.20517499999999875
6180,999.994189444,999.8136354439999,0.0,-0.1805540000000026
6240,999.994189444,999.715151444,0.0,-0.27903800000000145
6300,999.994189444,999.493562444,0.0,-0.5006270000000024
6360,999.994189444,998.984728444,0.0,-1.0094610000000024
6420,999.994189444,999.4443204439999,0.0,-0.5498690000000018
6480,999.994189444,999.362250444,0.0,-0.631939000000002
6540,999.994189444,999.083212444,0.0,-0.9109769999999999
6600,999.994189444,999.025763444,0.0,-0.9684260000000005
6660,999.994189444,999.0667984439999,0.0,-0.9273910000000021
6720,999.990336268792,998.722104444,0.0,-1.2720850000000015
6780,1003.3273546528,1001.7220479647999,0.0,1.731711696007919
6840,1003.3273546528,1003.3273546528,0.0,0.0
6900,1003.3273546528,1003.3273546528,0.0,0.0
6960,1003.3215245527999,1003.3273546528,0.0,0.0
7020,1003.3215245527999,1003.0274245528,0.0,-0.2941000000000015
7080,1003.3215245527999,1003.3128745527999,0.0,-0.008650000000001148
7140,1003.3215245527999,1003.3474745527999,0.0,0.025949999999999692
7200,1003.3215245527999,1003.4858745527999,0.0,0.1643499999999993
7260,1003.3215245527999,1003.1917745527999,0.0,-0.12975000000000222
7320,1003.3215245527999,1003.3388245527999,0.0,0.017299999999998546
7380,1003.3215245527999,1003.1917745527999,0.0,-0.12975000000000222
7440,1003.3215245527999,1003.4599245528,0.0,0.1383999999999996
7500,1003.3215245527999,1003.3388245527999,0.0,0.017299999999998546
7560,1003.3215245527999,1003.2523245527999,0.0,-0.06920000000000168
7620,1003.8345906527999,1003.4512745527999,0.0,0.12974999999999848
7680,1003.8345906527999,1003.8345906527999,0.0,0.0
7740,1003.8345906527999,1003.8345906527999,0.0,0.0
7800,1003.8345906527999,1003.8345906527999,0.0,0.0
7860,1003.8345906527999,1003.8345906527999,0.0,0.0
7920,1003.8345906527999,1003.8345906527999,0.0,0.0
7980,1003.8345906527999,1003.8345906527999,0.0,0.0
8040,1003.8345906527999,1003.8345906527999,0.0,0.0
8100,1003.8345906527999,1003.8345906527999,0.0,0.0
8160,1003.8345906527999,1003.8345906527999,0.0,0.0
