,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,675,DOGE,0.0,-0.00805779,999.99194221,0.0,999.99194221,1.0,11349.0,0.00355,11349.0,0.00355,entry_initial_normal_long
1,701,DOGE,0.19293299999999608,-0.0080963766,1000.1767788334,0.0,1000.1767788334,1.0,-11349.0,0.003567,0.0,0.00355,close_trailing_long
2,715,DOGE,0.0,-0.008059164,1000.1687196694,0.0,1000.1687196694,1.0,11383.0,0.00354,11383.0,0.00354,entry_initial_normal_long
3,729,DOGE,0.15936199999999648,-0.008091036400000001,1000.3199906330001,0.0,1000.3199906330001,1.0,-11383.0,0.003554,0.0,0.00354,close_trailing_long
4,747,DOGE,0.0,-0.008059872000000001,1000.3119307610001,0.0,1000.3119307610001,1.0,11384.0,0.00354,11384.0,0.00354,entry_initial_normal_long
5,797,DOGE,0.25044799999999867,-0.0081099616,1000.5542687994001,0.0,1000.5542687994001,1.0,-11384.0,0.003562,0.0,0.00354,close_trailing_long
6,858,DOGE,0.0,-0.008061814,1000.5462069854001,0.0,1000.5462069854001,1.0,11419.0,0.00353,11419.0,0.00353,entry_initial_normal_long
7,5219,DOGE,0.19412299999999605,-0.0081006386,1000.7322293468001,0.0,1000.7322293468001,1.0,-11419.0,0.003547,0.0,0.00353,close_trailing_long
8,5647,DOGE,0.0,-0.008063184,1000.7241661628001,0.0,1000.7241661628001,1.0,11652.0,0.00346,11652.0,0.00346,entry_initial_normal_long
9,5670,DOGE,0.17477999999999794,-0.00809814,1000.8908480228001,0.0,1000.8908480228001,1.0,-11652.0,0.003475,0.0,0.00346,close_trailing_long
10,6218,DOGE,0.0,-0.008064692,1000.8827833308002,0.0,1000.8827833308002,1.0,11554.0,0.00349,11554.0,0.00349,entry_initial_normal_long
11,6262,DOGE,0.18486399999999947,-0.0081016648,1001.0595456660002,0.0,1001.0595456660002,1.0,-11554.0,0.003506,0.0,0.00349,close_trailing_long
12,6281,DOGE,0.0,-0.008066088,1001.0514795780002,0.0,1001.0514795780002,1.0,11556.0,0.00349,11556.0,0.00349,entry_initial_normal_long
13,8159,DOGE,0.1155600000000003,-0.0080892,1001.1589503780002,0.0,1001.1589503780002,1.0,-11556.0,0.0035,0.0,0.00349,close_trailing_long
14,8975,DOGE,0.0,-0.008066799999999999,1001.1508835780002,0.0,1001.1508835780002,1.0,11725.0,0.00344,11725.0,0.00344,entry_initial_normal_long
15,9044,DOGE,0.14070000000000343,-0.008094940000000002,1001.2834886380002,0.0,1001.2834886380002,1.0,-11725.0,0.003452,0.0,0.00344,close_trailing_long
16,9090,DOGE,0.0,-0.008068046,1001.2754205920003,0.0,1001.2754205920003,1.0,11761.0,0.00343,11761.0,0.00343,entry_initial_normal_long
17,9308,DOGE,0.11761000000000031,-0.008091568,1001.3849390240002,0.0,1001.3849390240002,1.0,-11761.0,0.00344,0.0,0.00343,close_trailing_long
18,11765,DOGE,0.0,-0.0080689,1001.3768701240002,0.0,1001.3768701240002,1.0,11527.0,0.0035,11527.0,0.0035,entry_initial_normal_long
19,11898,DOGE,0.3227559999999978,-0.0081334512,1001.6914926728002,0.0,1001.6914926728002,1.0,-11527.0,0.003528,0.0,0.0035,close_trailing_long
20,12812,DOGE,0.0,-0.008070992,1001.6834216808003,0.0,1001.6834216808003,1.0,11432.0,0.00353,11432.0,0.00353,entry_initial_normal_long
21,12821,DOGE,0.1143200000000003,-0.008093856000000002,1001.7896478248002,0.0,1001.7896478248002,1.0,-11432.0,0.00354,0.0,0.00353,close_trailing_long
22,12822,DOGE,0.0,-0.008071698,1001.7815761268002,0.0,1001.7815761268002,1.0,11433.0,0.00353,11433.0,0.00353,entry_initial_normal_long
23,12837,DOGE,0.4458869999999997,-0.008160875400000002,1002.2193022514002,0.0,1002.2193022514002,1.0,-11433.0,0.003569,0.0,0.00353,close_trailing_long
24,12978,DOGE,0.0,-0.008075228,1002.2112270234002,0.0,1002.2112270234002,1.0,11438.0,0.00353,11438.0,0.00353,entry_initial_normal_long
25,13077,DOGE,0.1143800000000003,-0.008098104000000002,1002.3175089194002,0.0,1002.3175089194002,1.0,-11438.0,0.00354,0.0,0.00353,close_trailing_long
26,13594,DOGE,0.0,-0.008076558000000001,1002.3094323614002,0.0,1002.3094323614002,1.0,11571.0,0.00349,11571.0,0.00349,entry_initial_normal_long
27,13606,DOGE,0.13885199999999837,-0.008104328400000001,1002.4401800330003,0.0,1002.4401800330003,1.0,-11571.0,0.003502,0.0,0.00349,close_trailing_long
28,13609,DOGE,0.0,-0.008077256,1002.4321027770003,0.0,1002.4321027770003,1.0,11572.0,0.00349,11572.0,0.00349,entry_initial_normal_long
29,13753,DOGE,0.196724000000001,-0.0081166008,1002.6207101762003,0.0,1002.6207101762003,1.0,-11572.0,0.003507,0.0,0.00349,close_trailing_long
30,15208,DOGE,0.0,-0.00807891,1002.6126312662003,0.0,1002.6126312662003,1.0,11315.0,0.00357,11315.0,0.00357,entry_initial_normal_long
31,15212,DOGE,0.2376150000000021,-0.008126433,1002.8421198332003,0.0,1002.8421198332003,1.0,-11315.0,0.003591,0.0,0.00357,close_trailing_long
32,15822,DOGE,0.0,-0.008080372,1002.8340394612003,0.0,1002.8340394612003,1.0,11254.0,0.00359,11254.0,0.00359,entry_initial_normal_long
33,15841,DOGE,0.11254000000000029,-0.008102880000000002,1002.9384765812003,0.0,1002.9384765812003,1.0,-11254.0,0.0036,0.0,0.00359,close_trailing_long
34,16201,DOGE,0.0,-0.00808128,1002.9303953012003,0.0,1002.9303953012003,1.0,11224.0,0.0036,11224.0,0.0036,entry_initial_normal_long
35,16246,DOGE,0.1122400000000003,-0.008103728,1003.0345315732003,0.0,1003.0345315732003,1.0,-11224.0,0.00361,0.0,0.0036,close_trailing_long
