,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,1050,DOGE,0.0,-0.011224332,999.988775668,0.0,999.988775668,1.0,16362.0,0.00343,16362.0,0.00343,entry_initial_normal_long
1,1165,DOGE,0.16362000000000043,-0.011257056000000001,1000.141138612,0.0,1000.141138612,1.0,-16362.0,0.00344,0.0,0.00343,close_trailing_long
2,2410,DOGE,0.0,-0.011225808,1000.129912804,0.0,1000.129912804,1.0,16412.0,0.00342,16412.0,0.00342,entry_initial_normal_long
3,2419,DOGE,0.26259199999999927,-0.0112783264,1000.3812264776,0.0,1000.3812264776,1.0,-16412.0,0.003436,0.0,0.00342,close_trailing_long
4,4950,DOGE,0.0,-0.01122884,1000.3699976376,0.0,1000.3699976376,1.0,16513.0,0.0034,16513.0,0.0034,entry_initial_normal_long
5,4955,DOGE,0.6770330000000039,-0.0113642466,1001.0356663910001,0.0,1001.0356663910001,1.0,-16513.0,0.003441,0.0,0.0034,close_trailing_long
6,6360,DOGE,0.0,-0.011236068,1001.024430323,0.0,1001.024430323,1.0,16427.0,0.00342,16427.0,0.00342,entry_initial_normal_long
7,6365,DOGE,0.16427000000000044,-0.011268921999999999,1001.177431401,0.0,1001.177431401,1.0,-16427.0,0.00343,0.0,0.00342,close_trailing_long
8,6674,DOGE,0.0,-0.011237910000000002,1001.1661934910001,0.0,1001.1661934910001,1.0,16773.0,0.00335,16773.0,0.00335,entry_initial_normal_long
9,6676,DOGE,0.35223299999999585,-0.0113083566,1001.5071181344,0.0,1001.5071181344,1.0,-16773.0,0.003371,0.0,0.00335,close_trailing_long
10,6732,DOGE,0.0,-0.011241104,1001.4958770304,0.0,1001.4958770304,1.0,16828.0,0.00334,16828.0,0.00334,entry_initial_normal_long
11,6734,DOGE,0.16828000000000043,-0.011274760000000002,1001.6528822704,0.0,1001.6528822704,1.0,-16828.0,0.00335,0.0,0.00334,close_trailing_long
12,9162,DOGE,0.0,-0.01124327,1001.6416390004,0.0,1001.6416390004,1.0,16781.0,0.00335,16781.0,0.00335,entry_initial_normal_long
