,balance,equity,balance_btc,equity_btc
0,1000.22769961,1000.0,0.0,0.0
60,1000.22769961,1000.0,0.0,0.0
120,1000.22769961,1000.0,0.0,0.0
180,1000.36025273,1000.2782396099999,0.0,0.05054000000000625
240,1000.36025273,1000.36025273,0.0,0.0
300,1000.3492153999999,1000.36025273,0.0,0.0
360,1000.48966064,1000.4450654,0.0,0.09584999999999844
420,1001.146249184,1000.48966064,0.0,0.0
480,1001.146249184,1001.146249184,0.0,0.0
540,1001.146249184,1001.146249184,0.0,0.0
600,1001.146249184,1001.146249184,0.0,0.0
660,1001.146249184,1001.146249184,0.0,0.0
720,1001.146249184,1001.146249184,0.0,0.0
780,1001.146249184,1001.146249184,0.0,0.0
840,1001.400784934,1001.146249184,0.0,0.0
900,1001.6999713939999,1001.400784934,0.0,0.0
960,1001.6999713939999,1001.6999713939999,0.0,0.0
1020,1001.6999713939999,1001.6999713939999,0.0,0.0
1080,1001.6999713939999,1001.6999713939999,0.0,0.0
1140,1001.6999713939999,1001.6999713939999,0.0,0.0
1200,1001.6999713939999,1001.6999713939999,0.0,0.0
1260,1001.6999713939999,1001.6999713939999,0.0,0.0
1320,1001.6999713939999,1001.6999713939999,0.0,0.0
1380,1001.6888903659999,1001.6999713939999,0.0,0.0
1440,1001.7106401219999,1001.5053503659999,0.0,-0.18353999999999898
1500,1001.7106401219999,1000.8421501219999,0.0,-0.8684900000000048
1560,1001.7310865479998,1001.3608501219999,0.0,-0.3497900000000028
1620,1002.1590351719997,1001.6739665479998,0.0,-0.05711999999999673
1680,1002.2648946199997,1001.6493951719997,0.0,-0.5096400000000001
1740,1002.2648946199997,1002.2648946199997,0.0,0.0
1800,1002.2648946199997,1002.2648946199997,0.0,0.0
1860,1002.2529862799997,1002.2648946199997,0.0,0.0
1920,1002.6261201499998,1002.1716862799998,0.0,-0.08129999999998194
1980,1002.6261201499998,1002.6261201499998,0.0,0.0
2040,1002.6261201499998,1002.6261201499998,0.0,0.0
2100,1002.6261201499998,1002.6261201499998,0.0,0.0
2160,1002.6261201499998,1002.6261201499998,0.0,0.0
2220,1002.9227659279998,1002.6261201499998,0.0,0.0
2280,1003.2393527979998,1002.9227659279998,0.0,0.0
2340,1003.2936355979997,1002.7137527979997,0.0,-0.5255999999999988
2400,1003.2936355979997,1003.2936355979997,0.0,0.0
2460,1003.2936355979997,1003.2936355979997,0.0,0.0
2520,1003.4041898879997,1003.2936355979997,0.0,0.0
2580,1003.4246925519997,1002.8529398879997,0.0,-0.5512500000000046
2640,1004.1047686219996,1003.4912925519997,0.0,0.06660000000000088
2700,1004.2663389239996,1003.7876686219996,0.0,-0.3170999999999986
2760,1004.4659503739996,1004.2663389239996,0.0,0.0
2820,1004.4659503739996,1004.4659503739996,0.0,0.0
2880,1004.4548474139996,1004.4659503739996,0.0,0.0
2940,1004.6571496939995,1004.5695474139995,0.0,0.11470000000000286
3000,1004.6571496939995,1004.6571496939995,0.0,0.0
3060,1004.6571496939995,1004.6571496939995,0.0,0.0
3120,1004.6571496939995,1004.6571496939995,0.0,0.0
3180,1004.6571496939995,1004.6571496939995,0.0,0.0
3240,1004.6571496939995,1004.6571496939995,0.0,0.0
3300,1004.6571496939995,1004.6571496939995,0.0,0.0
3360,1004.6571496939995,1004.6571496939995,0.0,0.0
3420,1004.6571496939995,1004.6571496939995,0.0,0.0
3480,1004.6571496939995,1004.6571496939995,0.0,0.0
3540,1004.6571496939995,1004.6571496939995,0.0,0.0
3600,1004.8882573359995,1004.6571496939995,0.0,0.0
3660,1004.9092994139994,1004.8882573359995,0.0,0.0
3720,1004.9092994139994,1004.9092994139994,0.0,0.0
3780,1004.9092994139994,1004.9092994139994,0.0,0.0
3840,1004.9092994139994,1004.9092994139994,0.0,0.0
3900,1004.9092994139994,1004.9092994139994,0.0,0.0
3960,1004.9092994139994,1004.9092994139994,0.0,0.0
4020,1004.9092994139994,1004.9092994139994,0.0,0.0
4080,1004.9092994139994,1004.9092994139994,0.0,0.0
4140,1004.9092994139994,1004.9092994139994,0.0,0.0
4200,1004.9092994139994,1004.9092994139994,0.0,0.0
4260,1004.9200812619994,1004.9092994139994,0.0,0.0
4320,1005.1612603099993,1004.9911212619994,0.0,0.07104000000000532
4380,1005.3080580899993,1004.6189003099993,0.0,-0.5423600000000048
4440,1005.3080580899993,1005.3080580899993,0.0,0.0
4500,1005.3080580899993,1005.3080580899993,0.0,0.0
4560,1005.3080580899993,1005.3080580899993,0.0,0.0
4620,1005.3080580899993,1005.3080580899993,0.0,0.0
4680,1005.3080580899993,1005.3080580899993,0.0,0.0
4740,1005.3080580899993,1005.3080580899993,0.0,0.0
4800,1005.3080580899993,1005.3080580899993,0.0,0.0
4860,1005.3080580899993,1005.3080580899993,0.0,0.0
4920,1005.3796199939994,1005.3080580899993,0.0,0.0
4980,1005.4125988259995,1005.0330599939995,0.0,-0.34656000000000065
5040,1005.4125988259995,1005.4125988259995,0.0,0.0
5100,1005.4125988259995,1005.4125988259995,0.0,0.0
5160,1005.4125988259995,1005.4125988259995,0.0,0.0
5220,1005.4125988259995,1005.4125988259995,0.0,0.0
5280,1005.4125988259995,1005.4125988259995,0.0,0.0
5340,1005.4125988259995,1005.4125988259995,0.0,0.0
5400,1005.4125988259995,1005.4125988259995,0.0,0.0
5460,1005.4125988259995,1005.4125988259995,0.0,0.0
5520,1005.4125988259995,1005.4125988259995,0.0,0.0
5580,1005.4125988259995,1005.4125988259995,0.0,0.0
5640,1005.4125988259995,1005.4125988259995,0.0,0.0
5700,1005.4125988259995,1005.4125988259995,0.0,0.0
5760,1005.4125988259995,1005.4125988259995,0.0,0.0
5820,1005.4125988259995,1005.4125988259995,0.0,0.0
5880,1005.4125988259995,1005.4125988259995,0.0,0.0
5940,1005.4125988259995,1005.4125988259995,0.0,0.0
6000,1005.4125988259995,1005.4125988259995,0.0,0.0
6060,1005.4125988259995,1005.4125988259995,0.0,0.0
6120,1005.4125988259995,1005.4125988259995,0.0,0.0
6180,1005.4125988259995,1005.4125988259995,0.0,0.0
6240,1005.4125988259995,1005.4125988259995,0.0,0.0
6300,1005.4125988259995,1005.4125988259995,0.0,0.0
6360,1005.4125988259995,1005.4125988259995,0.0,0.0
6420,1005.4125988259995,1005.4125988259995,0.0,0.0
6480,1005.4125988259995,1005.4125988259995,0.0,0.0
6540,1005.4125988259995,1005.4125988259995,0.0,0.0
6600,1005.4125988259995,1005.4125988259995,0.0,0.0
6660,1005.4125988259995,1005.4125988259995,0.0,0.0
6720,1005.4125988259995,1005.4125988259995,0.0,0.0
6780,1005.4125988259995,1005.4125988259995,0.0,0.0
6840,1005.4125988259995,1005.4125988259995,0.0,0.0
6900,1005.4125988259995,1005.4125988259995,0.0,0.0
6960,1005.4125988259995,1005.4125988259995,0.0,0.0
7020,1005.4125988259995,1005.4125988259995,0.0,0.0
7080,1005.4125988259995,1005.4125988259995,0.0,0.0
7140,1005.4125988259995,1005.4125988259995,0.0,0.0
7200,1005.4125988259995,1005.4125988259995,0.0,0.0
7260,1005.4125988259995,1005.4125988259995,0.0,0.0
7320,1005.4125988259995,1005.4125988259995,0.0,0.0
7380,1005.5035891499994,1005.4125988259995,0.0,0.0
7440,1005.5035891499994,1005.5035891499994,0.0,0.0
7500,1005.4925038599994,1005.5035891499994,0.0,0.0
7560,1005.5248098899993,1005.3700538599994,0.0,-0.122450000000002
7620,1005.5248098899993,1005.5248098899993,0.0,0.0
7680,1005.5248098899993,1005.5248098899993,0.0,0.0
7740,1005.5248098899993,1005.5248098899993,0.0,0.0
7800,1009.8768651079995,1005.5248098899993,0.0,0.0
7860,1010.1939546999995,1009.6128651079995,0.0,-0.26400000000000756
7920,1010.1939546999995,1010.0283146999994,0.0,-0.16564000000000179
7980,1010.6134398359994,1008.9623146999995,0.0,-1.2316400000000027
8040,1010.6657542559994,1009.9587998359995,0.0,-0.6546399999999966
8100,1010.6657542559994,1010.6657542559994,0.0,0.0
8160,1011.0829358097759,1010.6657542559994,0.0,0.0
8220,1011.8292471839994,1011.4109006459994,0.0,0.3279648362235085
8280,1011.8180927399994,1011.8292471839994,0.0,0.0
8340,1011.9756845399994,1011.8650727399994,0.0,0.04697999999999869
8400,1012.1697924759993,1011.9756845399994,0.0,0.0
8460,1012.1697924759993,1012.1697924759993,0.0,0.0
8520,1012.1697924759993,1012.1697924759993,0.0,0.0
8580,1012.1697924759993,1012.1697924759993,0.0,0.0
8640,1012.1697924759993,1012.1697924759993,0.0,0.0
8700,1012.1697924759993,1012.1697924759993,0.0,0.0
8760,1012.1697924759993,1012.1697924759993,0.0,0.0
8820,1012.3847096239994,1012.1697924759993,0.0,0.0
8880,1018.2339702419994,1011.3445496239993,0.0,-1.0401600000000046
8940,1018.3457844899993,1018.1065702419994,0.0,-0.12740000000000617
9000,1018.3457844899993,1018.3457844899993,0.0,0.0
9060,1018.3457844899993,1018.3457844899993,0.0,0.0
9120,1018.3457844899993,1018.3457844899993,0.0,0.0
9180,1018.3457844899993,1018.3457844899993,0.0,0.0
9240,1018.3457844899993,1018.3457844899993,0.0,0.0
9300,1018.3457844899993,1018.3457844899993,0.0,0.0
9360,1018.3457844899993,1018.3457844899993,0.0,0.0
9420,1018.5840325219992,1018.3457844899993,0.0,0.0
9480,1018.5944838719993,1018.5840325219992,0.0,0.0
9540,1018.6277328479993,1018.6674638719993,0.0,0.07297999999999394
9600,1018.6277328479993,1018.6277328479993,0.0,0.0
9660,1018.6277328479993,1018.6277328479993,0.0,0.0
9720,1018.6277328479993,1018.6277328479993,0.0,0.0
9780,1018.6277328479993,1018.6277328479993,0.0,0.0
9840,1018.6277328479993,1018.6277328479993,0.0,0.0
9900,1018.6277328479993,1018.6277328479993,0.0,0.0
9960,1018.6277328479993,1018.6277328479993,0.0,0.0
10020,1018.6277328479993,1018.6277328479993,0.0,0.0
10080,1018.6277328479993,1018.6277328479993,0.0,0.0
10140,1018.6277328479993,1018.6277328479993,0.0,0.0
10200,1018.6277328479993,1018.6277328479993,0.0,0.0
10260,1018.6277328479993,1018.6277328479993,0.0,0.0
10320,1018.6277328479993,1018.6277328479993,0.0,0.0
10380,1018.6277328479993,1018.6277328479993,0.0,0.0
10440,1018.6277328479993,1018.6277328479993,0.0,0.0
10500,1018.6277328479993,1018.6277328479993,0.0,0.0
10560,1018.6277328479993,1018.6277328479993,0.0,0.0
10620,1018.6277328479993,1018.6277328479993,0.0,0.0
10680,1018.6277328479993,1018.6277328479993,0.0,0.0
10740,1018.6277328479993,1018.6277328479993,0.0,0.0
10800,1018.6277328479993,1018.6277328479993,0.0,0.0
10860,1018.6277328479993,1018.6277328479993,0.0,0.0
10920,1018.6277328479993,1018.6277328479993,0.0,0.0
10980,1018.6277328479993,1018.6277328479993,0.0,0.0
11040,1018.6277328479993,1018.6277328479993,0.0,0.0
11100,1018.6277328479993,1018.6277328479993,0.0,0.0
11160,1018.6277328479993,1018.6277328479993,0.0,0.0
11220,1018.6277328479993,1018.6277328479993,0.0,0.0
11280,1018.6277328479993,1018.6277328479993,0.0,0.0
11340,1018.6277328479993,1018.6277328479993,0.0,0.0
11400,1018.6277328479993,1018.6277328479993,0.0,0.0
11460,1018.6277328479993,1018.6277328479993,0.0,0.0
11520,1018.6277328479993,1018.6277328479993,0.0,0.0
11580,1018.6277328479993,1018.6277328479993,0.0,0.0
11640,1018.6277328479993,1018.6277328479993,0.0,0.0
11700,1018.6277328479993,1018.6277328479993,0.0,0.0
11760,1018.6277328479993,1018.6277328479993,0.0,0.0
11820,1018.6277328479993,1018.6277328479993,0.0,0.0
11880,1018.6277328479993,1018.6277328479993,0.0,0.0
11940,1018.6277328479993,1018.6277328479993,0.0,0.0
12000,1018.6277328479993,1018.6277328479993,0.0,0.0
12060,1018.6277328479993,1018.6277328479993,0.0,0.0
12120,1018.6277328479993,1018.6277328479993,0.0,0.0
12180,1018.6277328479993,1018.6277328479993,0.0,0.0
12240,1018.6277328479993,1018.6277328479993,0.0,0.0
12300,1018.6277328479993,1018.6277328479993,0.0,0.0
12360,1018.6866193319993,1018.6277328479993,0.0,0.0
12420,1018.6866193319993,1018.6866193319993,0.0,0.0
12480,1018.6866193319993,1018.6866193319993,0.0,0.0
12540,1018.6866193319993,1018.6866193319993,0.0,0.0
12600,1018.6866193319993,1018.6866193319993,0.0,0.0
12660,1018.6866193319993,1018.6866193319993,0.0,0.0
12720,1018.6866193319993,1018.6866193319993,0.0,0.0
12780,1018.6866193319993,1018.6866193319993,0.0,0.0
12840,1018.6866193319993,1018.6866193319993,0.0,0.0
12900,1018.6866193319993,1018.6866193319993,0.0,0.0
12960,1018.6866193319993,1018.6866193319993,0.0,0.0
13020,1018.6866193319993,1018.6866193319993,0.0,0.0
13080,1018.6866193319993,1018.6866193319993,0.0,0.0
13140,1018.6866193319993,1018.6866193319993,0.0,0.0
13200,1019.3681818799993,1018.6866193319993,0.0,0.0
13260,1019.4999950979993,1019.3681818799993,0.0,0.0
13320,1019.8126363979993,1019.6791850979993,0.0,0.17918999999999835
13380,1019.8126363979993,1019.8126363979993,0.0,0.0
13440,1019.8126363979993,1019.8126363979993,0.0,0.0
13500,1019.8126363979993,1019.8126363979993,0.0,0.0
13560,1019.8126363979993,1019.8126363979993,0.0,0.0
13620,1019.8126363979993,1019.8126363979993,0.0,0.0
13680,1019.8126363979993,1019.8126363979993,0.0,0.0
13740,1019.8126363979993,1019.8126363979993,0.0,0.0
13800,1019.8013629539993,1019.8126363979993,0.0,0.0
13860,1019.8013629539993,1019.5083429539993,0.0,-0.29302000000000006
13920,1019.8013629539993,1019.2171429539993,0.0,-0.5842199999999983
13980,1019.8013629539993,1018.7803429539993,0.0,-1.0210200000000007
14040,1019.8013629539993,1018.7621429539993,0.0,-1.0392199999999987
14100,1019.8013629539993,1018.7257429539993,0.0,-1.0756199999999947
14160,1019.8337607739993,1018.6893429539992,0.0,-1.1120200000000007
14220,1019.8337607739993,1019.8337607739993,0.0,0.0
14280,1019.8337607739993,1019.8337607739993,0.0,0.0
14340,1019.8337607739993,1019.8337607739993,0.0,0.0
14400,1019.8337607739993,1019.8337607739993,0.0,0.0
14460,1019.8337607739993,1019.8337607739993,0.0,0.0
14520,1019.8337607739993,1019.8337607739993,0.0,0.0
14580,1019.8337607739993,1019.8337607739993,0.0,0.0
14640,1019.8337607739993,1019.8337607739993,0.0,0.0
14700,1019.8337607739993,1019.8337607739993,0.0,0.0
14760,1019.8337607739993,1019.8337607739993,0.0,0.0
14820,1019.8337607739993,1019.8337607739993,0.0,0.0
14880,1019.8337607739993,1019.8337607739993,0.0,0.0
14940,1019.8337607739993,1019.8337607739993,0.0,0.0
15000,1019.8337607739993,1019.8337607739993,0.0,0.0
15060,1019.8337607739993,1019.8337607739993,0.0,0.0
15120,1019.8337607739993,1019.8337607739993,0.0,0.0
15180,1019.8337607739993,1019.8337607739993,0.0,0.0
15240,1019.8337607739993,1019.8337607739993,0.0,0.0
15300,1019.8337607739993,1019.8337607739993,0.0,0.0
15360,1019.8337607739993,1019.8337607739993,0.0,0.0
15420,1019.8337607739993,1019.8337607739993,0.0,0.0
15480,1019.8337607739993,1019.8337607739993,0.0,0.0
15540,1019.8337607739993,1019.8337607739993,0.0,0.0
15600,1019.8337607739993,1019.8337607739993,0.0,0.0
15660,1019.8337607739993,1019.8337607739993,0.0,0.0
15720,1019.8337607739993,1019.8337607739993,0.0,0.0
15780,1019.8337607739993,1019.8337607739993,0.0,0.0
15840,1019.8337607739993,1019.8337607739993,0.0,0.0
15900,1019.8337607739993,1019.8337607739993,0.0,0.0
15960,1019.8337607739993,1019.8337607739993,0.0,0.0
16020,1019.8337607739993,1019.8337607739993,0.0,0.0
16080,1019.8337607739993,1019.8337607739993,0.0,0.0
16140,1019.8337607739993,1019.8337607739993,0.0,0.0
16200,1019.8337607739993,1019.8337607739993,0.0,0.0
16260,1019.8337607739993,1019.8337607739993,0.0,0.0
16320,1019.8337607739993,1019.8337607739993,0.0,0.0
16380,1019.8337607739993,1019.8337607739993,0.0,0.0
16440,1019.8337607739993,1019.8337607739993,0.0,0.0
