,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,137,DOGE,0.0,-0.011202132,999.988797868,0.0,999.988797868,1.0,134.0,0.41799,134.0,0.41799,entry_initial_normal_long
1,140,DOGE,0.10854000000000441,-0.01122384,1000.086114028,0.0,1000.086114028,1.0,-134.0,0.4188,0.0,0.41799,close_trailing_long
2,141,DOGE,0.0,-0.011197844,1000.074916184,0.0,1000.074916184,1.0,134.0,0.41783,134.0,0.41783,entry_initial_normal_long
3,152,DOGE,0.08843999999999919,-0.011215532,1000.1521406520001,0.0,1000.1521406520001,1.0,-134.0,0.41849,0.0,0.41783,close_trailing_long
4,154,DOGE,0.0,-0.01126035,1000.140880302,0.0,1000.140880302,1.0,135.0,0.41705,135.0,0.41705,entry_initial_normal_long
5,156,DOGE,0.08910000000000667,-0.01127817,1000.2187021320001,0.0,1000.2187021320001,1.0,-135.0,0.41771,0.0,0.41705,close_trailing_long
6,171,DOGE,0.0,-0.01124469,1000.2074574420001,0.0,1000.2074574420001,1.0,135.0,0.41647,135.0,0.41647,entry_initial_normal_long
7,173,DOGE,0.08909999999999918,-0.011262510000000002,1000.285294932,0.0,1000.285294932,1.0,-135.0,0.41713,0.0,0.41647,close_trailing_long
8,179,DOGE,0.0,-0.01123524,1000.274059692,0.0,1000.274059692,1.0,135.0,0.41612,135.0,0.41612,entry_initial_normal_long
9,212,DOGE,0.09180000000000188,-0.0112536,1000.354606092,0.0,1000.354606092,1.0,-135.0,0.4168,0.0,0.41612,close_trailing_long
10,356,DOGE,0.0,-0.011213724000000001,1000.3433923680001,0.0,1000.3433923680001,1.0,137.0,0.40926,137.0,0.40926,entry_initial_normal_long
11,393,DOGE,0.0,-0.022351368000000003,1000.321041,0.0,1000.321041,1.0,284.0,0.39351,421.0,0.398635296912114,entry_grid_normal_long
12,413,DOGE,0.17741567695961846,-0.022677968000000003,1000.4757787089596,0.0,1000.4757787089596,1.0,-284.0,0.39926,137.0,0.398635296912114,close_trailing_long
13,415,DOGE,0.15956432304037726,-0.01095452,1000.624388512,0.0,1000.624388512,1.0,-137.0,0.3998,0.0,0.398635296912114,close_trailing_long
14,416,DOGE,0.0,-0.0112252,1000.613163312,0.0,1000.613163312,1.0,140.0,0.4009,140.0,0.4009,entry_initial_normal_long
15,427,DOGE,0.08820000000000272,-0.01124284,1000.690120472,0.0,1000.690120472,1.0,-140.0,0.40153,0.0,0.4009,close_trailing_long
16,428,DOGE,0.0,-0.01125936,1000.6788611119999,0.0,1000.6788611119999,1.0,140.0,0.40212,140.0,0.40212,entry_initial_normal_long
17,435,DOGE,0.08820000000000272,-0.011277,1000.7557841119999,0.0,1000.7557841119999,1.0,-140.0,0.40275,0.0,0.40212,close_trailing_long
18,439,DOGE,0.0,-0.01124116,1000.7445429519998,0.0,1000.7445429519998,1.0,140.0,0.40147,140.0,0.40147,entry_initial_normal_long
19,472,DOGE,0.15820000000000278,-0.011272800000000001,1000.8914701519999,0.0,1000.8914701519999,1.0,-140.0,0.4026,0.0,0.40147,close_trailing_long
20,843,DOGE,0.0,-0.011245234,1000.880224918,0.0,1000.880224918,1.0,137.0,0.41041,137.0,0.41041,entry_initial_normal_long
21,845,DOGE,0.0890499999999978,-0.011263044,1000.9580118739999,0.0,1000.9580118739999,1.0,-137.0,0.41106,0.0,0.41041,close_trailing_long
22,917,DOGE,0.0,-0.01119838,1000.9468134939999,0.0,1000.9468134939999,1.0,137.0,0.4087,137.0,0.4087,entry_initial_normal_long
23,919,DOGE,0.12330000000000163,-0.01122304,1001.0588904539999,0.0,1001.0588904539999,1.0,-137.0,0.4096,0.0,0.4087,close_trailing_long
24,1436,DOGE,0.0,-0.01125603,1001.0476344239999,0.0,1001.0476344239999,1.0,135.0,0.41689,135.0,0.41689,entry_initial_normal_long
25,1438,DOGE,0.2983499999999986,-0.0113157,1001.3346687239998,0.0,1001.3346687239998,1.0,-135.0,0.4191,0.0,0.41689,close_trailing_long
26,1439,DOGE,0.0,-0.01125306,1001.3234156639999,0.0,1001.3234156639999,1.0,135.0,0.41678,135.0,0.41678,entry_initial_normal_long
27,1445,DOGE,0.08909999999999918,-0.01127088,1001.4012447839999,0.0,1001.4012447839999,1.0,-135.0,0.41744,0.0,0.41678,close_trailing_long
28,1458,DOGE,0.0,-0.011228760000000003,1001.3900160239999,0.0,1001.3900160239999,1.0,135.0,0.41588,135.0,0.41588,entry_initial_normal_long
29,1481,DOGE,0.0,-0.02239328,1001.367622744,0.0,1001.367622744,1.0,280.0,0.39988,415.0,0.4050848192771084,entry_grid_normal_long
30,1488,DOGE,0.3682506024096499,-0.0227584,1001.7131149464096,0.0,1001.7131149464096,1.0,-280.0,0.4064,135.0,0.4050848192771084,close_trailing_long
31,1490,DOGE,0.3935493975903656,-0.011016,1002.095648344,0.0,1002.095648344,1.0,-135.0,0.408,0.0,0.4050848192771084,close_trailing_long
32,1491,DOGE,0.0,-0.011217560000000001,1002.084430784,0.0,1002.084430784,1.0,137.0,0.4094,137.0,0.4094,entry_initial_normal_long
33,1494,DOGE,0.1644000000000047,-0.01125044,1002.237580344,0.0,1002.237580344,1.0,-137.0,0.4106,0.0,0.4094,close_trailing_long
34,1495,DOGE,0.0,-0.01125866,1002.226321684,0.0,1002.226321684,1.0,137.0,0.4109,137.0,0.4109,entry_initial_normal_long
35,1503,DOGE,0.0890500000000054,-0.01127647,1002.3040952140001,0.0,1002.3040952140001,1.0,-137.0,0.41155,0.0,0.4109,close_trailing_long
36,1509,DOGE,0.0,-0.011261674,1002.2928335400001,0.0,1002.2928335400001,1.0,137.0,0.41101,137.0,0.41101,entry_initial_normal_long
37,1515,DOGE,0.0890500000000054,-0.011279484000000001,1002.370604056,0.0,1002.370604056,1.0,-137.0,0.41166,0.0,0.41101,close_trailing_long
38,1517,DOGE,0.0,-0.011246604,1002.359357452,0.0,1002.359357452,1.0,137.0,0.41046,137.0,0.41046,entry_initial_normal_long
39,1547,DOGE,0.0890499999999978,-0.011264414,1002.437143038,0.0,1002.437143038,1.0,-137.0,0.41111,0.0,0.41046,close_trailing_long
40,1612,DOGE,0.0,-0.011230440000000001,1002.4259125980001,0.0,1002.4259125980001,1.0,138.0,0.4069,138.0,0.4069,entry_initial_normal_long
41,1616,DOGE,0.09660000000000468,-0.011249760000000001,1002.5112628380001,0.0,1002.5112628380001,1.0,-138.0,0.4076,0.0,0.4069,close_trailing_long
42,1619,DOGE,0.0,-0.011218295999999999,1002.5000445420001,0.0,1002.5000445420001,1.0,138.0,0.40646,138.0,0.40646,entry_initial_normal_long
43,1629,DOGE,0.08832000000000406,-0.011235960000000001,1002.5771285820001,0.0,1002.5771285820001,1.0,-138.0,0.4071,0.0,0.40646,close_trailing_long
44,1652,DOGE,0.0,-0.011250660000000001,1002.5658779220001,0.0,1002.5658779220001,1.0,139.0,0.4047,139.0,0.4047,entry_initial_normal_long
45,1698,DOGE,0.12510000000000165,-0.01127568,1002.6797022420002,0.0,1002.6797022420002,1.0,-139.0,0.4056,0.0,0.4047,close_trailing_long
46,1711,DOGE,0.0,-0.011225480000000001,1002.6684767620002,0.0,1002.6684767620002,1.0,140.0,0.40091,140.0,0.40091,entry_initial_normal_long
47,1723,DOGE,0.08820000000000272,-0.01124312,1002.7454336420002,0.0,1002.7454336420002,1.0,-140.0,0.40154,0.0,0.40091,close_trailing_long
48,1747,DOGE,0.0,-0.011251236000000001,1002.7341824060002,0.0,1002.7341824060002,1.0,141.0,0.39898,141.0,0.39898,entry_initial_normal_long
49,1753,DOGE,0.34121999999999686,-0.01131948,1003.0640829260002,0.0,1003.0640829260002,1.0,-141.0,0.4014,0.0,0.39898,close_trailing_long
50,1861,DOGE,0.0,-0.011254068,1003.0528288580002,0.0,1003.0528288580002,1.0,142.0,0.39627,142.0,0.39627,entry_initial_normal_long
51,1864,DOGE,0.08804000000000134,-0.011271676000000001,1003.1295971820002,0.0,1003.1295971820002,1.0,-142.0,0.39689,0.0,0.39627,close_trailing_long
52,1866,DOGE,0.0,-0.011246116,1003.1183510660002,0.0,1003.1183510660002,1.0,142.0,0.39599,142.0,0.39599,entry_initial_normal_long
53,1906,DOGE,0.0,-0.022464249999999998,1003.0958868160002,0.0,1003.0958868160002,1.0,295.0,0.38075,437.0,0.3857021281464531,entry_grid_normal_long
