,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,858,DOGE,0.0,-0.012373452000000002,999.987626548,0.0,999.987626548,1.0,17626.0,0.00351,17626.0,0.00351,entry_initial_normal_long
1,1052,DOGE,0.0,-0.018337616,999.9692889319999,0.0,999.9692889319999,1.0,26888.0,0.00341,44514.0,0.0034495965314283146,entry_grid_normal_long
2,1259,DOGE,1.7985200000000043,-0.031070772,1001.73673816,0.0,1001.73673816,1.0,-44514.0,0.00349,0.0,0.0034495965314283146,close_grid_long
3,2410,DOGE,0.0,-0.012394470000000001,1001.72434369,0.0,1001.72434369,1.0,17963.0,0.00345,17963.0,0.00345,entry_initial_normal_long
4,2540,DOGE,0.7185200000000019,-0.012538174000000001,1002.4303255159999,0.0,1002.4303255159999,1.0,-17963.0,0.00349,0.0,0.00345,close_grid_long
5,3730,DOGE,0.0,-0.012402972,1002.4179225439999,0.0,1002.4179225439999,1.0,18133.0,0.00342,18133.0,0.00342,entry_initial_normal_long
6,3735,DOGE,0.7253200000000019,-0.012548036,1003.1306945079999,0.0,1003.1306945079999,1.0,-18133.0,0.00346,0.0,0.00342,close_grid_long
7,4949,DOGE,0.0,-0.012411712,1003.1182827959999,0.0,1003.1182827959999,1.0,17936.0,0.00346,17936.0,0.00346,entry_initial_normal_long
8,5111,DOGE,0.7174400000000019,-0.0125552,1003.8231675959998,0.0,1003.8231675959998,1.0,-17936.0,0.0035,0.0,0.00346,close_grid_long
9,6360,DOGE,0.0,-0.012420756000000002,1003.8107468399999,0.0,1003.8107468399999,1.0,18159.0,0.00342,18159.0,0.00342,entry_initial_normal_long
10,6391,DOGE,0.7263600000000019,-0.012566028,1004.5245408119998,0.0,1004.5245408119998,1.0,-18159.0,0.00346,0.0,0.00342,close_grid_long
11,6673,DOGE,0.0,-0.012429234,1004.5121115779998,0.0,1004.5121115779998,1.0,18441.0,0.00337,18441.0,0.00337,entry_initial_normal_long
12,6685,DOGE,0.737639999999994,-0.012576762,1005.2371748159998,0.0,1005.2371748159998,1.0,-18441.0,0.00341,0.0,0.00337,close_grid_long
13,6732,DOGE,0.0,-0.012438160000000002,1005.2247366559998,0.0,1005.2247366559998,1.0,18620.0,0.00334,18620.0,0.00334,entry_initial_normal_long
14,6739,DOGE,0.7448000000000019,-0.01258712,1005.9569495359998,0.0,1005.9569495359998,1.0,-18620.0,0.00338,0.0,0.00334,close_grid_long
15,6997,DOGE,0.0,-0.012446680000000002,1005.9445028559998,0.0,1005.9445028559998,1.0,18745.0,0.00332,18745.0,0.00332,entry_initial_normal_long
16,7000,DOGE,0.749800000000002,-0.012596640000000001,1006.6817062159997,0.0,1006.6817062159997,1.0,-18745.0,0.00336,0.0,0.00332,close_grid_long
17,7564,DOGE,0.0,-0.012455976,1006.6692502399998,0.0,1006.6692502399998,1.0,18759.0,0.00332,18759.0,0.00332,entry_initial_normal_long
18,7574,DOGE,0.7503600000000019,-0.012606048,1007.4070041919998,0.0,1007.4070041919998,1.0,-18759.0,0.00336,0.0,0.00332,close_grid_long
19,9162,DOGE,0.0,-0.012464880000000001,1007.3945393119998,0.0,1007.3945393119998,1.0,18660.0,0.00334,18660.0,0.00334,entry_initial_normal_long
20,9169,DOGE,0.746400000000002,-0.012614160000000001,1008.1283251519998,0.0,1008.1283251519998,1.0,-18660.0,0.00338,0.0,0.00334,close_grid_long
21,9370,DOGE,0.0,-0.01247378,1008.1158513719997,0.0,1008.1158513719997,1.0,18290.0,0.00341,18290.0,0.00341,entry_initial_normal_long
22,9663,DOGE,0.7316000000000019,-0.0126201,1008.8348312719997,0.0,1008.8348312719997,1.0,-18290.0,0.00345,0.0,0.00341,close_grid_long
