,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,858,DOGE,0.0,-0.009637984,999.990362016,0.0,999.990362016,1.0,13808.0,0.00349,13808.0,0.00349,entry_initial_normal_long
1,859,DOGE,0.27616000000000074,-0.009693216,1000.2568288,0.0,1000.2568288,1.0,-13808.0,0.00351,0.0,0.00349,close_grid_long
2,1050,DOGE,0.0,-0.009640358,1000.247188442,0.0,1000.247188442,1.0,14053.0,0.00343,14053.0,0.00343,entry_initial_normal_long
3,1206,DOGE,0.28106000000000075,-0.00969657,1000.518551872,0.0,1000.518551872,1.0,-14053.0,0.00345,0.0,0.00343,close_grid_long
4,2410,DOGE,0.0,-0.009642416000000001,1000.508909456,0.0,1000.508909456,1.0,14056.0,0.00343,14056.0,0.00343,entry_initial_normal_long
5,2433,DOGE,0.28112000000000076,-0.009698640000000001,1000.780330816,0.0,1000.780330816,1.0,-14056.0,0.00345,0.0,0.00343,close_grid_long
6,4950,DOGE,0.0,-0.009645084,1000.770685732,0.0,1000.770685732,1.0,14101.0,0.00342,14101.0,0.00342,entry_initial_normal_long
7,4953,DOGE,0.2820200000000007,-0.009701488,1001.0430042439999,0.0,1001.0430042439999,1.0,-14101.0,0.00344,0.0,0.00342,close_grid_long
8,6360,DOGE,0.0,-0.009647820000000001,1001.0333564239999,0.0,1001.0333564239999,1.0,14105.0,0.00342,14105.0,0.00342,entry_initial_normal_long
9,6363,DOGE,0.28210000000000074,-0.009704240000000001,1001.3057521839999,0.0,1001.3057521839999,1.0,-14105.0,0.00344,0.0,0.00342,close_grid_long
10,6674,DOGE,0.0,-0.00965001,1001.2961021739999,0.0,1001.2961021739999,1.0,14403.0,0.00335,14403.0,0.00335,entry_initial_normal_long
11,6675,DOGE,0.43209000000000114,-0.009736428000000002,1001.7184557459999,0.0,1001.7184557459999,1.0,-14403.0,0.00338,0.0,0.00335,close_grid_long
12,6732,DOGE,0.0,-0.009653936,1001.70880181,0.0,1001.70880181,1.0,14452.0,0.00334,14452.0,0.00334,entry_initial_normal_long
13,6733,DOGE,0.3612999999999978,-0.009726196000000001,1002.060375614,0.0,1002.060375614,1.0,-14452.0,0.003365,0.0,0.00334,close_grid_long
14,6734,DOGE,0.0,-0.009657666,1002.050717948,0.0,1002.050717948,1.0,14501.0,0.00333,14501.0,0.00333,entry_initial_normal_long
15,6735,DOGE,0.2900200000000008,-0.009715670000000001,1002.3310222780001,0.0,1002.3310222780001,1.0,-14501.0,0.00335,0.0,0.00333,close_grid_long
16,6997,DOGE,0.0,-0.009659872,1002.321362406,0.0,1002.321362406,1.0,14548.0,0.00332,14548.0,0.00332,entry_initial_normal_long
17,6998,DOGE,0.2909600000000008,-0.009718064,1002.6026043420001,0.0,1002.6026043420001,1.0,-14548.0,0.00334,0.0,0.00332,close_grid_long
18,9162,DOGE,0.0,-0.009662740000000001,1002.5929416020001,0.0,1002.5929416020001,1.0,14422.0,0.00335,14422.0,0.00335,entry_initial_normal_long
19,9166,DOGE,0.28844000000000075,-0.009720428000000001,1002.8716611740001,0.0,1002.8716611740001,1.0,-14422.0,0.00337,0.0,0.00335,close_grid_long
20,15208,DOGE,0.0,-0.009665230000000002,1002.8619959440001,0.0,1002.8619959440001,1.0,13613.0,0.00355,13613.0,0.00355,entry_initial_normal_long
21,15209,DOGE,0.34032499999999793,-0.009733295,1003.1925876490001,0.0,1003.1925876490001,1.0,-13613.0,0.003575,0.0,0.00355,close_grid_long
22,16559,DOGE,0.0,-0.0096684,1003.1829192490001,0.0,1003.1829192490001,1.0,13812.0,0.0035,13812.0,0.0035,entry_initial_normal_long
23,16560,DOGE,0.2900519999999966,-0.0097264104,1003.4632448386001,0.0,1003.4632448386001,1.0,-13812.0,0.003521,0.0,0.0035,close_grid_long
24,16675,DOGE,0.0,-0.00967089,1003.4535739486,0.0,1003.4535739486,1.0,13935.0,0.00347,13935.0,0.00347,entry_initial_normal_long
25,16676,DOGE,0.2787000000000007,-0.00972663,1003.7225473186,0.0,1003.7225473186,1.0,-13935.0,0.00349,0.0,0.00347,close_grid_long
26,16695,DOGE,0.0,-0.009673468000000001,1003.7128738506001,0.0,1003.7128738506001,1.0,13979.0,0.00346,13979.0,0.00346,entry_initial_normal_long
27,16696,DOGE,0.2795800000000007,-0.009729384,1003.9827244666001,0.0,1003.9827244666001,1.0,-13979.0,0.00348,0.0,0.00346,close_grid_long
28,16710,DOGE,0.0,-0.009675870000000001,1003.9730485966,0.0,1003.9730485966,1.0,14023.0,0.00345,14023.0,0.00345,entry_initial_normal_long
