,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2447,ETH,0.0,-0.014189940000000002,999.98581006,0.0,999.98581006,1.0,0.558,127.15,0.558,127.15,entry_initial_normal_long
1,2449,ETH,0.21203999999999748,-0.014232348000000002,1000.183617712,0.0,1000.183617712,1.0,-0.558,127.53,0.0,127.15,close_trailing_long
2,2463,ETH,0.0,-0.014202864000000003,1000.169414848,0.0,1000.169414848,1.0,0.562,126.36,0.562,126.36,entry_initial_normal_long
3,2481,ETH,0.22480000000000322,-0.014247824000000003,1000.3799670239999,0.0,1000.3799670239999,1.0,-0.562,126.76,0.0,126.36,close_trailing_long
4,7053,ETH,0.0,-0.014191480000000003,1000.3657755439999,0.0,1000.3657755439999,1.0,0.526,134.9,0.526,134.9,entry_initial_normal_long
5,7056,ETH,0.4628799999999976,-0.014284056000000002,1000.8143714879999,0.0,1000.8143714879999,1.0,-0.526,135.78,0.0,134.9,close_trailing_long
6,8035,ETH,0.0,-0.014204696000000003,1000.8001667919999,0.0,1000.8001667919999,1.0,0.508,139.81,0.508,139.81,entry_initial_normal_long
7,8037,ETH,0.09651999999999884,-0.014224000000000002,1000.882462792,0.0,1000.882462792,1.0,-0.508,140.0,0.0,139.81,close_trailing_long
8,11084,ETH,0.0,-0.014218268000000001,1000.8682445239999,0.0,1000.8682445239999,1.0,0.514,138.31,0.514,138.31,entry_initial_normal_long
9,11090,ETH,0.24671999999999475,-0.014267612,1001.1006969119999,0.0,1001.1006969119999,1.0,-0.514,138.79,0.0,138.31,close_trailing_long
10,15714,ETH,0.0,-0.014219296000000001,1001.0864776159999,0.0,1001.0864776159999,1.0,0.494,143.92,0.494,143.92,entry_initial_normal_long
11,15718,ETH,0.10867999999999944,-0.014241031999999999,1001.1809165839999,0.0,1001.1809165839999,1.0,-0.494,144.14,0.0,143.92,close_trailing_long
12,15720,ETH,0.0,-0.014205510000000001,1001.1667110739999,0.0,1001.1667110739999,1.0,0.495,143.49,0.495,143.49,entry_initial_normal_long
13,15723,ETH,-0.03465000000001069,-0.014198579999999999,1001.1178624939998,0.0,1001.1178624939998,1.0,-0.495,143.42,0.0,143.49,close_trailing_long
14,15724,ETH,0.0,-0.01420544,1001.1036570539999,0.0,1001.1036570539999,1.0,0.496,143.2,0.496,143.2,entry_initial_normal_long
15,15752,ETH,-0.004959999999995489,-0.014204448,1001.0844926059999,0.0,1001.0844926059999,1.0,-0.496,143.19,0.0,143.2,close_trailing_long
16,19985,ETH,0.0,-0.014194400000000003,1001.070298206,0.0,1001.070298206,1.0,0.44,161.3,0.44,161.3,entry_initial_normal_long
17,19987,ETH,0.0747999999999945,-0.01420936,1001.130888846,0.0,1001.130888846,1.0,-0.44,161.47,0.0,161.3,close_trailing_long
18,20405,ETH,0.0,-0.014196382,1001.1166924639999,0.0,1001.1166924639999,1.0,0.439,161.69,0.439,161.69,entry_initial_normal_long
19,20408,ETH,0.15804000000000598,-0.014227990000000001,1001.260504474,0.0,1001.260504474,1.0,-0.439,162.05,0.0,161.69,close_trailing_long
20,21010,ETH,0.0,-0.01422405,1001.2462804239999,0.0,1001.2462804239999,1.0,0.433,164.25,0.433,164.25,entry_initial_normal_long
21,21012,ETH,0.3204200000000039,-0.014288134000000001,1001.5524122899999,0.0,1001.5524122899999,1.0,-0.433,164.99,0.0,164.25,close_trailing_long
22,21102,ETH,0.0,-0.014219232,1001.5381930579999,0.0,1001.5381930579999,1.0,0.438,162.32,0.438,162.32,entry_initial_normal_long
23,21105,ETH,0.28032000000000645,-0.014275296000000002,1001.804237762,0.0,1001.804237762,1.0,-0.438,162.96,0.0,162.32,close_trailing_long
24,21123,ETH,0.0,-0.014219604000000002,1001.790018158,0.0,1001.790018158,1.0,0.441,161.22,0.441,161.22,entry_initial_normal_long
25,21125,ETH,0.11025,-0.014241654000000001,1001.8860265039999,0.0,1001.8860265039999,1.0,-0.441,161.47,0.0,161.22,close_trailing_long
26,21635,ETH,0.0,-0.014206624,1001.8718198799999,0.0,1001.8718198799999,1.0,0.436,162.92,0.436,162.92,entry_initial_normal_long
27,21639,ETH,0.15696000000000596,-0.014238016,1002.0145418639999,0.0,1002.0145418639999,1.0,-0.436,163.28,0.0,162.92,close_trailing_long
28,21681,ETH,0.0,-0.014223132,1002.0003187319999,0.0,1002.0003187319999,1.0,0.441,161.26,0.441,161.26,entry_initial_normal_long
29,21683,ETH,0.048510000000006014,-0.014232834,1002.0345958979999,0.0,1002.0345958979999,1.0,-0.441,161.37,0.0,161.26,close_trailing_long
30,21694,ETH,0.0,-0.014216756000000002,1002.0203791419999,0.0,1002.0203791419999,1.0,0.443,160.46,0.443,160.46,entry_initial_normal_long
31,21715,ETH,-0.03544000000000554,-0.014209668,1001.9707294739999,0.0,1001.9707294739999,1.0,-0.443,160.38,0.0,160.46,close_trailing_long
32,24227,ETH,0.0,-0.01421532,1001.9565141539999,0.0,1001.9565141539999,1.0,0.42,169.23,0.42,169.23,entry_initial_normal_long
33,24231,ETH,0.05040000000000191,-0.0142254,1001.9926887539999,0.0,1001.9926887539999,1.0,-0.42,169.35,0.0,169.23,close_trailing_long
34,24232,ETH,0.0,-0.014215486000000003,1001.9784732679999,0.0,1001.9784732679999,1.0,0.421,168.83,0.421,168.83,entry_initial_normal_long
35,24234,ETH,0.008419999999992342,-0.01421717,1001.9726760979999,0.0,1001.9726760979999,1.0,-0.421,168.85,0.0,168.83,close_trailing_long
36,24235,ETH,0.0,-0.014228152,1001.9584479459999,0.0,1001.9584479459999,1.0,0.422,168.58,0.422,168.58,entry_initial_normal_long
37,24238,ETH,0.18989999999999518,-0.014266131999999999,1002.1340818139998,0.0,1002.1340818139998,1.0,-0.422,169.03,0.0,168.58,close_trailing_long
38,24856,ETH,0.0,-0.014237653999999999,1002.1198441599998,0.0,1002.1198441599998,1.0,0.431,165.17,0.431,165.17,entry_initial_normal_long
39,24860,ETH,0.7068400000000064,-0.014379022000000002,1002.8123051379998,0.0,1002.8123051379998,1.0,-0.431,166.81,0.0,165.17,close_trailing_long
40,25470,ETH,0.0,-0.01423293,1002.7980722079998,0.0,1002.7980722079998,1.0,0.411,173.15,0.411,173.15,entry_initial_normal_long
41,25474,ETH,0.34112999999999344,-0.014301155999999999,1003.1249010519998,0.0,1003.1249010519998,1.0,-0.411,173.98,0.0,173.15,close_trailing_long
42,26581,ETH,0.0,-0.014221416,1003.1106796359998,0.0,1003.1106796359998,1.0,0.412,172.59,0.412,172.59,entry_initial_normal_long
43,26582,ETH,0.0,-0.014070160000000002,1003.0966094759998,0.0,1003.0966094759998,1.0,0.415,169.52,0.827,171.0494316807739,entry_grid_normal_long
44,26583,ETH,0.0,-0.028009056,1003.0686004199998,0.0,1003.0686004199998,1.0,0.834,167.92,1.661,169.47812161348583,entry_grid_normal_long
45,26583,ETH,0.0,-0.055677000000000004,1003.0129234199999,0.0,1003.0129234199999,1.0,1.675,166.2,3.336,167.83218225419662,entry_grid_normal_long
46,26598,ETH,-0.30751999999990787,-0.111916128,1002.593487292,0.0,1002.593487292,1.0,-3.336,167.74,0.0,167.83218225419662,close_trailing_long
47,26599,ETH,0.0,-0.014237071999999998,1002.57925022,0.0,1002.57925022,1.0,0.424,167.89,0.424,167.89,entry_initial_normal_long
48,26604,ETH,-0.0381599999999894,-0.01422944,1002.52686078,0.0,1002.52686078,1.0,-0.424,167.8,0.0,167.89,close_trailing_long
49,26605,ETH,0.0,-0.0142273,1002.51263348,0.0,1002.51263348,1.0,0.425,167.38,0.425,167.38,entry_initial_normal_long
50,26635,ETH,-0.03825000000000145,-0.014219649999999999,1002.4601638299999,0.0,1002.4601638299999,1.0,-0.425,167.29,0.0,167.38,close_trailing_long
51,26641,ETH,0.0,-0.014239378,1002.445924452,0.0,1002.445924452,1.0,0.431,165.19,0.431,165.19,entry_initial_normal_long
52,26643,ETH,0.02586000000000098,-0.014244550000000002,1002.457539902,0.0,1002.457539902,1.0,-0.431,165.25,0.0,165.19,close_trailing_long
53,26665,ETH,0.0,-0.014242770000000002,1002.443297132,0.0,1002.443297132,1.0,0.435,163.71,0.435,163.71,entry_initial_normal_long
54,26667,ETH,0.01739999999999654,-0.014246250000000002,1002.446450882,0.0,1002.446450882,1.0,-0.435,163.75,0.0,163.71,close_trailing_long
55,32767,ETH,0.0,-0.014215080000000001,1002.432235802,0.0,1002.432235802,1.0,0.445,159.72,0.445,159.72,entry_initial_normal_long
56,32769,ETH,0.27590000000000203,-0.014270260000000003,1002.693865542,0.0,1002.693865542,1.0,-0.445,160.34,0.0,159.72,close_trailing_long
57,33295,ETH,0.0,-0.0142326,1002.679632942,0.0,1002.679632942,1.0,0.45,158.14,0.45,158.14,entry_initial_normal_long
58,33298,ETH,0.27450000000000613,-0.0142875,1002.939845442,0.0,1002.939845442,1.0,-0.45,158.75,0.0,158.14,close_trailing_long
59,41774,ETH,0.0,-0.014217588000000001,1002.925627854,0.0,1002.925627854,1.0,0.414,171.71,0.414,171.71,entry_initial_normal_long
60,41785,ETH,0.2732399999999986,-0.014272236000000002,1003.184595618,0.0,1003.184595618,1.0,-0.414,172.37,0.0,171.71,close_trailing_long
61,43961,ETH,0.0,-0.014224272000000003,1003.170371346,0.0,1003.170371346,1.0,0.401,177.36,0.401,177.36,entry_initial_normal_long
62,43966,ETH,0.11628999999999681,-0.014247530000000001,1003.272413816,0.0,1003.272413816,1.0,-0.401,177.65,0.0,177.36,close_trailing_long
63,47641,ETH,0.0,-0.014224080000000002,1003.2581897360001,0.0,1003.2581897360001,1.0,0.376,189.15,0.376,189.15,entry_initial_normal_long
64,47645,ETH,0.35719999999999574,-0.014295519999999999,1003.6010942160001,0.0,1003.6010942160001,1.0,-0.376,190.1,0.0,189.15,close_trailing_long
65,52667,ETH,0.0,-0.014231152000000004,1003.5868630640001,0.0,1003.5868630640001,1.0,0.338,210.52,0.338,210.52,entry_initial_normal_long
