,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,7636,ETH,0.0,-0.0332777,999.9667223,0.0,999.9667223,1.0,0.43,386.95,0.43,386.95,entry_initial_normal_long
1,7646,ETH,0.38700000000001467,-0.0333551,1000.3203672000001,0.0,1000.3203672000001,1.0,-0.43,387.85,0.0,386.95,close_trailing_long
2,17223,ETH,0.0,-0.03347034,1000.2868968600001,0.0,1000.2868968600001,1.0,0.43,389.19,0.43,389.19,entry_initial_normal_long
3,17226,ETH,1.0792999999999962,-0.0336862,1001.33251066,0.0,1001.33251066,1.0,-0.43,391.7,0.0,389.19,close_trailing_long
4,17233,ETH,0.0,-0.0333723,1001.29913836,0.0,1001.29913836,1.0,0.43,388.05,0.43,388.05,entry_initial_normal_long
5,17474,ETH,0.0,-0.0449875,1001.25415086,0.0,1001.25415086,1.0,0.59,381.25,1.02,384.1166666666667,entry_grid_normal_long
6,17660,ETH,2.073999999999969,-0.0787746,1003.24937626,0.0,1003.24937626,1.0,-1.02,386.15,0.0,384.1166666666667,close_trailing_long
7,18369,ETH,0.0,-0.033389100000000005,1003.2159871599999,0.0,1003.2159871599999,1.0,0.45,370.99,0.45,370.99,entry_initial_normal_long
8,18386,ETH,1.152000000000001,-0.033619500000000004,1004.33436766,0.0,1004.33436766,1.0,-0.45,373.55,0.0,370.99,close_trailing_long
9,24809,ETH,0.0,-0.03317198,1004.30119568,0.0,1004.30119568,1.0,0.37,448.27,0.37,448.27,entry_initial_normal_long
10,24811,ETH,0.47360000000001096,-0.0332667,1004.74152898,0.0,1004.74152898,1.0,-0.37,449.55,0.0,448.27,close_trailing_long
11,24812,ETH,0.0,-0.03313646,1004.70839252,0.0,1004.70839252,1.0,0.37,447.79,0.37,447.79,entry_initial_normal_long
12,24817,ETH,0.16279999999999917,-0.03316902,1004.8380235,0.0,1004.8380235,1.0,-0.37,448.23,0.0,447.79,close_trailing_long
13,24830,ETH,0.0,-0.03381924,1004.80420426,0.0,1004.80420426,1.0,0.38,444.99,0.38,444.99,entry_initial_normal_long
14,24846,ETH,0.16719999999999913,-0.03385268,1004.93755158,0.0,1004.93755158,1.0,-0.38,445.43,0.0,444.99,close_trailing_long
15,25044,ETH,0.0,-0.03312384,1004.90442774,0.0,1004.90442774,1.0,0.38,435.84,0.38,435.84,entry_initial_normal_long
