,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2418,FARTCOIN,0.0,-0.04763648,999.95236352,0.0,999.95236352,1.0,256.0,0.9304,256.0,0.9304,entry_initial_normal_long
1,2496,FARTCOIN,1.1519999999999868,-0.04786688,1001.05649664,0.0,1001.05649664,1.0,-256.0,0.9349,0.0,0.9304,close_grid_long
2,2541,FARTCOIN,0.0,-0.047692519999999995,1001.0088041199999,0.0,1001.0088041199999,1.0,260.9,0.914,260.9,0.914,entry_initial_normal_long
3,2556,FARTCOIN,1.1479599999999894,-0.047922111999999996,1002.1088420079999,0.0,1002.1088420079999,1.0,-260.9,0.9184,0.0,0.914,close_grid_long
4,2564,FARTCOIN,0.0,-0.04774164,1002.0611003679999,0.0,1002.0611003679999,1.0,262.0,0.9111,262.0,0.9111,entry_initial_normal_long
5,2590,FARTCOIN,1.1527999999999894,-0.0479722,1003.1659281679998,0.0,1003.1659281679998,1.0,-262.0,0.9155,0.0,0.9111,close_grid_long
6,4234,FARTCOIN,0.0,-0.04778150400000001,1003.1181466639998,0.0,1003.1181466639998,1.0,188.8,1.2654,188.8,1.2654,entry_initial_normal_long
7,4235,FARTCOIN,1.151679999999999,-0.04801184000000001,1004.2218148239998,0.0,1004.2218148239998,1.0,-188.8,1.2715,0.0,1.2654,close_grid_long
8,4236,FARTCOIN,0.0,-0.047846082,1004.1739687419998,0.0,1004.1739687419998,1.0,189.1,1.2651,189.1,1.2651,entry_initial_normal_long
9,4237,FARTCOIN,1.153510000000041,-0.048076784000000004,1005.2794019579999,0.0,1005.2794019579999,1.0,-189.1,1.2712,0.0,1.2651,close_grid_long
10,7522,FARTCOIN,0.0,-0.047895108000000006,1005.2315068499998,0.0,1005.2315068499998,1.0,178.9,1.3386,178.9,1.3386,entry_initial_normal_long
11,7523,FARTCOIN,1.162849999999991,-0.048127678,1006.3462291719999,0.0,1006.3462291719999,1.0,-178.9,1.3451,0.0,1.3386,close_grid_long
12,7524,FARTCOIN,0.0,-0.047937906,1006.2982912659999,0.0,1006.2982912659999,1.0,179.1,1.3383,179.1,1.3383,entry_initial_normal_long
13,7528,FARTCOIN,1.1641499999999911,-0.048170736,1007.4142705299998,0.0,1007.4142705299998,1.0,-179.1,1.3448,0.0,1.3383,close_grid_long
14,9353,FARTCOIN,0.0,-0.047994012,1007.3662765179998,0.0,1007.3662765179998,1.0,191.7,1.2518,191.7,1.2518,entry_initial_normal_long
15,9403,FARTCOIN,1.150200000000001,-0.048224052,1008.4682524659999,0.0,1008.4682524659999,1.0,-191.7,1.2578,0.0,1.2518,close_grid_long
16,9919,FARTCOIN,0.0,-0.04804999000000001,1008.4202024759999,0.0,1008.4202024759999,1.0,195.5,1.2289,195.5,1.2289,entry_initial_normal_long
17,9982,FARTCOIN,0.0,-0.1562564,1008.2639460759999,0.0,1008.2639460759999,1.0,691.4,1.13,886.9,1.151800597587101,entry_grid_normal_long
18,9991,FARTCOIN,6.917290000000028,-0.20568984799999998,1014.975546228,0.0,1014.975546228,1.0,-886.9,1.1596,0.0,1.151800597587101,close_grid_long
19,9992,FARTCOIN,0.0,-0.048340908,1014.92720532,0.0,1014.92720532,1.0,207.9,1.1626,207.9,1.1626,entry_initial_normal_long
20,9997,FARTCOIN,1.1642399999999642,-0.048573756,1016.0428715639999,0.0,1016.0428715639999,1.0,-207.9,1.1682,0.0,1.1626,close_grid_long
21,9998,FARTCOIN,0.0,-0.04840040400000001,1015.99447116,0.0,1015.99447116,1.0,207.3,1.1674,207.3,1.1674,entry_initial_normal_long
22,10006,FARTCOIN,1.181610000000008,-0.048636726000000005,1017.127444434,0.0,1017.127444434,1.0,-207.3,1.1731,0.0,1.1674,close_grid_long
23,10007,FARTCOIN,0.0,-0.04844532000000001,1017.078999114,0.0,1017.078999114,1.0,205.8,1.177,205.8,1.177,entry_initial_normal_long
24,10014,FARTCOIN,1.173060000000008,-0.04867993200000001,1018.203379182,0.0,1018.203379182,1.0,-205.8,1.1827,0.0,1.177,close_grid_long
25,10015,FARTCOIN,0.0,-0.048498900000000005,1018.154880282,0.0,1018.154880282,1.0,205.0,1.1829,205.0,1.1829,entry_initial_normal_long
26,10085,FARTCOIN,1.1685000000000079,-0.04873260000000001,1019.274647682,0.0,1019.274647682,1.0,-205.0,1.1886,0.0,1.1829,close_grid_long
27,10096,FARTCOIN,0.0,-0.048562632,1019.22608505,0.0,1019.22608505,1.0,205.2,1.1833,205.2,1.1833,entry_initial_normal_long
28,10108,FARTCOIN,1.1696400000000078,-0.04879656,1020.3469284900001,0.0,1020.3469284900001,1.0,-205.2,1.189,0.0,1.1833,close_grid_long
29,10121,FARTCOIN,0.0,-0.048614868000000006,1020.2983136220001,0.0,1020.2983136220001,1.0,206.1,1.1794,206.1,1.1794,entry_initial_normal_long
30,10128,FARTCOIN,1.1747700000000079,-0.048849822,1021.4242338000001,0.0,1021.4242338000001,1.0,-206.1,1.1851,0.0,1.1794,close_grid_long
31,10136,FARTCOIN,0.0,-0.048661314000000004,1021.3755724860001,0.0,1021.3755724860001,1.0,206.7,1.1771,206.7,1.1771,entry_initial_normal_long
32,10164,FARTCOIN,1.1781900000000078,-0.048896952,1022.5048655340001,0.0,1022.5048655340001,1.0,-206.7,1.1828,0.0,1.1771,close_grid_long
33,10173,FARTCOIN,0.0,-0.04871776,1022.4561477740001,0.0,1022.4561477740001,1.0,208.0,1.1711,208.0,1.1711,entry_initial_normal_long
34,10196,FARTCOIN,1.185600000000008,-0.048954880000000006,1023.5927928940001,0.0,1023.5927928940001,1.0,-208.0,1.1768,0.0,1.1711,close_grid_long
35,10257,FARTCOIN,0.0,-0.048760158000000005,1023.5440327360001,0.0,1023.5440327360001,1.0,210.3,1.1593,210.3,1.1593,entry_initial_normal_long
36,10387,FARTCOIN,1.1776800000000105,-0.048995694000000006,1024.6727170420002,0.0,1024.6727170420002,1.0,-210.3,1.1649,0.0,1.1593,close_grid_long
37,10987,FARTCOIN,0.0,-0.048812544,1024.6239044980002,0.0,1024.6239044980002,1.0,211.2,1.1556,211.2,1.1556,entry_initial_normal_long
38,10988,FARTCOIN,3.104639999999986,-0.049433472,1027.6791110260003,0.0,1027.6791110260003,1.0,-211.2,1.1703,0.0,1.1556,close_grid_long
39,10989,FARTCOIN,0.0,-0.04896161400000001,1027.6301494120003,0.0,1027.6301494120003,1.0,211.9,1.1553,211.9,1.1553,entry_initial_normal_long
40,10990,FARTCOIN,2.945410000000005,-0.049550696,1030.5260087160002,0.0,1030.5260087160002,1.0,-211.9,1.1692,0.0,1.1553,close_grid_long
41,10995,FARTCOIN,0.0,-0.049093592000000005,1030.4769151240002,0.0,1030.4769151240002,1.0,212.6,1.1546,212.6,1.1546,entry_initial_normal_long
42,10996,FARTCOIN,1.1905599999999632,-0.049331704,1031.6181434200003,0.0,1031.6181434200003,1.0,-212.6,1.1602,0.0,1.1546,close_grid_long
43,11022,FARTCOIN,0.0,-0.04914602,1031.5689974000002,0.0,1031.5689974000002,1.0,213.4,1.1515,213.4,1.1515,entry_initial_normal_long
44,11023,FARTCOIN,1.1950400000000105,-0.049385028000000004,1032.7146523720003,0.0,1032.7146523720003,1.0,-213.4,1.1571,0.0,1.1515,close_grid_long
45,11025,FARTCOIN,0.0,-0.04919374,1032.6654586320003,0.0,1032.6654586320003,1.0,213.7,1.151,213.7,1.151,entry_initial_normal_long
46,11026,FARTCOIN,2.051520000000011,-0.049604044,1034.6673745880003,0.0,1034.6673745880003,1.0,-213.7,1.1606,0.0,1.151,close_grid_long
47,11027,FARTCOIN,0.0,-0.049277256000000005,1034.6180973320002,0.0,1034.6180973320002,1.0,214.1,1.1508,214.1,1.1508,entry_initial_normal_long
48,11029,FARTCOIN,1.1989600000000105,-0.04951704800000001,1035.7675402840002,0.0,1035.7675402840002,1.0,-214.1,1.1564,0.0,1.1508,close_grid_long
49,11033,FARTCOIN,0.0,-0.04933071,1035.7182095740002,0.0,1035.7182095740002,1.0,214.5,1.1499,214.5,1.1499,entry_initial_normal_long
50,11034,FARTCOIN,1.179750000000013,-0.049566660000000005,1036.8483929140002,0.0,1036.8483929140002,1.0,-214.5,1.1554,0.0,1.1499,close_grid_long
51,11040,FARTCOIN,0.0,-0.04937972200000001,1036.7990131920003,0.0,1036.7990131920003,1.0,214.9,1.1489,214.9,1.1489,entry_initial_normal_long
52,11041,FARTCOIN,1.181950000000013,-0.049616112000000004,1037.9313470800003,0.0,1037.9313470800003,1.0,-214.9,1.1544,0.0,1.1489,close_grid_long
53,11365,FARTCOIN,0.0,-0.049434546,1037.8819125340003,0.0,1037.8819125340003,1.0,218.1,1.1333,218.1,1.1333,entry_initial_normal_long
54,11747,FARTCOIN,0.0,-0.160775188,1037.7211373460004,0.0,1037.7211373460004,1.0,771.4,1.0421,989.5,1.0622017887822133,entry_grid_normal_long
55,12018,FARTCOIN,7.122629999999872,-0.21163426000000002,1044.6321330860003,0.0,1044.6321330860003,1.0,-989.5,1.0694,0.0,1.0622017887822133,close_grid_long
56,12257,FARTCOIN,0.0,-0.049766464,1044.5823666220003,0.0,1044.5823666220003,1.0,245.3,1.0144,245.3,1.0144,entry_initial_normal_long
57,12261,FARTCOIN,1.201970000000031,-0.05000685800000001,1045.7343297640004,0.0,1045.7343297640004,1.0,-245.3,1.0193,0.0,1.0144,close_grid_long
58,12271,FARTCOIN,0.0,-0.04981992,1045.6845098440006,0.0,1045.6845098440006,1.0,246.0,1.0126,246.0,1.0126,entry_initial_normal_long
59,12311,FARTCOIN,1.2054000000000311,-0.050061,1046.8398488440007,0.0,1046.8398488440007,1.0,-246.0,1.0175,0.0,1.0126,close_grid_long
60,12516,FARTCOIN,0.0,-0.049863144000000005,1046.7899857000007,0.0,1046.7899857000007,1.0,245.1,1.0172,245.1,1.0172,entry_initial_normal_long
61,12517,FARTCOIN,1.2009899999999765,-0.050103342,1047.9408723580007,0.0,1047.9408723580007,1.0,-245.1,1.0221,0.0,1.0172,close_grid_long
62,12520,FARTCOIN,0.0,-0.049919969999999994,1047.8909523880006,0.0,1047.8909523880006,1.0,245.5,1.0167,245.5,1.0167,entry_initial_normal_long
63,12521,FARTCOIN,1.202950000000031,-0.05016056000000001,1049.0437418280007,0.0,1049.0437418280007,1.0,-245.5,1.0216,0.0,1.0167,close_grid_long
64,12522,FARTCOIN,0.0,-0.04996268400000001,1048.9937791440007,0.0,1048.9937791440007,1.0,246.9,1.0118,246.9,1.0118,entry_initial_normal_long
65,12559,FARTCOIN,1.2098099999999765,-0.050204646,1050.1533844980006,0.0,1050.1533844980006,1.0,-246.9,1.0167,0.0,1.0118,close_grid_long
66,12560,FARTCOIN,0.0,-0.05001755200000001,1050.1033669460005,0.0,1050.1033669460005,1.0,248.3,1.0072,248.3,1.0072,entry_initial_normal_long
67,12571,FARTCOIN,1.2166699999999764,-0.050260886000000005,1051.2697760600006,0.0,1051.2697760600006,1.0,-248.3,1.0121,0.0,1.0072,close_grid_long
68,13149,FARTCOIN,0.0,-0.050080058,1051.2196960020005,0.0,1051.2196960020005,1.0,240.1,1.0429,240.1,1.0429,entry_initial_normal_long
69,13156,FARTCOIN,1.2005000000000277,-0.050320158000000004,1052.3698758440005,0.0,1052.3698758440005,1.0,-240.1,1.0479,0.0,1.0429,close_grid_long
70,13157,FARTCOIN,0.0,-0.05012318,1052.3197526640006,0.0,1052.3197526640006,1.0,241.0,1.0399,241.0,1.0399,entry_initial_normal_long
71,13209,FARTCOIN,0.0,-0.162993852,1052.1567588120006,0.0,1052.1567588120006,1.0,852.3,0.9562,1093.3,0.9746502881185404,entry_grid_normal_long
72,13315,FARTCOIN,0.0,-1.33813701,1050.8186218020005,0.0,1050.8186218020005,1.0,7486.5,0.8937,8579.8,0.9040152695867038,entry_grid_inflated_long
73,13334,FARTCOIN,1.061443506958153,-0.08068772800000001,1051.7993775809587,0.0,1051.7993775809587,1.0,-445.1,0.9064,8134.7,0.9040152695867038,close_trailing_long
74,13337,FARTCOIN,59.06087379041453,-0.5461394400000001,1110.3141119313732,0.0,1110.3141119313732,1.0,-2955.3,0.924,5179.4,0.9040152695867038,close_grid_long
