,balance,equity,balance_btc,equity_btc
0,999.89974908,1000.0,0.0,0.0
60,999.89974908,1000.0,0.0,0.0
120,999.89974908,1000.0,0.0,0.0
180,999.89974908,1000.0,0.0,0.0
240,999.89974908,1000.0,0.0,0.0
300,999.89974908,1000.0,0.0,0.0
360,999.89974908,1000.0,0.0,0.0
420,999.89974908,1000.0,0.0,0.0
480,999.89974908,1000.0,0.0,0.0
540,999.89974908,1000.0,0.0,0.0
600,999.89974908,1000.0,0.0,0.0
660,999.89974908,1000.0,0.0,0.0
720,999.89974908,1000.0,0.0,0.0
780,999.89974908,1000.0,0.0,0.0
840,999.89974908,1000.0,0.0,0.0
900,999.89974908,1000.0,0.0,0.0
960,999.89974908,1000.0,0.0,0.0
1020,999.89974908,1000.0,0.0,0.0
1080,999.89974908,1000.0,0.0,0.0
1140,999.89974908,1000.0,0.0,0.0
1200,999.89974908,1000.0,0.0,0.0
1260,999.89974908,1000.0,0.0,0.0
1320,999.89974908,1000.0,0.0,0.0
1380,999.89974908,1000.0,0.0,0.0
1440,999.89974908,1000.0,0.0,0.0
1500,999.89974908,1000.0,0.0,0.0
1560,999.89974908,1000.0,0.0,0.0
1620,999.89974908,1000.0,0.0,0.0
1680,999.89974908,1000.0,0.0,0.0
1740,999.89974908,1000.0,0.0,0.0
1800,999.89974908,1000.0,0.0,0.0
1860,999.89974908,1000.0,0.0,0.0
1920,999.89974908,1000.0,0.0,0.0
1980,999.89974908,1000.0,0.0,0.0
2040,999.89974908,1000.0,0.0,0.0
2100,999.89974908,1000.0,0.0,0.0
2160,999.89974908,1000.0,0.0,0.0
2220,999.89974908,1000.0,0.0,0.0
2280,999.89974908,1000.0,0.0,0.0
2340,999.89974908,1000.0,0.0,0.0
2400,999.89974908,1000.0,0.0,0.0
2460,1002.2200139600001,989.40874908,0.0,-10.49099999999998
2520,1004.3334350000001,1002.2200139600001,0.0,0.0
2580,1006.6610313200001,1003.5054350000001,0.0,-0.8279999999999701
2640,1006.6610313200001,1006.6610313200001,0.0,0.0
2700,1006.6610313200001,1006.6610313200001,0.0,0.0
2760,1006.6610313200001,1006.6610313200001,0.0,0.0
2820,1006.6610313200001,1006.6610313200001,0.0,0.0
