,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2418,FARTCOIN,0.0,-0.11273570000000001,999.8872643,0.0,999.8872643,1.0,605.0,0.9317,605.0,0.9317,entry_initial_normal_long
1,2495,FARTCOIN,2.722500000000036,-0.11328020000000003,1002.4964841,0.0,1002.4964841,1.0,-605.0,0.9362,0.0,0.9317,close_grid_long
2,2541,FARTCOIN,0.0,-0.11311872000000002,1002.38336538,0.0,1002.38336538,1.0,618.0,0.9152,618.0,0.9152,entry_initial_normal_long
3,2556,FARTCOIN,2.719199999999975,-0.11366256000000001,1004.9889028199999,0.0,1004.9889028199999,1.0,-618.0,0.9196,0.0,0.9152,close_grid_long
4,2564,FARTCOIN,0.0,-0.11330766000000002,1004.8755951599999,0.0,1004.8755951599999,1.0,621.0,0.9123,621.0,0.9123,entry_initial_normal_long
5,2590,FARTCOIN,2.732399999999975,-0.11385413999999999,1007.4941410199998,0.0,1007.4941410199998,1.0,-621.0,0.9167,0.0,0.9123,close_grid_long
6,4234,FARTCOIN,0.0,-0.11376762,1007.3803733999998,0.0,1007.3803733999998,1.0,449.0,1.2669,449.0,1.2669,entry_initial_normal_long
7,4235,FARTCOIN,2.7837999999999923,-0.11432438,1010.0498490199998,0.0,1010.0498490199998,1.0,-449.0,1.2731,0.0,1.2669,close_grid_long
8,4236,FARTCOIN,0.0,-0.11399400000000001,1009.9358550199997,0.0,1009.9358550199997,1.0,450.0,1.2666,450.0,1.2666,entry_initial_normal_long
9,4237,FARTCOIN,2.7449999999999974,-0.11454299999999999,1012.5663120199997,0.0,1012.5663120199997,1.0,-450.0,1.2727,0.0,1.2666,close_grid_long
10,7522,FARTCOIN,0.0,-0.11415948000000001,1012.4521525399997,0.0,1012.4521525399997,1.0,426.0,1.3399,426.0,1.3399,entry_initial_normal_long
11,7523,FARTCOIN,2.768999999999979,-0.11471328000000001,1015.1064392599997,0.0,1015.1064392599997,1.0,-426.0,1.3464,0.0,1.3399,close_grid_long
12,7524,FARTCOIN,0.0,-0.11440184,1014.9920374199996,0.0,1014.9920374199996,1.0,427.0,1.3396,427.0,1.3396,entry_initial_normal_long
