,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,70,FARTCOIN,0.0,-0.050888640000000006,999.94911136,0.0,999.94911136,1.0,292.8,0.869,292.8,0.869,entry_initial_normal_long
1,816,FARTCOIN,5.0068800000000016,-0.051890016000000004,1004.904101344,0.0,1004.904101344,1.0,-292.8,0.8861,0.0,0.869,close_grid_long
2,1398,FARTCOIN,0.0,-0.05112716400000001,1004.8529741799999,0.0,1004.8529741799999,1.0,270.6,0.9447,270.6,0.9447,entry_initial_normal_long
3,1469,FARTCOIN,5.0331600000000165,-0.05213379600000001,1009.834000384,0.0,1009.834000384,1.0,-270.6,0.9633,0.0,0.9447,close_grid_long
4,1987,FARTCOIN,0.0,-0.051392544,1009.78260784,0.0,1009.78260784,1.0,260.4,0.9868,260.4,0.9868,entry_initial_normal_long
5,2118,FARTCOIN,5.051759999999993,-0.052402896,1014.7819649439999,0.0,1014.7819649439999,1.0,-260.4,1.0062,0.0,0.9868,close_grid_long
6,2229,FARTCOIN,0.0,-0.051637734000000005,1014.7303272099999,0.0,1014.7303272099999,1.0,263.7,0.9791,263.7,0.9791,entry_initial_normal_long
7,2721,FARTCOIN,5.063039999999998,-0.052650342,1019.7407168679999,0.0,1019.7407168679999,1.0,-263.7,0.9983,0.0,0.9791,close_grid_long
8,4020,FARTCOIN,0.0,-0.05189803800000001,1019.68881883,0.0,1019.68881883,1.0,199.9,1.2981,199.9,1.2981,entry_initial_normal_long
9,4032,FARTCOIN,5.077459999999974,-0.05291353000000001,1024.7133652999999,0.0,1024.7133652999999,1.0,-199.9,1.3235,0.0,1.2981,close_grid_long
10,4197,FARTCOIN,0.0,-0.052137444,1024.6612278559999,0.0,1024.6612278559999,1.0,197.7,1.3186,197.7,1.3186,entry_initial_normal_long
11,4201,FARTCOIN,5.100660000000008,-0.053157576,1029.7087302799998,0.0,1029.7087302799998,1.0,-197.7,1.3444,0.0,1.3186,close_grid_long
12,4210,FARTCOIN,0.0,-0.05239719,1029.6563330899999,0.0,1029.6563330899999,1.0,198.7,1.3185,198.7,1.3185,entry_initial_normal_long
