,balance,equity,balance_btc,equity_btc
0,999.9319573,1000.0,0.0,0.0
60,999.9319573,1000.0,0.0,0.0
120,999.9319573,997.5046573000001,0.0,-2.4272999999999936
180,999.9319573,994.9599073,0.0,-4.972050000000017
240,999.9319573,996.6042073,0.0,-3.3277499999999813
300,999.9319573,998.7183073,0.0,-1.2136499999999968
360,999.9319573,991.0840573,0.0,-8.847899999999981
420,999.9319573,990.9274573,0.0,-9.004500000000007
480,999.9319573,987.7171573,0.0,-12.214800000000002
540,999.9319573,990.2619073000001,0.0,-9.670049999999978
600,999.9319573,987.2865073,0.0,-12.645449999999999
660,999.9319573,986.3077573,0.0,-13.624199999999977
720,999.9319573,980.6310073,0.0,-19.300950000000004
780,1006.55722567,987.9129073,0.0,-12.01904999999998
840,1006.55722567,1006.55722567,0.0,0.0
900,1006.55722567,1006.55722567,0.0,0.0
960,1006.55722567,1006.55722567,0.0,0.0
1020,1006.55722567,1006.55722567,0.0,0.0
1080,1006.55722567,1006.55722567,0.0,0.0
1140,1006.55722567,1006.55722567,0.0,0.0
1200,1006.55722567,1006.55722567,0.0,0.0
1260,1006.55722567,1006.55722567,0.0,0.0
1320,1006.55722567,1006.55722567,0.0,0.0
1380,1006.48873492,1006.55722567,0.0,0.0
1440,1013.1613956699999,1004.8574849199999,0.0,-1.6312499999999814
1500,1013.1613956699999,1013.1613956699999,0.0,0.0
1560,1013.1613956699999,1013.1613956699999,0.0,0.0
1620,1013.1613956699999,1013.1613956699999,0.0,0.0
1680,1013.1613956699999,1013.1613956699999,0.0,0.0
1740,1013.1613956699999,1013.1613956699999,0.0,0.0
1800,1013.1613956699999,1013.1613956699999,0.0,0.0
1860,1013.1613956699999,1013.1613956699999,0.0,0.0
1920,1013.1613956699999,1013.1613956699999,0.0,0.0
1980,1013.0924578219999,1013.1613956699999,0.0,0.0
2040,1013.0924578219999,1012.0794878219999,0.0,-1.0129700000000048
2100,1019.7985846899999,1009.7391778219999,0.0,-3.3532800000000185
2160,1019.7985846899999,1019.7985846899999,0.0,0.0
2220,1019.7291860819998,1019.7985846899999,0.0,0.0
2280,1019.7291860819998,1010.0540660819998,0.0,-9.675119999999996
2340,1019.7291860819998,1015.6181460819998,0.0,-4.11103999999998
2400,1019.7291860819998,1009.6996660819998,0.0,-10.029519999999996
2460,1019.7291860819998,995.9489460819999,0.0,-23.780239999999978
2520,1019.7291860819998,1001.1231860819998,0.0,-18.605999999999995
2580,1019.7291860819998,995.0983860819998,0.0,-24.6308
2640,1019.7291860819998,1008.1403060819998,0.0,-11.588879999999982
2700,1026.4629065779998,1018.2407060819999,0.0,-1.4884799999999934
2760,1026.4629065779998,1026.4629065779998,0.0,0.0
2820,1026.4629065779998,1026.4629065779998,0.0,0.0
2880,1026.4629065779998,1026.4629065779998,0.0,0.0
2940,1026.4629065779998,1026.4629065779998,0.0,0.0
3000,1026.4629065779998,1026.4629065779998,0.0,0.0
3060,1026.4629065779998,1026.4629065779998,0.0,0.0
3120,1026.4629065779998,1026.4629065779998,0.0,0.0
3180,1026.4629065779998,1026.4629065779998,0.0,0.0
3240,1026.4629065779998,1026.4629065779998,0.0,0.0
3300,1026.4629065779998,1026.4629065779998,0.0,0.0
3360,1026.4629065779998,1026.4629065779998,0.0,0.0
3420,1026.4629065779998,1026.4629065779998,0.0,0.0
3480,1026.4629065779998,1026.4629065779998,0.0,0.0
3540,1026.4629065779998,1026.4629065779998,0.0,0.0
3600,1026.4629065779998,1026.4629065779998,0.0,0.0
3660,1026.4629065779998,1026.4629065779998,0.0,0.0
3720,1026.4629065779998,1026.4629065779998,0.0,0.0
3780,1026.4629065779998,1026.4629065779998,0.0,0.0
3840,1026.4629065779998,1026.4629065779998,0.0,0.0
3900,1026.4629065779998,1026.4629065779998,0.0,0.0
3960,1026.4629065779998,1026.4629065779998,0.0,0.0
4020,1033.1569520659996,1026.4737728359996,0.0,0.08072999999999111
4080,1033.1569520659996,1033.1569520659996,0.0,0.0
4140,1033.0866443139996,1033.1569520659996,0.0,0.0
4200,1039.8224638259996,1036.4191443139996,0.0,3.3324999999999885
4260,1046.6750218019997,1030.0795438259997,0.0,-9.742919999999998
