,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,83,FARTCOIN,0.0,-0.00609264,999.99390736,0.0,999.99390736,1.0,36.0,0.8462,36.0,0.8462,entry_initial_normal_long
1,96,FARTCOIN,0.16200000000000214,-0.00612504,1000.14978232,0.0,1000.14978232,1.0,-36.0,0.8507,0.0,0.8462,close_grid_long
2,522,FARTCOIN,0.0,-0.00614376,1000.14363856,0.0,1000.14363856,1.0,36.0,0.8533,36.0,0.8533,entry_initial_normal_long
3,524,FARTCOIN,0.16920000000000135,-0.0061776,1000.30666096,0.0,1000.30666096,1.0,-36.0,0.858,0.0,0.8533,close_grid_long
4,693,FARTCOIN,0.0,-0.006245680000000001,1000.30041528,0.0,1000.30041528,1.0,38.0,0.8218,38.0,0.8218,entry_initial_normal_long
5,701,FARTCOIN,0.16720000000000268,-0.006279120000000001,1000.4613361600001,0.0,1000.4613361600001,1.0,-38.0,0.8262,0.0,0.8218,close_grid_long
6,863,FARTCOIN,0.0,-0.006139800000000001,1000.4551963600001,0.0,1000.4551963600001,1.0,30.0,1.0233,30.0,1.0233,entry_initial_normal_long
7,864,FARTCOIN,0.16499999999999515,-0.0061728,1000.6140235600001,0.0,1000.6140235600001,1.0,-30.0,1.0288,0.0,1.0233,close_grid_long
8,890,FARTCOIN,0.0,-0.00616482,1000.6078587400001,0.0,1000.6078587400001,1.0,29.0,1.0629,29.0,1.0629,entry_initial_normal_long
9,895,FARTCOIN,0.1653000000000011,-0.00619788,1000.7669608600002,0.0,1000.7669608600002,1.0,-29.0,1.0686,0.0,1.0629,close_grid_long
10,909,FARTCOIN,0.0,-0.00607608,1000.7608847800002,0.0,1000.7608847800002,1.0,29.0,1.0476,29.0,1.0476,entry_initial_normal_long
11,910,FARTCOIN,0.16529999999999467,-0.00610914,1000.9200756400002,0.0,1000.9200756400002,1.0,-29.0,1.0533,0.0,1.0476,close_grid_long
12,923,FARTCOIN,0.0,-0.0062178,1000.9138578400002,0.0,1000.9138578400002,1.0,30.0,1.0363,30.0,1.0363,entry_initial_normal_long
13,924,FARTCOIN,0.18000000000000016,-0.0062538,1001.0876040400002,0.0,1001.0876040400002,1.0,-30.0,1.0423,0.0,1.0363,close_grid_long
14,1055,FARTCOIN,0.0,-0.006270680000000001,1001.0813333600003,0.0,1001.0813333600003,1.0,31.0,1.0114,31.0,1.0114,entry_initial_normal_long
15,1059,FARTCOIN,0.0,-0.0059574,1001.0753759600002,0.0,1001.0753759600002,1.0,30.0,0.9929,61.0,1.0023016393442623,entry_grid_normal_long
