,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,4035,FARTCOIN,0.0,-0.015701024,999.984298976,0.0,999.984298976,1.0,59.2,1.3261,59.2,1.3261,entry_initial_normal_long
1,4040,FARTCOIN,1.6576000000000015,-0.016032544000000003,1001.625866432,0.0,1001.625866432,1.0,-59.2,1.3541,0.0,1.3261,close_trailing_long
2,4042,FARTCOIN,0.0,-0.01571895,1001.610147482,0.0,1001.610147482,1.0,58.5,1.3435,58.5,1.3435,entry_initial_normal_long
3,4046,FARTCOIN,0.046800000000007835,-0.015728310000000002,1001.641219172,0.0,1001.641219172,1.0,-58.5,1.3443,0.0,1.3435,close_trailing_long
4,4048,FARTCOIN,0.0,-0.015736464,1001.6254827079999,0.0,1001.6254827079999,1.0,58.4,1.3473,58.4,1.3473,entry_initial_normal_long
5,4051,FARTCOIN,0.2336000000000002,-0.015783184000000002,1001.8432995239999,0.0,1001.8432995239999,1.0,-58.4,1.3513,0.0,1.3473,close_trailing_long
6,4052,FARTCOIN,0.0,-0.015743938000000002,1001.8275555859999,0.0,1001.8275555859999,1.0,58.1,1.3549,58.1,1.3549,entry_initial_normal_long
7,4062,FARTCOIN,0.784350000000004,-0.015900808000000002,1002.596004778,0.0,1002.596004778,1.0,-58.1,1.3684,0.0,1.3549,close_trailing_long
8,4065,FARTCOIN,0.0,-0.015755903999999998,1002.580248874,0.0,1002.580248874,1.0,57.6,1.3677,57.6,1.3677,entry_initial_normal_long
9,4079,FARTCOIN,0.12095999999999947,-0.015780096,1002.685428778,0.0,1002.685428778,1.0,-57.6,1.3698,0.0,1.3677,close_trailing_long
10,4080,FARTCOIN,0.0,-0.015757448,1002.6696713299999,0.0,1002.6696713299999,1.0,57.4,1.3726,57.4,1.3726,entry_initial_normal_long
11,4083,FARTCOIN,0.17793999999999313,-0.015793036,1002.831818294,0.0,1002.831818294,1.0,-57.4,1.3757,0.0,1.3726,close_trailing_long
12,4084,FARTCOIN,0.0,-0.015740186,1002.8160781079999,0.0,1002.8160781079999,1.0,57.1,1.3783,57.1,1.3783,entry_initial_normal_long
