,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,83,FARTCOIN,0.0,-0.028166880000000005,999.97183312,0.0,999.97183312,1.0,166.0,0.8484,166.0,0.8484,entry_initial_normal_long
1,97,FARTCOIN,0.033199999999996344,-0.028173520000000004,999.9768596,0.0,999.9768596,1.0,-166.0,0.8486,0.0,0.8484,close_trailing_long
2,312,FARTCOIN,0.0,-0.02826432,999.9485952800001,0.0,999.9485952800001,1.0,168.0,0.8412,168.0,0.8412,entry_initial_normal_long
3,325,FARTCOIN,0.5880000000000098,-0.028381920000000005,1000.5082133600001,0.0,1000.5082133600001,1.0,-168.0,0.8447,0.0,0.8412,close_trailing_long
4,693,FARTCOIN,0.0,-0.028221760000000002,1000.4799916000002,0.0,1000.4799916000002,1.0,172.0,0.8204,172.0,0.8204,entry_initial_normal_long
5,696,FARTCOIN,-0.08600000000000962,-0.02820456,1000.3657870400002,0.0,1000.3657870400002,1.0,-172.0,0.8199,0.0,0.8204,close_trailing_long
6,1398,FARTCOIN,0.0,-0.028266000000000003,1000.3375210400002,0.0,1000.3375210400002,1.0,150.0,0.9422,150.0,0.9422,entry_initial_normal_long
7,1401,FARTCOIN,0.014999999999998348,-0.028269000000000002,1000.3242520400001,0.0,1000.3242520400001,1.0,-150.0,0.9423,0.0,0.9422,close_trailing_long
8,2237,FARTCOIN,0.0,-0.028229880000000006,1000.2960221600001,0.0,1000.2960221600001,1.0,147.0,0.9602,147.0,0.9602,entry_initial_normal_long
9,2267,FARTCOIN,0.646799999999994,-0.02835924,1000.9144629200001,0.0,1000.9144629200001,1.0,-147.0,0.9646,0.0,0.9602,close_trailing_long
10,4197,FARTCOIN,0.0,-0.028239440000000005,1000.8862234800001,0.0,1000.8862234800001,1.0,107.0,1.3196,107.0,1.3196,entry_initial_normal_long
11,4200,FARTCOIN,0.674099999999997,-0.028374260000000005,1001.5319492200001,0.0,1001.5319492200001,1.0,-107.0,1.3259,0.0,1.3196,close_trailing_long
