,balance,equity,balance_btc,equity_btc
0,1000.71263836,1000.0,0.0,0.0
60,1001.4209826800001,1000.71263836,0.0,0.0
120,1001.4209826800001,1001.4209826800001,0.0,0.0
180,1001.4209826800001,1001.4209826800001,0.0,0.0
240,1001.4209826800001,1001.4209826800001,0.0,0.0
300,1002.13933724,1001.4209826800001,0.0,0.0
360,1002.13933724,1002.13933724,0.0,0.0
420,1002.13933724,1002.13933724,0.0,0.0
480,1002.13933724,1002.13933724,0.0,0.0
540,1002.13933724,1002.13933724,0.0,0.0
600,1002.13933724,1002.13933724,0.0,0.0
660,1002.8568052600001,1002.13933724,0.0,0.0
720,1002.8568052600001,1002.8568052600001,0.0,0.0
780,1002.8568052600001,1002.8568052600001,0.0,0.0
840,1002.8568052600001,1002.8568052600001,0.0,0.0
900,1004.51502854,1002.8568052600001,0.0,0.0
960,1005.2183655,1004.51502854,0.0,0.0
1020,1005.16313254,1005.2183655,0.0,0.0
1080,1004.9691570199999,1000.49953254,0.0,-4.663600000000001
1140,1014.1382644999998,1009.2613570199998,0.0,4.292199999999867
1200,1014.1382644999998,1014.1382644999998,0.0,0.0
1260,1014.1382644999998,1014.1382644999998,0.0,0.0
1320,1014.8609440199998,1014.1382644999998,0.0,0.0
1380,1015.5867130599999,1014.8609440199998,0.0,0.0
1440,1015.5867130599999,1015.5867130599999,0.0,0.0
1500,1015.5867130599999,1015.5867130599999,0.0,0.0
1560,1015.5867130599999,1015.5867130599999,0.0,0.0
1620,1015.5867130599999,1015.5867130599999,0.0,0.0
1680,1015.5867130599999,1015.5867130599999,0.0,0.0
1740,1015.5867130599999,1015.5867130599999,0.0,0.0
1800,1015.5867130599999,1015.5867130599999,0.0,0.0
1860,1015.5867130599999,1015.5867130599999,0.0,0.0
1920,1015.5867130599999,1015.5867130599999,0.0,0.0
1980,1015.5867130599999,1015.5867130599999,0.0,0.0
2040,1015.5867130599999,1015.5867130599999,0.0,0.0
2100,1015.5867130599999,1015.5867130599999,0.0,0.0
2160,1015.5867130599999,1015.5867130599999,0.0,0.0
2220,1015.5867130599999,1015.5867130599999,0.0,0.0
2280,1015.5867130599999,1015.5867130599999,0.0,0.0
2340,1015.5867130599999,1015.5867130599999,0.0,0.0
2400,1015.5867130599999,1015.5867130599999,0.0,0.0
2460,1015.5867130599999,1015.5867130599999,0.0,0.0
2520,1015.5867130599999,1015.5867130599999,0.0,0.0
2580,1015.5867130599999,1015.5867130599999,0.0,0.0
2640,1015.5867130599999,1015.5867130599999,0.0,0.0
2700,1015.5867130599999,1015.5867130599999,0.0,0.0
2760,1015.5867130599999,1015.5867130599999,0.0,0.0
2820,1015.5867130599999,1015.5867130599999,0.0,0.0
2880,1015.5867130599999,1015.5867130599999,0.0,0.0
2940,1015.5867130599999,1015.5867130599999,0.0,0.0
3000,1015.5867130599999,1015.5867130599999,0.0,0.0
3060,1015.5867130599999,1015.5867130599999,0.0,0.0
3120,1015.5867130599999,1015.5867130599999,0.0,0.0
3180,1015.5867130599999,1015.5867130599999,0.0,0.0
3240,1015.5867130599999,1015.5867130599999,0.0,0.0
3300,1015.5867130599999,1015.5867130599999,0.0,0.0
3360,1015.5867130599999,1015.5867130599999,0.0,0.0
3420,1015.5867130599999,1015.5867130599999,0.0,0.0
3480,1015.5867130599999,1015.5867130599999,0.0,0.0
3540,1017.9139679399999,1015.8611784399999,0.0,0.3006999999999884
3600,1017.9139679399999,1017.9139679399999,0.0,0.0
