,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,83,FARTCOIN,0.0,-0.02471196,999.97528804,0.0,999.97528804,1.0,146.0,0.8463,146.0,0.8463,entry_initial_normal_long
1,84,FARTCOIN,0.2189999999999921,-0.02475576,1000.16953228,0.0,1000.16953228,1.0,-146.0,0.8478,0.0,0.8463,close_grid_long
2,693,FARTCOIN,0.0,-0.024776080000000002,1000.1447562,0.0,1000.1447562,1.0,151.0,0.8204,151.0,0.8204,entry_initial_normal_long
3,694,FARTCOIN,0.1811999999999968,-0.024812320000000002,1000.3011438799999,0.0,1000.3011438799999,1.0,-151.0,0.8216,0.0,0.8204,close_grid_long
4,1059,FARTCOIN,0.0,-0.0247256,1000.2764182799999,0.0,1000.2764182799999,1.0,124.0,0.997,124.0,0.997,entry_initial_normal_long
5,1065,FARTCOIN,0.0,-0.03369824,1000.2427200399999,0.0,1000.2427200399999,1.0,172.0,0.9796,296.0,0.9868891891891891,entry_grid_normal_long
6,1066,FARTCOIN,0.5064000000000339,-0.05852512000000001,1000.69059492,0.0,1000.69059492,1.0,-296.0,0.9886,0.0,0.9868891891891891,close_grid_long
7,1101,FARTCOIN,0.0,-0.02484224,1000.66575268,0.0,1000.66575268,1.0,128.0,0.9704,128.0,0.9704,entry_initial_normal_long
8,1102,FARTCOIN,0.16639999999999588,-0.02487552,1000.80727716,0.0,1000.80727716,1.0,-128.0,0.9717,0.0,0.9704,close_grid_long
9,1398,FARTCOIN,0.0,-0.024874080000000003,1000.78240308,0.0,1000.78240308,1.0,132.0,0.9422,132.0,0.9422,entry_initial_normal_long
10,1399,FARTCOIN,0.17159999999999576,-0.0249084,1000.9290946799999,0.0,1000.9290946799999,1.0,-132.0,0.9435,0.0,0.9422,close_grid_long
11,3722,FARTCOIN,0.0,-0.024919120000000003,1000.9041755599999,0.0,1000.9041755599999,1.0,92.0,1.3543,92.0,1.3543,entry_initial_normal_long
12,3723,FARTCOIN,0.25759999999999206,-0.024970640000000002,1001.1368049199999,0.0,1001.1368049199999,1.0,-92.0,1.3571,0.0,1.3543,close_grid_long
13,3728,FARTCOIN,0.0,-0.024894240000000005,1001.1119106799999,0.0,1001.1119106799999,1.0,93.0,1.3384,93.0,1.3384,entry_initial_normal_long
14,3729,FARTCOIN,0.6044999999999954,-0.02501514,1001.6913955399999,0.0,1001.6913955399999,1.0,-93.0,1.3449,0.0,1.3384,close_grid_long
15,3894,FARTCOIN,0.0,-0.02486112,1001.66653442,0.0,1001.66653442,1.0,94.0,1.3224,94.0,1.3224,entry_initial_normal_long
16,3895,FARTCOIN,0.8083999999999945,-0.025022799999999998,1002.44991162,0.0,1002.44991162,1.0,-94.0,1.331,0.0,1.3224,close_grid_long
17,4234,FARTCOIN,0.0,-0.024892000000000004,1002.42501962,0.0,1002.42501962,1.0,98.0,1.27,98.0,1.27,entry_initial_normal_long
18,4235,FARTCOIN,0.3037999999999883,-0.024952759999999997,1002.70386686,0.0,1002.70386686,1.0,-98.0,1.2731,0.0,1.27,close_grid_long
19,4735,FARTCOIN,0.0,-0.024763359999999998,1002.6791035,0.0,1002.6791035,1.0,94.0,1.3172,94.0,1.3172,entry_initial_normal_long
20,4740,FARTCOIN,0.16920000000000224,-0.0247972,1002.8235063,0.0,1002.8235063,1.0,-94.0,1.319,0.0,1.3172,close_grid_long
21,8156,FARTCOIN,0.0,-0.024723840000000004,1002.79878246,0.0,1002.79878246,1.0,96.0,1.2877,96.0,1.2877,entry_initial_normal_long
22,8157,FARTCOIN,0.7103999999999857,-0.02486592,1003.48431654,0.0,1003.48431654,1.0,-96.0,1.2951,0.0,1.2877,close_grid_long
23,9982,FARTCOIN,0.0,-0.024743,1003.4595735400001,0.0,1003.4595735400001,1.0,109.0,1.135,109.0,1.135,entry_initial_normal_long
24,9983,FARTCOIN,0.9482999999999924,-0.02493266,1004.3829408800001,0.0,1004.3829408800001,1.0,-109.0,1.1437,0.0,1.135,close_grid_long
25,10987,FARTCOIN,0.0,-0.024857000000000004,1004.3580838800001,0.0,1004.3580838800001,1.0,106.0,1.1725,106.0,1.1725,entry_initial_normal_long
26,10988,FARTCOIN,0.16959999999998132,-0.024890919999999997,1004.5027929600001,0.0,1004.5027929600001,1.0,-106.0,1.1741,0.0,1.1725,close_grid_long
27,10989,FARTCOIN,0.0,-0.024800460000000003,1004.4779925,0.0,1004.4779925,1.0,107.0,1.1589,107.0,1.1589,entry_initial_normal_long
28,10990,FARTCOIN,1.2840000000000011,-0.025057260000000005,1005.73693524,0.0,1005.73693524,1.0,-107.0,1.1709,0.0,1.1589,close_grid_long
29,10995,FARTCOIN,0.0,-0.024937200000000003,1005.71199804,0.0,1005.71199804,1.0,108.0,1.1545,108.0,1.1545,entry_initial_normal_long
30,10996,FARTCOIN,0.17279999999998097,-0.02497176,1005.85982628,0.0,1005.85982628,1.0,-108.0,1.1561,0.0,1.1545,close_grid_long
