,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,39,HYPE,0.0,-0.10699046400000001,999.893009536,0.0,999.893009536,1.0,22.26,24.032,22.26,24.032,entry_initial_normal_long
1,162,HYPE,6.232800000000026,-0.10823702400000003,1006.017572512,0.0,1006.017572512,1.0,-22.26,24.312,0.0,24.032,close_grid_long
2,257,HYPE,0.0,-0.10763020800000002,1005.909942304,0.0,1005.909942304,1.0,22.68,23.728,22.68,23.728,entry_initial_normal_long
3,662,HYPE,6.259679999999995,-0.108882144,1012.0607401599999,0.0,1012.0607401599999,1.0,-22.68,24.004,0.0,23.728,close_grid_long
4,951,HYPE,0.0,-0.108246528,1011.9524936319999,0.0,1011.9524936319999,1.0,23.04,23.491,23.04,23.491,entry_initial_normal_long
5,955,HYPE,6.312960000000021,-0.10950912000000002,1018.1559445119999,0.0,1018.1559445119999,1.0,-23.04,23.765,0.0,23.491,close_grid_long
6,963,HYPE,0.0,-0.10889560200000001,1018.04704891,0.0,1018.04704891,1.0,23.19,23.479,23.19,23.479,entry_initial_normal_long
7,974,HYPE,6.330869999999993,-0.11016177600000002,1024.267757134,0.0,1024.267757134,1.0,-23.19,23.752,0.0,23.479,close_grid_long
8,980,HYPE,0.0,-0.10955353000000001,1024.158203604,0.0,1024.158203604,1.0,23.35,23.459,23.35,23.459,entry_initial_normal_long
9,1098,HYPE,6.374549999999993,-0.11082844,1030.421925164,0.0,1030.421925164,1.0,-23.35,23.732,0.0,23.459,close_grid_long
10,2010,HYPE,0.0,-0.110208042,1030.311717122,0.0,1030.311717122,1.0,22.37,24.633,22.37,24.633,entry_initial_normal_long
11,2046,HYPE,6.4201900000000585,-0.11149208000000002,1036.6204150419999,0.0,1036.6204150419999,1.0,-22.37,24.92,0.0,24.633,close_grid_long
12,2073,HYPE,0.0,-0.11088691200000002,1036.5095281299998,0.0,1036.5095281299998,1.0,22.56,24.576,22.56,24.576,entry_initial_normal_long
13,2128,HYPE,6.474719999999978,-0.112181856,1042.8720662739997,0.0,1042.8720662739997,1.0,-22.56,24.863,0.0,24.576,close_grid_long
14,2596,HYPE,0.0,-0.11157198000000002,1042.7604942939997,0.0,1042.7604942939997,1.0,22.85,24.414,22.85,24.414,entry_initial_normal_long
15,2825,HYPE,6.512250000000003,-0.11287443000000001,1049.1598698639998,0.0,1049.1598698639998,1.0,-22.85,24.699,0.0,24.414,close_grid_long
16,2935,HYPE,0.0,-0.11224542000000001,1049.047624444,0.0,1049.047624444,1.0,23.3,24.087,23.3,24.087,entry_initial_normal_long
17,3007,HYPE,6.547299999999972,-0.11355488000000001,1055.4813695639998,0.0,1055.4813695639998,1.0,-23.3,24.368,0.0,24.087,close_grid_long
18,3404,HYPE,0.0,-0.11288805,1055.3684815139998,0.0,1055.3684815139998,1.0,23.25,24.277,23.25,24.277,entry_initial_normal_long
19,3426,HYPE,6.5797499999999465,-0.114204,1061.8340275139997,0.0,1061.8340275139997,1.0,-23.25,24.56,0.0,24.277,close_grid_long
20,4204,HYPE,0.0,-0.113604496,1061.7204230179996,0.0,1061.7204230179996,1.0,22.58,25.156,22.58,25.156,entry_initial_normal_long
21,4231,HYPE,6.615940000000063,-0.114927684,1068.2214353339996,0.0,1068.2214353339996,1.0,-22.58,25.449,0.0,25.156,close_grid_long
22,5019,HYPE,0.0,-0.11426739600000001,1068.1071679379995,0.0,1068.1071679379995,1.0,22.57,25.314,22.57,25.314,entry_initial_normal_long
23,5050,HYPE,6.658150000000038,-0.11559902600000001,1074.6497189119996,0.0,1074.6497189119996,1.0,-22.57,25.609,0.0,25.314,close_grid_long
24,5099,HYPE,0.0,-0.11493908600000001,1074.5347798259995,0.0,1074.5347798259995,1.0,22.79,25.217,22.79,25.217,entry_initial_normal_long
25,5158,HYPE,6.700260000000011,-0.11627913799999999,1081.1187606879996,0.0,1081.1187606879996,1.0,-22.79,25.511,0.0,25.217,close_grid_long
26,5217,HYPE,0.0,-0.11564185,1081.0031188379996,0.0,1081.0031188379996,1.0,23.05,25.085,23.05,25.085,entry_initial_normal_long
27,5435,HYPE,0.0,-0.561377386,1080.4417414519996,0.0,1080.4417414519996,1.0,118.13,23.761,141.18,23.97716517920385,entry_grid_normal_long
28,5658,HYPE,6.400689477263194,-0.24138747,1086.6010434592629,0.0,1086.6010434592629,1.0,-50.07,24.105,91.11,23.97716517920385,close_trailing_long
29,5685,HYPE,28.684600522737266,-0.4426488240000001,1114.8429951580001,0.0,1114.8429951580001,1.0,-91.11,24.292,0.0,23.97716517920385,close_grid_long
30,5704,HYPE,0.0,-0.11925720000000002,1114.7237379580001,0.0,1114.7237379580001,1.0,25.32,23.55,25.32,23.55,entry_initial_normal_long
31,5737,HYPE,6.937680000000023,-0.12064473600000002,1121.540773222,0.0,1121.540773222,1.0,-25.32,23.824,0.0,23.55,close_grid_long
32,5763,HYPE,0.0,-0.11995819200000002,1121.42081503,0.0,1121.42081503,1.0,25.56,23.466,25.56,23.466,entry_initial_normal_long
33,5778,HYPE,6.977879999999992,-0.121353768,1128.2773412620002,0.0,1128.2773412620002,1.0,-25.56,23.739,0.0,23.466,close_grid_long
34,5784,HYPE,0.0,-0.12069025,1128.156651012,0.0,1128.156651012,1.0,25.75,23.435,25.75,23.435,entry_initial_normal_long
35,5795,HYPE,7.029749999999992,-0.1220962,1135.064304812,0.0,1135.064304812,1.0,-25.75,23.708,0.0,23.435,close_grid_long
36,5856,HYPE,0.0,-0.12143567599999999,1134.9428691360001,0.0,1134.9428691360001,1.0,25.99,23.362,25.99,23.362,entry_initial_normal_long
37,5945,HYPE,0.0,-0.5894723020000001,1134.353396834,0.0,1134.353396834,1.0,133.19,22.129,159.18,22.330317188088955,entry_grid_normal_long
38,5950,HYPE,-1.7120116113832515,-0.2518562,1132.3895290226167,0.0,1132.3895290226167,1.0,-56.47,22.3,102.71,22.330317188088955,close_trailing_long
39,5963,HYPE,0.010022906143987953,-0.000805896,1132.3987460327608,0.0,1132.3987460327608,1.0,-0.18,22.386,102.53,22.330317188088955,close_trailing_long
40,6116,HYPE,0.0,-1.33749308,1131.0612529527607,0.0,1131.0612529527607,1.0,317.8,21.043,420.33,21.35701192228668,entry_grid_cropped_long
41,6121,HYPE,-0.026919520195783024,-0.05714598000000001,1130.977187452565,0.0,1130.977187452565,1.0,-13.38,21.355,406.95,21.35701192228668,close_unstuck_long
42,6122,HYPE,-0.38875975864153034,-0.05715904000000001,1130.5312686539235,0.0,1130.5312686539235,1.0,-13.4,21.328,393.55,21.35701192228668,close_unstuck_long
43,6123,HYPE,0.6535009566956625,-0.057111208000000004,1131.127658402619,0.0,1131.127658402619,1.0,-13.34,21.406,380.21,21.35701192228668,close_unstuck_long
44,6126,HYPE,4.437106602719425,-0.306634404,1135.2581306013385,0.0,1135.2581306013385,1.0,-71.58,21.419,308.63,21.35701192228668,close_trailing_long
45,6169,HYPE,-4.311256497075104,-0.305995296,1130.6408788082633,0.0,1130.6408788082633,1.0,-71.84,21.297,236.79,21.35701192228668,close_trailing_long
46,6188,HYPE,9.873046960388061,-0.30759345,1140.2063323186514,0.0,1140.2063323186514,1.0,-71.55,21.495,165.24,21.35701192228668,close_trailing_long
47,6194,HYPE,28.873476972196094,-0.250483338,1168.8293259528475,0.0,1168.8293259528475,1.0,-57.29,21.861,107.95,21.35701192228668,close_trailing_long
48,6195,HYPE,50.19546298915272,-0.47113698000000004,1218.5536519620002,0.0,1218.5536519620002,1.0,-107.95,21.822,0.0,21.35701192228668,close_grid_long
49,6199,HYPE,0.0,-0.130361916,1218.4232900460001,0.0,1218.4232900460001,1.0,30.09,21.662,30.09,21.662,entry_initial_normal_long
50,6204,HYPE,7.582680000000074,-0.13187845200000003,1225.8740915940002,0.0,1225.8740915940002,1.0,-30.09,21.914,0.0,21.662,close_grid_long
51,6207,HYPE,0.0,-0.13111845600000002,1225.7429731380003,0.0,1225.7429731380003,1.0,30.28,21.651,30.28,21.651,entry_initial_normal_long
52,6226,HYPE,7.630559999999967,-0.13264456800000002,1233.2408885700002,0.0,1233.2408885700002,1.0,-30.28,21.903,0.0,21.651,close_grid_long
