,balance,equity,balance_btc,equity_btc
0,999.921869506,1000.0,0.0,0.0
60,999.921869506,996.3732695059999,0.0,-3.5486000000000386
120,999.921869506,995.308689506,0.0,-4.613180000000022
180,999.921869506,1000.809019506,0.0,0.8871499999999953
240,999.845554296,996.179709506,0.0,-3.742160000000046
300,999.845554296,995.0417542960001,0.0,-4.803799999999906
360,999.769247178,984.7121542960001,0.0,-15.133399999999915
420,999.769247178,984.1718871780001,0.0,-15.597359999999913
480,999.769247178,986.9449371780001,0.0,-12.824309999999807
540,999.769247178,979.3068871780002,0.0,-20.46235999999981
600,999.769247178,988.793637178,0.0,-10.975609999999968
660,1016.2413931080001,1004.799487178,0.0,5.030240000000062
720,1016.2413931080001,1016.2413931080001,0.0,0.0
780,1016.2413931080001,1016.2413931080001,0.0,0.0
840,1016.2413931080001,1016.2413931080001,0.0,0.0
900,1016.1620341140001,1016.2413931080001,0.0,0.0
960,1016.1620341140001,1013.6129941140001,0.0,-2.549040000000017
1020,1016.1620341140001,1011.600594114,0.0,-4.561440000000034
1080,1021.766568114,1013.713614114,0.0,-2.4484200000000134
1140,1021.766568114,1021.766568114,0.0,0.0
1200,1021.766568114,1021.766568114,0.0,0.0
1260,1021.766568114,1021.766568114,0.0,0.0
1320,1021.766568114,1021.766568114,0.0,0.0
1380,1021.766568114,1021.766568114,0.0,0.0
1440,1021.766568114,1021.766568114,0.0,0.0
1500,1021.766568114,1021.766568114,0.0,0.0
1560,1021.766568114,1021.766568114,0.0,0.0
1620,1021.766568114,1021.766568114,0.0,0.0
1680,1021.766568114,1021.766568114,0.0,0.0
1740,1021.766568114,1021.766568114,0.0,0.0
1800,1021.766568114,1021.766568114,0.0,0.0
1860,1021.766568114,1021.766568114,0.0,0.0
1920,1021.686741094,1021.766568114,0.0,0.0
1980,1021.686741094,1023.039141094,0.0,1.3523999999999943
2040,1021.686741094,1022.652741094,0.0,0.9659999999999795
2100,1027.321270974,1021.413041094,0.0,-0.27369999999999134
2160,1027.321270974,1027.321270974,0.0,0.0
2220,1027.321270974,1027.321270974,0.0,0.0
2280,1027.241021748,1027.321270974,0.0,0.0
2340,1032.897964854,1028.1001517480001,0.0,0.8591300000000134
2400,1032.897964854,1032.897964854,0.0,0.0
2460,1032.897964854,1032.897964854,0.0,0.0
2520,1032.817280398,1032.897964854,0.0,0.0
2580,1032.817280398,1033.3411203980002,0.0,0.5238400000000005
2640,1032.817280398,1030.345410398,0.0,-2.471869999999997
2700,1032.817280398,1031.3930903980001,0.0,-1.4241899999999958
2760,1032.817280398,1030.721920398,0.0,-2.095360000000002
2820,1032.817280398,1030.803770398,0.0,-2.01350999999996
2880,1032.817280398,1030.803770398,0.0,-2.01350999999996
2940,1032.738474,1024.386730398,0.0,-8.430549999999952
3000,1044.065095464,1027.617564,0.0,-5.120910000000089
3060,1044.065095464,1044.065095464,0.0,0.0
3120,1044.065095464,1044.065095464,0.0,0.0
3180,1044.065095464,1044.065095464,0.0,0.0
3240,1044.065095464,1044.065095464,0.0,0.0
3300,1044.065095464,1044.065095464,0.0,0.0
3360,1043.983536936,1044.065095464,0.0,0.0
3420,1043.983536936,1042.7158569360001,0.0,-1.2676800000000086
3480,1043.983536936,1048.053456936,0.0,4.069919999999996
3540,1049.738810808,1045.134456936,0.0,1.1509199999999844
3600,1049.738810808,1049.738810808,0.0,0.0
3660,1049.738810808,1049.738810808,0.0,0.0
3720,1049.738810808,1049.738810808,0.0,0.0
3780,1049.738810808,1049.738810808,0.0,0.0
3840,1049.738810808,1049.738810808,0.0,0.0
3900,1049.738810808,1049.738810808,0.0,0.0
3960,1049.738810808,1049.738810808,0.0,0.0
4020,1049.738810808,1049.738810808,0.0,0.0
4080,1049.738810808,1049.738810808,0.0,0.0
4140,1049.738810808,1049.738810808,0.0,0.0
4200,1049.656796,1049.738810808,0.0,0.0
4260,1049.656796,1053.387396,0.0,3.7306000000000066
4320,1049.656796,1048.8133559999999,0.0,-0.8434399999999935
4380,1055.445246864,1050.743536,0.0,1.0867400000000027
4440,1055.445246864,1055.445246864,0.0,0.0
4500,1055.445246864,1055.445246864,0.0,0.0
4560,1055.445246864,1055.445246864,0.0,0.0
4620,1055.445246864,1055.445246864,0.0,0.0
4680,1055.445246864,1055.445246864,0.0,0.0
4740,1055.445246864,1055.445246864,0.0,0.0
4800,1055.445246864,1055.445246864,0.0,0.0
4860,1055.445246864,1055.445246864,0.0,0.0
4920,1055.445246864,1055.445246864,0.0,0.0
4980,1055.362813,1055.445246864,0.0,0.0
5040,1055.362813,1053.502113,0.0,-1.8606999999999747
5100,1055.362813,1052.013553,0.0,-3.349260000000012
5160,1055.362813,1056.333613,0.0,0.9707999999999792
5220,1054.9169765299998,1050.152853,0.0,-5.209959999999986
5280,1054.9169765299998,1046.3995065299996,0.0,-8.517470000000202
5340,1054.9169765299998,1074.8719065299995,0.0,19.954929999999727
5400,1054.6680009139998,1011.7796565299999,0.0,-43.13731999999998
5460,1053.5951822179998,976.9170709140004,0.0,-77.75092999999939
5520,1051.2935801132094,865.737812049998,0.0,-187.81503000000174
5580,1117.1803938179987,1083.4752744859989,0.0,32.18169437278958
5640,1123.2604511459988,1111.1794338179986,0.0,-6.000960000000011
5700,1123.2604511459988,1122.5658111459989,0.0,-0.6946400000000047
5760,1123.1747347119988,1115.9301711459989,0.0,-7.330279999999997
5820,1122.9663487939988,1119.2135247119986,0.0,-3.961210000000052
5880,1122.785910367999,1090.0385487939989,0.0,-32.92779999999992
5940,1149.4055904131867,1057.0809303679991,0.0,-65.70497999999984
6000,1156.0647689149796,1088.273429155997,0.0,-61.13216125718974
6060,1155.6526657949796,1042.585001681997,0.0,-113.47976723298254
6120,1154.8686611189796,1047.8258185619968,0.0,-107.82684723298276
6180,1287.681886449999,1068.712933886,0.0,-86.15572723297974
6240,1287.681886449999,1292.269886449999,0.0,4.587999999999984
6300,1301.512825873999,1284.0344264499988,0.0,-3.647460000000057
6360,1315.805767681999,1282.495705873999,0.0,-19.017119999999963
6420,1315.602589225999,1315.805767681999,0.0,0.0
6480,1315.358477199999,1304.121559225999,0.0,-11.481030000000036
6540,1354.8457053059988,1276.099667199999,0.0,-39.25880999999997
6600,1362.3209552579988,1349.2932853059988,0.0,-5.552420000000008
6660,1362.1105874659988,1362.3209552579988,0.0,0.0
6720,1376.836201609999,1359.2806274659988,0.0,-2.8299600000000438
6780,1441.9148048939992,1357.9148916099991,0.0,-18.921309999999966
6840,1441.9148048939992,1441.9148048939992,0.0,0.0
6900,1441.9148048939992,1441.9148048939992,0.0,0.0
6960,1441.9148048939992,1441.9148048939992,0.0,0.0
7020,1441.9148048939992,1441.9148048939992,0.0,0.0
7080,1441.9148048939992,1441.9148048939992,0.0,0.0
7140,1441.9148048939992,1441.9148048939992,0.0,0.0
7200,1441.9148048939992,1441.9148048939992,0.0,0.0
7260,1441.9148048939992,1441.9148048939992,0.0,0.0
7320,1449.7674572759993,1441.9148048939992,0.0,0.0
7380,1449.6542325479993,1449.7674572759993,0.0,0.0
7440,1473.0224526459995,1439.8631025479992,0.0,-9.791129999999985
7500,1472.6248061639997,1464.5454326459997,0.0,-8.477019999999893
7560,1472.6248061639997,1428.3083561640005,0.0,-44.31644999999906
7620,1524.9494340740002,1450.5734561640004,0.0,-22.051349999999232
7680,1583.5135083339997,1449.493764074,0.0,-75.45567000000031
7740,1583.5135083339997,1577.1187083339996,0.0,-6.394800000000035
7800,1583.3926769579996,1580.2139083339996,0.0,-3.2995999999999865
7860,1600.3761054979996,1571.0137569579997,0.0,-12.378919999999944
7920,1600.3761054979996,1585.1849654979994,0.0,-15.19114000000008
7980,1600.8859926169662,1582.1610054979997,0.0,-18.215099999999985
8040,1801.7027828519986,1417.954204136,0.0,-182.93178848096625
8100,1876.0471692599986,1794.8062228519987,0.0,-6.89655999999984
8160,1875.7574781959986,1876.0471692599986,0.0,0.0
8220,1916.6366898659983,1884.5719581959986,0.0,8.814479999999975
8280,1937.388736607998,1919.4357298659982,0.0,2.7990399999998394
8340,1942.638508852001,1927.288796607998,0.0,-10.09993999999995
8400,2041.3031694919978,2019.4755725999978,0.0,0.0
8460,2063.504246429998,2039.3634894919978,0.0,-1.9396799999999297
8520,2086.124973005998,2066.777456429998,0.0,3.27320999999998
8580,2086.124973005998,2086.124973005998,0.0,0.0
8640,2086.124973005998,2086.124973005998,0.0,0.0
8700,2086.124973005998,2086.124973005998,0.0,0.0
8760,2086.124973005998,2086.124973005998,0.0,0.0
8820,2086.124973005998,2086.124973005998,0.0,0.0
8880,2086.124973005998,2086.124973005998,0.0,0.0
8940,2086.124973005998,2086.124973005998,0.0,0.0
9000,2086.124973005998,2086.124973005998,0.0,0.0
9060,2086.124973005998,2086.124973005998,0.0,0.0
9120,2086.124973005998,2086.124973005998,0.0,0.0
9180,2086.124973005998,2086.124973005998,0.0,0.0
9240,2086.124973005998,2086.124973005998,0.0,0.0
9300,2086.124973005998,2086.124973005998,0.0,0.0
9360,2085.962044861998,2086.124973005998,0.0,0.0
9420,2085.4158265799983,2086.6160348619983,0.0,0.6539900000001159
9480,2183.1001475879993,2085.8322965799994,0.0,0.41647000000099127
9540,2206.6890350279996,2171.8223975879996,0.0,-11.27774999999994
9600,2206.3522635459994,2203.7875350279996,0.0,-2.901500000000012
9660,2242.7722759099993,2180.028713545999,0.0,-26.32355000000035
9720,2242.7722759099993,2242.7722759099993,0.0,0.0
9780,2254.946097893999,2242.7722759099993,0.0,0.0
9840,2267.192039513999,2254.946097893999,0.0,0.0
9900,2267.192039513999,2267.192039513999,0.0,0.0
9960,2267.192039513999,2267.192039513999,0.0,0.0
10020,2267.0149673299993,2267.192039513999,0.0,0.0
10080,2267.0149673299993,2264.629927329999,0.0,-2.38504000000004
10140,2267.0149673299993,2267.696407329999,0.0,0.681439999999925
10200,2266.841946901999,2259.1358173299996,0.0,-7.879149999999946
10260,2266.841946901999,2247.039136901999,0.0,-19.802810000000207
10320,2266.421289437999,2256.928136901999,0.0,-9.91380999999993
10380,2266.421289437999,2247.769689437999,0.0,-18.651599999999522
10440,2266.421289437999,2268.9717994379994,0.0,2.550510000000602
10500,2266.421289437999,2280.8144194379997,0.0,14.393130000000824
10560,2266.421289437999,2262.4774594379996,0.0,-3.9438299999991915
10620,2266.421289437999,2199.6351694379996,0.0,-66.78611999999931
10680,2266.421289437999,2235.1630294379997,0.0,-31.25825999999932
10740,2321.9877996559994,2264.7695794379997,0.0,-1.6517099999991047
10800,2321.9877996559994,2321.9877996559994,0.0,0.0
10860,2321.9877996559994,2321.9877996559994,0.0,0.0
10920,2321.9877996559994,2321.9877996559994,0.0,0.0
10980,2321.9877996559994,2321.9877996559994,0.0,0.0
11040,2334.6035050379996,2321.9877996559994,0.0,0.0
11100,2334.6035050379996,2334.6035050379996,0.0,0.0
11160,2347.2663785419995,2334.6035050379996,0.0,0.0
11220,2347.2663785419995,2347.2663785419995,0.0,0.0
11280,2347.2663785419995,2347.2663785419995,0.0,0.0
11340,2347.2663785419995,2347.2663785419995,0.0,0.0
11400,2347.2663785419995,2347.2663785419995,0.0,0.0
11460,2347.2663785419995,2347.2663785419995,0.0,0.0
11520,2347.2663785419995,2347.2663785419995,0.0,0.0
11580,2347.2663785419995,2347.2663785419995,0.0,0.0
11640,2347.2663785419995,2347.2663785419995,0.0,0.0
11700,2347.2663785419995,2347.2663785419995,0.0,0.0
11760,2347.2663785419995,2347.2663785419995,0.0,0.0
11820,2347.0830379739996,2347.2663785419995,0.0,0.0
11880,2347.0830379739996,2346.4507979739997,0.0,-0.6322399999999704
11940,2347.0830379739996,2350.1087579739997,0.0,3.0257200000000073
12000,2359.9934781259994,2348.9797579739998,0.0,1.8967200000000717
12060,2359.9934781259994,2359.9934781259994,0.0,0.0
12120,2359.9934781259994,2359.9934781259994,0.0,0.0
12180,2359.9934781259994,2359.9934781259994,0.0,0.0
12240,2359.9934781259994,2359.9934781259994,0.0,0.0
12300,2359.9934781259994,2359.9934781259994,0.0,0.0
12360,2359.9934781259994,2359.9934781259994,0.0,0.0
12420,2359.9934781259994,2359.9934781259994,0.0,0.0
12480,2359.9934781259994,2359.9934781259994,0.0,0.0
12540,2359.9934781259994,2359.9934781259994,0.0,0.0
12600,2359.9934781259994,2359.9934781259994,0.0,0.0
12660,2359.9934781259994,2359.9934781259994,0.0,0.0
12720,2359.9934781259994,2359.9934781259994,0.0,0.0
12780,2359.8091212119994,2359.9934781259994,0.0,0.0
12840,2359.8091212119994,2359.8963412119992,0.0,0.08721999999995166
12900,2359.8091212119994,2355.8842212119994,0.0,-3.924899999999994
12960,2372.8359515319994,2363.2979212119994,0.0,3.4887999999999257
13020,2372.8359515319994,2372.8359515319994,0.0,0.0
13080,3863.053316641995,2372.8359515319994,0.0,0.0
13140,3862.751584309995,3863.053316641995,0.0,0.0
13200,3862.751584309995,3844.379984309995,0.0,-18.37159999999986
13260,3862.162045039995,3843.390744309995,0.0,-19.36083999999981
13320,3861.119485197995,3800.957035039995,0.0,-61.205010000000065
13380,3861.119485197995,3670.229145197995,0.0,-190.89033999999972
13440,3860.208094317995,3724.3987451979942,0.0,-136.72074000000046
13500,3858.8726082059948,3546.4647943179934,0.0,-313.7433000000017
13560,3858.8726082059948,3391.4571482059987,0.0,-467.4154599999961
13620,3828.3136250824386,3544.478268205997,0.0,-314.3943399999976
13680,3728.4483617555156,2756.3628281220053,0.0,-1071.9507969604335
13740,3757.398326535806,3319.262084932003,0.0,-409.1862768235129
13800,3926.0044084160027,3542.4096046040027,0.0,-214.9887219318036
13860,3926.0044084160027,3926.0044084160027,0.0,0.0
13920,3926.0044084160027,3926.0044084160027,0.0,0.0
13980,3926.0044084160027,3926.0044084160027,0.0,0.0
14040,3947.3601677960023,3926.0044084160027,0.0,0.0
14100,3947.3601677960023,3947.3601677960023,0.0,0.0
14160,3947.3601677960023,3947.3601677960023,0.0,0.0
14220,3947.3601677960023,3947.3601677960023,0.0,0.0
14280,3947.3601677960023,3947.3601677960023,0.0,0.0
14340,3947.3601677960023,3947.3601677960023,0.0,0.0
14400,3947.3601677960023,3947.3601677960023,0.0,0.0
14460,3947.3601677960023,3947.3601677960023,0.0,0.0
14520,3947.3601677960023,3947.3601677960023,0.0,0.0
14580,3947.3601677960023,3947.3601677960023,0.0,0.0
14640,3947.3601677960023,3947.3601677960023,0.0,0.0
14700,3947.3601677960023,3947.3601677960023,0.0,0.0
14760,3947.3601677960023,3947.3601677960023,0.0,0.0
14820,3947.3601677960023,3947.3601677960023,0.0,0.0
14880,3947.3601677960023,3947.3601677960023,0.0,0.0
14940,3947.3601677960023,3947.3601677960023,0.0,0.0
15000,3947.3601677960023,3947.3601677960023,0.0,0.0
15060,3947.3601677960023,3947.3601677960023,0.0,0.0
15120,3947.3601677960023,3947.3601677960023,0.0,0.0
15180,3947.3601677960023,3947.3601677960023,0.0,0.0
15240,3947.3601677960023,3947.3601677960023,0.0,0.0
15300,3947.3601677960023,3947.3601677960023,0.0,0.0
15360,3947.3601677960023,3947.3601677960023,0.0,0.0
15420,3947.3601677960023,3947.3601677960023,0.0,0.0
15480,3947.3601677960023,3947.3601677960023,0.0,0.0
15540,3947.3601677960023,3947.3601677960023,0.0,0.0
15600,3947.3601677960023,3947.3601677960023,0.0,0.0
15660,3947.3601677960023,3947.3601677960023,0.0,0.0
15720,3947.3601677960023,3947.3601677960023,0.0,0.0
15780,3947.3601677960023,3947.3601677960023,0.0,0.0
15840,3947.3601677960023,3947.3601677960023,0.0,0.0
15900,3947.3601677960023,3947.3601677960023,0.0,0.0
15960,3968.515865554002,3947.3601677960023,0.0,0.0
16020,3968.515865554002,3971.266665554002,0.0,2.7507999999999413
16080,3990.414131606002,3983.782805554002,0.0,15.266939999999845
16140,3990.414131606002,3990.414131606002,0.0,0.0
16200,3990.102444314002,3990.414131606002,0.0,0.0
16260,4012.1604921800017,3999.2460843140016,0.0,9.143639999999854
16320,4011.8470886520017,4012.1604921800017,0.0,0.0
16380,4011.8470886520017,4009.8266586520017,0.0,-2.020429999999994
16440,4011.8470886520017,3990.8764186520016,0.0,-20.970670000000137
16500,4011.8470886520017,3998.9581386520017,0.0,-12.88895000000016
16560,4011.8470886520017,4011.1503886520018,0.0,-0.6967000000001089
16620,4033.9629383760016,4030.0309586520016,0.0,18.183869999999946
16680,4033.9629383760016,4033.9629383760016,0.0,0.0
16740,4033.9629383760016,4033.9629383760016,0.0,0.0
16800,4033.9629383760016,4033.9629383760016,0.0,0.0
16860,4033.9629383760016,4033.9629383760016,0.0,0.0
16920,4033.9629383760016,4033.9629383760016,0.0,0.0
16980,4033.9629383760016,4033.9629383760016,0.0,0.0
17040,4033.9629383760016,4033.9629383760016,0.0,0.0
17100,4033.9629383760016,4033.9629383760016,0.0,0.0
17160,4033.9629383760016,4033.9629383760016,0.0,0.0
17220,4033.9629383760016,4033.9629383760016,0.0,0.0
17280,4033.9629383760016,4033.9629383760016,0.0,0.0
17340,4033.9629383760016,4033.9629383760016,0.0,0.0
17400,4033.9629383760016,4033.9629383760016,0.0,0.0
17460,4033.647820188002,4033.9629383760016,0.0,0.0
17520,4055.9302415880015,4049.3622701880017,0.0,15.714449999999964
17580,4055.9302415880015,4055.9302415880015,0.0,0.0
17640,4055.9302415880015,4055.9302415880015,0.0,0.0
17700,4055.9302415880015,4055.9302415880015,0.0,0.0
17760,4055.6134490680015,4055.9302415880015,0.0,0.0
17820,4055.6134490680015,4055.4792490680015,0.0,-0.134200000000164
