,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,43,HYPE,0.0,-0.16632839400000002,999.833671606,0.0,999.833671606,1.0,25.17,33.041,25.17,33.041,entry_initial_normal_long
1,96,HYPE,0.0,-0.023759028,999.8099125780001,0.0,999.8099125780001,1.0,3.58,33.183,28.75,33.05868208695652,entry_trailing_cropped_long
2,228,HYPE,0.0,-0.205464448,999.60444813,0.0,999.60444813,1.0,31.96,32.144,60.71,32.577159446549175,entry_grid_normal_long
3,251,HYPE,0.0,-0.42668527800000006,999.177762852,0.0,999.177762852,1.0,67.49,31.611,128.2,32.06853151326054,entry_grid_normal_long
4,397,HYPE,49.67709659906338,-0.39732328,1048.4575361710633,0.0,1048.4575361710633,1.0,-60.4,32.891,67.8,32.06853151326054,close_grid_long
5,398,HYPE,56.564652689546996,-0.41781363600000004,1104.6043752246103,0.0,1104.6043752246103,1.0,-63.38,32.961,4.42,32.06853151326054,close_grid_long
6,399,HYPE,4.236430711388426,-0.029195868000000003,1108.8116100679988,0.0,1108.8116100679988,1.0,-4.42,33.027,0.0,32.06853151326054,close_grid_long
7,725,HYPE,0.0,-0.184440248,1108.6271698199987,0.0,1108.6271698199987,1.0,28.01,32.924,28.01,32.924,entry_initial_normal_long
8,763,HYPE,0.0,-0.026307840000000006,1108.6008619799986,0.0,1108.6008619799986,1.0,4.03,32.64,32.04,32.88827840199751,entry_trailing_cropped_long
9,931,HYPE,0.0,-0.227811272,1108.3730507079986,0.0,1108.3730507079986,1.0,35.62,31.978,67.66,32.40905704995566,entry_grid_normal_long
10,977,HYPE,0.0,-0.473103712,1107.8999469959986,0.0,1107.8999469959986,1.0,75.22,31.448,142.88,31.903103023516238,entry_grid_normal_long
11,1419,HYPE,0.0,-1.07745705,1106.8224899459985,0.0,1106.8224899459985,1.0,174.77,30.825,317.65,31.309934235794117,entry_grid_inflated_long
12,1420,HYPE,-5.343809475838244,-0.06468209999999999,1101.4139983701602,0.0,1101.4139983701602,1.0,-10.5,30.801,307.15,31.309934235794117,close_unstuck_long
13,1421,HYPE,-5.391512764048516,-0.06435946000000001,1095.9581261461117,0.0,1095.9581261461117,1.0,-10.45,30.794,296.7,31.309934235794117,close_unstuck_long
14,1422,HYPE,-4.940197367542937,-0.06401138400000002,1090.9539173945686,0.0,1090.9539173945686,1.0,-10.38,30.834,286.32,31.309934235794117,close_unstuck_long
15,1423,HYPE,-4.83376065575324,-0.063719572,1086.0564371668154,0.0,1086.0564371668154,1.0,-10.33,30.842,275.99,31.309934235794117,close_unstuck_long
16,1424,HYPE,-4.969393286321444,-0.063441966,1081.0236019144938,0.0,1081.0236019144938,1.0,-10.29,30.827,265.7,31.309934235794117,close_unstuck_long
