,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,34,HYPE,0.0,-0.039910668,999.960089332,0.0,999.960089332,1.0,8.26,24.159,8.26,24.159,entry_initial_normal_long
1,129,HYPE,0.0,-0.070409736,999.8896795960001,0.0,999.8896795960001,1.0,14.58,24.146,22.84,24.15070140105079,entry_trailing_cropped_long
2,362,HYPE,0.0,-1.038916152,998.8507634440001,0.0,998.8507634440001,1.0,221.82,23.418,244.66,23.48640063761955,entry_grid_inflated_long
3,363,HYPE,-0.033923379383611514,-0.024888800000000003,998.7919512646165,0.0,998.7919512646165,1.0,-5.3,23.48,239.36,23.48640063761955,close_unstuck_long
4,364,HYPE,-0.033923379383611514,-0.024888800000000003,998.7331390852329,0.0,998.7331390852329,1.0,-5.3,23.48,234.06,23.48640063761955,close_unstuck_long
5,365,HYPE,-0.1028233793836204,-0.024875019999999998,998.6054406858493,0.0,998.6054406858493,1.0,-5.3,23.467,228.76,23.48640063761955,close_unstuck_long
6,439,HYPE,2.110551795961951,-0.17873086400000002,1000.5372616178113,0.0,1000.5372616178113,1.0,-37.96,23.542,190.8,23.48640063761955,close_trailing_long
7,449,HYPE,0.018765398512235548,-0.019168656000000003,1000.5368583603235,0.0,1000.5368583603235,1.0,-4.08,23.491,186.72,23.48640063761955,close_trailing_long
8,662,HYPE,6.20312595111588,-0.07526976,1006.6647145514394,0.0,1006.6647145514394,1.0,-15.76,23.88,170.96,23.48640063761955,close_grid_long
9,663,HYPE,90.71126699256169,-0.821189264,1096.554792280001,0.0,1096.554792280001,1.0,-170.96,24.017,0.0,23.48640063761955,close_grid_long
10,942,HYPE,0.0,-0.043775724,1096.511016556001,0.0,1096.511016556001,1.0,9.26,23.637,9.26,23.637,entry_initial_normal_long
11,975,HYPE,0.0,-0.07722849600000001,1096.433788060001,0.0,1096.433788060001,1.0,16.26,23.748,25.52,23.707723354231977,entry_trailing_cropped_long
12,1174,HYPE,7.447583409090889,-0.08261734600000001,1103.7987541230918,0.0,1103.7987541230918,1.0,-17.11,24.143,8.41,23.707723354231977,close_grid_long
13,1175,HYPE,3.6943165909090627,-0.040615254,1107.452455460001,0.0,1107.452455460001,1.0,-8.41,24.147,0.0,23.707723354231977,close_grid_long
14,1970,HYPE,0.0,-0.044232496,1107.408222964001,0.0,1107.408222964001,1.0,8.92,24.794,8.92,24.794,entry_initial_normal_long
15,2050,HYPE,0.0,-0.07795891,1107.330264054001,0.0,1107.330264054001,1.0,15.65,24.907,24.57,24.86597598697599,entry_trailing_cropped_long
16,2147,HYPE,7.527185494505458,-0.083413962,1114.7740355865064,0.0,1114.7740355865064,1.0,-16.47,25.323,8.1,24.86597598697599,close_grid_long
17,2148,HYPE,3.782894505494472,-0.04103946,1118.515890632001,0.0,1118.515890632001,1.0,-8.1,25.333,0.0,24.86597598697599,close_grid_long
18,2290,HYPE,0.0,-0.044676827999999995,1118.4712138040009,0.0,1118.4712138040009,1.0,9.03,24.738,9.03,24.738,entry_initial_normal_long
19,2374,HYPE,0.0,-0.07875067200000001,1118.3924631320008,0.0,1118.3924631320008,1.0,15.73,25.032,24.76,24.92477786752827,entry_trailing_cropped_long
20,2805,HYPE,0.0,-1.16199744,1117.2304656920007,0.0,1117.2304656920007,1.0,240.4,24.168,265.16,24.238666088399455,entry_grid_inflated_long
21,2806,HYPE,-0.03826334741287639,-0.027818336,1117.1643840085878,0.0,1117.1643840085878,1.0,-5.74,24.232,259.42,24.238666088399455,close_unstuck_long
22,2807,HYPE,0.15089331347112536,-0.027807690000000003,1117.287469632059,0.0,1117.287469632059,1.0,-5.73,24.265,253.69,24.238666088399455,close_unstuck_long
23,2808,HYPE,0.2998733134711242,-0.027837486,1117.55950545953,0.0,1117.55950545953,1.0,-5.73,24.291,247.96,24.238666088399455,close_unstuck_long
24,2828,HYPE,15.860343801478376,-0.20270476799999998,1133.2171444930084,0.0,1133.2171444930084,1.0,-41.16,24.624,206.8,24.238666088399455,close_trailing_long
25,2837,HYPE,0.6116277538090245,-0.009236063999999999,1133.8195361828175,0.0,1133.8195361828175,1.0,-1.88,24.564,204.92,24.238666088399455,close_trailing_long
26,2894,HYPE,7.029576670689419,-0.0852717,1140.763841153507,0.0,1140.763841153507,1.0,-17.3,24.645,187.62,24.238666088399455,close_grid_long
27,2901,HYPE,7.143913400965502,-0.085827818,1147.8219267364725,0.0,1147.8219267364725,1.0,-17.41,24.649,170.21,24.238666088399455,close_grid_long
28,2902,HYPE,7.276650131241545,-0.086387616,1155.012189251714,0.0,1155.012189251714,1.0,-17.52,24.654,152.69,24.238666088399455,close_grid_long
29,2902,HYPE,7.311690131241525,-0.086394624,1162.2374847589556,0.0,1162.2374847589556,1.0,-17.52,24.656,135.17,24.238666088399455,close_grid_long
30,2902,HYPE,7.381770131241549,-0.08640864000000001,1169.532846250197,0.0,1169.532846250197,1.0,-17.52,24.66,117.65,24.238666088399455,close_grid_long
31,2902,HYPE,7.451850131241572,-0.08642265600000001,1176.8982737254387,0.0,1176.8982737254387,1.0,-17.52,24.664,100.13,24.238666088399455,close_grid_long
32,2902,HYPE,7.5219301312415325,-0.086436672,1184.3337671846803,0.0,1184.3337671846803,1.0,-17.52,24.668,82.61,24.238666088399455,close_grid_long
33,2902,HYPE,7.592010131241556,-0.08645068800000001,1191.8393266279218,0.0,1191.8393266279218,1.0,-17.52,24.672,65.09,24.238666088399455,close_grid_long
34,2902,HYPE,7.644570131241558,-0.0864612,1199.3974355591633,0.0,1199.3974355591633,1.0,-17.52,24.675,47.57,24.238666088399455,close_grid_long
