,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,38,HYPE,0.0,-0.05398176,999.94601824,0.0,999.94601824,1.0,11.2,24.099,11.2,24.099,entry_initial_normal_long
1,130,HYPE,0.5375999999999805,-0.054089279999999997,1000.42952896,0.0,1000.42952896,1.0,-11.2,24.147,0.0,24.099,close_trailing_long
2,209,HYPE,0.0,-0.05403918,1000.37548978,0.0,1000.37548978,1.0,11.31,23.89,11.31,23.89,entry_initial_normal_long
3,219,HYPE,0.33930000000001287,-0.05410704000000001,1000.66068274,0.0,1000.66068274,1.0,-11.31,23.92,0.0,23.89,close_trailing_long
4,242,HYPE,0.0,-0.054044100000000005,1000.6066386399999,0.0,1000.6066386399999,1.0,11.33,23.85,11.33,23.85,entry_initial_normal_long
5,664,HYPE,0.9970399999999707,-0.054243508,1001.5494351319999,0.0,1001.5494351319999,1.0,-11.33,23.938,0.0,23.85,close_trailing_long
6,949,HYPE,0.0,-0.054079984000000005,1001.4953551479998,0.0,1001.4953551479998,1.0,11.48,23.554,11.48,23.554,entry_initial_normal_long
7,957,HYPE,1.7908800000000271,-0.054438160000000006,1003.2317969879998,0.0,1003.2317969879998,1.0,-11.48,23.71,0.0,23.554,close_trailing_long
8,959,HYPE,0.0,-0.054195985999999995,1003.1776010019998,0.0,1003.1776010019998,1.0,11.51,23.543,11.51,23.543,entry_initial_normal_long
9,976,HYPE,1.9106600000000042,-0.054578117999999995,1005.0336828839999,0.0,1005.0336828839999,1.0,-11.51,23.709,0.0,23.543,close_trailing_long
10,980,HYPE,0.0,-0.05427262,1004.9794102639999,0.0,1004.9794102639999,1.0,11.54,23.515,11.54,23.515,entry_initial_normal_long
11,1056,HYPE,0.8424200000000045,-0.054441104,1005.7673891599999,0.0,1005.7673891599999,1.0,-11.54,23.588,0.0,23.515,close_trailing_long
12,2009,HYPE,0.0,-0.054314778,1005.7130743819998,0.0,1005.7130743819998,1.0,10.99,24.711,10.99,24.711,entry_initial_normal_long
13,2028,HYPE,1.1759300000000317,-0.054549964,1006.8344544179998,0.0,1006.8344544179998,1.0,-10.99,24.818,0.0,24.711,close_trailing_long
14,2067,HYPE,0.0,-0.05438451799999999,1006.7800698999998,0.0,1006.7800698999998,1.0,11.03,24.653,11.03,24.653,entry_initial_normal_long
15,2088,HYPE,0.7500400000000154,-0.054534526,1007.4755753739998,0.0,1007.4755753739998,1.0,-11.03,24.721,0.0,24.653,close_trailing_long
16,2297,HYPE,0.0,-0.05438893000000001,1007.4211864439999,0.0,1007.4211864439999,1.0,11.03,24.655,11.03,24.655,entry_initial_normal_long
17,2303,HYPE,1.941279999999982,-0.054777186,1009.3076892579999,0.0,1009.3076892579999,1.0,-11.03,24.831,0.0,24.655,close_trailing_long
18,2582,HYPE,0.0,-0.054514688000000006,1009.2531745699998,0.0,1009.2531745699998,1.0,11.12,24.512,11.12,24.512,entry_initial_normal_long
19,2593,HYPE,1.6457599999999963,-0.054843840000000005,1010.8440907299998,0.0,1010.8440907299998,1.0,-11.12,24.66,0.0,24.512,close_trailing_long
20,2596,HYPE,0.0,-0.054572632,1010.7895180979998,0.0,1010.7895180979998,1.0,11.14,24.494,11.14,24.494,entry_initial_normal_long
21,2605,HYPE,0.2005200000000076,-0.05461273600000001,1010.9354253619998,0.0,1010.9354253619998,1.0,-11.14,24.512,0.0,24.494,close_trailing_long
22,2606,HYPE,0.0,-0.05458371000000001,1010.8808416519998,0.0,1010.8808416519998,1.0,11.15,24.477,11.15,24.477,entry_initial_normal_long
23,2645,HYPE,0.7470500000000019,-0.05473312000000001,1011.5731585319999,0.0,1011.5731585319999,1.0,-11.15,24.544,0.0,24.477,close_trailing_long
24,2740,HYPE,0.0,-0.054606998000000004,1011.5185515339998,0.0,1011.5185515339998,1.0,11.23,24.313,11.23,24.313,entry_initial_normal_long
25,2747,HYPE,2.8075,-0.055168498,1014.2708830359998,0.0,1014.2708830359998,1.0,-11.23,24.563,0.0,24.313,close_trailing_long
26,2773,HYPE,0.0,-0.054780192000000005,1014.2161028439998,0.0,1014.2161028439998,1.0,11.28,24.282,11.28,24.282,entry_initial_normal_long
27,2776,HYPE,0.8798399999999932,-0.054956160000000004,1015.0409866839998,0.0,1015.0409866839998,1.0,-11.28,24.36,0.0,24.282,close_trailing_long
