,balance,equity,balance_btc,equity_btc
0,999.930499348,1000.0,0.0,0.0
60,999.930499348,998.7328093479999,0.0,-1.1976900000000283
120,999.930499348,997.780429348,0.0,-2.1500700000000132
180,999.930499348,1002.7010593480001,0.0,2.7705600000000024
240,999.930499348,998.559649348,0.0,-1.3708500000000348
300,999.930499348,995.486059348,0.0,-4.4444399999999975
360,999.722498756,990.868459348,0.0,-9.062040000000001
420,999.722498756,994.5767787560001,0.0,-5.145720000000023
480,999.722498756,997.0568787560002,0.0,-2.665619999999929
540,999.722498756,987.7860287560001,0.0,-11.93646999999993
600,999.722498756,999.3007787559999,0.0,-0.421720000000124
660,999.722498756,1018.7282287559999,0.0,19.00572999999991
720,1040.522280412,1031.423978756,0.0,31.701479999999904
780,1040.522280412,1040.522280412,0.0,0.0
840,1040.522280412,1040.522280412,0.0,0.0
900,1040.449965532,1040.522280412,0.0,0.0
960,1040.449965532,1039.9738055320001,0.0,-0.47615999999998165
1020,1040.449965532,1038.1306055320001,0.0,-2.319359999999997
1080,1040.449965532,1040.065965532,0.0,-0.38399999999997814
1140,1040.449965532,1047.039405532,0.0,6.589440000000031
1200,1051.112143324,1049.773485532,0.0,9.32351999999999
1260,1051.112143324,1051.112143324,0.0,0.0
1320,1051.112143324,1051.112143324,0.0,0.0
1380,1051.112143324,1051.112143324,0.0,0.0
1440,1051.112143324,1051.112143324,0.0,0.0
1500,1051.112143324,1051.112143324,0.0,0.0
1560,1051.112143324,1051.112143324,0.0,0.0
1620,1051.112143324,1051.112143324,0.0,0.0
1680,1051.112143324,1051.112143324,0.0,0.0
1740,1051.112143324,1051.112143324,0.0,0.0
1800,1051.112143324,1051.112143324,0.0,0.0
1860,1051.112143324,1051.112143324,0.0,0.0
1920,1051.112143324,1051.112143324,0.0,0.0
1980,1051.039092556,1051.112143324,0.0,0.0
2040,1051.039092556,1053.331542556,0.0,2.292449999999964
2100,1061.819730616,1052.148342556,0.0,1.1092499999999894
2160,1061.819730616,1061.819730616,0.0,0.0
2220,1061.819730616,1061.819730616,0.0,0.0
2280,1061.819730616,1061.819730616,0.0,0.0
2340,1061.819730616,1061.819730616,0.0,0.0
2400,1061.819730616,1061.819730616,0.0,0.0
2460,1061.819730616,1061.819730616,0.0,0.0
2520,1061.819730616,1061.819730616,0.0,0.0
2580,1061.74594116,1061.819730616,0.0,0.0
2640,1061.74594116,1062.15310116,0.0,0.40715999999996183
2700,1061.74594116,1063.11822116,0.0,1.3722799999999626
2760,1061.74594116,1062.49994116,0.0,0.7539999999999571
2820,1061.74594116,1062.4396211600001,0.0,0.6936799999999905
2880,1061.74594116,1062.57534116,0.0,0.8293999999999957
2940,1061.74594116,1056.69414116,0.0,-5.0518000000000125
3000,1061.74594116,1057.52354116,0.0,-4.222400000000017
3060,1061.74594116,1059.92126116,0.0,-1.8246800000000334
3120,1061.74594116,1068.78830116,0.0,7.042359999999981
3180,1061.74594116,1067.35570116,0.0,5.609759999999999
3240,1061.74594116,1072.03050116,0.0,10.28455999999998
3300,1061.74594116,1071.74398116,0.0,9.998040000000003
3360,1061.74594116,1067.17474116,0.0,5.428799999999992
3420,1061.74594116,1060.32842116,0.0,-1.417520000000018
3480,1061.74594116,1065.15402116,0.0,3.4080799999999862
3540,1061.74594116,1062.49994116,0.0,0.7539999999999571
3600,1072.633119072,1067.11442116,0.0,5.3684799999999715
3660,1072.633119072,1072.633119072,0.0,0.0
3720,1072.633119072,1072.633119072,0.0,0.0
3780,1072.633119072,1072.633119072,0.0,0.0
3840,1072.633119072,1072.633119072,0.0,0.0
3900,1072.633119072,1072.633119072,0.0,0.0
3960,1072.633119072,1072.633119072,0.0,0.0
4020,1072.633119072,1072.633119072,0.0,0.0
4080,1072.633119072,1072.633119072,0.0,0.0
4140,1072.633119072,1072.633119072,0.0,0.0
4200,1072.558583744,1072.633119072,0.0,0.0
4260,1072.558583744,1076.6941837440002,0.0,4.135600000000017
4320,1072.558583744,1072.529043744,0.0,-0.029539999999983628
4380,1072.558583744,1074.2866737440002,0.0,1.728090000000013
4440,1083.5593329160001,1079.3970937440001,0.0,6.838510000000014
4500,1083.5593329160001,1083.5593329160001,0.0,0.0
4560,1083.5593329160001,1083.5593329160001,0.0,0.0
4620,1083.5593329160001,1083.5593329160001,0.0,0.0
4680,1083.5593329160001,1083.5593329160001,0.0,0.0
4740,1083.5593329160001,1083.5593329160001,0.0,0.0
4800,1083.5593329160001,1083.5593329160001,0.0,0.0
4860,1083.5593329160001,1083.5593329160001,0.0,0.0
4920,1083.5593329160001,1083.5593329160001,0.0,0.0
4980,1083.484037724,1083.5593329160001,0.0,0.0
5040,1083.484037724,1083.335637724,0.0,-0.14839999999997047
5100,1083.484037724,1081.970357724,0.0,-1.5136800000000046
5160,1083.484037724,1085.9177977240001,0.0,2.433760000000022
5220,1083.258681112,1080.263757724,0.0,-3.2202799999999816
5280,1083.258681112,1062.540421112,0.0,-20.718259999999958
5340,1082.360604484,1078.573141112,0.0,-4.6855400000000005
5400,1099.8567147352335,1075.5728544839997,0.0,-6.787750000000364
5460,1098.5177369432336,1065.9609596959995,0.0,-33.89575503923395
5520,1108.8003127805307,951.2471019040006,0.0,-147.2706350392329
5580,1108.8003127805307,1129.9137894360013,0.0,21.113476655470574
5640,1175.8757981960011,1120.3771194360013,0.0,11.576806655470556
5700,1175.794092572001,1175.8757981960011,0.0,0.0
5760,1175.794092572001,1175.188942572001,0.0,-0.6051500000000024
5820,1175.549577224001,1175.171652572001,0.0,-0.6224400000000235
5880,1175.549577224001,1163.6292172240012,0.0,-11.920359999999867
5940,1196.6176610060231,1138.3714672240012,0.0,-37.17810999999982
6000,1345.0593939393566,1252.4494364559998,0.0,55.831775449976675
6060,1343.4346192933565,1286.957234604,0.0,-58.10215933535656
6120,1555.4057167255032,1374.3122199580014,0.0,30.87760066464492
6180,1570.5510003300033,1556.1567963840034,0.0,0.7510796585001411
6240,1570.5510003300033,1579.0395603300033,0.0,8.488559999999966
6300,1570.5510003300033,1570.0502003300032,0.0,-0.5008000000000783
6360,1570.5510003300033,1558.3064403300032,0.0,-12.24456000000002
6420,1570.5510003300033,1576.8360403300032,0.0,6.285039999999942
6480,1570.2244582540034,1560.159400330003,0.0,-10.391600000000068
6540,1570.2244582540034,1530.2577182540033,0.0,-39.96674000000004
6600,1635.6540411820033,1585.2787382540032,0.0,15.054279999999858
6660,1635.5403903340034,1635.6540411820033,0.0,0.0
6720,1635.5403903340034,1634.6853503340035,0.0,-0.8550400000000007
6780,1703.5039252140034,1622.9819903340035,0.0,-12.558399999999969
6840,1703.5039252140034,1703.5039252140034,0.0,0.0
6900,1703.5039252140034,1703.5039252140034,0.0,0.0
6960,1703.5039252140034,1703.5039252140034,0.0,0.0
7020,1703.5039252140034,1703.5039252140034,0.0,0.0
7080,1703.5039252140034,1703.5039252140034,0.0,0.0
7140,1703.5039252140034,1703.5039252140034,0.0,0.0
7200,1703.5039252140034,1703.5039252140034,0.0,0.0
7260,1703.5039252140034,1703.5039252140034,0.0,0.0
7320,1720.8530209140033,1703.5039252140034,0.0,0.0
7380,1720.7334332260034,1720.8530209140033,0.0,0.0
7440,1790.025731046004,1711.1768532260035,0.0,-9.556579999999952
7500,1804.0779196415338,1792.592771046004,0.0,2.5670399999999836
7560,1804.0779196415338,1809.9425345480038,0.0,5.864614906469929
7620,1912.4836321340035,1832.3363345480036,0.0,28.258414906469756
7680,2032.5129733840024,1883.9586421340027,0.0,-28.52499000000069
7740,2032.5129733840024,2027.3495733840025,0.0,-5.163399999999921
7800,2032.1053808500023,2030.7670133840024,0.0,-1.7459599999998676
7860,2111.9864573440022,2045.3350408500023,0.0,13.229659999999958
7920,2111.9864573440022,2102.0741573440023,0.0,-9.9123
7980,2109.797262792002,2100.8790573440024,0.0,-11.107399999999963
8040,2155.3329222600914,1786.1756527920024,0.0,-323.6216099999996
8100,2285.0830125760012,2108.3871325960017,0.0,-46.945789664089645
8160,2284.9242218040013,2285.0830125760012,0.0,0.0
8220,2308.206919404001,2293.8308818040014,0.0,8.906659999999963
8280,2308.206919404001,2312.112219404001,0.0,3.9052999999999596
8340,2660.9846270921835,2299.758719404001,0.0,-8.44819999999999
8400,3208.6971530440082,3214.203635356007,0.0,392.70422334226765
8460,3241.388165674008,3208.6971530440082,0.0,0.0
8520,3274.4526320740083,3241.388165674008,0.0,0.0
8580,3274.4526320740083,3274.4526320740083,0.0,0.0
8640,3274.4526320740083,3274.4526320740083,0.0,0.0
8700,3274.4526320740083,3274.4526320740083,0.0,0.0
8760,3274.4526320740083,3274.4526320740083,0.0,0.0
8820,3274.4526320740083,3274.4526320740083,0.0,0.0
8880,3274.4526320740083,3274.4526320740083,0.0,0.0
8940,3274.4526320740083,3274.4526320740083,0.0,0.0
9000,3274.4526320740083,3274.4526320740083,0.0,0.0
9060,3274.4526320740083,3274.4526320740083,0.0,0.0
9120,3274.4526320740083,3274.4526320740083,0.0,0.0
9180,3274.4526320740083,3274.4526320740083,0.0,0.0
9240,3274.4526320740083,3274.4526320740083,0.0,0.0
9300,3274.4526320740083,3274.4526320740083,0.0,0.0
9360,3274.2251018700085,3274.4526320740083,0.0,0.0
9420,3273.5441750820087,3276.9694118700086,0.0,2.744310000000104
9480,3408.450103728009,3257.264665082009,0.0,-16.27951000000003
9540,3407.741327802009,3383.312053728009,0.0,-25.138050000000018
9600,3407.741327802009,3471.433957802009,0.0,63.692629999999824
9660,3550.886509278009,3339.6727578020086,0.0,-68.06857000000025
9720,3550.886509278009,3550.886509278009,0.0,0.0
9780,3587.058957774009,3550.886509278009,0.0,0.0
9840,3587.058957774009,3587.058957774009,0.0,0.0
9900,3587.058957774009,3587.058957774009,0.0,0.0
9960,3587.058957774009,3587.058957774009,0.0,0.0
10020,3586.8097344660086,3587.058957774009,0.0,0.0
10080,3586.8097344660086,3590.0035144660087,0.0,3.1937800000000496
10140,3586.8097344660086,3594.3422344660084,0.0,7.5325
10200,3586.8097344660086,3582.229974466009,0.0,-4.579759999999816
10260,3586.8097344660086,3564.0314544660087,0.0,-22.778280000000006
10320,3586.0638955060085,3571.021614466009,0.0,-15.788119999999813
10380,3586.0638955060085,3564.791335506009,0.0,-21.272559999999547
10440,3586.0638955060085,3588.9561755060085,0.0,2.892280000000203
10500,3586.0638955060085,3604.983875506009,0.0,18.919980000000518
10560,3586.0638955060085,3580.572455506009,0.0,-5.491439999999531
10620,3586.0638955060085,3499.4476355060087,0.0,-86.61625999999968
10680,3586.0638955060085,3545.3115155060086,0.0,-40.752379999999704
10740,3586.0638955060085,3583.531415506009,0.0,-2.5324799999994188
