,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,38,HYPE,0.0,-0.134233068,999.865766932,0.0,999.865766932,1.0,27.87,24.082,27.87,24.082,entry_initial_normal_long
1,875,HYPE,10.674209999999976,-0.13636791,1010.4036090220001,0.0,1010.4036090220001,1.0,-27.87,24.465,0.0,24.082,close_grid_long
2,949,HYPE,0.0,-0.135621156,1010.2679878660001,0.0,1010.2679878660001,1.0,28.82,23.529,28.82,23.529,entry_initial_normal_long
3,1108,HYPE,10.778679999999964,-0.137776892,1020.9088909740001,0.0,1020.9088909740001,1.0,-28.82,23.903,0.0,23.529,close_grid_long
4,2010,HYPE,0.0,-0.137046884,1020.7718440900001,0.0,1020.7718440900001,1.0,27.82,24.631,27.82,24.631,entry_initial_normal_long
5,2055,HYPE,10.905439999999984,-0.139227972,1031.538056118,0.0,1031.538056118,1.0,-27.82,25.023,0.0,24.631,close_grid_long
6,2071,HYPE,0.0,-0.1384417,1031.399614418,0.0,1031.399614418,1.0,28.15,24.59,28.15,24.59,entry_initial_normal_long
7,2145,HYPE,11.00665000000005,-0.14064303,1042.265621388,0.0,1042.265621388,1.0,-28.15,24.981,0.0,24.59,close_grid_long
8,2596,HYPE,0.0,-0.13988688,1042.125734508,0.0,1042.125734508,1.0,28.56,24.49,28.56,24.49,entry_initial_normal_long
9,3018,HYPE,11.138400000000015,-0.14211456,1053.1220199480001,0.0,1053.1220199480001,1.0,-28.56,24.88,0.0,24.49,close_grid_long
10,3403,HYPE,0.0,-0.14133834,1052.9806816080002,0.0,1052.9806816080002,1.0,29.07,24.31,29.07,24.31,entry_initial_normal_long
11,3464,HYPE,11.250090000000013,-0.143588358,1064.0871832500002,0.0,1064.0871832500002,1.0,-29.07,24.697,0.0,24.31,close_grid_long
12,3492,HYPE,0.0,-0.142800246,1063.9443830040002,0.0,1063.9443830040002,1.0,29.43,24.261,29.43,24.261,entry_initial_normal_long
13,3559,HYPE,11.359979999999977,-0.145072242,1075.1592907620002,0.0,1075.1592907620002,1.0,-29.43,24.647,0.0,24.261,close_grid_long
14,4204,HYPE,0.0,-0.14428638000000002,1075.0150043820001,0.0,1075.0150043820001,1.0,28.7,25.137,28.7,25.137,entry_initial_normal_long
15,4231,HYPE,11.47999999999996,-0.14658237999999998,1086.348422002,0.0,1086.348422002,1.0,-28.7,25.537,0.0,25.137,close_grid_long
16,5019,HYPE,0.0,-0.14580523600000003,1086.2026167660001,0.0,1086.2026167660001,1.0,28.78,25.331,28.78,25.331,entry_initial_normal_long
