,balance,equity,balance_btc,equity_btc
0,1008.8070829480001,1000.0,0.0,0.0
60,1008.8070829480001,1003.8172829480002,0.0,-4.989799999999995
120,1011.7175514880001,1001.1178829480002,0.0,-7.689199999999952
180,1011.7175514880001,1011.7175514880001,0.0,0.0
240,1011.7175514880001,1011.7175514880001,0.0,0.0
300,1011.7175514880001,1011.7175514880001,0.0,0.0
360,1011.7175514880001,1011.7175514880001,0.0,0.0
420,1011.7175514880001,1011.7175514880001,0.0,0.0
480,1011.7175514880001,1011.7175514880001,0.0,0.0
540,1011.7175514880001,1011.7175514880001,0.0,0.0
600,1011.7175514880001,1011.7175514880001,0.0,0.0
660,1011.7175514880001,1011.7175514880001,0.0,0.0
720,1011.7175514880001,1011.7175514880001,0.0,0.0
780,1011.7175514880001,1011.7175514880001,0.0,0.0
840,1011.7175514880001,1011.7175514880001,0.0,0.0
900,1017.0009242840003,1011.7175514880001,0.0,0.0
960,1019.7594172400003,1012.1173242840003,0.0,-4.883599999999986
1020,1022.7072946040003,1017.4622572400002,0.0,-2.297160000000087
1080,1022.7072946040003,1022.7072946040003,0.0,0.0
1140,1022.7072946040003,1022.7072946040003,0.0,0.0
1200,1022.7072946040003,1022.7072946040003,0.0,0.0
1260,1022.7072946040003,1022.7072946040003,0.0,0.0
1320,1022.7072946040003,1022.7072946040003,0.0,0.0
1380,1022.7072946040003,1022.7072946040003,0.0,0.0
1440,1022.7072946040003,1022.7072946040003,0.0,0.0
1500,1022.7072946040003,1022.7072946040003,0.0,0.0
1560,1022.7072946040003,1022.7072946040003,0.0,0.0
1620,1022.7072946040003,1022.7072946040003,0.0,0.0
1680,1022.7072946040003,1022.7072946040003,0.0,0.0
1740,1022.7072946040003,1022.7072946040003,0.0,0.0
1800,1022.7072946040003,1022.7072946040003,0.0,0.0
1860,1022.7072946040003,1022.7072946040003,0.0,0.0
1920,1025.4548096760002,1022.7072946040003,0.0,0.0
1980,1028.22458514,1025.4548096760002,0.0,0.0
2040,1030.97880934,1028.22458514,0.0,0.0
2100,1030.97880934,1030.97880934,0.0,0.0
2160,1030.97880934,1030.97880934,0.0,0.0
2220,1030.97880934,1030.97880934,0.0,0.0
2280,1036.530961768,1030.97880934,0.0,0.0
2340,1036.530961768,1036.530961768,0.0,0.0
2400,1036.530961768,1036.530961768,0.0,0.0
2460,1036.530961768,1036.530961768,0.0,0.0
2520,1036.530961768,1036.530961768,0.0,0.0
2580,1042.118845278,1036.530961768,0.0,0.0
2640,1042.118845278,1042.118845278,0.0,0.0
2700,1042.118845278,1042.118845278,0.0,0.0
2760,1042.118845278,1042.118845278,0.0,0.0
2820,1042.118845278,1042.118845278,0.0,0.0
2880,1041.915049722,1042.118845278,0.0,0.0
2940,1044.953075672,1039.093679722,0.0,-2.821370000000007
3000,1044.953075672,1044.953075672,0.0,0.0
3060,1044.953075672,1044.953075672,0.0,0.0
3120,1044.953075672,1044.953075672,0.0,0.0
3180,1044.953075672,1044.953075672,0.0,0.0
3240,1044.953075672,1044.953075672,0.0,0.0
3300,1044.953075672,1044.953075672,0.0,0.0
3360,1047.555147194,1044.953075672,0.0,0.0
3420,1050.581293316,1045.960287194,0.0,-1.5948600000000106
3480,1053.428455956,1050.581293316,0.0,0.0
3540,1053.428455956,1053.428455956,0.0,0.0
3600,1053.428455956,1053.428455956,0.0,0.0
