,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,13,HYPE,0.0,-0.12830366,999.87169634,0.0,999.87169634,1.0,26.45,24.254,26.45,24.254,entry_initial_normal_long
1,1256,HYPE,9.283949999999976,-0.13016045,1009.0254858899999,0.0,1009.0254858899999,1.0,-26.45,24.605,0.0,24.254,close_grid_long
2,2010,HYPE,0.0,-0.129429414,1008.8960564759999,0.0,1008.8960564759999,1.0,26.31,24.597,26.31,24.597,entry_initial_normal_long
3,2049,HYPE,9.366359999999949,-0.131302686,1018.1311137899999,0.0,1018.1311137899999,1.0,-26.31,24.953,0.0,24.597,close_grid_long
4,3882,HYPE,0.0,-0.130607,1018.0005067899998,0.0,1018.0005067899998,1.0,26.2,24.925,26.2,24.925,entry_initial_normal_long
5,3883,HYPE,17.422999999999977,-0.1340916,1035.2894151899998,0.0,1035.2894151899998,1.0,-26.2,25.59,0.0,24.925,close_grid_long
6,4204,HYPE,0.0,-0.13282117200000002,1035.1565940179999,0.0,1035.1565940179999,1.0,26.41,25.146,26.41,25.146,entry_initial_normal_long
7,4231,HYPE,9.61324000000002,-0.13474382000000001,1044.635090198,0.0,1044.635090198,1.0,-26.41,25.51,0.0,25.146,close_grid_long
8,5217,HYPE,0.0,-0.133981968,1044.50110823,0.0,1044.50110823,1.0,26.76,25.034,26.76,25.034,entry_initial_normal_long
9,5943,HYPE,0.0,-0.07818565200000001,1044.422922578,0.0,1044.422922578,1.0,17.51,22.326,44.27,23.962911678337477,entry_grid_cropped_long
10,5946,HYPE,0.0,-0.20854442,1044.214378158,0.0,1044.214378158,1.0,47.05,22.162,91.32,23.035043802014897,entry_trailing_normal_long
11,5950,HYPE,0.0,-0.179292,1044.035086158,0.0,1044.035086158,1.0,40.2,22.3,131.52,22.810372566909976,entry_trailing_cropped_long
12,6424,HYPE,-2.175741240875915,-0.01598832,1041.843356597124,0.0,1041.843356597124,1.0,-3.6,22.206,127.92,22.810372566909976,close_unstuck_long
13,6425,HYPE,-2.0153275152068177,-0.015974782,1039.8120542999172,0.0,1039.8120542999172,1.0,-3.59,22.249,124.33,22.810372566909976,close_unstuck_long
14,6426,HYPE,-2.01329378953771,-0.015929568,1037.7828309423796,0.0,1037.7828309423796,1.0,-3.58,22.248,120.75,22.810372566909976,close_unstuck_long
15,6443,HYPE,0.0,-0.045440164,1037.7373907783797,0.0,1037.7373907783797,1.0,10.34,21.973,131.09,22.744323041073915,entry_trailing_cropped_long
16,6651,HYPE,-3.1898158695090575,-0.015919904000000002,1034.5316550048706,0.0,1034.5316550048706,1.0,-3.64,21.868,127.45,22.744323041073915,close_unstuck_long
17,6652,HYPE,-2.921656178276839,-0.01583707,1031.5941617565936,0.0,1031.5941617565936,1.0,-3.61,21.935,123.84,22.744323041073915,close_unstuck_long
18,6657,HYPE,0.0,-0.029430544,1031.5647312125936,0.0,1031.5647312125936,1.0,6.77,21.736,130.61,22.692057923639798,entry_trailing_cropped_long
19,6663,HYPE,-2.8701591043396752,-0.015809633999999996,1028.678762474254,0.0,1028.678762474254,1.0,-3.61,21.897,127.0,22.692057923639798,close_unstuck_long
