,balance,equity,balance_btc,equity_btc
0,999.96440101,1000.0,0.0,0.0
60,999.96440101,998.36210101,0.0,-1.6022999999999996
120,1000.84736827,997.87700101,0.0,-2.087399999999992
180,1000.811743366,1000.84736827,0.0,0.0
240,1000.811743366,1000.670763366,0.0,-0.14098000000001412
300,1000.788432358,999.090303366,0.0,-1.721439999999995
360,1000.788432358,996.469392358,0.0,-4.319039999999931
420,1000.788432358,995.9246723580001,0.0,-4.863759999999937
480,1000.788432358,996.4446323580001,0.0,-4.343799999999917
540,1000.756710016,994.4964900160002,0.0,-6.260219999999872
600,1000.756710016,998.2385400160001,0.0,-2.518169999999935
660,1003.4053937840001,1003.4053937840001,0.0,0.0
720,1003.4053937840001,1003.4053937840001,0.0,0.0
780,1003.4053937840001,1003.4053937840001,0.0,0.0
840,1003.4053937840001,1003.4053937840001,0.0,0.0
900,1005.069727584,1003.4053937840001,0.0,0.0
960,1005.920306988,1004.0491275840001,0.0,-1.0205999999999849
1020,1005.920306988,1004.176906988,0.0,-1.7434000000000032
1080,1006.809075632,1005.131986988,0.0,-0.788319999999994
1140,1006.809075632,1006.809075632,0.0,0.0
1200,1006.809075632,1006.809075632,0.0,0.0
1260,1006.809075632,1006.809075632,0.0,0.0
1320,1006.809075632,1006.809075632,0.0,0.0
1380,1006.809075632,1006.809075632,0.0,0.0
1440,1006.809075632,1006.809075632,0.0,0.0
1500,1006.809075632,1006.809075632,0.0,0.0
1560,1006.809075632,1006.809075632,0.0,0.0
1620,1006.809075632,1006.809075632,0.0,0.0
1680,1006.809075632,1006.809075632,0.0,0.0
1740,1006.809075632,1006.809075632,0.0,0.0
1800,1006.809075632,1006.809075632,0.0,0.0
1860,1006.809075632,1006.809075632,0.0,0.0
1920,1006.773237968,1006.809075632,0.0,0.0
1980,1007.626795496,1007.431167968,0.0,0.6579300000000079
2040,1008.4815639239999,1008.2494354959999,0.0,0.6226399999999893
2100,1009.3747515599999,1008.786483924,0.0,0.30492000000001157
2160,1009.3747515599999,1009.3747515599999,0.0,0.0
2220,1009.3747515599999,1009.3747515599999,0.0,0.0
2280,1010.2319804159999,1009.3747515599999,0.0,0.0
2340,1011.090471452,1010.2319804159999,0.0,0.0
2400,1011.090471452,1011.090471452,0.0,0.0
2460,1011.090471452,1011.090471452,0.0,0.0
2520,1011.054469702,1011.090471452,0.0,0.0
2580,1011.054469702,1011.427279702,0.0,0.37280999999998815
2640,1011.054469702,1010.089549702,0.0,-0.9649200000000105
2700,1011.054469702,1010.557389702,0.0,-0.4970800000000102
2760,1011.054469702,1010.257679702,0.0,-0.7967900000000129
2820,1012.799480078,1010.2284397020001,0.0,-0.8260299999999966
2880,1012.763460068,1012.799480078,0.0,0.0
2940,1012.763460068,1011.4741200679999,0.0,-1.2893399999999962
3000,1013.653504808,1011.881670068,0.0,-0.8817899999999983
3060,1013.653504808,1013.653504808,0.0,0.0
3120,1013.653504808,1013.653504808,0.0,0.0
3180,1013.653504808,1013.653504808,0.0,0.0
3240,1013.653504808,1013.653504808,0.0,0.0
3300,1013.653504808,1013.653504808,0.0,0.0
3360,1013.61742694,1013.653504808,0.0,0.0
3420,1014.511043096,1013.0934469399999,0.0,-0.5239800000000111
3480,1014.474941456,1014.511043096,0.0,0.0
3540,1015.371053336,1015.385141456,0.0,0.9101999999999819
3600,1015.371053336,1015.371053336,0.0,0.0
3660,1015.371053336,1015.371053336,0.0,0.0
3720,1015.371053336,1015.371053336,0.0,0.0
3780,1015.371053336,1015.371053336,0.0,0.0
3840,1015.371053336,1015.371053336,0.0,0.0
3900,1015.371053336,1015.371053336,0.0,0.0
3960,1015.371053336,1015.371053336,0.0,0.0
4020,1015.371053336,1015.371053336,0.0,0.0
4080,1015.371053336,1015.371053336,0.0,0.0
4140,1015.371053336,1015.371053336,0.0,0.0
4200,1017.9543861339998,1015.371053336,0.0,0.0
4260,1017.9543861339998,1017.9543861339998,0.0,0.0
4320,1018.8164182419998,1017.9543861339998,0.0,0.0
4380,1018.8164182419998,1018.8164182419998,0.0,0.0
4440,1018.8164182419998,1018.8164182419998,0.0,0.0
