,balance,equity,balance_btc,equity_btc
0,999.986452484,1000.0,0.0,0.0
60,999.986452484,998.726102484,0.0,-1.2603500000000052
120,999.986452484,998.543282484,0.0,-1.4431700000000023
180,999.986452484,999.487852484,0.0,-0.4985999999999992
240,999.967854938,998.692862484,0.0,-1.2935900000000065
300,999.967854938,998.5283449379999,0.0,-1.439510000000006
360,999.967854938,996.3843449379999,0.0,-3.583510000000008
420,999.967854938,996.0895449379999,0.0,-3.878310000000011
480,999.967854938,996.370944938,0.0,-3.5969100000000007
540,999.9237171259999,995.3190449379999,0.0,-4.648810000000001
600,999.9237171259999,999.2822471259999,0.0,-0.6414699999999733
660,999.9237171259999,1004.615337126,0.0,4.691620000000037
720,1010.70347261,1008.100487126,0.0,8.176770000000035
780,1010.70347261,1010.70347261,0.0,0.0
840,1010.70347261,1010.70347261,0.0,0.0
900,1010.689809246,1010.70347261,0.0,0.0
960,1010.689809246,1009.6087292459999,0.0,-1.0810800000000003
1020,1010.689809246,1009.265529246,0.0,-1.424280000000003
1080,1010.689809246,1009.6258892459999,0.0,-1.0639199999999995
1140,1010.689809246,1010.924329246,0.0,0.23452000000000212
1200,1012.663448342,1011.433409246,0.0,0.7435999999999943
1260,1012.663448342,1012.663448342,0.0,0.0
1320,1012.663448342,1012.663448342,0.0,0.0
1380,1012.663448342,1012.663448342,0.0,0.0
1440,1012.663448342,1012.663448342,0.0,0.0
1500,1012.663448342,1012.663448342,0.0,0.0
1560,1012.663448342,1012.663448342,0.0,0.0
1620,1012.663448342,1012.663448342,0.0,0.0
1680,1012.649731342,1012.663448342,0.0,0.0
1740,1014.629365592,1013.733231342,0.0,1.0834999999999955
1800,1014.629365592,1014.629365592,0.0,0.0
1860,1014.615627232,1014.629365592,0.0,0.0
1920,1014.615627232,1015.3362472319999,0.0,0.7206199999999949
1980,1014.615627232,1014.0813272319999,0.0,-0.5343000000000008
2040,1014.615627232,1014.015567232,0.0,-0.6000600000000034
2100,1014.615627232,1013.796367232,0.0,-0.8192599999999987
2160,1014.615627232,1015.456807232,0.0,0.8411799999999963
2220,1014.615627232,1014.749887232,0.0,0.1342599999999986
2280,1014.615627232,1014.895107232,0.0,0.2794800000000009
2340,1014.615627232,1013.892267232,0.0,-0.7233599999999982
2400,1014.615627232,1014.421087232,0.0,-0.19454000000000415
2460,1014.615627232,1013.7497872319999,0.0,-0.8658399999999972
2520,1014.615627232,1014.185447232,0.0,-0.4301800000000001
2580,1014.615627232,1013.5360672319999,0.0,-1.0795600000000054
2640,1014.615627232,1013.034647232,0.0,-1.580980000000005
2700,1014.615627232,1013.210007232,0.0,-1.4056200000000048
2760,1014.596755286,1013.0976672319999,0.0,-1.5179600000000057
2820,1014.596755286,1014.059785286,0.0,-0.5369699999999994
2880,1014.596755286,1014.119455286,0.0,-0.4772999999999971
2940,1014.596755286,1011.533755286,0.0,-3.063000000000001
3000,1014.596755286,1011.898405286,0.0,-2.6983500000000027
3060,1014.596755286,1012.952575286,0.0,-1.64418000000001
3120,1014.596755286,1016.851015286,0.0,2.2542599999999964
3180,1014.596755286,1016.221165286,0.0,1.624410000000004
3240,1014.596755286,1018.276465286,0.0,3.6797099999999956
3300,1014.596755286,1018.150495286,0.0,3.5537400000000066
3360,1014.596755286,1016.141605286,0.0,1.544850000000001
3420,1014.596755286,1013.1315852859999,0.0,-1.4651700000000032
3480,1014.596755286,1015.253185286,0.0,0.6564299999999987
3540,1014.596755286,1014.086305286,0.0,-0.5104500000000141
3600,1019.270563508,1016.115085286,0.0,1.5183299999999922
3660,1019.270563508,1019.270563508,0.0,0.0
3720,1019.270563508,1019.270563508,0.0,0.0
3780,1019.270563508,1019.270563508,0.0,0.0
3840,1021.2455604400001,1019.270563508,0.0,0.0
3900,1021.2455604400001,1021.2455604400001,0.0,0.0
3960,1021.2455604400001,1021.2455604400001,0.0,0.0
4020,1021.2455604400001,1021.2455604400001,0.0,0.0
4080,1021.2455604400001,1021.2455604400001,0.0,0.0
4140,1021.23176074,1021.2455604400001,0.0,0.0
4200,1021.23176074,1020.8321607400001,0.0,-0.3995999999999992
4260,1021.23176074,1021.1156607400001,0.0,-0.11609999999999801
4320,1021.23176074,1020.35426074,0.0,-0.8774999999999982
4380,1021.23176074,1020.67556074,0.0,-0.5561999999999987
4440,1021.23176074,1021.6097607400001,0.0,0.37800000000000156
4500,1021.23176074,1022.22806074,0.0,0.9962999999999994
4560,1021.23176074,1021.84736074,0.0,0.6156000000000041
4620,1021.23176074,1020.8321607400001,0.0,-0.3995999999999992
4680,1021.23176074,1021.48826074,0.0,0.25649999999999695
4740,1023.22365982,1022.48996074,0.0,1.258200000000003
4800,1023.22365982,1023.22365982,0.0,0.0
4860,1023.22365982,1023.22365982,0.0,0.0
4920,1023.20981439,1023.22365982,0.0,0.0
4980,1023.20981439,1023.33355439,0.0,0.12373999999999831
5040,1023.20981439,1022.19837439,0.0,-1.0114399999999937
5100,1023.20981439,1021.95089439,0.0,-1.2589199999999998
5160,1023.20981439,1022.6664343900001,0.0,-0.5433799999999951
5220,1023.145660782,1021.64154439,0.0,-1.5682699999999956
5280,1023.145660782,1017.6394707820001,0.0,-5.506189999999977
5340,1023.038644512,1021.7974707820001,0.0,-1.3481899999999873
5400,1022.78507784,1015.829204512,0.0,-7.209439999999961
5460,1005.5780291282923,1019.28135784,0.0,-3.50371999999994
5520,998.6153973915489,977.1204419139995,0.0,-28.45758721429288
5580,1000.1419722116132,1005.1386545139995,0.0,4.996682302386358
5640,1011.1448215619995,1003.4883245139995,0.0,3.346352302386354
5700,1011.1448215619995,1010.8608215619995,0.0,-0.284000000000004
5760,1011.1448215619995,1009.8299015619995,0.0,-1.3149200000000028
5820,1011.0815465059995,1009.8270615619995,0.0,-1.3177600000000063
5880,1011.0815465059995,1006.7525465059995,0.0,-4.329000000000062
5940,1022.9629197690668,1000.8192065059995,0.0,-10.262340000000052
6000,1022.9629197690668,1022.0202135879993,0.0,-0.9427061810675502
6060,1022.8531252890668,1012.0393935879993,0.0,-10.92352618106754
6120,1025.9465935938692,1012.9708391079994,0.0,-9.882286181067501
6180,1057.0600609059995,1028.1591201299996,0.0,2.2125265361303605
6240,1057.0600609059995,1058.2576209059996,0.0,1.1975600000000026
6300,1057.0600609059995,1057.0765109059996,0.0,0.016449999999996728
6360,1057.0600609059995,1055.5335009059995,0.0,-1.5265599999999955
6420,1057.0600609059995,1057.9681009059996,0.0,0.9080399999999994
6480,1057.0403927339996,1055.7769609059994,0.0,-1.283100000000002
6540,1057.0403927339996,1053.2211727339995,0.0,-3.819219999999986
6600,1057.0403927339996,1057.4956927339997,0.0,0.45530000000000626
6660,1061.8762950599996,1059.7722527339997,0.0,2.731860000000017
6720,1061.8762950599996,1062.0543350599996,0.0,0.1780400000000211
6780,1073.2657021879995,1058.5371950599997,0.0,-3.339099999999969
6840,1073.2657021879995,1073.2657021879995,0.0,0.0
6900,1073.2657021879995,1073.2657021879995,0.0,0.0
6960,1073.2657021879995,1073.2657021879995,0.0,0.0
7020,1073.2657021879995,1073.2657021879995,0.0,0.0
7080,1073.2657021879995,1073.2657021879995,0.0,0.0
7140,1073.2657021879995,1073.2657021879995,0.0,0.0
7200,1075.3486800919995,1073.2657021879995,0.0,0.0
7260,1075.3486800919995,1075.3486800919995,0.0,0.0
7320,1077.4378753399997,1075.3486800919995,0.0,0.0
7380,1077.4232743339996,1077.4378753399997,0.0,0.0
7440,1077.3555958819995,1075.3688743339997,0.0,-2.0543999999999905
7500,1074.4591564447649,1076.2119058819997,0.0,-1.1436899999999384
7560,1074.4591564447649,1070.8895099539998,0.0,-3.569646490765166
7620,1072.2382019943548,1073.4167099539998,0.0,-1.0424464907651851
7680,1080.6136288500002,1066.2813527060002,0.0,-5.956849288354504
7740,1080.6136288500002,1079.9942888500002,0.0,-0.6193400000000071
7800,1080.5935430220002,1080.36104885,0.0,-0.25258000000000136
7860,1080.5935430220002,1080.3543330220002,0.0,-0.23921000000003087
7920,1080.5935430220002,1079.3750430220002,0.0,-1.218500000000038
7980,1080.61314428258,1079.0904630220002,0.0,-1.503080000000029
8040,1092.5239620080004,1075.2183440480007,0.0,-5.394800234579247
8100,1101.8180116600004,1090.7159520080004,0.0,-1.808010000000035
8160,1101.8031163180003,1101.8180116600004,0.0,0.0
8220,1103.9399478840003,1101.2767663180002,0.0,-0.5263499999999984
8280,1103.9194195440002,1102.9982478840002,0.0,-0.9416999999999968
8340,1111.2618552731194,1102.3434995440002,0.0,-1.5759199999999731
8400,1133.4464022720006,1129.2546383440006,0.0,11.619510206416516
8460,1135.6474840160006,1134.1184322720005,0.0,0.6720299999999976
8520,1135.6474840160006,1135.8438340160005,0.0,0.19635000000000744
8580,1135.6474840160006,1136.2134340160005,0.0,0.5659500000000078
8640,1137.8685120560006,1136.7716840160006,0.0,1.124200000000006
8700,1140.0737560580005,1137.8685120560006,0.0,0.0
8760,1140.0737560580005,1140.0737560580005,0.0,0.0
8820,1140.0737560580005,1140.0737560580005,0.0,0.0
8880,1140.0737560580005,1140.0737560580005,0.0,0.0
8940,1140.0737560580005,1140.0737560580005,0.0,0.0
9000,1140.0737560580005,1140.0737560580005,0.0,0.0
9060,1140.0737560580005,1140.0737560580005,0.0,0.0
9120,1140.0737560580005,1140.0737560580005,0.0,0.0
9180,1140.0737560580005,1140.0737560580005,0.0,0.0
9240,1140.0737560580005,1140.0737560580005,0.0,0.0
9300,1140.0583502180004,1140.0737560580005,0.0,0.0
9360,1140.0583502180004,1141.4875502180005,0.0,1.4292000000000074
9420,1139.9869977920005,1139.3239502180004,0.0,-0.7343999999999895
9480,1152.2095655020005,1139.2895177920004,0.0,-0.6974799999999696
9540,1164.5791006700003,1150.2050955020004,0.0,-2.004469999999978
9600,1164.5574634220004,1164.0801406700004,0.0,-0.49896000000000545
9660,1169.9117167100003,1161.7699034220004,0.0,-2.787560000000019
9720,1169.8958745100003,1169.9117167100003,0.0,0.0
9780,1169.8958745100003,1169.9642745100005,0.0,0.06840000000000258
9840,1169.8958745100003,1170.5646745100003,0.0,0.6688000000000073
9900,1172.1823717500004,1170.5304745100004,0.0,0.634600000000006
9960,1172.1823717500004,1172.1823717500004,0.0,0.0
10020,1172.1665025540003,1172.1823717500004,0.0,0.0
10080,1172.1665025540003,1171.1874825540003,0.0,-0.9790200000000012
10140,1172.1665025540003,1171.4596425540003,0.0,-0.7068600000000044
10200,1172.1447302340002,1170.6998625540002,0.0,-1.4666399999999928
10260,1172.1447302340002,1169.4882902340003,0.0,-2.656440000000011
10320,1172.0930577540003,1170.5485302340003,0.0,-1.5961999999999816
10380,1172.0930577540003,1169.7350877540002,0.0,-2.357970000000039
10440,1172.0930577540003,1171.9018677540002,0.0,-0.19119000000006153
10500,1172.0930577540003,1173.3390177540002,0.0,1.2459599999999666
10560,1172.0930577540003,1171.1501277540003,0.0,-0.9429300000000377
10620,1172.0930577540003,1163.8759377540002,0.0,-8.217120000000051
10680,1172.0930577540003,1167.9883977540003,0.0,-4.104660000000052
10740,1172.0930577540003,1171.4154477540003,0.0,-0.6776100000000276
10800,1172.0930577540003,1174.3118577540001,0.0,2.2187999999998986
10860,1172.0930577540003,1176.5228577540001,0.0,4.42979999999993
10920,1172.0930577540003,1175.6384577540002,0.0,3.5453999999999493
10980,1172.0930577540003,1178.181107754,0.0,6.088049999999915
11040,1172.0930577540003,1171.2827877540003,0.0,-0.8102700000000326
11100,1172.0930577540003,1175.3289177540003,0.0,3.2358599999999633
11160,1172.0930577540003,1169.4697677540003,0.0,-2.6232900000000487
11220,1172.0930577540003,1174.9530477540002,0.0,2.8599899999999754
11280,1184.7223695240002,1172.5651677540002,0.0,0.4721099999999636
11340,1184.7223695240002,1184.7223695240002,0.0,0.0
11400,1184.7223695240002,1184.7223695240002,0.0,0.0
11460,1184.7223695240002,1184.7223695240002,0.0,0.0
11520,1184.7223695240002,1184.7223695240002,0.0,0.0
11580,1184.7063514440001,1184.7223695240002,0.0,0.0
11640,1184.7063514440001,1184.928651444,0.0,0.22229999999999456
11700,1184.7063514440001,1184.6283514440001,0.0,-0.07800000000001218
11760,1184.7063514440001,1184.597151444,0.0,-0.10920000000000875
11820,1184.7063514440001,1184.643951444,0.0,-0.062400000000006985
11880,1184.7063514440001,1183.727451444,0.0,-0.9789000000000048
11940,1184.7063514440001,1184.043351444,0.0,-0.6630000000000066
12000,1184.7063514440001,1183.945851444,0.0,-0.7605000000000011
12060,1187.018167704,1185.299151444,0.0,0.5927999999999901
12120,1187.018167704,1187.018167704,0.0,0.0
12180,1187.018167704,1187.018167704,0.0,0.0
12240,1187.018167704,1187.018167704,0.0,0.0
12300,1187.018167704,1187.018167704,0.0,0.0
12360,1187.018167704,1187.018167704,0.0,0.0
12420,1187.018167704,1187.018167704,0.0,0.0
12480,1187.018167704,1187.018167704,0.0,0.0
12540,1187.018167704,1187.018167704,0.0,0.0
12600,1187.002096194,1187.018167704,0.0,0.0
12660,1187.002096194,1187.2396061939999,0.0,0.2375099999999956
12720,1187.002096194,1188.1104761939998,0.0,1.108380000000002
12780,1187.002096194,1187.5374361939998,0.0,0.5353399999999979
12840,1187.002096194,1186.3385761939999,0.0,-0.6635200000000073
12900,1187.002096194,1185.987966194,0.0,-1.014130000000007
12960,1189.322957204,1186.6326361939998,0.0,-0.36946000000000956
13020,1189.322957204,1189.322957204,0.0,0.0
13080,1403.0096484201383,1189.322957204,0.0,0.0
13140,1455.9441468219995,1456.9266515019995,0.0,53.91700308186125
13200,1455.9441468219995,1453.7097468219995,0.0,-2.234399999999993
13260,1455.8530275379994,1453.6459068219995,0.0,-2.2982399999999896
13320,1455.7010044939993,1451.9888475379994,0.0,-3.864179999999978
13380,1453.1435775138195,1440.2538844939993,0.0,-15.44711999999997
13440,1453.1435775138195,1449.6728629739994,0.0,-3.4707145398202317
13500,1467.838110960517,1439.4829429739993,0.0,-13.66063453982029
13560,1468.1793602626612,1470.1910837799987,0.0,2.3529728194817205
13620,1468.0215629906613,1474.4960491299987,0.0,6.316688867337362
13680,1475.747992569998,1462.0570818579986,0.0,-5.964481132662772
13740,1492.0941732579984,1483.9603139119984,0.0,8.21232134200047
13800,1501.8478411819983,1489.8304432579985,0.0,-2.263729999999989
13860,1501.8478411819983,1501.8478411819983,0.0,0.0
13920,1501.8478411819983,1501.8478411819983,0.0,0.0
13980,1501.8478411819983,1501.8478411819983,0.0,0.0
14040,1501.8275175799984,1501.8478411819983,0.0,0.0
14100,1504.7624128159985,1502.7299775799984,0.0,0.9024600000000043
14160,1504.7624128159985,1504.7624128159985,0.0,0.0
14220,1504.7624128159985,1504.7624128159985,0.0,0.0
14280,1504.7624128159985,1504.7624128159985,0.0,0.0
14340,1504.7624128159985,1504.7624128159985,0.0,0.0
14400,1504.7624128159985,1504.7624128159985,0.0,0.0
14460,1504.7624128159985,1504.7624128159985,0.0,0.0
14520,1504.7624128159985,1504.7624128159985,0.0,0.0
14580,1504.7624128159985,1504.7624128159985,0.0,0.0
14640,1504.7624128159985,1504.7624128159985,0.0,0.0
14700,1504.7624128159985,1504.7624128159985,0.0,0.0
14760,1504.7420637319985,1504.7624128159985,0.0,0.0
14820,1504.7420637319985,1506.0373137319984,0.0,1.2952499999999934
14880,1507.6837121299986,1505.6605137319984,0.0,0.9184500000000013
14940,1507.6837121299986,1507.6837121299986,0.0,0.0
15000,1507.6837121299986,1507.6837121299986,0.0,0.0
15060,1507.6837121299986,1507.6837121299986,0.0,0.0
15120,1507.6632935179987,1507.6837121299986,0.0,0.0
15180,1510.6111211379987,1508.2948635179987,0.0,0.6315700000000022
15240,1510.6111211379987,1510.6111211379987,0.0,0.0
15300,1510.6111211379987,1510.6111211379987,0.0,0.0
15360,1510.5906998979988,1510.6111211379987,0.0,0.0
