,balance,equity,balance_btc,equity_btc
0,999.959139968,1000.0,0.0,0.0
60,999.959139968,999.1704999680001,0.0,-0.7886399999999998
120,999.959139968,998.6108199680001,0.0,-1.3483199999999909
180,999.959139968,1001.502499968,0.0,1.5433600000000185
240,999.959139968,999.068739968,0.0,-0.8904000000000036
300,999.959139968,997.262499968,0.0,-2.6966399999999817
360,999.959139968,994.5488999680001,0.0,-5.410239999999984
420,999.959139968,994.175779968,0.0,-5.7833599999999885
480,999.959139968,994.5319399680001,0.0,-5.427199999999975
540,999.959139968,993.200579968,0.0,-6.758559999999975
600,999.902859194,994.854179968,0.0,-5.104960000000003
660,1010.759277238,1005.108419194,0.0,5.205559999999944
720,1010.759277238,1010.759277238,0.0,0.0
780,1010.759277238,1010.759277238,0.0,0.0
840,1010.759277238,1010.759277238,0.0,0.0
900,1010.717988078,1010.759277238,0.0,0.0
960,1010.717988078,1010.4461180779999,0.0,-0.2718699999999895
1020,1010.717988078,1009.393718078,0.0,-1.3242699999999983
1080,1010.717988078,1010.498738078,0.0,-0.21924999999998754
1140,1015.25372333,1014.480318078,0.0,3.7623300000000177
1200,1015.25372333,1015.25372333,0.0,0.0
1260,1015.25372333,1015.25372333,0.0,0.0
1320,1015.25372333,1015.25372333,0.0,0.0
1380,1015.25372333,1015.25372333,0.0,0.0
1440,1015.25372333,1015.25372333,0.0,0.0
1500,1015.25372333,1015.25372333,0.0,0.0
1560,1015.25372333,1015.25372333,0.0,0.0
1620,1015.25372333,1015.25372333,0.0,0.0
1680,1015.25372333,1015.25372333,0.0,0.0
1740,1015.25372333,1015.25372333,0.0,0.0
1800,1015.25372333,1015.25372333,0.0,0.0
1860,1015.25372333,1015.25372333,0.0,0.0
1920,1015.25372333,1015.25372333,0.0,0.0
1980,1015.212239674,1015.25372333,0.0,0.0
2040,1015.212239674,1017.039379674,0.0,1.8271399999999896
2100,1019.7671565539999,1016.365779674,0.0,1.1535400000000038
2160,1019.7671565539999,1019.7671565539999,0.0,0.0
2220,1019.7671565539999,1019.7671565539999,0.0,0.0
2280,1019.7671565539999,1019.7671565539999,0.0,0.0
2340,1019.7671565539999,1019.7671565539999,0.0,0.0
2400,1019.7671565539999,1019.7671565539999,0.0,0.0
