,balance,equity,balance_btc,equity_btc
0,999.9657172,1000.0,0.0,0.0
60,999.9657172,999.4245972,0.0,-0.5411200000000036
120,1000.4866833279999,998.9546772,0.0,-1.0110399999999962
180,1000.9779475439999,1000.4866833279999,0.0,0.0
240,1000.943613856,1000.9779475439999,0.0,0.0
300,1000.943613856,1000.210233856,0.0,-0.7333800000000023
360,1000.901973862,997.909433856,0.0,-3.0341800000000045
420,1002.937787556,997.934563862,0.0,-2.9674099999999797
480,1002.937787556,1002.418777556,0.0,-0.519009999999985
540,1002.937787556,1001.2711075560001,0.0,-1.666679999999985
600,1003.950676448,1002.696557556,0.0,-0.24123000000000913
660,1003.950676448,1003.950676448,0.0,0.0
720,1003.950676448,1003.950676448,0.0,0.0
780,1003.950676448,1003.950676448,0.0,0.0
840,1003.950676448,1003.950676448,0.0,0.0
900,1005.60599636,1003.950676448,0.0,0.0
960,1006.066834798,1005.5642006999999,0.0,-0.007330000000008959
1020,1006.5981442479999,1005.3391847979999,0.0,-0.7276500000000015
1080,1006.5981442479999,1006.5981442479999,0.0,0.0
1140,1006.5981442479999,1006.5981442479999,0.0,0.0
1200,1006.5981442479999,1006.5981442479999,0.0,0.0
1260,1006.5981442479999,1006.5981442479999,0.0,0.0
1320,1006.5981442479999,1006.5981442479999,0.0,0.0
1380,1006.5981442479999,1006.5981442479999,0.0,0.0
1440,1006.5981442479999,1006.5981442479999,0.0,0.0
1500,1006.5981442479999,1006.5981442479999,0.0,0.0
1560,1006.5981442479999,1006.5981442479999,0.0,0.0
1620,1006.5981442479999,1006.5981442479999,0.0,0.0
1680,1006.5981442479999,1006.5981442479999,0.0,0.0
1740,1006.5981442479999,1006.5981442479999,0.0,0.0
1800,1006.5981442479999,1006.5981442479999,0.0,0.0
1860,1006.5981442479999,1006.5981442479999,0.0,0.0
1920,1006.5981442479999,1006.5981442479999,0.0,0.0
1980,1007.5829884719999,1006.5981442479999,0.0,0.0
2040,1008.0762104599999,1007.5829884719999,0.0,0.0
2100,1008.0762104599999,1008.0762104599999,0.0,0.0
2160,1008.0762104599999,1008.0762104599999,0.0,0.0
2220,1008.0762104599999,1008.0762104599999,0.0,0.0
2280,1008.0762104599999,1008.0762104599999,0.0,0.0
2340,1008.0762104599999,1008.0762104599999,0.0,0.0
2400,1008.0762104599999,1008.0762104599999,0.0,0.0
2460,1008.0762104599999,1008.0762104599999,0.0,0.0
2520,1008.0762104599999,1008.0762104599999,0.0,0.0
2580,1009.0192765059999,1008.0762104599999,0.0,0.0
2640,1009.5438733539999,1009.3732765059998,0.0,0.3539999999999799
2700,1010.0362252119999,1009.5438733539999,0.0,0.0
2760,1011.4963837479999,1010.0362252119999,0.0,0.0
2820,1011.4963837479999,1011.4963837479999,0.0,0.0
2880,1011.4617092999998,1011.4963837479999,0.0,0.0
2940,1012.4412317299998,1010.8674292999998,0.0,-0.5942799999999886
3000,1012.9672161799998,1012.7216417299998,0.0,0.28041000000001065
3060,1012.9672161799998,1012.9672161799998,0.0,0.0
3120,1012.9672161799998,1012.9672161799998,0.0,0.0
3180,1012.9672161799998,1012.9672161799998,0.0,0.0
3240,1012.9672161799998,1012.9672161799998,0.0,0.0
3300,1012.9672161799998,1012.9672161799998,0.0,0.0
3360,1013.9434085399997,1012.9672161799998,0.0,0.0
3420,1013.9434085399997,1013.9434085399997,0.0,0.0
3480,1014.4329962159998,1013.9434085399997,0.0,0.0
3540,1014.4329962159998,1014.4329962159998,0.0,0.0
3600,1014.4329962159998,1014.4329962159998,0.0,0.0
3660,1014.4329962159998,1014.4329962159998,0.0,0.0
3720,1014.4329962159998,1014.4329962159998,0.0,0.0
3780,1014.4329962159998,1014.4329962159998,0.0,0.0
3840,1014.4329962159998,1014.4329962159998,0.0,0.0
