,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,38,HYPE,0.0,-0.0342828,999.9657172,0.0,999.9657172,1.0,7.12,24.075,7.12,24.075,entry_initial_normal_long
1,128,HYPE,0.5553599999999957,-0.034393872,1000.4866833279999,0.0,1000.4866833279999,1.0,-7.12,24.153,0.0,24.075,close_grid_long
2,209,HYPE,0.0,-0.034331888,1000.4523514399999,0.0,1000.4523514399999,1.0,7.18,23.908,7.18,23.908,entry_initial_normal_long
3,212,HYPE,0.5600399999999957,-0.034443896,1000.9779475439999,0.0,1000.9779475439999,1.0,-7.18,23.986,0.0,23.908,close_grid_long
4,241,HYPE,0.0,-0.034333688,1000.943613856,0.0,1000.943613856,1.0,7.19,23.876,7.19,23.876,entry_initial_normal_long
5,397,HYPE,0.0,-0.04163999400000001,1000.901973862,0.0,1000.901973862,1.0,8.91,23.367,16.1,23.594311180124222,entry_grid_normal_long
6,434,HYPE,1.6532900000000053,-0.07630434000000001,1002.478959522,0.0,1002.478959522,1.0,-16.1,23.697,0.0,23.594311180124222,close_grid_long
7,438,HYPE,0.0,-0.03438446,1002.444575062,0.0,1002.444575062,1.0,7.3,23.551,7.3,23.551,entry_initial_normal_long
8,457,HYPE,0.5621000000000126,-0.03449688,1002.972178182,0.0,1002.972178182,1.0,-7.3,23.628,0.0,23.551,close_grid_long
9,462,HYPE,0.0,-0.034390626,1002.937787556,0.0,1002.937787556,1.0,7.31,23.523,7.31,23.523,entry_initial_normal_long
10,603,HYPE,0.5628700000000126,-0.0345032,1003.466154356,0.0,1003.466154356,1.0,-7.31,23.6,0.0,23.523,close_grid_long
11,611,HYPE,0.0,-0.03443360400000001,1003.4317207519999,0.0,1003.4317207519999,1.0,7.38,23.329,7.38,23.329,entry_initial_normal_long
12,622,HYPE,0.5534999999999948,-0.034544304,1003.950676448,0.0,1003.950676448,1.0,-7.38,23.404,0.0,23.329,close_grid_long
13,949,HYPE,0.0,-0.034433280000000004,1003.9162431679999,0.0,1003.9162431679999,1.0,7.32,23.52,7.32,23.52,entry_initial_normal_long
14,952,HYPE,0.5636400000000127,-0.034546008,1004.4453371599999,0.0,1004.4453371599999,1.0,-7.32,23.597,0.0,23.52,close_grid_long
15,953,HYPE,0.0,-0.034427424,1004.4109097359999,0.0,1004.4109097359999,1.0,7.32,23.516,7.32,23.516,entry_initial_normal_long
16,954,HYPE,1.2297600000000206,-0.034673376000000006,1005.60599636,0.0,1005.60599636,1.0,-7.32,23.684,0.0,23.516,close_grid_long
17,960,HYPE,0.0,-0.03446566,1005.5715306999999,0.0,1005.5715306999999,1.0,7.33,23.51,7.33,23.51,entry_initial_normal_long
18,973,HYPE,0.5644099999999866,-0.034578542000000004,1006.1013621579999,0.0,1006.1013621579999,1.0,-7.33,23.587,0.0,23.51,close_grid_long
