,balance,equity,balance_btc,equity_btc
0,999.985261796,1000.0,0.0,0.0
60,999.985261796,998.7712217960001,0.0,-1.2140400000000031
120,999.9784812600001,998.571901796,0.0,-1.41336
180,999.95668676,999.67586126,0.0,-0.30262000000000355
240,999.82442596,998.55387676,0.0,-1.4028099999999954
300,999.82442596,1000.87900596,0.0,1.0545799999999774
360,999.646568514,989.0486059599999,0.0,-10.775820000000033
420,1004.7719476249262,989.6437385139998,0.0,-10.002830000000197
480,1004.7719476249262,1003.4586521159999,0.0,-1.3132955089262073
540,1004.7719476249262,1001.1994221159999,0.0,-3.5725255089262076
600,1004.7719476249262,1004.0054721159999,0.0,-0.7664755089262547
660,1012.6687413719999,1008.7397821159999,0.0,3.9678344910737544
720,1012.6687413719999,1012.6687413719999,0.0,0.0
780,1012.6687413719999,1012.6687413719999,0.0,0.0
840,1012.6687413719999,1012.6687413719999,0.0,0.0
900,1012.6538432459998,1012.6687413719999,0.0,0.0
960,1012.6495686059999,1010.8060232459999,0.0,-1.8478199999999967
1020,1012.6248848279998,1010.107848606,0.0,-2.541719999999987
1080,1012.6248848279998,1010.1504648279998,0.0,-2.474419999999979
1140,1012.6248848279998,1014.3363448279998,0.0,1.7114600000000273
1200,1017.8319178959998,1015.9775048279998,0.0,3.352620000000002
1260,1017.8319178959998,1017.8319178959998,0.0,0.0
1320,1017.8319178959998,1017.8319178959998,0.0,0.0
1380,1017.8169520959998,1017.8319178959998,0.0,0.0
1440,1017.8100163579998,1018.5039520959998,0.0,0.6869999999999976
1500,1020.4470315579997,1018.7584463579998,0.0,0.948429999999999
1560,1020.4470315579997,1021.6753115579997,0.0,1.2282800000000058
1620,1020.4445734779997,1021.3973915579998,0.0,0.9503599999999953
1680,1020.4445734779997,1020.5946734779997,0.0,0.15010000000000004
1740,1020.4445734779997,1020.6163734779997,0.0,0.17179999999999573
1800,1020.4445734779997,1020.5295734779997,0.0,0.08499999999999758
1860,1020.4223253939997,1019.9219734779997,0.0,-0.5226000000000048
1920,1020.4223253939997,1022.5878753939998,0.0,2.16555000000003
