,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,2,HYPE,0.0,-0.017959512,999.982040488,0.0,999.982040488,1.0,3.67,24.468,3.67,24.468,entry_initial_normal_long
1,39,HYPE,0.0,-0.017954244,999.9640862440001,0.0,999.9640862440001,1.0,3.74,24.003,7.41,24.233303643724696,entry_grid_normal_long
2,82,HYPE,0.0,-0.017958024,999.9461282200001,0.0,999.9461282200001,1.0,3.78,23.754,11.19,24.071394101876677,entry_grid_normal_long
3,287,HYPE,0.0,-0.017964912000000003,999.9281633080001,0.0,999.9281633080001,1.0,3.81,23.576,15.0,23.945564,entry_grid_normal_long
4,361,HYPE,0.0,-0.017951210000000002,999.9102120980001,0.0,999.9102120980001,1.0,3.83,23.435,18.83,23.841715878916627,entry_grid_normal_long
5,400,HYPE,0.0,-0.017952550000000005,999.8922595480001,0.0,999.8922595480001,1.0,3.85,23.315,22.68,23.752304232804235,entry_grid_normal_long
6,555,HYPE,0.0,-0.020377502,999.8718820460001,0.0,999.8718820460001,1.0,4.39,23.209,27.07,23.66419541928334,entry_grid_normal_long
7,775,HYPE,15.289259999999919,-0.131175806,1015.02996624,0.0,1015.02996624,1.0,-27.07,24.229,0.0,23.66419541928334,close_grid_long
8,889,HYPE,0.0,-0.018209680000000002,1015.01175656,0.0,1015.01175656,1.0,3.76,24.215,3.76,24.215,entry_initial_normal_long
9,941,HYPE,0.0,-0.018243839999999997,1014.99351272,0.0,1014.99351272,1.0,3.84,23.755,7.6,23.98257894736842,entry_grid_normal_long
10,950,HYPE,0.0,-0.018242208,1014.9752705120001,0.0,1014.9752705120001,1.0,3.88,23.508,11.48,23.822181184668985,entry_grid_normal_long
11,981,HYPE,0.0,-0.018245624000000002,1014.9570248880001,0.0,1014.9570248880001,1.0,3.91,23.332,15.39,23.697645224171534,entry_grid_normal_long
12,1240,HYPE,8.854710000000082,-0.074712294,1023.7370225940002,0.0,1023.7370225940002,1.0,-15.39,24.273,0.0,23.697645224171534,close_grid_long
13,1326,HYPE,0.0,-0.018382752,1023.7186398420002,0.0,1023.7186398420002,1.0,3.72,24.708,3.72,24.708,entry_initial_normal_long
14,1339,HYPE,2.269200000000011,-0.018836592000000003,1025.9690032500002,0.0,1025.9690032500002,1.0,-3.72,25.318,0.0,24.708,close_grid_long
15,1401,HYPE,0.0,-0.018441952,1025.9505612980001,0.0,1025.9505612980001,1.0,3.68,25.057,3.68,25.057,entry_initial_normal_long
16,1525,HYPE,2.274240000000008,-0.018896800000000002,1028.205904498,0.0,1028.205904498,1.0,-3.68,25.675,0.0,25.057,close_grid_long
17,1529,HYPE,0.0,-0.01844053,1028.1874639680002,0.0,1028.1874639680002,1.0,3.65,25.261,3.65,25.261,entry_initial_normal_long
18,1970,HYPE,0.0,-0.018486626,1028.1689773420003,0.0,1028.1689773420003,1.0,3.73,24.781,7.38,25.01839837398374,entry_grid_normal_long
19,2073,HYPE,0.0,-0.018441296,1028.1505360460003,0.0,1028.1505360460003,1.0,3.76,24.523,11.14,24.851190305206458,entry_grid_normal_long
20,2154,HYPE,6.759860000000038,-0.056720424000000005,1034.8536756220003,0.0,1034.8536756220003,1.0,-11.14,25.458,0.0,24.851190305206458,close_grid_long
21,2230,HYPE,0.0,-0.018598972,1034.8350766500002,0.0,1034.8350766500002,1.0,3.71,25.066,3.71,25.066,entry_initial_normal_long
22,2581,HYPE,0.0,-0.018589283999999998,1034.8164873660003,0.0,1034.8164873660003,1.0,3.78,24.589,7.49,24.82527102803738,entry_grid_normal_long
23,2740,HYPE,0.0,-0.018591176,1034.7978961900003,0.0,1034.7978961900003,1.0,3.82,24.334,11.31,24.659342175066307,entry_grid_normal_long
24,2935,HYPE,0.0,-0.018597040000000002,1034.7792991500003,0.0,1034.7792991500003,1.0,3.85,24.152,15.16,24.53049868073878,entry_grid_normal_long
25,3226,HYPE,9.027800000000104,-0.07618203200000001,1043.7309171180004,0.0,1043.7309171180004,1.0,-15.16,25.126,0.0,24.53049868073878,close_grid_long
26,3258,HYPE,0.0,-0.018729311999999998,1043.7121878060004,0.0,1043.7121878060004,1.0,3.76,24.906,3.76,24.906,entry_initial_normal_long
27,3402,HYPE,0.0,-0.018763776,1043.6934240300004,0.0,1043.6934240300004,1.0,3.84,24.432,7.6,24.666505263157894,entry_grid_normal_long
28,3631,HYPE,4.60175999999999,-0.03841344,1048.2567705900003,0.0,1048.2567705900003,1.0,-7.6,25.272,0.0,24.666505263157894,close_grid_long
