,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,38,HYPE,0.0,-0.030123120000000003,999.96987688,0.0,999.96987688,1.0,6.26,24.06,6.26,24.06,entry_initial_normal_long
1,378,HYPE,0.0,-0.039278624000000005,999.930598256,0.0,999.930598256,1.0,8.39,23.408,14.65,23.68660204778157,entry_grid_normal_long
2,803,HYPE,8.400280000000029,-0.07108180000000001,1008.2597964560001,0.0,1008.2597964560001,1.0,-14.65,24.26,0.0,23.68660204778157,close_grid_long
3,950,HYPE,0.0,-0.03036846,1008.2294279960001,0.0,1008.2294279960001,1.0,6.46,23.505,6.46,23.505,entry_initial_normal_long
4,1155,HYPE,3.6369800000000154,-0.031095856000000005,1011.8353121400002,0.0,1011.8353121400002,1.0,-6.46,24.068,0.0,23.505,close_grid_long
5,2010,HYPE,0.0,-0.030482920000000004,1011.8048292200001,0.0,1011.8048292200001,1.0,6.2,24.583,6.2,24.583,entry_initial_normal_long
6,2146,HYPE,3.6518000000000135,-0.031213280000000003,1015.4254159400001,0.0,1015.4254159400001,1.0,-6.2,25.172,0.0,24.583,close_grid_long
7,2596,HYPE,0.0,-0.030591249999999997,1015.3948246900001,0.0,1015.3948246900001,1.0,6.25,24.473,6.25,24.473,entry_initial_normal_long
8,3220,HYPE,3.662500000000013,-0.031323750000000004,1019.0260009400001,0.0,1019.0260009400001,1.0,-6.25,25.059,0.0,24.473,close_grid_long
9,3404,HYPE,0.0,-0.030692448000000004,1018.9953084920002,0.0,1018.9953084920002,1.0,6.32,24.282,6.32,24.282,entry_initial_normal_long
10,3567,HYPE,3.6782400000000046,-0.03142809600000001,1022.6421203960002,0.0,1022.6421203960002,1.0,-6.32,24.864,0.0,24.282,close_grid_long
11,4204,HYPE,0.0,-0.030799467999999997,1022.6113209280002,0.0,1022.6113209280002,1.0,6.14,25.081,6.14,25.081,entry_initial_normal_long
12,4439,HYPE,3.690139999999994,-0.031537496,1026.2699234320003,0.0,1026.2699234320003,1.0,-6.14,25.682,0.0,25.081,close_grid_long
13,5022,HYPE,0.0,-0.030901936,1026.2390214960003,0.0,1026.2390214960003,1.0,6.11,25.288,6.11,25.288,entry_initial_normal_long
14,5243,HYPE,0.0,-0.040299714,1026.1987217820003,0.0,1026.1987217820003,1.0,8.19,24.603,14.3,24.895681818181817,entry_grid_normal_long
15,5255,HYPE,0.0,-0.09278663400000002,1026.1059351480003,0.0,1026.1059351480003,1.0,19.17,24.201,33.47,24.49780161338512,entry_grid_normal_long
16,5273,HYPE,-0.009058231251871975,-0.055363220000000005,1026.0415136967483,0.0,1026.0415136967483,1.0,-11.3,24.497,22.17,24.49780161338512,close_trailing_long
17,5435,HYPE,0.0,-0.14143748,1025.9000762167484,0.0,1025.9000762167484,1.0,29.72,23.795,51.89,24.095271955458628,entry_grid_normal_long
18,5483,HYPE,0.0,-0.49953427200000006,1025.4005419447485,0.0,1025.4005419447485,1.0,107.04,23.334,158.93,23.582552203918382,entry_grid_inflated_long
19,5484,HYPE,-1.9766952415429802,-0.037572570000000007,1023.3862741332056,0.0,1023.3862741332056,1.0,-8.05,23.337,150.88,23.582552203918382,close_unstuck_long
20,5486,HYPE,-2.006399719503807,-0.037519463999999995,1021.3423549497018,0.0,1021.3423549497018,1.0,-8.04,23.333,142.84,23.582552203918382,close_unstuck_long
21,5488,HYPE,-2.180564197464611,-0.037437465999999996,1019.1243532862371,0.0,1019.1243532862371,1.0,-8.03,23.311,134.81,23.582552203918382,close_unstuck_long
22,5489,HYPE,-2.394388675425435,-0.037347536,1016.6926170748117,0.0,1016.6926170748117,1.0,-8.02,23.284,126.79,23.582552203918382,close_unstuck_long
23,5490,HYPE,-2.396417631347049,-0.0372528,1014.2589466434646,0.0,1014.2589466434646,1.0,-8.0,23.283,118.79,23.582552203918382,close_unstuck_long
24,5493,HYPE,-0.9310134550335895,-0.03716856,1013.290764628431,0.0,1013.290764628431,1.0,-7.92,23.465,110.87,23.582552203918382,close_unstuck_long
25,5578,HYPE,2.8326278495016126,-0.13357212,1015.9898203579327,0.0,1015.9898203579327,1.0,-28.2,23.683,82.67,23.582552203918382,close_trailing_long
26,5594,HYPE,5.470703673188141,-0.134477056,1021.3260469751208,0.0,1021.3260469751208,1.0,-28.28,23.776,54.39,23.582552203918382,close_trailing_long
27,5608,HYPE,8.371150842600358,-0.135764622,1029.561433195721,0.0,1029.561433195721,1.0,-28.43,23.877,25.96,23.582552203918382,close_trailing_long
28,5617,HYPE,1.0233703951460857,-0.013269408000000002,1030.5715341828673,0.0,1030.5715341828673,1.0,-2.77,23.952,23.19,23.582552203918382,close_trailing_long
29,5655,HYPE,13.391014391132718,-0.11205408,1043.850494494,0.0,1043.850494494,1.0,-23.19,24.16,0.0,23.582552203918382,close_grid_long
30,5659,HYPE,0.0,-0.03141904,1043.819075454,0.0,1043.819075454,1.0,6.55,23.984,6.55,23.984,entry_initial_normal_long
31,5765,HYPE,0.0,-0.04097626,1043.778099194,0.0,1043.778099194,1.0,8.78,23.335,15.33,23.612296151337247,entry_grid_normal_long
32,5872,HYPE,0.0,-0.09433683,1043.6837623640001,0.0,1043.6837623640001,1.0,20.55,22.953,35.88,23.2346892419175,entry_grid_normal_long
33,5932,HYPE,0.0,-0.21685404000000005,1043.466908324,0.0,1043.466908324,1.0,48.1,22.542,83.98,22.837947725648963,entry_grid_normal_long
