,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,28,HYPE,0.0,-0.023493399999999998,999.9765066,0.0,999.9765066,1.0,4.85,24.22,4.85,24.22,entry_initial_normal_long
1,40,HYPE,0.0,-0.015431002000000001,999.961075598,0.0,999.961075598,1.0,3.23,23.887,8.08,24.086882425742573,entry_grid_normal_long
2,82,HYPE,0.0,-0.0154362,999.945639398,0.0,999.945639398,1.0,3.25,23.748,11.33,23.989674315975282,entry_grid_normal_long
3,115,HYPE,0.9327500000000419,-0.054547151999999995,1000.823842246,0.0,1000.823842246,1.0,-11.33,24.072,0.0,23.989674315975282,close_grid_long
4,116,HYPE,0.0,-0.02354646,1000.800295786,0.0,1000.800295786,1.0,4.9,24.027,4.9,24.027,entry_initial_normal_long
5,128,HYPE,0.36259999999999054,-0.023618980000000005,1001.139276806,0.0,1001.139276806,1.0,-4.9,24.101,0.0,24.027,close_grid_long
6,136,HYPE,0.0,-0.023552195999999997,1001.11572461,0.0,1001.11572461,1.0,4.89,24.082,4.89,24.082,entry_initial_normal_long
7,144,HYPE,0.3618599999999905,-0.023624568,1001.4539600420001,0.0,1001.4539600420001,1.0,-4.89,24.156,0.0,24.082,close_grid_long
8,202,HYPE,0.0,-0.02357292,1001.4303871220001,0.0,1001.4303871220001,1.0,4.9,24.054,4.9,24.054,entry_initial_normal_long
9,257,HYPE,0.0,-0.015468048,1001.4149190740001,0.0,1001.4149190740001,1.0,3.26,23.724,8.16,23.922161764705884,entry_grid_normal_long
10,287,HYPE,0.0,-0.015472416,1001.3994466580001,0.0,1001.3994466580001,1.0,3.28,23.586,11.44,23.82577972027972,entry_grid_normal_long
11,345,HYPE,0.0,-0.015451814000000003,1001.3839948440001,0.0,1001.3839948440001,1.0,3.29,23.483,14.73,23.749218601493546,entry_grid_normal_long
12,392,HYPE,0.0,-0.015443340000000002,1001.368551504,0.0,1001.368551504,1.0,3.3,23.399,18.03,23.685118691070432,entry_grid_normal_long
13,399,HYPE,0.0,-0.015443136000000001,1001.353108368,0.0,1001.353108368,1.0,3.31,23.328,21.34,23.629726804123706,entry_grid_normal_long
14,436,HYPE,1.9904500000000904,-0.10124976399999999,1003.2423086040001,0.0,1003.2423086040001,1.0,-21.34,23.723,0.0,23.629726804123706,close_grid_long
15,437,HYPE,0.0,-0.023614676,1003.2186939280001,0.0,1003.2186939280001,1.0,4.99,23.662,4.99,23.662,entry_initial_normal_long
16,493,HYPE,0.0,-0.015495767999999998,1003.20319816,0.0,1003.20319816,1.0,3.32,23.337,8.31,23.53215643802647,entry_grid_normal_long
17,603,HYPE,0.6385700000000577,-0.03923815800000001,1003.8025300020001,0.0,1003.8025300020001,1.0,-8.31,23.609,0.0,23.53215643802647,close_grid_long
18,607,HYPE,0.0,-0.023619874000000003,1003.7789101280001,0.0,1003.7789101280001,1.0,5.03,23.479,5.03,23.479,entry_initial_normal_long
19,644,HYPE,0.367190000000002,-0.023693312,1004.1224068160001,0.0,1004.1224068160001,1.0,-5.03,23.552,0.0,23.479,close_grid_long
20,653,HYPE,0.0,-0.023624496000000002,1004.09878232,0.0,1004.09878232,1.0,5.04,23.437,5.04,23.437,entry_initial_normal_long
