,balance,equity,balance_btc,equity_btc
0,999.862590676,1000.0,0.0,0.0
60,999.862590676,992.947630676,0.0,-6.914959999999994
120,999.862590676,991.077190676,0.0,-8.785399999999964
180,999.862590676,1000.741130676,0.0,0.8785400000000668
240,999.862590676,992.607550676,0.0,-7.255040000000006
300,999.862590676,986.571130676,0.0,-13.291459999999933
360,999.862590676,977.502330676,0.0,-22.36025999999994
420,999.862590676,976.255370676,0.0,-23.607219999999955
480,999.862590676,977.445650676,0.0,-22.416939999999908
540,999.862590676,972.9962706760001,0.0,-26.86631999999991
600,999.862590676,978.522570676,0.0,-21.340020000000003
660,999.862590676,987.846430676,0.0,-12.016159999999985
720,999.862590676,993.939530676,0.0,-5.92305999999999
780,999.862590676,999.380810676,0.0,-0.4817799999999847
840,1006.893767348,999.4941706760001,0.0,-0.36841999999994685
900,1006.755410648,1006.893767348,0.0,0.0
960,1006.755410648,1001.904890648,0.0,-4.850520000000011
1020,1006.755410648,998.3984906479999,0.0,-8.35692000000004
1080,1013.8329504799999,1002.0802106479999,0.0,-4.675200000000004
1140,1013.8329504799999,1013.8329504799999,0.0,0.0
1200,1013.8329504799999,1013.8329504799999,0.0,0.0
1260,1013.8329504799999,1013.8329504799999,0.0,0.0
1320,1013.8329504799999,1013.8329504799999,0.0,0.0
1380,1013.8329504799999,1013.8329504799999,0.0,0.0
1440,1013.8329504799999,1013.8329504799999,0.0,0.0
1500,1013.8329504799999,1013.8329504799999,0.0,0.0
1560,1013.8329504799999,1013.8329504799999,0.0,0.0
1620,1013.8329504799999,1013.8329504799999,0.0,0.0
1680,1013.8329504799999,1013.8329504799999,0.0,0.0
1740,1013.8329504799999,1013.8329504799999,0.0,0.0
1800,1013.8329504799999,1013.8329504799999,0.0,0.0
1860,1020.8204123959998,1013.8329504799999,0.0,0.0
1920,1027.7395705759998,1020.8204123959998,0.0,0.0
1980,1027.7395705759998,1029.2474205759997,0.0,1.5078500000000234
2040,1027.7395705759998,1028.5646205759997,0.0,0.8250499999999975
2100,1034.9654096859997,1026.2886205759999,0.0,-1.4509499999999538
2160,1034.9654096859997,1034.9654096859997,0.0,0.0
2220,1034.9654096859997,1034.9654096859997,0.0,0.0
2280,1034.8232126659998,1034.9654096859997,0.0,0.0
2340,1042.1128289859998,1035.7703126659999,0.0,0.9471000000000359
2400,1049.152430274,1042.1128289859998,0.0,0.0
2460,1049.152430274,1050.2608902739998,0.0,1.1084600000000076
2520,1056.387435094,1054.898920274,0.0,5.746489999999977
2580,1056.387435094,1057.064555094,0.0,0.6771199999999908
2640,1056.387435094,1051.677035094,0.0,-4.710400000000004
2700,1056.387435094,1053.561195094,0.0,-2.8262400000000025
2760,1056.387435094,1052.354155094,0.0,-4.033280000000014
2820,1056.387435094,1052.236395094,0.0,-4.1510399999999485
2880,1056.387435094,1052.501355094,0.0,-3.8860799999999385
2940,1056.387435094,1041.019755094,0.0,-15.367679999999956
3000,1063.8362791260001,1042.638955094,0.0,-13.748479999999963
3060,1063.8362791260001,1063.8362791260001,0.0,0.0
3120,1063.8362791260001,1063.8362791260001,0.0,0.0
3180,1063.8362791260001,1063.8362791260001,0.0,0.0
3240,1063.8362791260001,1063.8362791260001,0.0,0.0
3300,1063.8362791260001,1063.8362791260001,0.0,0.0
3360,1063.690082262,1063.8362791260001,0.0,0.0
3420,1071.191635542,1060.9411222620001,0.0,-2.7489599999999625
3480,1071.0444311820002,1071.191635542,0.0,0.0
3540,1078.5839391720003,1074.1800311820002,0.0,3.1355999999999757
3600,1078.5839391720003,1078.5839391720003,0.0,0.0
3660,1078.5839391720003,1078.5839391720003,0.0,0.0
3720,1078.5839391720003,1078.5839391720003,0.0,0.0
3780,1078.5839391720003,1078.5839391720003,0.0,0.0
3840,1078.5839391720003,1078.5839391720003,0.0,0.0
3900,1078.5839391720003,1078.5839391720003,0.0,0.0
3960,1078.5839391720003,1078.5839391720003,0.0,0.0
4020,1078.5839391720003,1078.5839391720003,0.0,0.0
4080,1078.5839391720003,1078.5839391720003,0.0,0.0
4140,1078.5839391720003,1078.5839391720003,0.0,0.0
4200,1085.8932969220002,1078.5839391720003,0.0,0.0
4260,1085.8932969220002,1092.8600169220003,0.0,6.966720000000019
4320,1093.5357887620003,1084.5353769220003,0.0,-1.3579199999999816
4380,1101.07377788,1093.5357887620003,0.0,0.0
4440,1101.07377788,1101.07377788,0.0,0.0
4500,1101.07377788,1101.07377788,0.0,0.0
4560,1101.07377788,1101.07377788,0.0,0.0
4620,1101.07377788,1101.07377788,0.0,0.0
4680,1101.07377788,1101.07377788,0.0,0.0
4740,1101.07377788,1101.07377788,0.0,0.0
4800,1101.07377788,1101.07377788,0.0,0.0
4860,1101.07377788,1101.07377788,0.0,0.0
4920,1101.07377788,1101.07377788,0.0,0.0
4980,1100.92249055,1101.07377788,0.0,0.0
5040,1108.5095310059999,1096.88737055,0.0,-4.035119999999978
5100,1108.5095310059999,1103.1819910059999,0.0,-5.327540000000025
5160,1108.5095310059999,1111.1433710059998,0.0,2.633840000000029
5220,1108.5095310059999,1099.740041006,0.0,-8.769489999999978
5280,1108.5095310059999,1077.5918410059999,0.0,-30.917690000000036
5340,1108.5095310059999,1085.4933610059998,0.0,-23.016170000000056
5400,1108.3581665019997,1067.9843110059999,0.0,-40.525219999999976
5460,1108.2330402459997,1060.8144765019997,0.0,-47.54368999999996
5520,1108.2330402459997,1020.7839102459994,0.0,-87.44913000000027
5580,1108.2330402459997,1074.7542702459996,0.0,-33.478770000000125
5640,1130.0331466559996,1065.9373302459996,0.0,-42.29571000000014
5700,1130.0331466559996,1130.5195966559997,0.0,0.4864500000000184
5760,1130.0331466559996,1118.7475066559996,0.0,-11.285639999999967
5820,1130.0331466559996,1118.7150766559996,0.0,-11.318070000000006
5880,1129.9691395919997,1095.8194966559997,0.0,-34.21364999999999
5940,1129.7518492459997,1084.5050395919998,0.0,-45.46409999999995
6000,1129.7518492459997,1065.831729246,0.0,-63.920119999999784
6060,1128.8327733499998,1012.847739246,0.0,-116.90410999999973
6120,1128.8327733499998,1059.0193133499993,0.0,-69.81346000000055
6180,1215.152083843999,1007.1862133499995,0.0,-121.64656000000028
6240,1223.546030691999,1220.238723843999,0.0,5.086640000000013
6300,1223.546030691999,1209.907620691999,0.0,-13.638410000000068
6360,1223.546030691999,1192.090310691999,0.0,-31.455719999999978
6420,1231.982540027999,1220.202910691999,0.0,-3.3431200000000367
6480,1231.982540027999,1215.0225700279989,0.0,-16.959970000000045
6540,1231.982540027999,1195.462330027999,0.0,-36.52020999999996
6600,1231.982540027999,1216.303300027999,0.0,-15.679239999999998
6660,1249.0625016199988,1227.4029600279991,0.0,-4.579579999999944
6720,1249.0625016199988,1238.1299016199987,0.0,-10.932600000000036
6780,1261.420395973999,1220.6537016199989,0.0,-28.40879999999999
6840,1261.420395973999,1261.420395973999,0.0,0.0
6900,1261.420395973999,1261.420395973999,0.0,0.0
6960,1261.420395973999,1261.420395973999,0.0,0.0
7020,1261.420395973999,1261.420395973999,0.0,0.0
7080,1261.420395973999,1261.420395973999,0.0,0.0
7140,1261.420395973999,1261.420395973999,0.0,0.0
7200,1270.149578773999,1261.420395973999,0.0,0.0
7260,1270.149578773999,1270.149578773999,0.0,0.0
7320,1278.910704949999,1270.149578773999,0.0,0.0
7380,1287.5478125479988,1278.910704949999,0.0,0.0
7440,1287.5478125479988,1271.3955125479988,0.0,-16.15229999999991
7500,1287.4749744459987,1260.3522125479988,0.0,-27.195600000000006
7560,1287.4749744459987,1241.103484445999,0.0,-46.371489999999845
7620,1287.2267197899985,1248.4523844459989,0.0,-39.0225899999999
7680,1287.2267197899985,1201.6886297899987,0.0,-85.53808999999976
7740,1287.2267197899985,1248.3516797899983,0.0,-38.875040000000055
7800,1287.2267197899985,1260.7483797899986,0.0,-26.478339999999864
7860,1287.2267197899985,1218.8802797899984,0.0,-68.34643999999993
7920,1287.2267197899985,1205.1971297899984,0.0,-82.02959000000003
7980,1286.1801897039984,1201.2208297899986,0.0,-86.00588999999991
8040,1286.1801897039984,858.5123197039986,0.0,-427.66786999999977
8100,1484.488128319998,984.7943797039984,0.0,-301.38580999999994
8160,1484.284137119998,1484.488128319998,0.0,0.0
8220,1515.2624453679978,1480.890937119998,0.0,-3.3932000000000695
8280,1515.2624453679978,1507.1391353679978,0.0,-8.123309999999945
8340,1515.1800984879978,1491.3012353679978,0.0,-23.96120999999988
8400,1515.1800984879978,1480.4415184879977,0.0,-34.73858000000028
8460,1551.0466379379977,1508.8086584879977,0.0,-6.371440000000079
8520,1572.7805307139977,1558.0133379379977,0.0,6.966699999999947
8580,1572.7805307139977,1572.7805307139977,0.0,0.0
8640,1572.7805307139977,1572.7805307139977,0.0,0.0
8700,1572.7805307139977,1572.7805307139977,0.0,0.0
8760,1572.7805307139977,1572.7805307139977,0.0,0.0
8820,1572.7805307139977,1572.7805307139977,0.0,0.0
8880,1572.7805307139977,1572.7805307139977,0.0,0.0
8940,1572.7805307139977,1572.7805307139977,0.0,0.0
9000,1572.7805307139977,1572.7805307139977,0.0,0.0
9060,1572.7805307139977,1572.7805307139977,0.0,0.0
9120,1572.7805307139977,1572.7805307139977,0.0,0.0
9180,1572.7805307139977,1572.7805307139977,0.0,0.0
9240,1572.7805307139977,1572.7805307139977,0.0,0.0
9300,1572.7805307139977,1572.7805307139977,0.0,0.0
9360,1572.5643991619977,1572.7805307139977,0.0,0.0
9420,1572.5643991619977,1571.9019191619977,0.0,-0.6624799999999044
9480,1572.5643991619977,1539.3894391619976,0.0,-33.17495999999999
9540,1572.5643991619977,1537.4529591619978,0.0,-35.11144
9600,1572.5643991619977,1548.2564791619977,0.0,-24.307920000000017
9660,1588.100081821998,1519.2092791619978,0.0,-53.35512000000003
9720,1588.100081821998,1588.100081821998,0.0,0.0
9780,1621.190142353998,1588.100081821998,0.0,0.0
9840,1632.3738611339982,1621.190142353998,0.0,0.0
9900,1632.3738611339982,1632.3738611339982,0.0,0.0
9960,1632.3738611339982,1632.3738611339982,0.0,0.0
10020,1632.1495647179981,1632.3738611339982,0.0,0.0
10080,1632.1495647179981,1628.536924717998,0.0,-3.612640000000009
10140,1632.1495647179981,1632.419164717998,0.0,0.2695999999999464
10200,1632.1495647179981,1621.5812447179983,0.0,-10.56831999999989
10260,1632.1495647179981,1605.297404717998,0.0,-26.85216000000006
10320,1632.1495647179981,1611.5521247179984,0.0,-20.59743999999989
10380,1632.1495647179981,1593.9742047179982,0.0,-38.17535999999991
10440,1632.1495647179981,1599.2583647179981,0.0,-32.89119999999997
10500,1632.1495647179981,1602.7631647179983,0.0,-29.386399999999902
10560,1632.1495647179981,1597.4250847179983,0.0,-34.724479999999915
10620,1632.1495647179981,1579.6854047179982,0.0,-52.46415999999995
10680,1632.1495647179981,1589.7145247179983,0.0,-42.43503999999995
10740,1632.1495647179981,1598.0721247179983,0.0,-34.07743999999989
10800,1632.1495647179981,1605.135644717998,0.0,-27.013920000000066
10860,1632.1495647179981,1610.527644717998,0.0,-21.62191999999999
10920,1632.1495647179981,1608.3708447179981,0.0,-23.778719999999943
10980,1632.1495647179981,1614.5716447179982,0.0,-17.577920000000027
11040,1632.1495647179981,1597.7486047179982,0.0,-34.4009599999999
11100,1632.1495647179981,1607.6159647179982,0.0,-24.533599999999907
11160,1632.1495647179981,1593.3271647179981,0.0,-38.82239999999994
11220,1632.1495647179981,1606.6993247179983,0.0,-25.45023999999988
11280,1643.6235681739981,1600.8759647179982,0.0,-31.27359999999991
11340,1643.6235681739981,1643.6235681739981,0.0,0.0
11400,1643.6235681739981,1643.6235681739981,0.0,0.0
11460,1643.6235681739981,1643.6235681739981,0.0,0.0
11520,1643.6235681739981,1643.6235681739981,0.0,0.0
11580,1643.6235681739981,1643.6235681739981,0.0,0.0
11640,1643.6235681739981,1643.6235681739981,0.0,0.0
11700,1643.6235681739981,1643.6235681739981,0.0,0.0
11760,1643.6235681739981,1643.6235681739981,0.0,0.0
11820,1643.397728239998,1643.6235681739981,0.0,0.0
11880,1643.397728239998,1641.8412082399982,0.0,-1.5565199999999275
11940,1643.397728239998,1646.3439982399982,0.0,2.946270000000046
12000,1654.954611289998,1644.9542482399982,0.0,1.556520000000125
12060,1654.954611289998,1654.954611289998,0.0,0.0
12120,1654.954611289998,1654.954611289998,0.0,0.0
12180,1654.954611289998,1654.954611289998,0.0,0.0
12240,1654.954611289998,1654.954611289998,0.0,0.0
12300,1654.954611289998,1654.954611289998,0.0,0.0
12360,1654.954611289998,1654.954611289998,0.0,0.0
12420,1654.954611289998,1654.954611289998,0.0,0.0
12480,1654.954611289998,1654.954611289998,0.0,0.0
12540,1654.954611289998,1654.954611289998,0.0,0.0
12600,1654.954611289998,1654.954611289998,0.0,0.0
12660,1654.954611289998,1654.954611289998,0.0,0.0
12720,1654.954611289998,1654.954611289998,0.0,0.0
12780,1666.1406139379978,1654.954611289998,0.0,0.0
12840,1666.1406139379978,1665.328813937998,0.0,-0.8118000000000307
12900,1666.1406139379978,1660.2956539379977,0.0,-5.844960000000029
12960,1677.8697709379978,1669.5501739379977,0.0,3.409559999999937
13020,1677.8697709379978,1677.8697709379978,0.0,0.0
13080,1689.4641715739979,1677.8697709379978,0.0,0.0
13140,1700.872555793998,1689.4641715739979,0.0,0.0
13200,1700.872555793998,1686.152875793998,0.0,-14.71967999999991
13260,1700.872555793998,1685.386795793998,0.0,-15.485759999999873
13320,1700.776211953998,1660.379755793998,0.0,-40.49279999999991
13380,1700.776211953998,1634.0404319539978,0.0,-66.73578000000012
13440,1700.776211953998,1643.0133719539979,0.0,-57.762840000000054
13500,1700.640192253998,1614.0480919539978,0.0,-86.72812000000022
13560,1700.4480943759982,1592.542012253998,0.0,-108.09817999999997
13620,1700.427961795998,1630.1341643759981,0.0,-70.31393000000001
13680,1702.4902121514044,1520.112771795998,0.0,-180.31519000000006
13740,1797.6232620399992,1707.526362385999,0.0,4.369016205714316
13800,1822.811631927999,1767.3641120399993,0.0,-30.259149999999966
13860,1822.811631927999,1822.811631927999,0.0,0.0
13920,1822.811631927999,1822.811631927999,0.0,0.0
13980,1822.811631927999,1822.811631927999,0.0,0.0
14040,1822.811631927999,1822.811631927999,0.0,0.0
14100,1822.811631927999,1822.811631927999,0.0,0.0
14160,1822.811631927999,1822.811631927999,0.0,0.0
14220,1822.811631927999,1822.811631927999,0.0,0.0
14280,1822.811631927999,1822.811631927999,0.0,0.0
14340,1822.811631927999,1822.811631927999,0.0,0.0
14400,1822.811631927999,1822.811631927999,0.0,0.0
14460,1822.811631927999,1822.811631927999,0.0,0.0
14520,1822.811631927999,1822.811631927999,0.0,0.0
14580,1822.811631927999,1822.811631927999,0.0,0.0
14640,1822.811631927999,1822.811631927999,0.0,0.0
14700,1822.811631927999,1822.811631927999,0.0,0.0
14760,1822.811631927999,1822.811631927999,0.0,0.0
14820,1822.811631927999,1822.811631927999,0.0,0.0
14880,1822.811631927999,1822.811631927999,0.0,0.0
14940,1822.811631927999,1822.811631927999,0.0,0.0
15000,1822.811631927999,1822.811631927999,0.0,0.0
15060,1822.811631927999,1822.811631927999,0.0,0.0
15120,1822.811631927999,1822.811631927999,0.0,0.0
15180,1822.811631927999,1822.811631927999,0.0,0.0
15240,1822.811631927999,1822.811631927999,0.0,0.0
15300,1822.811631927999,1822.811631927999,0.0,0.0
15360,1822.811631927999,1822.811631927999,0.0,0.0
15420,1822.811631927999,1822.811631927999,0.0,0.0
15480,1822.811631927999,1822.811631927999,0.0,0.0
15540,1822.811631927999,1822.811631927999,0.0,0.0
15600,1822.561177827999,1822.811631927999,0.0,0.0
15660,1835.419121523999,1832.646577827999,0.0,10.085399999999984
15720,1835.419121523999,1835.419121523999,0.0,0.0
15780,1835.419121523999,1835.419121523999,0.0,0.0
15840,1835.419121523999,1835.419121523999,0.0,0.0
15900,1835.419121523999,1835.419121523999,0.0,0.0
15960,1860.610874395999,1835.419121523999,0.0,0.0
16020,1860.610874395999,1861.404114395999,0.0,0.7932399999999629
16080,1873.7242534639988,1871.7162343959988,0.0,11.105359999999884
16140,1886.6368501939987,1873.7242534639988,0.0,0.0
16200,1886.3776009699986,1886.6368501939987,0.0,0.0
16260,1899.6445959559987,1892.9405809699988,0.0,6.562980000000044
16320,1899.3835931879987,1899.6445959559987,0.0,0.0
16380,1899.3835931879987,1896.7744931879988,0.0,-2.6090999999998927
16440,1899.3835931879987,1881.0039331879987,0.0,-18.37966000000001
16500,1899.3835931879987,1887.5556731879988,0.0,-11.827920000000036
16560,1912.7451653599987,1897.8761131879987,0.0,-1.5074799999999884
16620,1912.7451653599987,1912.7451653599987,0.0,0.0
16680,1912.7451653599987,1912.7451653599987,0.0,0.0
16740,1912.7451653599987,1912.7451653599987,0.0,0.0
16800,1912.7451653599987,1912.7451653599987,0.0,0.0
16860,1912.7451653599987,1912.7451653599987,0.0,0.0
16920,1912.7451653599987,1912.7451653599987,0.0,0.0
16980,1912.7451653599987,1912.7451653599987,0.0,0.0
17040,1912.7451653599987,1912.7451653599987,0.0,0.0
17100,1912.7451653599987,1912.7451653599987,0.0,0.0
17160,1912.7451653599987,1912.7451653599987,0.0,0.0
17220,1912.7451653599987,1912.7451653599987,0.0,0.0
17280,1912.7451653599987,1912.7451653599987,0.0,0.0
17340,1912.7451653599987,1912.7451653599987,0.0,0.0
17400,1912.7451653599987,1912.7451653599987,0.0,0.0
17460,1925.9746840199987,1912.7451653599987,0.0,0.0
17520,1925.9746840199987,1925.9746840199987,0.0,0.0
17580,1925.9746840199987,1925.9746840199987,0.0,0.0
17640,1925.9746840199987,1925.9746840199987,0.0,0.0
17700,1925.9746840199987,1925.9746840199987,0.0,0.0
17760,1925.7100616199987,1925.9746840199987,0.0,0.0
17820,1925.7100616199987,1924.4220616199987,0.0,-1.2879999999999825
17880,1939.2746728199986,1933.9980616199987,0.0,8.287999999999982
17940,1952.6477850119986,1939.2746728199986,0.0,0.0
18000,1952.6477850119986,1952.6477850119986,0.0,0.0
18060,1952.3794845319985,1952.6477850119986,0.0,0.0
18120,1952.3794845319985,1945.7338845319987,0.0,-6.645599999999848
18180,1952.3794845319985,1936.0210845319984,0.0,-16.358400000000014
18240,1966.1379781319986,1951.6978845319986,0.0,-0.681599999999824
18300,1966.1379781319986,1966.1379781319986,0.0,0.0
18360,1966.1379781319986,1966.1379781319986,0.0,0.0
18420,1979.7398101319986,1966.1379781319986,0.0,0.0
18480,1979.7398101319986,1979.7398101319986,0.0,0.0
18540,1979.4677592659987,1979.7398101319986,0.0,0.0
18600,1993.1118119759985,1983.2332092659985,0.0,3.765449999999868
18660,1993.1118119759985,1979.0934119759986,0.0,-14.018399999999907
18720,2007.1454920319986,1999.7121419759985,0.0,6.600329999999973
18780,2007.1454920319986,2007.1454920319986,0.0,0.0
18840,2006.8697142319986,2007.1454920319986,0.0,0.0
18900,2020.7093535519984,2018.492714231999,0.0,11.623000000000161
18960,2020.7093535519984,2016.0135935519984,0.0,-4.695760000000037
19020,2020.7093535519984,2024.3351935519984,0.0,3.6258399999999966
19080,2034.9321091999984,2027.1883135519986,0.0,6.478960000000105
19140,2034.9321091999984,2034.9321091999984,0.0,0.0
19200,2034.9321091999984,2034.9321091999984,0.0,0.0
19260,2034.9321091999984,2034.9321091999984,0.0,0.0
19320,2034.9321091999984,2034.9321091999984,0.0,0.0
19380,2034.9321091999984,2034.9321091999984,0.0,0.0
19440,2034.9321091999984,2034.9321091999984,0.0,0.0
19500,2034.6525121219984,2034.9321091999984,0.0,0.0
19560,2034.6525121219984,2032.2777121219983,0.0,-2.3747999999999494
19620,2034.6525121219984,2016.2478121219983,0.0,-18.404700000000133
19680,2034.6525121219984,2013.8730121219983,0.0,-20.779500000000084
19740,2034.6525121219984,2004.7300321219982,0.0,-29.92248000000008
19800,2034.6525121219984,2008.9453021219983,0.0,-25.70720999999999
19860,2034.6525121219984,2013.5167921219984,0.0,-21.1357200000001
19920,2034.6525121219984,2018.5632421219984,0.0,-16.089270000000045
19980,2034.6525121219984,2032.5745621219983,0.0,-2.0779500000000084
20040,2034.6525121219984,2015.1197821219982,0.0,-19.532730000000036
20100,2034.6525121219984,2018.9788321219985,0.0,-15.67367999999996
20160,2034.6525121219984,2010.0733321219982,0.0,-24.579180000000086
20220,2034.6525121219984,2002.4146021219983,0.0,-32.23790999999996
20280,2034.6525121219984,2006.1549121219984,0.0,-28.497600000000023
20340,2034.5374985179983,1995.2308321219982,0.0,-39.42168000000009
20400,2034.5374985179983,1953.7264885179986,0.0,-80.81100999999974
20460,2034.1466565839983,1957.7398185179986,0.0,-76.79767999999969
20520,2103.036710257999,1963.7246965839986,0.0,-70.42195999999976
20580,2102.747722649999,2103.036710257999,0.0,0.0
20640,2102.747722649999,2063.141792649999,0.0,-39.60592999999997
20700,2102.747722649999,2073.350172649999,0.0,-29.39755000000012
20760,2102.629379033999,2043.371132649999,0.0,-59.37659000000003
20820,2102.4615139379994,2003.2849690339992,0.0,-99.34440999999988
20880,2102.4615139379994,2007.3505939379984,0.0,-95.11092000000095
20940,2102.2245056699994,1974.2004339379987,0.0,-128.26108000000062
21000,2102.2245056699994,2007.717625669999,0.0,-94.50688000000034
21060,2102.2245056699994,1922.5464456699988,0.0,-179.6780600000006
21120,2100.514161433999,1912.5489256699989,0.0,-189.67558000000054
21180,2103.339870871554,1549.6882414339993,0.0,-550.8259199999999
21240,2192.649818524,2035.5488973000001,0.0,-67.79097357155399
21300,2207.8180143559994,2177.021178524,0.0,-15.628639999999981
21360,2238.7428789819996,2201.488064355999,0.0,-6.329950000000063
21420,2238.7428789819996,2238.7428789819996,0.0,0.0
21480,2238.7428789819996,2238.7428789819996,0.0,0.0
21540,2238.7428789819996,2238.7428789819996,0.0,0.0
21600,2238.7428789819996,2238.7428789819996,0.0,0.0
21660,2238.7428789819996,2238.7428789819996,0.0,0.0
21720,2238.7428789819996,2238.7428789819996,0.0,0.0
21780,2238.4352686019997,2238.7428789819996,0.0,0.0
21840,2238.4352686019997,2234.558318602,0.0,-3.8769500000000607
21900,2253.907685878,2217.2949186019996,0.0,-21.140350000000108
21960,2253.907685878,2255.092325878,0.0,1.1846400000001327
22020,2253.907685878,2202.597965878,0.0,-51.30971999999984
22080,2253.907685878,2229.622565878,0.0,-24.285119999999957
22140,2253.780033682,2180.089805878,0.0,-73.81788
22200,2276.183358682,2178.8583336819997,0.0,-74.92170000000026
22260,2276.183358682,2276.183358682,0.0,0.0
22320,2276.183358682,2276.183358682,0.0,0.0
22380,2276.183358682,2276.183358682,0.0,0.0
22440,2276.183358682,2276.183358682,0.0,0.0
22500,2276.183358682,2276.183358682,0.0,0.0
22560,2276.183358682,2276.183358682,0.0,0.0
22620,2276.183358682,2276.183358682,0.0,0.0
22680,2276.183358682,2276.183358682,0.0,0.0
22740,2276.183358682,2276.183358682,0.0,0.0
22800,2276.183358682,2276.183358682,0.0,0.0
22860,2275.562515778,2276.183358682,0.0,0.0
22920,2322.6473982299995,2172.1131957780003,0.0,-103.44931999999969
22980,2790.7789493879986,2234.099158229999,0.0,-88.54824000000063
23040,2790.7789493879986,2785.2435693879984,0.0,-5.5353800000000986
23100,2790.7789493879986,2715.347669387999,0.0,-75.43127999999986
23160,2849.0132859319992,2782.0536893879985,0.0,-8.725259999999997
