,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,12,HYPE,0.0,-0.011789756,999.988210244,0.0,999.988210244,1.0,2.42,24.359,2.42,24.359,entry_initial_normal_long
1,540,HYPE,0.0,-0.016819712,999.971390532,0.0,999.971390532,1.0,3.61,23.296,6.03,23.722610281923714,entry_grid_normal_long
2,827,HYPE,3.964059999999998,-0.029402280000000003,1003.906048252,0.0,1003.906048252,1.0,-6.03,24.38,0.0,23.722610281923714,close_grid_long
3,926,HYPE,0.0,-0.011819938,1003.894228314,0.0,1003.894228314,1.0,2.47,23.927,2.47,23.927,entry_initial_normal_long
4,1256,HYPE,1.6351399999999978,-0.012146966,1005.517221348,0.0,1005.517221348,1.0,-2.47,24.589,0.0,23.927,close_grid_long
5,1696,HYPE,0.0,-0.011835871999999999,1005.505385476,0.0,1005.505385476,1.0,2.36,25.076,2.36,25.076,entry_initial_normal_long
6,3795,HYPE,1.6378399999999977,-0.01216344,1007.131062036,0.0,1007.131062036,1.0,-2.36,25.77,0.0,25.076,close_grid_long
7,3882,HYPE,0.0,-0.011884391999999999,1007.119177644,0.0,1007.119177644,1.0,2.34,25.394,2.34,25.394,entry_initial_normal_long
8,3913,HYPE,1.642680000000004,-0.012212928,1008.749644716,0.0,1008.749644716,1.0,-2.34,26.096,0.0,25.394,close_grid_long
9,4130,HYPE,0.0,-0.011857692000000001,1008.737787024,0.0,1008.737787024,1.0,2.31,25.666,2.31,25.666,entry_initial_normal_long
10,5244,HYPE,0.0,-0.01693743,1008.720849594,0.0,1008.720849594,1.0,3.45,24.547,5.76,24.995765625,entry_grid_normal_long
11,5393,HYPE,0.0,-0.041022,1008.679827594,0.0,1008.679827594,1.0,8.6,23.85,14.36,24.309582869080778,entry_grid_normal_long
12,5510,HYPE,0.0,-0.09889414400000002,1008.58093345,0.0,1008.58093345,1.0,21.44,23.063,35.8,23.56302597765363,entry_grid_normal_long
13,5580,HYPE,0.6036695418994327,-0.08909472,1009.0955082718995,0.0,1009.0955082718995,1.0,-18.88,23.595,16.92,23.56302597765363,close_trailing_long
14,5621,HYPE,0.438644407821232,-0.010172704000000001,1009.5239799757207,0.0,1009.5239799757207,1.0,-2.14,23.768,14.78,23.56302597765363,close_trailing_long
15,5656,HYPE,9.695296050279357,-0.071591364,1019.1476846620001,0.0,1019.1476846620001,1.0,-14.78,24.219,0.0,23.56302597765363,close_grid_long
16,5703,HYPE,0.0,-0.012006873999999999,1019.1356777880001,0.0,1019.1356777880001,1.0,2.53,23.729,2.53,23.729,entry_initial_normal_long
17,5922,HYPE,0.0,-0.017156664,1019.118521124,0.0,1019.118521124,1.0,3.78,22.694,6.31,23.108984152139456,entry_grid_normal_long
18,5945,HYPE,0.0,-0.041540316,1019.076980808,0.0,1019.076980808,1.0,9.42,22.049,15.73,22.474206611570246,entry_grid_normal_long
19,5945,HYPE,0.0,-0.100166058,1018.97681475,0.0,1018.97681475,1.0,23.49,21.321,39.22,21.783517593064765,entry_grid_normal_long
20,5948,HYPE,4.69296205507388,-0.09081738599999999,1023.578959419074,0.0,1023.578959419074,1.0,-20.63,22.011,18.59,21.783517593064765,close_trailing_long
21,5951,HYPE,1.0794933044365085,-0.010541286000000002,1024.6479114375104,0.0,1024.6479114375104,1.0,-2.37,22.239,16.22,21.783517593064765,close_trailing_long
22,5961,HYPE,9.83714464048952,-0.07263316,1034.412422918,0.0,1034.412422918,1.0,-16.22,22.39,0.0,21.783517593064765,close_grid_long
23,5966,HYPE,0.0,-0.012188159999999998,1034.400234758,0.0,1034.400234758,1.0,2.76,22.08,2.76,22.08,entry_initial_normal_long
24,6115,HYPE,0.0,-0.017400408000000003,1034.38283435,0.0,1034.38283435,1.0,4.12,21.117,6.88,21.503319767441862,entry_grid_normal_long
25,6231,HYPE,4.098279999999988,-0.030408224,1038.450706126,0.0,1038.450706126,1.0,-6.88,22.099,0.0,21.503319767441862,close_grid_long
26,6301,HYPE,0.0,-0.012220188000000002,1038.438485938,0.0,1038.438485938,1.0,2.82,21.667,2.82,21.667,entry_initial_normal_long
27,6424,HYPE,1.6891799999999904,-0.012558024,1040.115107914,0.0,1040.115107914,1.0,-2.82,22.266,0.0,21.667,close_grid_long
28,6458,HYPE,0.0,-0.012240316000000003,1040.1028675979999,0.0,1040.1028675979999,1.0,2.83,21.626,2.83,21.626,entry_initial_normal_long
29,6539,HYPE,0.0,-0.017497818000000002,1040.0853697799998,0.0,1040.0853697799998,1.0,4.23,20.683,7.06,21.0610014164306,entry_grid_normal_long
30,6555,HYPE,4.1230299999999644,-0.030562739999999998,1044.1778370399998,0.0,1044.1778370399998,1.0,-7.06,21.645,0.0,21.0610014164306,close_grid_long
31,6589,HYPE,0.0,-0.012282624,1044.1655544159998,0.0,1044.1655544159998,1.0,2.88,21.324,2.88,21.324,entry_initial_normal_long
32,6651,HYPE,1.6991999999999996,-0.012622464000000002,1045.8521319519998,0.0,1045.8521319519998,1.0,-2.88,21.914,0.0,21.324,close_grid_long
33,6680,HYPE,0.0,-0.012302542,1045.8398294099998,0.0,1045.8398294099998,1.0,2.87,21.433,2.87,21.433,entry_initial_normal_long
34,6788,HYPE,0.0,-0.017587284,1045.8222421259998,0.0,1045.8222421259998,1.0,4.29,20.498,7.16,20.872783519553074,entry_grid_normal_long
35,6826,HYPE,4.1400299999999906,-0.030717832,1049.9315542939999,0.0,1049.9315542939999,1.0,-7.16,21.451,0.0,20.872783519553074,close_grid_long
36,7145,HYPE,0.0,-0.012372192,1049.919182102,0.0,1049.919182102,1.0,2.72,22.743,2.72,22.743,entry_initial_normal_long
37,7304,HYPE,1.7108800000000037,-0.012714368,1051.6173477339998,0.0,1051.6173477339998,1.0,-2.72,23.372,0.0,22.743,close_grid_long
38,7327,HYPE,0.0,-0.01236844,1051.6049792939998,0.0,1051.6049792939998,1.0,2.71,22.82,2.71,22.82,entry_initial_normal_long
39,7343,HYPE,1.7100100000000007,-0.012710442,1053.3022788519997,0.0,1053.3022788519997,1.0,-2.71,23.451,0.0,22.82,close_grid_long
40,7391,HYPE,0.0,-0.012400020000000001,1053.2898788319997,0.0,1053.2898788319997,1.0,2.7,22.963,2.7,22.963,entry_initial_normal_long
41,7452,HYPE,0.0,-0.017700566,1053.2721782659996,0.0,1053.2721782659996,1.0,4.03,21.961,6.73,22.362991084695395,entry_grid_normal_long
42,7511,HYPE,0.0,-0.04288737000000001,1053.2292908959996,0.0,1053.2292908959996,1.0,10.05,21.337,16.78,21.74849702026222,entry_grid_normal_long
43,7635,HYPE,0.003460119189511204,-0.00017468000000000003,1053.2325763351892,0.0,1053.2325763351892,1.0,-0.04,21.835,16.74,21.74849702026222,close_trailing_long
