,balance,equity,balance_btc,equity_btc
0,999.962376106,1000.0,0.0,0.0
60,999.962376106,998.315136106,0.0,-1.6472399999999978
120,999.962376106,997.8023161059999,0.0,-2.16005999999999
180,999.962376106,1000.451886106,0.0,0.48951000000001854
240,999.93004767,998.2218961059999,0.0,-1.7404800000000014
300,999.93004767,997.9820176700001,0.0,-1.948029999999942
360,999.93004767,993.3004176700001,0.0,-6.629629999999946
420,999.93004767,992.6566976700001,0.0,-7.273349999999954
480,999.93004767,993.2711576700001,0.0,-6.65888999999993
540,999.887096454,990.9742476700001,0.0,-8.95579999999993
600,999.887096454,996.0756664539999,0.0,-3.8114300000000445
660,1000.1054206471613,1003.928896454,0.0,4.041799999999971
720,1012.452086822,1008.983340002,0.0,8.877919354838678
780,1012.452086822,1012.452086822,0.0,0.0
840,1012.452086822,1012.452086822,0.0,0.0
900,1012.414005492,1012.452086822,0.0,0.0
960,1012.414005492,1011.2548054920001,0.0,-1.159199999999987
1020,1012.414005492,1010.288805492,0.0,-2.125199999999995
1080,1012.414005492,1011.303105492,0.0,-1.110899999999985
1140,1012.414005492,1014.957805492,0.0,2.5438000000000205
1200,1016.633522472,1016.390705492,0.0,3.9766999999999983
1260,1016.633522472,1016.633522472,0.0,0.0
1320,1016.633522472,1016.633522472,0.0,0.0
1380,1016.633522472,1016.633522472,0.0,0.0
1440,1016.633522472,1016.633522472,0.0,0.0
1500,1016.633522472,1016.633522472,0.0,0.0
1560,1016.633522472,1016.633522472,0.0,0.0
1620,1016.633522472,1016.633522472,0.0,0.0
1680,1016.633522472,1016.633522472,0.0,0.0
1740,1016.633522472,1016.633522472,0.0,0.0
1800,1016.633522472,1016.633522472,0.0,0.0
1860,1020.829725252,1016.633522472,0.0,0.0
1920,1020.79135044,1020.829725252,0.0,0.0
1980,1020.79135044,1021.2010404399999,0.0,0.4096900000000064
2040,1020.79135044,1021.0155204399999,0.0,0.22416999999999934
2100,1025.042267598,1020.39712044,0.0,-0.3942299999999875
2160,1025.042267598,1025.042267598,0.0,0.0
2220,1025.042267598,1025.042267598,0.0,0.0
2280,1025.0037008660001,1025.042267598,0.0,0.0
2340,1025.0037008660001,1025.4087808660001,0.0,0.4050799999999969
2400,1025.0037008660001,1026.912250866,0.0,1.90854999999998
2460,1025.0037008660001,1025.0037008660001,0.0,0.0
2520,1025.0037008660001,1026.242310866,0.0,1.2386099999999916
2580,1025.0037008660001,1024.3960808660001,0.0,-0.607620000000023
2640,1025.0037008660001,1022.9705108660002,0.0,-2.0331900000000216
2700,1025.0037008660001,1023.4690708660002,0.0,-1.5346300000000213
2760,1025.0037008660001,1023.1496808660002,0.0,-1.8540200000000242
2820,1025.0037008660001,1023.1185208660002,0.0,-1.885180000000007
2880,1024.97055165,1023.1886308660002,0.0,-1.8150700000000042
2940,1024.97055165,1020.39258165,0.0,-4.577970000000044
3000,1024.97055165,1021.1994316500001,0.0,-3.7711200000000478
3060,1024.97055165,1023.53196165,0.0,-1.4385900000000638
3120,1032.979459254,1032.15792165,0.0,7.187369999999951
3180,1032.979459254,1032.979459254,0.0,0.0
3240,1032.979459254,1032.979459254,0.0,0.0
3300,1032.979459254,1032.979459254,0.0,0.0
3360,1032.940598064,1032.979459254,0.0,0.0
3420,1032.940598064,1032.392048064,0.0,-0.5485499999999925
3480,1032.940598064,1034.936048064,0.0,1.9954500000000097
3540,1032.940598064,1033.536848064,0.0,0.5962499999999944
3600,1037.2415687339999,1035.9695480639998,0.0,3.028950000000002
3660,1037.2415687339999,1037.2415687339999,0.0,0.0
3720,1037.2415687339999,1037.2415687339999,0.0,0.0
3780,1037.2415687339999,1037.2415687339999,0.0,0.0
3840,1037.2415687339999,1037.2415687339999,0.0,0.0
3900,1037.2415687339999,1037.2415687339999,0.0,0.0
3960,1037.2415687339999,1037.2415687339999,0.0,0.0
4020,1037.2415687339999,1037.2415687339999,0.0,0.0
4080,1037.2415687339999,1037.2415687339999,0.0,0.0
4140,1037.2415687339999,1037.2415687339999,0.0,0.0
4200,1037.2025422559998,1037.2415687339999,0.0,0.0
4260,1037.2025422559998,1038.7676722559997,0.0,1.5651299999999955
4320,1037.2025422559998,1036.5934522559999,0.0,-0.6090900000000048
4380,1037.2025422559998,1037.5109422559997,0.0,0.3083999999999934
4440,1041.5187945479997,1040.1786022559997,0.0,2.976059999999994
4500,1041.5187945479997,1041.5187945479997,0.0,0.0
4560,1041.5187945479997,1041.5187945479997,0.0,0.0
4620,1041.5187945479997,1041.5187945479997,0.0,0.0
4680,1041.5187945479997,1041.5187945479997,0.0,0.0
4740,1041.5187945479997,1041.5187945479997,0.0,0.0
4800,1041.5187945479997,1041.5187945479997,0.0,0.0
4860,1041.5187945479997,1041.5187945479997,0.0,0.0
4920,1041.5187945479997,1041.5187945479997,0.0,0.0
4980,1041.4796109219997,1041.5187945479997,0.0,0.0
5040,1041.4796109219997,1040.5721909219997,0.0,-0.9074199999999889
5100,1041.4796109219997,1039.8647109219996,0.0,-1.6149000000000067
5160,1041.4796109219997,1041.9102509219997,0.0,0.43064000000000724
5220,1041.3291819859996,1038.9803609219996,0.0,-2.4992499999999946
5280,1042.778823360949,1033.8607319859996,0.0,-7.468450000000106
5340,1042.709488776949,1044.3912225459994,0.0,1.6123991850505317
5400,1042.597898928949,1033.7660779619996,0.0,-8.94341081494937
5460,1042.418702196949,1025.3282981139996,0.0,-17.269600814949413
5520,1042.418702196949,980.2596413819995,0.0,-62.15906081494946
5580,1047.976804054346,1040.7202613819998,0.0,-1.6984408149492976
5640,1060.8706160199997,1045.1864373799997,0.0,-2.7903666743463074
5700,1060.8307430139996,1060.8706160199997,0.0,0.0
5760,1060.8307430139996,1058.9391230139995,0.0,-1.8916199999999923
5820,1060.7508860619996,1058.9307530139995,0.0,-1.8999900000000025
5880,1060.6775202379997,1050.9578760619995,0.0,-9.793010000000075
5940,1089.4796543119992,1040.7407402379995,0.0,-19.936780000000205
6000,1089.4328920719993,1086.9123643119992,0.0,-2.5672900000000447
6060,1089.3575291219993,1076.4978020719993,0.0,-12.935089999999894
6120,1089.3680640351672,1077.1966991219992,0.0,-12.16082999999999
6180,1107.2857206439996,1092.7675778419994,0.0,3.399513806832212
6240,1107.2857206439996,1108.8499206439997,0.0,1.564199999999992
6300,1107.2498961439996,1105.4466006439995,0.0,-1.839120000000025
6360,1107.2498961439996,1100.3361561439997,0.0,-6.913740000000056
6420,1115.8782172419997,1113.5525561439995,0.0,6.302659999999916
6480,1115.7942422819997,1112.8515072419996,0.0,-3.026710000000023
6540,1129.7441036059997,1106.4625522819995,0.0,-9.331690000000135
6600,1134.4526663659997,1129.2392036059998,0.0,-0.504899999999984
6660,1134.3733182619997,1134.4526663659997,0.0,0.0
6720,1143.2124421819997,1136.0013982619996,0.0,1.6280799999999638
6780,1164.819497148,1138.1775321819996,0.0,-5.034909999999988
6840,1164.819497148,1164.819497148,0.0,0.0
6900,1164.819497148,1164.819497148,0.0,0.0
6960,1164.819497148,1164.819497148,0.0,0.0
7020,1164.819497148,1164.819497148,0.0,0.0
7080,1164.819497148,1164.819497148,0.0,0.0
7140,1164.819497148,1164.819497148,0.0,0.0
7200,1169.6361983680001,1164.819497148,0.0,0.0
7260,1169.6361983680001,1169.6361983680001,0.0,0.0
7320,1174.4670432760001,1169.6361983680001,0.0,0.0
7380,1174.4228629600002,1174.4670432760001,0.0,0.0
7440,1174.3344082720002,1170.3517129600002,0.0,-4.071149999999992
7500,1174.1223212980003,1169.092688272,0.0,-5.241720000000205
7560,1174.1223212980003,1157.3254512980006,0.0,-16.796869999999736
7620,1189.8054229320003,1167.7553512980005,0.0,-6.3669699999998155
7680,1189.787569643881,1165.6713229320005,0.0,-24.13409999999981
7740,1204.3737737180004,1193.2355420200004,0.0,3.447972376119392
7800,1204.3220676740004,1203.9421137180004,0.0,-0.4316600000000542
7860,1204.501518882128,1199.3514176740002,0.0,-4.970650000000145
7920,1204.501518882128,1195.996663434,0.0,-8.504855448127854
7980,1203.7473905333075,1194.9239634340001,0.0,-9.57755544812782
8040,1250.5977825788243,1115.8802743760002,0.0,-87.86711615730735
8100,1276.529209696,1244.9653345680001,0.0,-5.6324480108242225
8160,1276.4812138559998,1276.529209696,0.0,0.0
8220,1281.7456645839998,1277.0953338559998,0.0,0.6141199999999953
8280,1281.7041816139997,1281.0679345839999,0.0,-0.6777299999999835
8340,1283.0799986672475,1279.1903116139997,0.0,-2.5138699999999514
8400,1304.3759811559999,1297.7164610939997,0.0,11.865461132265718
8460,1315.1602168099998,1306.525451156,0.0,2.149469999999992
8520,1326.0857495259997,1318.1477168099998,0.0,2.9875000000000096
8580,1326.0857495259997,1326.0857495259997,0.0,0.0
8640,1326.0857495259997,1326.0857495259997,0.0,0.0
8700,1326.0857495259997,1326.0857495259997,0.0,0.0
8760,1326.0857495259997,1326.0857495259997,0.0,0.0
8820,1326.0857495259997,1326.0857495259997,0.0,0.0
8880,1326.0857495259997,1326.0857495259997,0.0,0.0
8940,1326.0857495259997,1326.0857495259997,0.0,0.0
9000,1326.0857495259997,1326.0857495259997,0.0,0.0
9060,1326.0857495259997,1326.0857495259997,0.0,0.0
9120,1326.0857495259997,1326.0857495259997,0.0,0.0
9180,1326.0857495259997,1326.0857495259997,0.0,0.0
9240,1326.0857495259997,1326.0857495259997,0.0,0.0
9300,1326.0857495259997,1326.0857495259997,0.0,0.0
9360,1326.0358824219998,1326.0857495259997,0.0,0.0
9420,1325.8351872559278,1325.9300424219998,0.0,-0.10584000000000401
9480,1342.003726448,1328.6028164639997,0.0,2.767629208071863
9540,1342.273547227355,1337.014406448,0.0,-4.989319999999981
9600,1342.273547227355,1349.9473384540001,0.0,7.673791226645031
9660,1358.645380824,1329.569838454,0.0,-12.703708773354979
9720,1358.645380824,1358.645380824,0.0,0.0
9780,1364.24465885,1358.645380824,0.0,0.0
9840,1369.871105808,1364.24465885,0.0,0.0
9900,1369.871105808,1369.871105808,0.0,0.0
9960,1369.871105808,1369.871105808,0.0,0.0
10020,1369.819612968,1369.871105808,0.0,0.0
10080,1369.819612968,1369.224892968,0.0,-0.5947200000000226
10140,1369.819612968,1370.116972968,0.0,0.29735999999996726
10200,1369.819612968,1367.626582968,0.0,-2.1930299999999954
10260,1369.77528196,1363.884802968,0.0,-5.934810000000034
10320,1369.716475256,1367.39299196,0.0,-2.382289999999956
10380,1370.3006079826753,1361.829905256,0.0,-7.886569999999948
10440,1370.3006079826753,1374.7511477960002,0.0,4.450539813324823
10500,1370.3006079826753,1377.160047796,0.0,6.85943981332487
10560,1370.3006079826753,1373.491107796,0.0,3.1904998133248625
10620,1370.3006079826753,1361.298367796,0.0,-9.002240186675161
10680,1370.3006079826753,1368.1915277960002,0.0,-2.109080186675163
10740,1387.125281672,1373.9358277960002,0.0,3.635219813324879
10800,1387.125281672,1387.125281672,0.0,0.0
10860,1387.125281672,1387.125281672,0.0,0.0
10920,1387.125281672,1387.125281672,0.0,0.0
10980,1387.125281672,1387.125281672,0.0,0.0
11040,1387.125281672,1387.125281672,0.0,0.0
11100,1387.125281672,1387.125281672,0.0,0.0
11160,1392.853143302,1387.125281672,0.0,0.0
11220,1392.853143302,1392.853143302,0.0,0.0
11280,1392.853143302,1392.853143302,0.0,0.0
11340,1392.853143302,1392.853143302,0.0,0.0
11400,1392.853143302,1392.853143302,0.0,0.0
11460,1392.853143302,1392.853143302,0.0,0.0
11520,1392.853143302,1392.853143302,0.0,0.0
11580,1392.853143302,1392.853143302,0.0,0.0
11640,1392.853143302,1392.853143302,0.0,0.0
11700,1392.853143302,1392.853143302,0.0,0.0
11760,1392.853143302,1392.853143302,0.0,0.0
11820,1392.800779622,1392.853143302,0.0,0.0
11880,1392.800779622,1392.6588796219999,0.0,-0.14189999999999012
11940,1392.800779622,1393.703779622,0.0,0.9030000000000037
12000,1398.603844622,1393.381279622,0.0,0.580500000000022
12060,1398.603844622,1398.603844622,0.0,0.0
12120,1398.603844622,1398.603844622,0.0,0.0
12180,1398.603844622,1398.603844622,0.0,0.0
12240,1398.603844622,1398.603844622,0.0,0.0
12300,1398.603844622,1398.603844622,0.0,0.0
12360,1398.603844622,1398.603844622,0.0,0.0
12420,1398.603844622,1398.603844622,0.0,0.0
12480,1398.603844622,1398.603844622,0.0,0.0
12540,1398.603844622,1398.603844622,0.0,0.0
12600,1398.603844622,1398.603844622,0.0,0.0
12660,1398.603844622,1398.603844622,0.0,0.0
12720,1398.603844622,1398.603844622,0.0,0.0
12780,1398.551250806,1398.603844622,0.0,0.0
12840,1398.551250806,1398.3399408060002,0.0,-0.21130999999999328
12900,1398.551250806,1397.1839508060002,0.0,-1.3672999999999929
12960,1404.3768711120001,1399.309480806,0.0,0.7582299999999993
13020,1404.3768711120001,1404.3768711120001,0.0,0.0
13080,1874.310002650001,1404.3768711120001,0.0,0.0
13140,1874.239527688001,1874.310002650001,0.0,0.0
13200,1874.239527688001,1869.6553076880011,0.0,-4.584219999999978
13260,1874.098427728001,1869.424447688001,0.0,-4.815079999999967
13320,1873.968772258001,1861.245417728001,0.0,-12.853010000000054
13380,1873.968772258001,1831.3025522580012,0.0,-42.666219999999846
13440,1873.760106200001,1840.7269322580014,0.0,-33.24183999999978
13500,1872.6568468797273,1803.6763362000013,0.0,-70.08376999999969
13560,1872.6568468797273,1852.846453366001,0.0,-19.8103935137262
13620,1886.5452198551932,1885.2418258780008,0.0,4.815221981698178
13680,1891.002492472754,1861.765471094001,0.0,-24.779748761192188
13740,1914.2642181620008,1900.3671181640009,0.0,9.364625691246745
13800,1929.1778398260008,1907.6945181620008,0.0,-6.569699999999967
13860,1929.1778398260008,1929.1778398260008,0.0,0.0
13920,1929.1778398260008,1929.1778398260008,0.0,0.0
13980,1929.1778398260008,1929.1778398260008,0.0,0.0
14040,1929.1778398260008,1929.1778398260008,0.0,0.0
14100,1929.1778398260008,1929.1778398260008,0.0,0.0
14160,1929.1778398260008,1929.1778398260008,0.0,0.0
