,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,39,HYPE,0.0,-0.039463828,999.960536172,0.0,999.960536172,1.0,8.21,24.034,8.21,24.034,entry_initial_normal_long
1,392,HYPE,0.0,-0.046175808,999.914360364,0.0,999.914360364,1.0,9.87,23.392,18.08,23.68352765486726,entry_grid_normal_long
2,775,HYPE,9.699419999999938,-0.08757952,1009.526200844,0.0,1009.526200844,1.0,-18.08,24.22,0.0,23.68352765486726,close_grid_long
3,951,HYPE,0.0,-0.039845824,1009.4863550199999,0.0,1009.4863550199999,1.0,8.48,23.494,8.48,23.494,entry_initial_normal_long
4,1155,HYPE,4.680959999999997,-0.040782016,1014.126533004,0.0,1014.126533004,1.0,-8.48,24.046,0.0,23.494,close_grid_long
5,2010,HYPE,0.0,-0.04004134399999999,1014.08649166,0.0,1014.08649166,1.0,8.12,24.656,8.12,24.656,entry_initial_normal_long
6,2147,HYPE,4.7014800000000045,-0.04098163999999999,1018.74699002,0.0,1018.74699002,1.0,-8.12,25.235,0.0,24.656,close_grid_long
7,2596,HYPE,0.0,-0.04020848800000001,1018.706781532,0.0,1018.706781532,1.0,8.23,24.428,8.23,24.428,entry_initial_normal_long
8,3194,HYPE,4.724019999999984,-0.041153292,1023.38964824,0.0,1023.38964824,1.0,-8.23,25.002,0.0,24.428,close_grid_long
9,3404,HYPE,0.0,-0.040400256,1023.349247984,0.0,1023.349247984,1.0,8.32,24.279,8.32,24.279,entry_initial_normal_long
10,3559,HYPE,4.750720000000013,-0.0413504,1028.058617584,0.0,1028.058617584,1.0,-8.32,24.85,0.0,24.279,close_grid_long
11,4204,HYPE,0.0,-0.04057361,1028.0180439740002,0.0,1028.0180439740002,1.0,8.05,25.201,8.05,25.201,entry_initial_normal_long
12,4443,HYPE,4.76559999999999,-0.041526730000000005,1032.7421172440002,0.0,1032.7421172440002,1.0,-8.05,25.793,0.0,25.201,close_grid_long
13,5019,HYPE,0.0,-0.040773250000000004,1032.7013439940001,0.0,1032.7013439940001,1.0,8.05,25.325,8.05,25.325,entry_initial_normal_long
14,5242,HYPE,0.0,-0.047718528,1032.6536254660002,0.0,1032.6536254660002,1.0,9.68,24.648,17.73,24.955380146644103,entry_grid_normal_long
15,5254,HYPE,0.0,-0.103336452,1032.5502890140003,0.0,1032.5502890140003,1.0,21.31,24.246,39.04,24.568164702868852,entry_grid_normal_long
16,5435,HYPE,0.0,-0.22315152000000005,1032.3271374940002,0.0,1032.3271374940002,1.0,46.92,23.78,85.96,24.137956607724526,entry_grid_normal_long
17,5491,HYPE,0.0,-0.621029142,1031.7061083520002,0.0,1031.7061083520002,1.0,134.01,23.171,219.97,23.548867845615312,entry_grid_inflated_long
18,5492,HYPE,-1.8717391444288027,-0.02816688,1029.8062023275713,0.0,1029.8062023275713,1.0,-6.06,23.24,213.91,23.548867845615312,close_unstuck_long
19,5493,HYPE,-0.5023683952357223,-0.028111070000000002,1029.2757228623357,0.0,1029.2757228623357,1.0,-5.99,23.465,207.92,23.548867845615312,close_unstuck_long
20,5494,HYPE,-1.666241787516489,-0.028113784,1027.5813672908191,0.0,1027.5813672908191,1.0,-6.04,23.273,201.88,23.548867845615312,close_unstuck_long
21,5495,HYPE,-1.6936331090603298,-0.028061208,1025.8596729737587,0.0,1025.8596729737587,1.0,-6.03,23.268,195.85,23.548867845615312,close_unstuck_long
22,5496,HYPE,-1.4896857521480373,-0.028007802,1024.3419794196107,0.0,1024.3419794196107,1.0,-6.01,23.301,189.84,23.548867845615312,close_unstuck_long
23,5497,HYPE,-1.567815752148026,-0.027992176,1022.7461714914626,0.0,1022.7461714914626,1.0,-6.01,23.288,183.83,23.548867845615312,close_unstuck_long
24,5498,HYPE,-1.1533497167795586,-0.027933776000000007,1021.564887998683,0.0,1021.564887998683,1.0,-5.98,23.356,177.85,23.548867845615312,close_unstuck_long
25,5500,HYPE,-1.6224983952357295,-0.027887044,1019.9145025594473,0.0,1019.9145025594473,1.0,-5.99,23.278,171.86,23.548867845615312,close_unstuck_long
26,5552,HYPE,0.7668376246760618,-0.094866914,1020.5864732701234,0.0,1020.5864732701234,1.0,-20.11,23.587,151.75,23.548867845615312,close_trailing_long
27,5578,HYPE,2.6987389462199105,-0.095300392,1023.1899118243433,0.0,1023.1899118243433,1.0,-20.12,23.683,131.63,23.548867845615312,close_trailing_long
28,5583,HYPE,2.32451396826838,-0.045867120000000004,1025.4685586726116,0.0,1025.4685586726116,1.0,-9.64,23.79,121.99,23.548867845615312,close_trailing_long
29,5588,HYPE,27.834563736872997,-0.408770628,1052.8943517814846,0.0,1052.8943517814846,1.0,-85.61,23.874,36.38,23.548867845615312,close_grid_long
30,5654,HYPE,18.158427776514873,-0.174973248,1070.8778063099994,0.0,1070.8778063099994,1.0,-36.38,24.048,0.0,23.548867845615312,close_grid_long
31,5704,HYPE,0.0,-0.04226474400000001,1070.8355415659994,0.0,1070.8355415659994,1.0,8.94,23.638,8.94,23.638,entry_initial_normal_long
32,5863,HYPE,0.0,-0.049416888,1070.7861246779994,0.0,1070.7861246779994,1.0,10.74,23.006,19.68,23.29309756097561,entry_grid_normal_long
33,5925,HYPE,0.0,-0.10704462999999999,1070.6790800479994,0.0,1070.6790800479994,1.0,23.65,22.631,43.33,22.931717285945073,entry_grid_normal_long
34,5945,HYPE,0.0,-0.231193536,1070.4478865119993,0.0,1070.4478865119993,1.0,52.08,22.196,95.41,22.53012252384446,entry_grid_normal_long
35,5945,HYPE,0.0,-0.6446009120000001,1069.8032855999993,0.0,1069.8032855999993,1.0,149.02,21.628,244.43,21.980131530499527,entry_grid_inflated_long
36,5946,HYPE,1.1985132140081103,-0.029209515999999998,1070.9725892980075,0.0,1070.9725892980075,1.0,-6.59,22.162,237.84,21.980131530499527,close_unstuck_long
