,balance,equity,balance_btc,equity_btc
0,1000.552443364,1000.0,0.0,0.0
60,1000.552443364,1000.0,0.0,0.0
120,1000.552443364,1000.0,0.0,0.0
180,1000.552443364,1000.0,0.0,0.0
240,1000.552443364,1000.0,0.0,0.0
300,1000.552443364,1000.0,0.0,0.0
360,1000.552443364,1000.0,0.0,0.0
420,1000.552443364,1000.0,0.0,0.0
480,1000.552443364,1000.0,0.0,0.0
540,1000.552443364,1000.0,0.0,0.0
600,1000.552443364,1000.0,0.0,0.0
660,1000.552443364,1000.0,0.0,0.0
720,1000.552443364,1000.0,0.0,0.0
780,1000.552443364,1000.0,0.0,0.0
840,1000.552443364,1000.0,0.0,0.0
900,1000.552443364,1000.0,0.0,0.0
960,1000.552443364,1000.0,0.0,0.0
1020,1000.552443364,1000.0,0.0,0.0
1080,1000.552443364,1000.0,0.0,0.0
1140,1000.552443364,1000.0,0.0,0.0
1200,1000.552443364,1000.0,0.0,0.0
1260,1000.552443364,1000.0,0.0,0.0
1320,1000.552443364,1000.0,0.0,0.0
1380,1000.552443364,1000.0,0.0,0.0
1440,1000.552443364,1000.0,0.0,0.0
1500,1000.552443364,1000.0,0.0,0.0
1560,1000.552443364,1000.0,0.0,0.0
1620,1000.552443364,1000.0,0.0,0.0
1680,1000.552443364,1000.0,0.0,0.0
1740,1000.552443364,1000.0,0.0,0.0
1800,1000.552443364,1000.0,0.0,0.0
1860,1000.552443364,1000.0,0.0,0.0
1920,1000.552443364,1000.0,0.0,0.0
1980,1000.552443364,1000.0,0.0,0.0
2040,1000.552443364,1000.0,0.0,0.0
2100,1000.552443364,1000.0,0.0,0.0
2160,1000.552443364,1000.0,0.0,0.0
2220,1000.552443364,1000.0,0.0,0.0
2280,1000.552443364,1000.0,0.0,0.0
2340,1000.552443364,1000.0,0.0,0.0
2400,1000.552443364,1000.0,0.0,0.0
2460,1000.552443364,1000.0,0.0,0.0
2520,1000.552443364,1000.0,0.0,0.0
2580,1000.552443364,1000.0,0.0,0.0
2640,1000.552443364,1000.0,0.0,0.0
2700,1000.552443364,1000.0,0.0,0.0
2760,1000.552443364,1000.0,0.0,0.0
2820,1000.552443364,1000.0,0.0,0.0
2880,1000.552443364,1000.0,0.0,0.0
2940,1000.552443364,1000.0,0.0,0.0
3000,1000.552443364,1000.0,0.0,0.0
3060,1000.552443364,1000.0,0.0,0.0
3120,1000.552443364,1000.0,0.0,0.0
3180,1000.552443364,1000.0,0.0,0.0
3240,1000.552443364,1000.0,0.0,0.0
3300,1000.552443364,1000.0,0.0,0.0
3360,1000.552443364,1000.0,0.0,0.0
3420,1000.552443364,1000.0,0.0,0.0
3480,1000.552443364,1000.0,0.0,0.0
3540,1000.552443364,1000.0,0.0,0.0
3600,1000.552443364,1000.0,0.0,0.0
3660,1000.552443364,1000.0,0.0,0.0
3720,1000.552443364,1000.0,0.0,0.0
3780,1000.552443364,1000.0,0.0,0.0
3840,1000.552443364,1000.0,0.0,0.0
3900,1000.552443364,1000.0,0.0,0.0
3960,1000.552443364,1000.0,0.0,0.0
4020,1000.552443364,1000.0,0.0,0.0
4080,1000.552443364,1000.0,0.0,0.0
4140,1000.552443364,1000.0,0.0,0.0
4200,1000.552443364,999.1818839740001,0.0,-0.7116199999999774
4260,1000.552443364,1001.3391233640001,0.0,0.7866800000000167
4320,1000.552443364,998.2145633640001,0.0,-2.3378799999999837
4380,1001.079229452,999.533083364,0.0,-1.019359999999986
4440,1001.079229452,1001.079229452,0.0,0.0
4500,1001.079229452,1001.079229452,0.0,0.0
4560,1001.079229452,1001.079229452,0.0,0.0
4620,1001.079229452,1001.079229452,0.0,0.0
4680,1001.079229452,1001.079229452,0.0,0.0
4740,1001.079229452,1001.079229452,0.0,0.0
4800,1001.079229452,1001.079229452,0.0,0.0
4860,1001.079229452,1001.079229452,0.0,0.0
4920,1001.079229452,1001.079229452,0.0,0.0
4980,1000.972616948,1001.079229452,0.0,0.0
5040,1002.2246975979999,998.420376948,0.0,-2.5522399999999976
5100,1005.4958981739999,1003.8139475979999,0.0,1.589249999999985
5160,1005.3888140539999,1005.4958981739999,0.0,0.0
5220,1005.3888140539999,1006.7118940539999,0.0,1.323080000000025
5280,1005.3888140539999,990.9202940539999,0.0,-14.468520000000018
5340,1005.3888140539999,996.5540540539998,0.0,-8.834760000000031
5400,1005.3888140539999,984.0701540539999,0.0,-21.318659999999973
5460,1005.3888140539999,976.878574054,0.0,-28.510239999999968
5520,1005.3888140539999,962.7514940539999,0.0,-42.637320000000024
5580,1005.3888140539999,975.6835340539999,0.0,-29.705279999999988
5640,1005.3888140539999,973.5708740539999,0.0,-31.817939999999993
5700,1005.3888140539999,981.1892540539999,0.0,-24.19956000000001
5760,1005.3888140539999,973.442834054,0.0,-31.94598
5820,1005.3888140539999,973.4214940539999,0.0,-31.967320000000022
5880,1005.3888140539999,958.3554540539999,0.0,-47.033360000000016
5940,1005.3888140539999,950.7370740539999,0.0,-54.65174
6000,1005.3888140539999,938.5092540539999,0.0,-66.87956000000001
6060,1005.3888140539999,926.7935940539999,0.0,-78.59522
6120,1005.3888140539999,925.683914054,0.0,-79.70489999999998
