,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,4200,HYPE,0.0,-0.106496026,999.893503974,0.0,999.893503974,1.0,20.93,25.441,20.93,25.441,entry_initial_normal_long
1,4232,HYPE,0.7092000000000268,-0.050260610000000004,1000.552443364,0.0,1000.552443364,1.0,-9.85,25.513,11.08,25.441,close_trailing_long
2,4427,HYPE,0.493000000000007,-0.050268252,1000.9951751120001,0.0,1000.9951751120001,1.0,-9.86,25.491,1.22,25.441,close_trailing_long
3,4437,HYPE,0.09028000000000197,-0.00622566,1001.079229452,0.0,1001.079229452,1.0,-1.22,25.515,0.0,25.441,close_trailing_long
4,5016,HYPE,0.0,-0.10661250400000002,1000.972616948,0.0,1000.972616948,1.0,20.92,25.481,20.92,25.481,entry_initial_normal_long
5,5051,HYPE,0.9061999999999877,-0.05037881,1001.828438138,0.0,1001.828438138,1.0,-9.85,25.573,11.07,25.481,close_trailing_long
6,5055,HYPE,0.49299999999997196,-0.050347131999999996,1002.271091006,0.0,1002.271091006,1.0,-9.86,25.531,1.21,25.481,close_trailing_long
7,5057,HYPE,0.06654999999999965,-0.006179712,1002.331461294,0.0,1002.331461294,1.0,-1.21,25.536,0.0,25.481,close_trailing_long
8,5099,HYPE,0.0,-0.106763696,1002.2246975979999,0.0,1002.2246975979999,1.0,21.19,25.192,21.19,25.192,entry_initial_normal_long
9,5114,HYPE,1.7148400000000061,-0.050575816,1003.8889617819999,0.0,1003.8889617819999,1.0,-9.97,25.364,11.22,25.192,close_trailing_long
10,5117,HYPE,1.4485499999999958,-0.050623326,1005.2868884559999,0.0,1005.2868884559999,1.0,-9.99,25.337,1.23,25.192,close_trailing_long
11,5136,HYPE,0.21525000000000086,-0.006240282,1005.4958981739999,0.0,1005.4958981739999,1.0,-1.23,25.367,0.0,25.192,close_trailing_long
12,5217,HYPE,0.0,-0.10708412000000002,1005.3888140539999,0.0,1005.3888140539999,1.0,21.34,25.09,21.34,25.09,entry_initial_normal_long
13,6425,HYPE,0.0,-0.142260106,1005.2465539479999,0.0,1005.2465539479999,1.0,31.97,22.249,53.31,23.386252673044456,entry_trailing_normal_long
14,6834,HYPE,0.0,-0.348924312,1004.8976296359999,0.0,1004.8976296359999,1.0,79.86,21.846,133.17,22.46258684388376,entry_trailing_normal_long
