,balance,equity,balance_btc,equity_btc
0,999.993043908,1000.0,0.0,0.0
60,999.993043908,999.531153908,0.0,-0.4618900000000005
120,999.987442036,999.436773908,0.0,-0.556269999999999
180,999.987442036,1000.0672820359999,0.0,0.07984000000001082
240,999.987442036,999.3239520359999,0.0,-0.6634899999999958
300,999.987442036,998.772282036,0.0,-1.2151599999999891
360,999.9524480739999,997.943482036,0.0,-2.04395999999999
420,999.9524480739999,997.5465180739999,0.0,-2.405929999999984
480,999.9524480739999,998.119938074,0.0,-1.8325099999999626
540,999.9524480739999,996.5405180739999,0.0,-3.411929999999963
600,999.9524480739999,998.5022180739999,0.0,-1.4502299999999957
660,1004.9222424779999,1001.8119580739999,0.0,1.8595100000000107
720,1004.9222424779999,1004.9222424779999,0.0,0.0
780,1004.9222424779999,1004.9222424779999,0.0,0.0
840,1004.9222424779999,1004.9222424779999,0.0,0.0
900,1004.9152573319999,1004.9222424779999,0.0,0.0
960,1004.9095578119999,1004.547757332,0.0,-0.3675
1020,1004.9095578119999,1003.9348578119999,0.0,-0.9747000000000072
1080,1004.9095578119999,1004.2712778119999,0.0,-0.638280000000004
1140,1004.9095578119999,1005.4834578119999,0.0,0.5738999999999977
1200,1006.2581508359999,1005.9587178119999,0.0,1.0491599999999903
1260,1006.2581508359999,1006.2581508359999,0.0,0.0
1320,1006.2581508359999,1006.2581508359999,0.0,0.0
1380,1006.2581508359999,1006.2581508359999,0.0,0.0
1440,1006.2581508359999,1006.2581508359999,0.0,0.0
1500,1006.2581508359999,1006.2581508359999,0.0,0.0
1560,1006.2581508359999,1006.2581508359999,0.0,0.0
1620,1006.2581508359999,1006.2581508359999,0.0,0.0
1680,1006.2581508359999,1006.2581508359999,0.0,0.0
1740,1006.2581508359999,1006.2581508359999,0.0,0.0
1800,1006.2581508359999,1006.2581508359999,0.0,0.0
1860,1006.2453413719999,1006.2581508359999,0.0,0.0
1920,1006.2453413719999,1007.0505013719999,0.0,0.8051599999999962
1980,1006.2453413719999,1005.8780213719999,0.0,-0.3673199999999997
2040,1006.2453413719999,1005.8165813719999,0.0,-0.42876000000000203
2100,1006.2453413719999,1005.6194613719998,0.0,-0.6258799999999974
2160,1006.2453413719999,1007.1657013719998,0.0,0.9203600000000006
2220,1006.2453413719999,1006.5026613719999,0.0,0.2573199999999997
2280,1006.2453413719999,1006.6383413719999,0.0,0.39300000000000185
2340,1006.2453413719999,1005.7013813719999,0.0,-0.5439599999999973
2400,1006.2453413719999,1006.2057013719999,0.0,-0.03963999999999942
2460,1006.2453413719999,1005.5682613719998,0.0,-0.6770799999999964
2520,1006.2453413719999,1005.9497013719998,0.0,-0.29564000000000307
2580,1006.2453413719999,1005.3685813719999,0.0,-0.8767600000000039
2640,1006.2453413719999,1004.9001013719999,0.0,-1.3452400000000035
2700,1006.2453413719999,1005.0639413719998,0.0,-1.1814000000000033
2760,1006.2096166339999,1004.9589813719998,0.0,-1.2863600000000042
2820,1006.2096166339999,1007.5225566339999,0.0,1.3129400000000204
2880,1006.2096166339999,1007.5225566339999,0.0,1.3129400000000204
2940,1006.2096166339999,1003.6221566339999,0.0,-2.587459999999974
3000,1011.2738996639998,1004.1893066339999,0.0,-2.020309999999988
3060,1011.2738996639998,1011.2738996639998,0.0,0.0
3120,1011.2738996639998,1011.2738996639998,0.0,0.0
3180,1011.2738996639998,1011.2738996639998,0.0,0.0
3240,1011.2738996639998,1011.2738996639998,0.0,0.0
3300,1011.2738996639998,1011.2738996639998,0.0,0.0
3360,1011.2668803659998,1011.2738996639998,0.0,0.0
3420,1011.2611437019998,1011.0223503659997,0.0,-0.24452999999999908
3480,1011.2611437019998,1011.4336137019998,0.0,0.17247000000000703
3540,1011.2611437019998,1010.9803637019997,0.0,-0.2807799999999948
3600,1012.6145744479998,1011.7703137019998,0.0,0.5091700000000045
3660,1012.6145744479998,1012.6145744479998,0.0,0.0
3720,1012.6145744479998,1012.6145744479998,0.0,0.0
3780,1012.6145744479998,1012.6145744479998,0.0,0.0
3840,1013.5422100639998,1012.6145744479998,0.0,0.0
3900,1013.5422100639998,1013.5422100639998,0.0,0.0
3960,1013.5422100639998,1013.5422100639998,0.0,0.0
4020,1013.5422100639998,1013.5422100639998,0.0,0.0
4080,1013.5422100639998,1013.5422100639998,0.0,0.0
4140,1013.5422100639998,1013.5422100639998,0.0,0.0
4200,1013.5293993279998,1013.5422100639998,0.0,0.0
4260,1013.5293993279998,1013.7659593279999,0.0,0.23655999999999835
4320,1013.5293993279998,1013.0553193279999,0.0,-0.4740800000000017
4380,1013.5293993279998,1013.3551993279998,0.0,-0.1742000000000023
4440,1014.8868744799998,1014.2271193279998,0.0,0.6977199999999979
4500,1014.8868744799998,1014.8868744799998,0.0,0.0
4560,1014.8798260679998,1014.8868744799998,0.0,0.0
4620,1014.8798260679998,1014.9534960679998,0.0,0.07367000000000114
4680,1014.8739911999999,1015.2912660679998,0.0,0.4114399999999991
4740,1016.2391122639999,1016.0305111999999,0.0,1.1565200000000058
4800,1016.2391122639999,1016.2391122639999,0.0,0.0
4860,1016.2391122639999,1016.2391122639999,0.0,0.0
4920,1016.2391122639999,1016.2391122639999,0.0,0.0
4980,1016.232058256,1016.2391122639999,0.0,0.0
5040,1016.226329904,1015.9574382559999,0.0,-0.2746199999999973
5100,1016.226329904,1015.482029904,0.0,-0.7443000000000044
5160,1016.226329904,1016.1495299039999,0.0,-0.07680000000000575
5220,1016.190712504,1015.194529904,0.0,-1.0318000000000005
5280,1016.190712504,1011.232432504,0.0,-4.958279999999968
5340,1016.0568359079999,1013.795872504,0.0,-2.3948399999999745
5400,1016.1229342515715,1013.3875759079999,0.0,-2.6692600000000217
5460,1015.261404671446,1006.8666662239999,0.0,-9.256268027571586
5520,1016.9328944020315,1001.1596654179997,0.0,-14.008047570285619
5580,1044.4658392139997,1034.7778416839997,0.0,17.756955599214923
5640,1045.8714035959997,1044.3503392139996,0.0,-0.11549999999999891
5700,1045.8581833319997,1045.8714035959997,0.0,0.0
5760,1045.8581833319997,1045.3454033319997,0.0,-0.5127799999999989
5820,1045.8213346399998,1045.3426233319997,0.0,-0.5155600000000023
5880,1045.8213346399998,1042.6453546399998,0.0,-3.175979999999967
5940,1043.1758533831874,1038.78975464,0.0,-7.03157999999996
6000,1040.3518917858999,1018.459187576,0.0,-24.7166658071874
6060,1038.4010986640403,995.2228103940005,0.0,-45.129081391899355
6120,1037.2111061453002,994.0491128540007,0.0,-44.351985810039686
6180,1036.9192352414866,998.000440706001,0.0,-39.210665439299156
6240,1041.1614520646758,1054.9339480160008,0.0,17.889454281561516
6300,1041.1614520646758,1041.315996998001,0.0,0.15454493332528962
6360,1041.1614520646758,1034.9047669980012,0.0,-6.256685066674678
6420,1047.3447766700012,1045.0205669980012,0.0,3.8591149333253005
6480,1047.3022148580012,1046.9459366700012,0.0,-0.3988400000000011
6540,1052.5043472080013,1046.9496648580011,0.0,-0.3525499999999679
6600,1052.5043472080013,1052.1540672080014,0.0,-0.35027999999998344
6660,1053.9180173400014,1053.0463872080013,0.0,0.5420400000000208
6720,1053.9180173400014,1053.6778973400014,0.0,-0.240120000000001
6780,1059.1096507160014,1052.3200973400014,0.0,-1.5979199999999973
6840,1059.1096507160014,1059.1096507160014,0.0,0.0
6900,1059.1096507160014,1059.1096507160014,0.0,0.0
6960,1059.1096507160014,1059.1096507160014,0.0,0.0
7020,1059.1096507160014,1059.1096507160014,0.0,0.0
7080,1059.1096507160014,1059.1096507160014,0.0,0.0
7140,1059.1096507160014,1059.1096507160014,0.0,0.0
7200,1060.5204199960015,1059.1096507160014,0.0,0.0
7260,1060.5204199960015,1060.5204199960015,0.0,0.0
7320,1061.9342576040012,1060.5204199960015,0.0,0.0
7380,1061.9207591440013,1061.9342576040012,0.0,0.0
7440,1067.2141148400012,1060.2953991440013,0.0,-1.6253599999999955
7500,1067.1703015800013,1066.1350148400013,0.0,-1.0790999999999997
7560,1067.1703015800013,1063.1155015800014,0.0,-4.054799999999968
7620,1066.1207469898518,1064.6560015800012,0.0,-2.5142999999999804
7680,1068.174766617276,1045.3633644020015,0.0,-20.608958623745412
7740,1074.514438068002,1069.601530054002,0.0,1.4267634367261846
7800,1074.476555408002,1074.1778380680018,0.0,-0.3365999999999976
7860,1079.840662734002,1075.342815408002,0.0,0.8662600000000613
7920,1079.840662734002,1079.1183827340021,0.0,-0.722280000000005
7980,1079.9535889218434,1079.007202734002,0.0,-0.8334600000000015
8040,1103.1780067500026,1067.8154157880024,0.0,-12.138173133841082
8100,1110.1317361460026,1105.7288067500026,0.0,2.5508000000000752
8160,1110.1177067320027,1110.1317361460026,0.0,0.0
8220,1111.5943232580028,1110.6545367320027,0.0,0.5368300000000101
8280,1111.5943232580028,1111.6958532580027,0.0,0.10152999999999722
8340,1111.6629677574579,1110.6201532580028,0.0,-0.9741699999999984
8400,1118.0182260878278,1137.115655112003,0.0,25.392593190519573
8460,1192.2504208160026,1160.934750636003,0.0,42.560947310847915
8520,1193.1135348180028,1192.2504208160026,0.0,0.0
8580,1193.1110543140028,1192.8284148180028,0.0,-0.2851199999999903
8640,1194.7141219540028,1193.2338043140028,0.0,0.12275000000000479
8700,1194.7141219540028,1194.7141219540028,0.0,0.0
8760,1194.7141219540028,1194.7141219540028,0.0,0.0
8820,1194.7141219540028,1194.7141219540028,0.0,0.0
8880,1194.7141219540028,1194.7141219540028,0.0,0.0
8940,1194.7141219540028,1194.7141219540028,0.0,0.0
9000,1194.7141219540028,1194.7141219540028,0.0,0.0
9060,1194.7141219540028,1194.7141219540028,0.0,0.0
9120,1194.7141219540028,1194.7141219540028,0.0,0.0
9180,1194.7141219540028,1194.7141219540028,0.0,0.0
9240,1194.7141219540028,1194.7141219540028,0.0,0.0
9300,1194.7141219540028,1194.7141219540028,0.0,0.0
9360,1194.705802538003,1194.7141219540028,0.0,0.0
9420,1194.657376930003,1194.6470025380029,0.0,-0.058799999999995266
9480,1200.569955104003,1195.207906930003,0.0,0.5505300000000078
9540,1206.5283432740027,1198.641645104003,0.0,-1.9283100000000042
9600,1206.4793221140028,1206.3667432740028,0.0,-0.16160000000000374
9660,1214.1009237140029,1205.9210621140028,0.0,-0.5582600000000401
9720,1214.1009237140029,1214.1009237140029,0.0,0.0
9780,1215.7269721280027,1214.1009237140029,0.0,0.0
9840,1215.7114882240026,1215.7269721280027,0.0,0.0
9900,1217.3559122720026,1216.4566082240026,0.0,0.7451200000000043
9960,1217.3559122720026,1217.3559122720026,0.0,0.0
10020,1217.3474370220026,1217.3559122720026,0.0,0.0
10080,1217.3474370220026,1217.0571470220027,0.0,-0.2902900000000014
10140,1217.3474370220026,1217.2033070220027,0.0,-0.14413000000000303
10200,1217.3474370220026,1216.7952770220027,0.0,-0.5521599999999969
10260,1217.3474370220026,1216.1822170220025,0.0,-1.1652200000000033
10320,1217.3407895020027,1216.4176970220026,0.0,-0.9297399999999967
10380,1217.3405077100028,1215.6139795020028,0.0,-1.7268099999999869
10440,1217.3405077100028,1216.026447710003,0.0,-1.314059999999997
10500,1217.3405077100028,1216.2589477100028,0.0,-1.0815599999999925
10560,1217.2975652940029,1215.8989477100029,0.0,-1.4415599999999928
10620,1217.2975652940029,1214.427495294003,0.0,-2.8700699999999726
10680,1217.2975652940029,1217.137515294003,0.0,-0.16004999999997338
10740,1223.3867485640028,1219.395865294003,0.0,2.098300000000043
10800,1223.3867485640028,1223.3867485640028,0.0,0.0
10860,1223.3867485640028,1223.3867485640028,0.0,0.0
10920,1223.3867485640028,1223.3867485640028,0.0,0.0
10980,1223.3782164120028,1223.3867485640028,0.0,0.0
11040,1223.3711670080027,1223.4587764120029,0.0,0.08056000000000055
11100,1223.3711670080027,1223.7877870080026,0.0,0.41662000000001315
11160,1223.3711670080027,1222.7752370080027,0.0,-0.5959299999999933
11220,1223.3711670080027,1223.6992370080027,0.0,0.32807000000001435
11280,1225.0269711080027,1223.3065370080026,0.0,-0.06462999999998686
11340,1225.0269711080027,1225.0269711080027,0.0,0.0
11400,1225.0269711080027,1225.0269711080027,0.0,0.0
11460,1225.0269711080027,1225.0269711080027,0.0,0.0
11520,1225.0269711080027,1225.0269711080027,0.0,0.0
11580,1225.0269711080027,1225.0269711080027,0.0,0.0
11640,1225.0184472520027,1225.0269711080027,0.0,0.0
11700,1225.0184472520027,1225.2776072520028,0.0,0.25915999999999745
11760,1225.0184472520027,1225.2587972520028,0.0,0.24035000000000414
11820,1225.0184472520027,1225.2859672520028,0.0,0.2675200000000002
11880,1225.0184472520027,1224.7948172520028,0.0,-0.22362999999999855
11940,1225.0115394720028,1224.9641072520028,0.0,-0.05433999999999958
12000,1226.6506468620028,1224.9457494720027,0.0,-0.06579000000000121
12060,1226.6506468620028,1226.6506468620028,0.0,0.0
12120,1226.6506468620028,1226.6506468620028,0.0,0.0
12180,1226.6506468620028,1226.6506468620028,0.0,0.0
12240,1226.6506468620028,1226.6506468620028,0.0,0.0
12300,1226.6506468620028,1226.6506468620028,0.0,0.0
12360,1226.6506468620028,1226.6506468620028,0.0,0.0
12420,1226.6506468620028,1226.6506468620028,0.0,0.0
12480,1226.6506468620028,1226.6506468620028,0.0,0.0
12540,1226.6506468620028,1226.6506468620028,0.0,0.0
12600,1226.6506468620028,1226.6506468620028,0.0,0.0
12660,1226.6506468620028,1226.6506468620028,0.0,0.0
12720,1226.6506468620028,1226.6506468620028,0.0,0.0
12780,1226.6350736900029,1226.6506468620028,0.0,0.0
12840,1226.6350736900029,1226.1379536900029,0.0,-0.49711999999999323
12900,1226.6350736900029,1225.8012336900028,0.0,-0.8338399999999887
12960,1228.288766598003,1226.4234336900029,0.0,-0.21163999999999542
13020,1228.288766598003,1228.288766598003,0.0,0.0
13080,1229.9257295480031,1228.288766598003,0.0,0.0
13140,1229.9101397140032,1229.9257295480031,0.0,0.0
13200,1229.9101397140032,1228.5212997140031,0.0,-1.3888400000000027
13260,1229.866695496003,1228.4704797140032,0.0,-1.4396600000000004
13320,1228.9811196213045,1225.4384354960032,0.0,-4.428260000000004
13380,1230.1351776913234,1221.755181116003,0.0,-7.1777193910187895
13440,1229.95045580278,1232.0746259720022,0.0,1.9336781949614512
13500,1229.95045580278,1210.706893472002,0.0,-19.243562330777845
13560,1229.95045580278,1197.2360134720022,0.0,-32.71444233077768
13620,1229.95045580278,1205.6267734720022,0.0,-24.323682330777764
13680,1229.95045580278,1166.8694534720023,0.0,-63.08100233077768
13740,1229.95045580278,1187.1899334720022,0.0,-42.76052233077779
13800,1230.4067031506747,1178.9704134720023,0.0,-50.98004233077769
13860,1237.7185915920022,1232.5296230280023,0.0,2.12291987732749
13920,1237.7185915920022,1237.7185915920022,0.0,0.0
13980,1237.7185915920022,1237.7185915920022,0.0,0.0
14040,1238.6256628560022,1237.7185915920022,0.0,0.0
14100,1238.6256628560022,1238.6256628560022,0.0,0.0
14160,1238.6256628560022,1238.6256628560022,0.0,0.0
14220,1238.6256628560022,1238.6256628560022,0.0,0.0
14280,1238.6256628560022,1238.6256628560022,0.0,0.0
14340,1238.6256628560022,1238.6256628560022,0.0,0.0
14400,1238.6256628560022,1238.6256628560022,0.0,0.0
14460,1238.6256628560022,1238.6256628560022,0.0,0.0
14520,1238.6256628560022,1238.6256628560022,0.0,0.0
14580,1238.6256628560022,1238.6256628560022,0.0,0.0
14640,1238.6256628560022,1238.6256628560022,0.0,0.0
14700,1238.6256628560022,1238.6256628560022,0.0,0.0
14760,1238.6256628560022,1238.6256628560022,0.0,0.0
