,balance,equity,balance_btc,equity_btc
0,999.990049696,1000.0,0.0,0.0
60,999.990049696,999.1964896960001,0.0,-0.7935600000000059
120,999.990049696,999.0618496960001,0.0,-0.9282000000000038
180,999.990049696,999.757489696,0.0,-0.23256000000000157
240,999.990049696,999.172009696,0.0,-0.8180400000000069
300,999.990049696,998.737489696,0.0,-1.2525600000000017
360,999.960515296,998.084689696,0.0,-1.9053600000000022
420,999.960515296,997.6512952960001,0.0,-2.309220000000015
480,999.960515296,998.126675296,0.0,-1.8338399999999968
540,999.960515296,996.817295296,0.0,-3.143219999999997
600,999.960515296,998.443595296,0.0,-1.5169200000000242
660,1003.574179816,1001.187455296,0.0,1.2269399999999808
720,1003.574179816,1003.574179816,0.0,0.0
780,1003.574179816,1003.574179816,0.0,0.0
840,1003.574179816,1003.574179816,0.0,0.0
900,1003.564213024,1003.574179816,0.0,0.0
960,1003.564213024,1002.864063024,0.0,-0.7001500000000017
1020,1003.564213024,1002.6132630239999,0.0,-0.9509500000000038
1080,1003.564213024,1002.876603024,0.0,-0.6876100000000013
1140,1003.564213024,1003.825463024,0.0,0.26125
1200,1004.488289386,1004.197483024,0.0,0.6332699999999942
1260,1004.488289386,1004.488289386,0.0,0.0
1320,1004.488289386,1004.488289386,0.0,0.0
1380,1004.488289386,1004.488289386,0.0,0.0
1440,1004.488289386,1004.488289386,0.0,0.0
1500,1004.488289386,1004.488289386,0.0,0.0
1560,1004.488289386,1004.488289386,0.0,0.0
1620,1004.488289386,1004.488289386,0.0,0.0
1680,1004.478336202,1004.488289386,0.0,0.0
1740,1005.391529292,1005.127076202,0.0,0.648740000000001
1800,1006.306674572,1005.881069292,0.0,0.48953999999999737
1860,1006.306674572,1006.449954572,0.0,0.14327999999999835
1920,1006.306674572,1006.766364572,0.0,0.4596899999999962
1980,1006.306674572,1005.854944572,0.0,-0.45173000000000063
2040,1006.306674572,1005.807184572,0.0,-0.49949000000000243
2100,1006.306674572,1005.653954572,0.0,-0.6527199999999989
2160,1006.306674572,1006.8559145720001,0.0,0.5492399999999996
2220,1006.306674572,1006.340504572,0.0,0.03382999999999892
2280,1006.306674572,1006.4459745720001,0.0,0.13930000000000056
2340,1006.306674572,1005.7176345720001,0.0,-0.5890399999999988
2400,1006.306674572,1006.109664572,0.0,-0.1970100000000004
2460,1006.306674572,1005.6141545720001,0.0,-0.6925199999999979
2520,1006.306674572,1005.910664572,0.0,-0.39601000000000325
2580,1006.306674572,1005.458934572,0.0,-0.8477400000000038
2640,1006.306674572,1005.094764572,0.0,-1.2119100000000036
2700,1006.306674572,1005.222124572,0.0,-1.0845500000000035
2760,1006.306674572,1005.140534572,0.0,-1.1661400000000042
2820,1006.306674572,1005.150484572,0.0,-1.156189999999999
2880,1006.277047844,1005.150484572,0.0,-1.156189999999999
2940,1006.277047844,1004.359197844,0.0,-1.9178499999999785
3000,1009.894125652,1004.822607844,0.0,-1.45443999999999
3060,1010.8232664039999,1009.887945652,0.0,-0.006180000000000235
3120,1010.8232664039999,1010.8232664039999,0.0,0.0
3180,1010.8232664039999,1010.8232664039999,0.0,0.0
3240,1010.8232664039999,1010.8232664039999,0.0,0.0
3300,1010.813212468,1010.8232664039999,0.0,0.0
3360,1010.813212468,1011.1844924679999,0.0,0.37128000000000444
3420,1010.813212468,1010.262412468,0.0,-0.5507999999999992
3480,1010.813212468,1010.9152124679999,0.0,0.10200000000000145
3540,1010.813212468,1010.558212468,0.0,-0.255
3600,1011.745450036,1011.180412468,0.0,0.3671999999999994
3660,1011.745450036,1011.745450036,0.0,0.0
3720,1011.745450036,1011.745450036,0.0,0.0
3780,1011.745450036,1011.745450036,0.0,0.0
3840,1012.667132036,1011.745450036,0.0,0.0
3900,1012.667132036,1012.667132036,0.0,0.0
3960,1012.667132036,1012.667132036,0.0,0.0
4020,1012.667132036,1012.667132036,0.0,0.0
4080,1012.657098796,1012.667132036,0.0,0.0
4140,1012.657098796,1012.643378796,0.0,-0.013719999999995878
4200,1012.657098796,1012.288618796,0.0,-0.3684799999999977
4260,1012.657098796,1012.494418796,0.0,-0.16267999999999688
4320,1012.657098796,1011.941698796,0.0,-0.7153999999999969
4380,1012.657098796,1012.174938796,0.0,-0.48215999999999737
4440,1012.657098796,1012.853098796,0.0,0.19600000000000278
4500,1013.587677396,1013.313698796,0.0,0.6566000000000016
4560,1013.577633942,1013.587677396,0.0,0.0
4620,1013.577633942,1013.412153942,0.0,-0.16547999999999927
4680,1014.509062156,1013.890863942,0.0,0.31322999999999784
4740,1014.509062156,1014.509062156,0.0,0.0
4800,1014.509062156,1014.509062156,0.0,0.0
4860,1014.509062156,1014.509062156,0.0,0.0
4920,1014.49898462,1014.509062156,0.0,0.0
4980,1014.49898462,1014.64206462,0.0,0.1430800000000008
5040,1014.49898462,1013.81494462,0.0,-0.6840399999999934
5100,1014.49898462,1013.63462462,0.0,-0.8643599999999979
5160,1014.49898462,1014.15794462,0.0,-0.341039999999999
5220,1014.46908673,1013.40922462,0.0,-1.089759999999995
5280,1014.46908673,1010.13207673,0.0,-4.337009999999991
5340,1014.35055584,1012.24671673,0.0,-2.2223699999999966
5400,1014.1565840760709,1010.55831584,0.0,-3.7922399999999468
5460,1006.2189972159817,1004.9369865440001,0.0,-9.219597532070823
5520,1008.3237785636364,986.8313642959994,0.0,-19.387632919982366
5580,1017.1429939139996,1013.3077428999995,0.0,4.983964336363066
5640,1018.0803298659996,1016.6002739139996,0.0,-0.5427200000000005
5700,1018.0702017779996,1018.0803298659996,0.0,0.0
5760,1018.0702017779996,1017.4469217779996,0.0,-0.623280000000001
