,balance,equity,balance_btc,equity_btc
0,999.99079678,1000.0,0.0,0.0
60,999.99079678,999.57279678,0.0,-0.4180000000000046
120,999.99079678,999.44739678,0.0,-0.5434000000000025
180,999.99079678,1000.09529678,0.0,0.10449999999999945
240,999.981909268,999.54999678,0.0,-0.4408000000000054
300,999.981909268,999.393969268,0.0,-0.5879400000000004
360,999.964409518,998.184369268,0.0,-1.7975400000000015
420,999.964409518,998.176349518,0.0,-1.7880599999999882
480,999.964409518,998.6055595180001,0.0,-1.358849999999972
540,999.964409518,997.423349518,0.0,-2.541059999999972
600,999.964409518,998.891699518,0.0,-1.0727099999999967
660,1003.252964074,1001.3690695180001,0.0,1.404660000000008
720,1003.252964074,1003.252964074,0.0,0.0
780,1003.252964074,1003.252964074,0.0,0.0
840,1003.252964074,1003.252964074,0.0,0.0
900,1003.2437362840001,1003.252964074,0.0,0.0
960,1003.2437362840001,1002.9473362840001,0.0,-0.296400000000002
1020,1003.2437362840001,1002.7133362840001,0.0,-0.5304000000000039
1080,1003.2437362840001,1002.959036284,0.0,-0.28470000000000156
1140,1004.1352283140001,1003.8443362840001,0.0,0.6005999999999997
1200,1004.1352283140001,1004.1352283140001,0.0,0.0
1260,1004.1352283140001,1004.1352283140001,0.0,0.0
1320,1004.1352283140001,1004.1352283140001,0.0,0.0
1380,1004.1352283140001,1004.1352283140001,0.0,0.0
1440,1004.1352283140001,1004.1352283140001,0.0,0.0
1500,1004.1352283140001,1004.1352283140001,0.0,0.0
1560,1004.1352283140001,1004.1352283140001,0.0,0.0
1620,1004.1352283140001,1004.1352283140001,0.0,0.0
1680,1004.1352283140001,1004.1352283140001,0.0,0.0
1740,1004.1352283140001,1004.1352283140001,0.0,0.0
1800,1004.1352283140001,1004.1352283140001,0.0,0.0
1860,1004.1352283140001,1004.1352283140001,0.0,0.0
1920,1004.126006434,1004.1352283140001,0.0,0.0
1980,1004.126006434,1004.284106434,0.0,0.1581000000000016
2040,1004.126006434,1004.2394664340001,0.0,0.1134599999999999
2100,1005.0149848780001,1004.096246434,0.0,-0.029759999999996723
2160,1005.0149848780001,1005.0149848780001,0.0,0.0
2220,1005.0149848780001,1005.0149848780001,0.0,0.0
2280,1005.00572763,1005.0149848780001,0.0,0.0
2340,1005.897630114,1005.1067076300001,0.0,0.10098000000000383
2400,1005.897630114,1005.897630114,0.0,0.0
2460,1005.897630114,1005.897630114,0.0,0.0
2520,1005.888363594,1005.897630114,0.0,0.0
2580,1005.888363594,1005.946643594,0.0,0.05827999999999775
2640,1005.888363594,1005.602603594,0.0,-0.2857600000000019
2700,1005.888363594,1005.722923594,0.0,-0.1654400000000018
2760,1005.888363594,1005.645843594,0.0,-0.2425200000000025
2820,1005.888363594,1005.655243594,0.0,-0.2331199999999977
2880,1005.888363594,1005.655243594,0.0,-0.2331199999999977
2940,1005.87941625,1004.918283594,0.0,-0.9700799999999966
3000,1007.607113134,1005.2657362499999,0.0,-0.6136799999999893
3060,1007.607113134,1007.607113134,0.0,0.0
3120,1007.607113134,1007.607113134,0.0,0.0
3180,1007.607113134,1007.607113134,0.0,0.0
3240,1007.607113134,1007.607113134,0.0,0.0
3300,1007.607113134,1007.607113134,0.0,0.0
3360,1007.597823274,1007.607113134,0.0,0.0
3420,1007.597823274,1007.455323274,0.0,-0.14249999999999866
3480,1007.597823274,1008.063323274,0.0,0.46550000000000186
3540,1007.597823274,1007.730823274,0.0,0.13300000000000053
3600,1008.492752534,1008.310323274,0.0,0.7124999999999999
3660,1008.492752534,1008.492752534,0.0,0.0
3720,1008.492752534,1008.492752534,0.0,0.0
3780,1008.492752534,1008.492752534,0.0,0.0
3840,1008.492752534,1008.492752534,0.0,0.0
3900,1008.492752534,1008.492752534,0.0,0.0
3960,1008.492752534,1008.492752534,0.0,0.0
4020,1008.492752534,1008.492752534,0.0,0.0
4080,1008.492752534,1008.492752534,0.0,0.0
4140,1008.492752534,1008.492752534,0.0,0.0
4200,1008.483499688,1008.492752534,0.0,0.0
4260,1008.483499688,1008.906229688,0.0,0.42273000000000305
4320,1008.483499688,1008.390169688,0.0,-0.09332999999999704
4380,1008.483499688,1008.6079396880001,0.0,0.12444000000000255
4440,1009.3762564040001,1009.241119688,0.0,0.7576200000000027
4500,1009.3762564040001,1009.3762564040001,0.0,0.0
4560,1009.3762564040001,1009.3762564040001,0.0,0.0
4620,1009.3762564040001,1009.3762564040001,0.0,0.0
4680,1009.3762564040001,1009.3762564040001,0.0,0.0
4740,1009.3762564040001,1009.3762564040001,0.0,0.0
4800,1009.3762564040001,1009.3762564040001,0.0,0.0
4860,1009.3762564040001,1009.3762564040001,0.0,0.0
4920,1009.3762564040001,1009.3762564040001,0.0,0.0
4980,1009.366984232,1009.3762564040001,0.0,0.0
5040,1009.366984232,1009.159504232,0.0,-0.20747999999999495
5100,1009.366984232,1008.9920642320001,0.0,-0.37491999999999914
5160,1009.366984232,1009.4780042320001,0.0,0.1110199999999999
5220,1009.305816774,1008.7827642320001,0.0,-0.5842199999999963
5280,1009.305816774,1007.663986774,0.0,-1.6418300000000001
5340,1009.305816774,1011.4550267740001,0.0,2.1492099999999903
5400,1009.238107588,1003.054426774,0.0,-6.2513899999999705
5460,1006.3223807390634,997.6208875880001,0.0,-11.617219999999946
5520,1006.3223807390634,975.0746548159999,0.0,-31.247725923063516
5580,1008.7754660398443,1005.174674816,0.0,-1.1477059230634326
5640,1017.7330884759999,1005.945034538,0.0,-2.8304315018443846
5700,1017.7243043379999,1017.536118476,0.0,-0.19696999999999967
5760,1017.7243043379999,1017.0648943379999,0.0,-0.6594100000000042
5820,1017.6740117979998,1017.0612043379999,0.0,-0.6631000000000087
5880,1017.6087719359998,1013.5447717979998,0.0,-4.129240000000005
5940,1030.6943094779997,1008.9495319359997,0.0,-8.659240000000086
6000,1034.0477056179996,1031.6355294779996,0.0,0.94122
6060,1034.0121431619996,1030.5202856179997,0.0,-3.5274199999999936
6120,1033.8301525586533,1030.9749131619997,0.0,-3.0372299999999655
6180,1043.9634974579997,1033.1824229619995,0.0,-0.6477295966537354
6240,1043.9634974579997,1044.0812174579996,0.0,0.11771999999999673
6300,1043.9359021219998,1043.2985974579997,0.0,-0.6649000000000072
6360,1047.3605969139999,1041.8699021219998,0.0,-2.0659999999999865
6420,1048.2711825099998,1047.692796914,0.0,0.3321999999999996
6480,1048.2168093579999,1046.9168625099999,0.0,-1.3543200000000102
6540,1054.564613478,1043.677429358,0.0,-4.539379999999974
6600,1055.497164058,1054.539753478,0.0,-0.024859999999998262
6660,1055.478043274,1055.497164058,0.0,0.0
