,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,13,HYPE,0.0,-0.007714998000000001,999.992285002,0.0,999.992285002,1.0,1.59,24.261,1.59,24.261,entry_initial_normal_long
1,49,HYPE,0.0,-0.019362538000000002,999.972922464,0.0,999.972922464,1.0,4.03,24.023,5.62,24.090334519572956,entry_trailing_cropped_long
2,345,HYPE,0.0,-0.05399250000000001,999.918929964,0.0,999.918929964,1.0,11.5,23.475,17.12,23.676996495327103,entry_grid_normal_long
3,662,HYPE,3.250454415887842,-0.047151712,1003.1222326678878,0.0,1003.1222326678878,1.0,-9.82,24.008,7.3,23.676996495327103,close_grid_long
4,662,HYPE,2.445525584112153,-0.03505752,1005.532700732,0.0,1005.532700732,1.0,-7.3,24.012,0.0,23.676996495327103,close_grid_long
5,941,HYPE,0.0,-0.007736958,1005.524963774,0.0,1005.524963774,1.0,1.63,23.733,1.63,23.733,entry_initial_normal_long
6,956,HYPE,0.0,-0.01950534,1005.5054584339999,0.0,1005.5054584339999,1.0,4.1,23.787,5.73,23.77163874345549,entry_trailing_cropped_long
7,1167,HYPE,1.9330800000000508,-0.027628914000000004,1007.41090952,0.0,1007.41090952,1.0,-5.73,24.109,0.0,23.77163874345549,close_grid_long
8,1704,HYPE,0.0,-0.0077301600000000015,1007.40317936,0.0,1007.40317936,1.0,1.55,24.936,1.55,24.936,entry_initial_normal_long
9,1714,HYPE,0.0,-0.019571496,1007.3836078639999,0.0,1007.3836078639999,1.0,3.88,25.221,5.43,25.13964640883978,entry_trailing_cropped_long
10,1777,HYPE,1.9404299999999906,-0.027689742000000003,1009.2963481219999,0.0,1009.2963481219999,1.0,-5.43,25.497,0.0,25.13964640883978,close_grid_long
11,1868,HYPE,0.0,-0.00775093,1009.2885971919999,0.0,1009.2885971919999,1.0,1.55,25.003,1.55,25.003,entry_initial_normal_long
12,1886,HYPE,0.0,-0.019568256000000003,1009.2690289359999,0.0,1009.2690289359999,1.0,3.89,25.152,5.44,25.109545955882353,entry_trailing_cropped_long
13,2154,HYPE,1.939110000000003,-0.027707008,1011.180431928,0.0,1011.180431928,1.0,-5.44,25.466,0.0,25.109545955882353,close_grid_long
14,2290,HYPE,0.0,-0.007794108,1011.17263782,0.0,1011.17263782,1.0,1.57,24.822,1.57,24.822,entry_initial_normal_long
15,2302,HYPE,0.0,-0.019611744000000004,1011.153026076,0.0,1011.153026076,1.0,3.94,24.888,5.51,24.8691941923775,entry_trailing_cropped_long
16,2378,HYPE,1.9439599999999873,-0.027794644,1013.0691914319999,0.0,1013.0691914319999,1.0,-5.51,25.222,0.0,24.8691941923775,close_grid_long
17,2419,HYPE,0.0,-0.007816576,1013.0613748559999,0.0,1013.0613748559999,1.0,1.58,24.736,1.58,24.736,entry_initial_normal_long
18,2423,HYPE,0.5577399999999968,-0.007928124,1013.611186732,0.0,1013.611186732,1.0,-1.58,25.089,0.0,24.736,close_grid_long
19,2454,HYPE,0.0,-0.007814048000000002,1013.603372684,0.0,1013.603372684,1.0,1.58,24.728,1.58,24.728,entry_initial_normal_long
20,2522,HYPE,0.0,-0.019650786000000003,1013.5837218979999,0.0,1013.5837218979999,1.0,3.93,25.001,5.51,24.922716878402905,entry_trailing_cropped_long
