,balance,equity,balance_btc,equity_btc
0,999.899694454,1000.0,0.0,0.0
60,999.899694454,1000.0,0.0,0.0
120,999.899694454,1000.0,0.0,0.0
180,999.899694454,1000.0,0.0,0.0
240,999.899694454,1000.0,0.0,0.0
300,999.899694454,1000.0,0.0,0.0
360,999.899694454,1000.0,0.0,0.0
420,999.899694454,1000.0,0.0,0.0
480,999.899694454,1000.0,0.0,0.0
540,999.899694454,1000.0,0.0,0.0
600,999.899694454,1000.0,0.0,0.0
660,999.899694454,1000.0,0.0,0.0
720,999.899694454,1000.0,0.0,0.0
780,999.899694454,1000.0,0.0,0.0
840,999.899694454,1000.0,0.0,0.0
900,999.899694454,1000.0,0.0,0.0
960,999.899694454,1000.0,0.0,0.0
1020,999.899694454,1000.0,0.0,0.0
1080,999.899694454,1000.0,0.0,0.0
1140,999.899694454,1000.0,0.0,0.0
1200,999.899694454,1000.0,0.0,0.0
1260,999.899694454,1000.0,0.0,0.0
1320,999.899694454,1000.0,0.0,0.0
1380,999.899694454,1000.0,0.0,0.0
1440,999.899694454,1000.0,0.0,0.0
1500,999.899694454,1000.0,0.0,0.0
1560,999.899694454,1000.0,0.0,0.0
1620,999.899694454,1000.0,0.0,0.0
1680,999.899694454,1000.0,0.0,0.0
1740,999.899694454,1000.0,0.0,0.0
1800,999.899694454,1000.0,0.0,0.0
1860,999.899694454,1000.0,0.0,0.0
1920,999.899694454,1000.0,0.0,0.0
1980,999.899694454,1000.0,0.0,0.0
2040,999.899694454,1000.0,0.0,0.0
2100,999.899694454,1000.0,0.0,0.0
2160,999.899694454,1000.0,0.0,0.0
2220,999.899694454,1000.0,0.0,0.0
2280,999.899694454,1000.0,0.0,0.0
2340,999.899694454,1000.0,0.0,0.0
2400,999.899694454,1000.0,0.0,0.0
2460,999.899694454,1000.0,0.0,0.0
2520,999.899694454,1000.0,0.0,0.0
2580,999.899694454,1000.0,0.0,0.0
2640,999.899694454,1000.0,0.0,0.0
2700,999.899694454,1000.0,0.0,0.0
2760,999.899694454,1000.0,0.0,0.0
2820,999.899694454,1000.0,0.0,0.0
2880,999.899694454,1000.0,0.0,0.0
2940,999.899694454,1000.0,0.0,0.0
3000,999.899694454,1000.0,0.0,0.0
3060,999.899694454,1000.0,0.0,0.0
3120,999.899694454,1000.0,0.0,0.0
3180,999.899694454,1000.0,0.0,0.0
3240,999.899694454,1000.0,0.0,0.0
3300,999.899694454,1000.0,0.0,0.0
3360,999.899694454,1000.0,0.0,0.0
3420,999.899694454,1000.0,0.0,0.0
3480,999.899694454,1000.0,0.0,0.0
3540,999.899694454,1000.0,0.0,0.0
3600,999.899694454,1000.0,0.0,0.0
3660,999.899694454,1000.0,0.0,0.0
3720,999.899694454,1000.0,0.0,0.0
3780,999.899694454,1000.0,0.0,0.0
3840,999.899694454,1000.0,0.0,0.0
3900,999.899694454,1000.0,0.0,0.0
3960,999.899694454,1000.0,0.0,0.0
4020,999.899694454,1000.0,0.0,0.0
4080,999.899694454,1000.0,0.0,0.0
4140,999.899694454,996.570324454,0.0,-3.3293699999999875
4200,999.899694454,993.0462544540001,0.0,-6.853440000000005
4260,999.899694454,995.0906044540001,0.0,-4.809089999999998
4320,999.899694454,989.6000644540001,0.0,-10.299629999999997
4380,999.899694454,991.916994454,0.0,-7.982700000000002
4440,1001.804397826,998.653614454,0.0,-1.246080000000001
4500,1001.804397826,1001.804397826,0.0,0.0
4560,1001.7038856940001,1001.804397826,0.0,0.0
4620,1002.7678006300001,1000.6774056940001,0.0,-1.026479999999992
4680,1002.7678006300001,1002.7678006300001,0.0,0.0
4740,1002.7678006300001,1002.7678006300001,0.0,0.0
4800,1002.7678006300001,1002.7678006300001,0.0,0.0
4860,1002.7678006300001,1002.7678006300001,0.0,0.0
4920,1004.6427438580001,1002.7678006300001,0.0,0.0
4980,1004.5419549380001,1004.6427438580001,0.0,0.0
5040,1005.32607239,1000.6768349380002,0.0,-3.8651199999999593
5100,1007.2617085740001,1005.42592239,0.0,0.09984999999998014
5160,1007.1606558740001,1007.2617085740001,0.0,0.0
5220,1007.1606558740001,1007.2008358740002,0.0,0.04018000000004911
5280,1007.1606558740001,992.3342358740001,0.0,-14.82641999999999
5340,1007.1606558740001,997.6379958740001,0.0,-9.522660000000004
5400,1007.1606558740001,985.8853458740001,0.0,-21.27530999999995
5460,1007.1606558740001,979.1150158740002,0.0,-28.045639999999946
5520,1007.1606558740001,965.8154358740001,0.0,-41.34522
5580,1007.1606558740001,977.9899758740002,0.0,-29.17067999999996
5640,1007.1606558740001,976.0010658740001,0.0,-31.159589999999966
5700,1007.1606558740001,983.1731958740002,0.0,-23.98745999999998
5760,1007.1606558740001,975.8805258740001,0.0,-31.28012999999997
5820,1007.1606558740001,975.8604358740001,0.0,-31.300219999999996
5880,1007.1606558740001,961.6768958740001,0.0,-45.48375999999999
5940,1007.1606558740001,954.5047658740001,0.0,-52.65588999999997
6000,1007.1606558740001,942.9931958740001,0.0,-64.16745999999998
6060,1007.1606558740001,931.9637858740001,0.0,-75.19686999999998
6120,1007.1606558740001,930.9191058740001,0.0,-76.24154999999996
6180,1007.1606558740001,927.6042558740002,0.0,-79.55639999999994
6240,1007.1606558740001,946.4486758740002,0.0,-60.71197999999997
6300,1007.1606558740001,939.2363658740001,0.0,-67.92429
6360,1007.1606558740001,929.8141558740001,0.0,-77.34649999999996
6420,1007.0405557720001,944.6807558740002,0.0,-62.47989999999999
6480,1007.0405557720001,907.5644657720001,0.0,-99.47609000000001
6540,1007.0405557720001,883.8361457720001,0.0,-123.2044099999999
6600,1007.0405557720001,909.1181057720001,0.0,-97.92244999999994
6660,1007.0405557720001,922.5829857720001,0.0,-84.45756999999989
6720,1007.0405557720001,901.020345772,0.0,-106.02020999999998
6780,1007.0405557720001,880.3993057720002,0.0,-126.64124999999991
6840,1017.063650386,970.9574897719998,0.0,-35.80481000000023
6900,1017.063650386,1017.063650386,0.0,0.0
6960,1017.063650386,1017.063650386,0.0,0.0
7020,1021.424392898,1017.063650386,0.0,0.0
7080,1022.7940484179999,1019.6842128979999,0.0,-1.7401799999999865
7140,1023.4984147339999,1022.7940484179999,0.0,0.0
7200,1025.413817846,1022.432454734,0.0,-1.065959999999933
7260,1025.413817846,1025.413817846,0.0,0.0
7320,1046.260009838,1025.413817846,0.0,0.0
7380,1046.155017368,1046.260009838,0.0,0.0
7440,1046.155017368,1024.477977368,0.0,-21.67703999999996
7500,1046.155017368,1018.079607368,0.0,-28.075410000000012
7560,1046.155017368,1005.601647368,0.0,-40.55336999999997
7620,1046.155017368,1008.561747368,0.0,-37.59327
7680,1046.155017368,989.3894073680001,0.0,-56.76560999999997
7740,1046.155017368,998.474637368,0.0,-47.68038000000003
7800,1046.155017368,1000.888257368,0.0,-45.26675999999999
7860,1046.155017368,992.736597368,0.0,-53.41842
7920,1046.155017368,990.072507368,0.0,-56.08251000000002
7980,1046.155017368,989.2983273680001,0.0,-56.85668999999999
8040,1046.155017368,960.5398173680001,0.0,-85.61519999999996
8100,1046.027646726,968.1449973680001,0.0,-78.01001999999995
8160,1046.027646726,985.989366726,0.0,-60.038280000000086
8220,1046.027646726,971.262006726,0.0,-74.76564000000008
8280,1046.027646726,963.204646726,0.0,-82.82300000000006
8340,1046.027646726,946.6630467260001,0.0,-99.3646
8400,1046.027646726,913.9533667259999,0.0,-132.07428000000016
8460,1041.3039784771067,934.5503267260001,0.0,-111.47732
8520,1041.3039784771067,957.1951731859997,0.0,-84.10880529110703
8580,1041.3039784771067,968.6134131859997,0.0,-72.69056529110702
8640,1050.6501950019995,985.8597131859997,0.0,-55.44426529110707
8700,1061.0944619119994,1050.6501950019995,0.0,0.0
8760,1061.0944619119994,1061.0944619119994,0.0,0.0
8820,1061.0944619119994,1061.0944619119994,0.0,0.0
8880,1068.0060759279993,1061.0944619119994,0.0,0.0
8940,1069.8823557279993,1068.0060759279993,0.0,0.0
9000,1069.8823557279993,1069.8823557279993,0.0,0.0
9060,1069.8823557279993,1069.8823557279993,0.0,0.0
9120,1077.0619951659994,1069.8823557279993,0.0,0.0
9180,1086.9792990959995,1076.7024356759994,0.0,-0.2515000000000393
9240,1086.9792990959995,1086.9792990959995,0.0,0.0
9300,1098.7795660159993,1086.9792990959995,0.0,0.0
9360,1098.6693272959992,1098.7795660159993,0.0,0.0
9420,1098.6693272959992,1090.0165272959994,0.0,-8.652799999999933
9480,1098.6693272959992,1073.6837272959992,0.0,-24.985599999999977
9540,1098.6693272959992,1072.7109272959992,0.0,-25.958399999999983
9600,1098.6693272959992,1078.1381272959993,0.0,-20.53119999999999
9660,1098.6693272959992,1063.5461272959992,0.0,-35.1232
9720,1098.5215397099992,1085.1781272959993,0.0,-13.491199999999935
9780,1098.5215397099992,1059.9613797099992,0.0,-38.56015999999993
9840,1098.5215397099992,1069.4397997099993,0.0,-29.081739999999858
9900,1098.5215397099992,1068.8998897099993,0.0,-29.621649999999878
9960,1098.5215397099992,1078.2583297099993,0.0,-20.26320999999995
10020,1098.5215397099992,1085.7570797099993,0.0,-12.764459999999952
10080,1098.5215397099992,1052.1026897099991,0.0,-46.41884999999995
10140,1098.5215397099992,1056.421969709999,0.0,-42.09957
10200,1098.5215397099992,1044.3639797099993,0.0,-54.15755999999982
10260,1098.5215397099992,1026.2469997099993,0.0,-72.27454
10320,1098.5215397099992,1033.2058397099993,0.0,-65.31569999999981
10380,1098.5215397099992,1013.6490997099993,0.0,-84.87243999999984
10440,1098.5215397099992,1019.5281197099993,0.0,-78.9934199999999
10500,1098.5215397099992,1023.4274697099993,0.0,-75.09406999999983
10560,1098.5215397099992,1017.4884597099993,0.0,-81.03307999999984
10620,1098.5215397099992,997.7517497099993,0.0,-100.76978999999987
10680,1098.5215397099992,1008.9098897099993,0.0,-89.61164999999988
10740,1098.5215397099992,1018.2083397099993,0.0,-80.31319999999981
10800,1098.5215397099992,1026.0670297099991,0.0,-72.45451000000001
10860,1098.5215397099992,1032.0660297099992,0.0,-66.45550999999993
10920,1098.5215397099992,1029.6664297099992,0.0,-68.85510999999988
10980,1098.5215397099992,1036.5652797099992,0.0,-61.95625999999997
11040,1098.5215397099992,1017.8483997099993,0.0,-80.67313999999983
11100,1098.5215397099992,1028.8265697099994,0.0,-69.69496999999984
11160,1098.5215397099992,1012.9292197099993,0.0,-85.59231999999987
11220,1098.5215397099992,1027.8067397099994,0.0,-70.7147999999998
11280,1098.5215397099992,1021.3278197099993,0.0,-77.19371999999984
11340,1098.5215397099992,1061.2811597099994,0.0,-37.24037999999982
11400,1098.5215397099992,1066.7402497099993,0.0,-31.781289999999963
11460,1098.5215397099992,1051.3828097099993,0.0,-47.138729999999974
11520,1098.5215397099992,1069.0798597099993,0.0,-29.441679999999874
11580,1098.5215397099992,1046.4036397099992,0.0,-52.11789999999988
11640,1098.5215397099992,1043.7640797099994,0.0,-54.75745999999991
11700,1098.5215397099992,1039.144849709999,0.0,-59.37669000000001
11760,1098.5215397099992,1038.6649297099991,0.0,-59.85660999999996
11820,1098.5215397099992,1039.3848097099992,0.0,-59.136729999999936
11880,1098.5215397099992,1025.2871597099993,0.0,-73.2343799999999
11940,1098.5215397099992,1030.1463497099992,0.0,-68.37518999999993
12000,1098.5215397099992,1028.6465997099992,0.0,-69.87493999999984
12060,1098.5215397099992,1049.463129709999,0.0,-49.05840999999998
12120,1098.5215397099992,1060.3813097099994,0.0,-38.140229999999846
12180,1098.1380112147983,1076.6985897099992,0.0,-21.82294999999994
12240,1095.9121355237876,1084.6714009619989,0.0,-13.438313179199124
12300,1104.3504362799986,1064.3552499279986,0.0,-31.55688559578902
12360,1104.3504362799986,1104.3504362799986,0.0,0.0
12420,1104.3504362799986,1104.3504362799986,0.0,0.0
12480,1104.3504362799986,1104.3504362799986,0.0,0.0
12540,1106.5038449359986,1104.3504362799986,0.0,0.0
12600,1109.0471074339985,1106.5038449359986,0.0,0.0
12660,1111.0991918419986,1109.9074174339985,0.0,0.8603100000000327
12720,1111.0991918419986,1111.0991918419986,0.0,0.0
12780,1112.0210929159987,1111.0991918419986,0.0,0.0
12840,1112.0210929159987,1110.3898729159987,0.0,-1.6312200000000305
12900,1113.3825985819988,1107.9430429159986,0.0,-4.0780500000000295
12960,1113.3825985819988,1113.3825985819988,0.0,0.0
13020,1113.3825985819988,1113.3825985819988,0.0,0.0
13080,1196.2242245759987,1113.3825985819988,0.0,0.0
13140,1201.3035373699988,1196.2242245759987,0.0,0.0
13200,1201.3035373699988,1186.912297369999,0.0,-14.391239999999952
13260,1201.3035373699988,1186.5218373699988,0.0,-14.781699999999933
13320,1201.3035373699988,1173.776107369999,0.0,-27.527429999999953
13380,1201.3035373699988,1159.886887369999,0.0,-41.41664999999998
