,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,39,HYPE,0.0,-0.335553264,999.664446736,0.0,999.664446736,1.0,69.84,24.023,69.84,24.023,entry_initial_normal_long
1,128,HYPE,7.752240000000046,-0.33710371200000006,1007.079583024,0.0,1007.079583024,1.0,-69.84,24.134,0.0,24.023,close_grid_long
2,250,HYPE,0.0,-0.33790049800000005,1006.7416825260001,0.0,1006.7416825260001,1.0,71.11,23.759,71.11,23.759,entry_initial_normal_long
3,251,HYPE,7.82209999999996,-0.339464918,1014.2243176080001,0.0,1014.2243176080001,1.0,-71.11,23.869,0.0,23.759,close_grid_long
4,257,HYPE,0.0,-0.34030884000000006,1013.8840087680001,0.0,1013.8840087680001,1.0,71.65,23.748,71.65,23.748,entry_initial_normal_long
5,660,HYPE,7.88149999999996,-0.3418851400000001,1021.423623628,0.0,1021.423623628,1.0,-71.65,23.858,0.0,23.748,close_grid_long
6,951,HYPE,0.0,-0.34271408000000003,1021.080909548,0.0,1021.080909548,1.0,72.98,23.48,72.98,23.48,entry_initial_normal_long
7,952,HYPE,7.95481999999987,-0.344305044,1028.691424504,0.0,1028.691424504,1.0,-72.98,23.589,0.0,23.48,close_grid_long
8,953,HYPE,0.0,-0.34517355600000005,1028.346250948,0.0,1028.346250948,1.0,73.51,23.478,73.51,23.478,entry_initial_normal_long
9,954,HYPE,15.143059999999965,-0.34820216800000003,1043.14110878,0.0,1043.14110878,1.0,-73.51,23.684,0.0,23.478,close_grid_long
10,967,HYPE,0.0,-0.35000611600000003,1042.791102664,0.0,1042.791102664,1.0,74.59,23.462,74.59,23.462,entry_initial_normal_long
11,973,HYPE,8.130310000000131,-0.351632178,1050.5697804860001,0.0,1050.5697804860001,1.0,-74.59,23.571,0.0,23.462,close_grid_long
12,980,HYPE,0.0,-0.352502198,1050.2172782880002,0.0,1050.2172782880002,1.0,75.17,23.447,75.17,23.447,entry_initial_normal_long
