,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,38,HYPE,0.0,-0.085917348,999.914082652,0.0,999.914082652,1.0,17.82,24.107,17.82,24.107,entry_initial_normal_long
1,555,HYPE,0.0,-0.16913448,999.744948172,0.0,999.744948172,1.0,36.42,23.22,54.24,23.51141482300885,entry_grid_normal_long
2,723,HYPE,35.34198000000005,-0.262120224,1034.8248079480002,0.0,1034.8248079480002,1.0,-54.24,24.163,0.0,23.51141482300885,close_grid_long
3,943,HYPE,0.0,-0.088898152,1034.7359097960002,0.0,1034.7359097960002,1.0,18.82,23.618,18.82,23.618,entry_initial_normal_long
4,1241,HYPE,12.816420000000019,-0.09146143600000001,1047.4608683600002,0.0,1047.4608683600002,1.0,-18.82,24.299,0.0,23.618,close_grid_long
5,1877,HYPE,0.0,-0.090004986,1047.3708633740002,0.0,1047.3708633740002,1.0,18.09,24.877,18.09,24.877,entry_initial_normal_long
6,3646,HYPE,12.970530000000041,-0.09259909200000001,1060.2487942820003,0.0,1060.2487942820003,1.0,-18.09,25.594,0.0,24.877,close_grid_long
7,3882,HYPE,0.0,-0.091097856,1060.1576964260003,0.0,1060.1576964260003,1.0,18.24,24.972,18.24,24.972,entry_initial_normal_long
8,3883,HYPE,13.132799999999978,-0.093724416,1073.1967720100001,0.0,1073.1967720100001,1.0,-18.24,25.692,0.0,24.972,close_grid_long
9,4201,HYPE,0.0,-0.092216232,1073.104555778,0.0,1073.104555778,1.0,18.18,25.362,18.18,25.362,entry_initial_normal_long
10,4512,HYPE,13.307760000000052,-0.094877784,1086.317437994,0.0,1086.317437994,1.0,-18.18,26.094,0.0,25.362,close_grid_long
11,5019,HYPE,0.0,-0.09335379000000002,1086.224084204,0.0,1086.224084204,1.0,18.35,25.437,18.35,25.437,entry_initial_normal_long
12,5249,HYPE,0.0,-0.18375750000000002,1086.040326704,0.0,1086.040326704,1.0,37.5,24.501,55.85,24.808530886302595,entry_grid_normal_long
13,5435,HYPE,0.0,-0.5436488200000001,1085.496677884,0.0,1085.496677884,1.0,114.14,23.815,169.99,24.141423319018767,entry_grid_normal_long
14,5511,HYPE,0.0,-1.1325936800000003,1084.3640842040002,0.0,1084.3640842040002,1.0,246.86,22.94,416.85,23.42993630802447,entry_grid_cropped_long
15,5512,HYPE,-1.1949042101475362,-0.012694344,1083.1564856498526,0.0,1083.1564856498526,1.0,-2.76,22.997,414.09,23.42993630802447,close_unstuck_long
16,5513,HYPE,-1.7289829363080258,-0.012681247999999999,1081.4148214655445,0.0,1081.4148214655445,1.0,-2.78,22.808,411.31,23.42993630802447,close_unstuck_long
17,5514,HYPE,-1.204324847067289,-0.012645600000000002,1080.1978510184772,0.0,1080.1978510184772,1.0,-2.75,22.992,408.56,23.42993630802447,close_unstuck_long
18,5515,HYPE,-1.193324847067295,-0.0126478,1078.99187837141,0.0,1078.99187837141,1.0,-2.75,22.996,405.81,23.42993630802447,close_unstuck_long
19,5516,HYPE,-1.0191054839870473,-0.012635784000000002,1077.960137103423,0.0,1077.960137103423,1.0,-2.74,23.058,403.07,23.42993630802447,close_unstuck_long
20,5517,HYPE,-1.0574654839870454,-0.012628112000000002,1076.8900435074358,0.0,1076.8900435074358,1.0,-2.74,23.044,400.33,23.42993630802447,close_unstuck_long
21,5518,HYPE,-1.012656120906799,-0.012590214,1075.864797172529,0.0,1075.864797172529,1.0,-2.73,23.059,397.6,23.42993630802447,close_unstuck_long
22,5519,HYPE,-0.9717061209067975,-0.012598404,1074.8804926476223,0.0,1074.8804926476223,1.0,-2.73,23.074,394.87,23.42993630802447,close_unstuck_long
23,5520,HYPE,-1.0754461209067983,-0.012577656000000001,1073.7924688707155,0.0,1073.7924688707155,1.0,-2.73,23.036,392.14,23.42993630802447,close_unstuck_long
24,5521,HYPE,-0.9191867578265608,-0.012562048000000001,1072.860720064889,0.0,1072.860720064889,1.0,-2.72,23.092,389.42,23.42993630802447,close_unstuck_long
25,5522,HYPE,-1.421885483987043,-0.012555228000000002,1071.426279352902,0.0,1071.426279352902,1.0,-2.74,22.911,386.68,23.42993630802447,close_unstuck_long
26,5523,HYPE,-1.410925483987049,-0.012557420000000001,1070.002796448915,0.0,1070.002796448915,1.0,-2.74,22.915,383.94,23.42993630802447,close_unstuck_long
27,5524,HYPE,-1.1830267578265548,-0.012509280000000001,1068.8072604110885,0.0,1068.8072604110885,1.0,-2.72,22.995,381.22,23.42993630802447,close_unstuck_long
28,5525,HYPE,-0.8314280316660683,-0.012485880000000001,1067.9633464994224,0.0,1067.9633464994224,1.0,-2.7,23.122,378.52,23.42993630802447,close_unstuck_long
29,5526,HYPE,-0.25978930550558277,-0.012506488000000001,1067.6910507059167,0.0,1067.6910507059167,1.0,-2.68,23.333,375.84,23.42993630802447,close_unstuck_long
30,5527,HYPE,-0.03453994242532953,-0.012504678,1067.6440060854914,0.0,1067.6440060854914,1.0,-2.67,23.417,373.17,23.42993630802447,close_unstuck_long
31,5528,HYPE,-0.058569942425330444,-0.012499872,1067.572936271066,0.0,1067.572936271066,1.0,-2.67,23.408,370.5,23.42993630802447,close_unstuck_long
32,5529,HYPE,-0.24906930550557918,-0.012508632,1067.3113583335605,0.0,1067.3113583335605,1.0,-2.68,23.337,367.82,23.42993630802447,close_unstuck_long
33,5531,HYPE,-0.5109286685858274,-0.01250312,1066.7879265449747,0.0,1066.7879265449747,1.0,-2.69,23.24,365.13,23.42993630802447,close_unstuck_long
34,5533,HYPE,-0.25174930550558244,-0.012508096000000002,1066.523669143469,0.0,1066.523669143469,1.0,-2.68,23.336,362.45,23.42993630802447,close_unstuck_long
35,5534,HYPE,-0.11730994242533584,-0.012488124,1066.3938710770437,0.0,1066.3938710770437,1.0,-2.67,23.386,359.78,23.42993630802447,close_unstuck_long
36,5535,HYPE,-0.4179093055055761,-0.012474864000000002,1065.9634869075383,0.0,1065.9634869075383,1.0,-2.68,23.274,357.1,23.42993630802447,close_unstuck_long
37,5537,HYPE,-0.258819942425338,-0.012459821999999999,1065.692207143113,0.0,1065.692207143113,1.0,-2.67,23.333,354.43,23.42993630802447,close_unstuck_long
38,5539,HYPE,-0.28551994242533274,-0.012454482000000001,1065.3942327186876,0.0,1065.3942327186876,1.0,-2.67,23.323,351.76,23.42993630802447,close_unstuck_long
