,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,34,HYPE,0.0,-0.00532334,999.99467666,0.0,999.99467666,1.0,1.1,24.197,1.1,24.197,entry_initial_normal_long
1,114,HYPE,0.0,-0.010474464000000003,999.984202196,0.0,999.984202196,1.0,2.18,24.024,3.28,24.08201829268293,entry_trailing_cropped_long
2,257,HYPE,0.0,-0.015141654000000001,999.969060542,0.0,999.969060542,1.0,3.19,23.733,6.47,23.909936630602786,entry_grid_normal_long
3,288,HYPE,0.0,-0.02967426,999.939386282,0.0,999.939386282,1.0,6.3,23.551,12.77,23.732857478465153,entry_grid_normal_long
4,397,HYPE,0.0,-0.05805555800000001,999.881330724,0.0,999.881330724,1.0,12.43,23.353,25.2,23.54549126984127,entry_grid_normal_long
5,662,HYPE,12.260019999999964,-0.12112128000000001,1012.0202294439999,0.0,1012.0202294439999,1.0,-25.2,24.032,0.0,23.54549126984127,close_grid_long
6,941,HYPE,0.0,-0.005363432,1012.014866012,0.0,1012.014866012,1.0,1.13,23.732,1.13,23.732,entry_initial_normal_long
7,956,HYPE,0.0,-0.010609002,1012.00425701,0.0,1012.00425701,1.0,2.23,23.787,3.36,23.768502976190476,entry_trailing_cropped_long
8,967,HYPE,0.0,-0.015319296000000001,1011.9889377139999,0.0,1011.9889377139999,1.0,3.27,23.424,6.63,23.59858974358974,entry_grid_normal_long
9,1164,HYPE,3.211640000000004,-0.031934058,1015.168643656,0.0,1015.168643656,1.0,-6.63,24.083,0.0,23.59858974358974,close_grid_long
10,1704,HYPE,0.0,-0.0053967600000000004,1015.1632468959999,0.0,1015.1632468959999,1.0,1.08,24.985,1.08,24.985,entry_initial_normal_long
11,1718,HYPE,0.0,-0.010624320000000001,1015.1526225759999,0.0,1015.1526225759999,1.0,2.1,25.296,3.18,25.190377358490565,entry_trailing_cropped_long
12,1877,HYPE,0.0,-0.01534185,1015.1372807259999,0.0,1015.1372807259999,1.0,3.09,24.825,6.27,25.01031100478469,entry_grid_normal_long
13,2010,HYPE,0.0,-0.030054700000000004,1015.1072260259998,0.0,1015.1072260259998,1.0,6.1,24.635,12.37,24.825234438156834,entry_grid_normal_long
14,2147,HYPE,6.3181699999999505,-0.06268126399999999,1021.3627147619998,0.0,1021.3627147619998,1.0,-12.37,25.336,0.0,24.825234438156834,close_grid_long
15,2290,HYPE,0.0,-0.005403130000000001,1021.3573116319998,0.0,1021.3573116319998,1.0,1.09,24.785,1.09,24.785,entry_initial_normal_long
16,2337,HYPE,0.0,-0.010688872,1021.3466227599998,0.0,1021.3466227599998,1.0,2.14,24.974,3.23,24.910219814241486,entry_trailing_cropped_long
17,2582,HYPE,0.0,-0.015416772,1021.3312059879999,0.0,1021.3312059879999,1.0,3.14,24.549,6.37,24.73216169544741,entry_grid_normal_long
18,2728,HYPE,0.0,-0.030207640000000004,1021.3009983479999,0.0,1021.3009983479999,1.0,6.2,24.361,12.57,24.549090692124103,entry_grid_normal_long
19,2935,HYPE,0.0,-0.059088022000000004,1021.2419103259999,0.0,1021.2419103259999,1.0,12.23,24.157,24.8,24.35573306451613,entry_grid_normal_long
20,3018,HYPE,12.481020000000019,-0.12330064000000003,1033.5996296859998,0.0,1033.5996296859998,1.0,-24.8,24.859,0.0,24.35573306451613,close_grid_long
21,3394,HYPE,0.0,-0.0054871040000000005,1033.594142582,0.0,1033.594142582,1.0,1.12,24.496,1.12,24.496,entry_initial_normal_long
22,3431,HYPE,0.0,-0.010825760000000002,1033.583316822,0.0,1033.583316822,1.0,2.2,24.604,3.32,24.567566265060243,entry_trailing_cropped_long
23,3613,HYPE,1.671399999999997,-0.016647144000000003,1035.2380696779999,0.0,1035.2380696779999,1.0,-3.32,25.071,0.0,24.567566265060243,close_grid_long
24,3882,HYPE,0.0,-0.005480520000000001,1035.2325891579999,0.0,1035.2325891579999,1.0,1.09,25.14,1.09,25.14,entry_initial_normal_long
25,3883,HYPE,0.5613500000000007,-0.005592790000000001,1035.7883463679998,0.0,1035.7883463679998,1.0,-1.09,25.655,0.0,25.14,close_grid_long
26,4141,HYPE,0.0,-0.005516640000000001,1035.7828297279998,0.0,1035.7828297279998,1.0,1.08,25.54,1.08,25.54,entry_initial_normal_long
27,4175,HYPE,0.0,-0.010849020000000001,1035.7719807079998,0.0,1035.7719807079998,1.0,2.1,25.831,3.18,25.73216981132075,entry_trailing_cropped_long
28,4201,HYPE,0.0,-0.015671862,1035.7563088459997,0.0,1035.7563088459997,1.0,3.09,25.359,6.27,25.548263157894738,entry_grid_normal_long
29,4204,HYPE,0.0,-0.0307013,1035.7256075459998,0.0,1035.7256075459998,1.0,6.1,25.165,12.37,25.35926515763945,entry_grid_normal_long
30,4444,HYPE,6.441490000000006,-0.06402711999999999,1042.1030704259997,0.0,1042.1030704259997,1.0,-12.37,25.88,0.0,25.35926515763945,close_grid_long
31,5013,HYPE,0.0,-0.005517072000000001,1042.0975533539997,0.0,1042.0975533539997,1.0,1.08,25.542,1.08,25.542,entry_initial_normal_long
32,5044,HYPE,0.0,-0.01094737,1042.0866059839998,0.0,1042.0866059839998,1.0,2.15,25.459,3.23,25.486752321981427,entry_trailing_cropped_long
33,5217,HYPE,0.0,-0.015773476,1042.0708325079997,0.0,1042.0708325079997,1.0,3.14,25.117,6.37,25.304488226059657,entry_grid_normal_long
34,5225,HYPE,0.0,-0.030907,1042.0399255079997,0.0,1042.0399255079997,1.0,6.2,24.925,12.57,25.117310262529834,entry_grid_normal_long
35,5242,HYPE,0.0,-0.060455336000000005,1041.9794701719998,0.0,1041.9794701719998,1.0,12.23,24.716,24.8,24.919406048387096,entry_grid_normal_long
36,5253,HYPE,0.0,-0.11810669799999998,1041.8613634739997,0.0,1041.8613634739997,1.0,24.13,24.473,48.93,24.699259350091967,entry_grid_normal_long
37,5255,HYPE,0.0,-0.279227628,1041.5821358459998,0.0,1041.5821358459998,1.0,57.78,24.163,106.71,24.408892324992973,entry_grid_inflated_long
38,5256,HYPE,-0.8158683609783612,-0.014872703999999999,1040.7513947810214,0.0,1040.7513947810214,1.0,-3.08,24.144,103.63,24.408892324992973,close_unstuck_long
39,5257,HYPE,-0.4984505144785008,-0.014838552,1040.2381057145428,0.0,1040.2381057145428,1.0,-3.06,24.246,100.57,24.408892324992973,close_unstuck_long
40,5270,HYPE,-0.4110315884172338,-0.05742514399999999,1039.7696489821255,0.0,1039.7696489821255,1.0,-11.78,24.374,88.79,24.408892324992973,close_trailing_long
41,5273,HYPE,0.6845084115827658,-0.057644252,1040.3965131417083,0.0,1040.3965131417083,1.0,-11.78,24.467,77.01,24.408892324992973,close_trailing_long
