,balance,equity,balance_btc,equity_btc
0,999.987500932,1000.0,0.0,0.0
60,999.987500932,999.409580932,0.0,-0.5779200000000005
120,999.987500932,999.239300932,0.0,-0.7481999999999979
180,999.987500932,1000.119080932,0.0,0.131580000000005
240,999.987500932,999.378620932,0.0,-0.6088800000000018
300,999.987500932,998.829080932,0.0,-1.1584199999999951
360,999.939488236,998.003480932,0.0,-1.984019999999996
420,999.939488236,997.772468236,0.0,-2.167019999999959
480,999.939488236,998.504348236,0.0,-1.4351399999999312
540,999.939488236,996.488468236,0.0,-3.4510199999999314
600,999.939488236,998.992268236,0.0,-0.9472199999999735
660,1006.928546276,1003.216628236,0.0,3.2771400000000344
720,1006.928546276,1006.928546276,0.0,0.0
780,1006.928546276,1006.928546276,0.0,0.0
840,1006.928546276,1006.928546276,0.0,0.0
900,1006.9159463880001,1006.928546276,0.0,0.0
960,1006.9159463880001,1006.450446388,0.0,-0.4655000000000019
1020,1006.9159463880001,1006.131246388,0.0,-0.7847000000000046
1080,1006.9159463880001,1006.4664063880001,0.0,-0.4495400000000013
1140,1006.9159463880001,1007.6740463880001,0.0,0.7581000000000004
1200,1008.3953080480001,1008.1475263880001,0.0,1.2315799999999932
1260,1008.3953080480001,1008.3953080480001,0.0,0.0
1320,1008.3953080480001,1008.3953080480001,0.0,0.0
1380,1008.3953080480001,1008.3953080480001,0.0,0.0
1440,1008.3953080480001,1008.3953080480001,0.0,0.0
1500,1008.3953080480001,1008.3953080480001,0.0,0.0
1560,1008.3953080480001,1008.3953080480001,0.0,0.0
1620,1008.3953080480001,1008.3953080480001,0.0,0.0
1680,1008.3953080480001,1008.3953080480001,0.0,0.0
1740,1008.3953080480001,1008.3953080480001,0.0,0.0
1800,1008.3953080480001,1008.3953080480001,0.0,0.0
1860,1008.382697516,1008.3953080480001,0.0,0.0
1920,1008.382697516,1009.422527516,0.0,1.0398299999999945
1980,1008.382697516,1008.263787516,0.0,-0.1189100000000015
2040,1008.382697516,1008.203067516,0.0,-0.1796300000000038
2100,1009.862488444,1008.008257516,0.0,-0.37443999999999916
