,balance,equity,balance_btc,equity_btc
0,999.96531472,1000.0,0.0,0.0
60,999.96531472,1000.0,0.0,0.0
120,999.96531472,1000.0,0.0,0.0
180,999.96531472,1000.0,0.0,0.0
240,999.96531472,1000.0,0.0,0.0
300,999.96531472,1000.0,0.0,0.0
360,999.96531472,1000.0,0.0,0.0
420,999.96531472,1000.0,0.0,0.0
480,999.96531472,1000.0,0.0,0.0
540,999.96531472,1000.0,0.0,0.0
600,999.96531472,1000.0,0.0,0.0
660,999.96531472,1000.0,0.0,0.0
720,999.96531472,1000.0,0.0,0.0
780,999.96531472,1000.0,0.0,0.0
840,999.96531472,1000.0,0.0,0.0
900,999.96531472,1000.0,0.0,0.0
960,999.96531472,1000.0,0.0,0.0
1020,999.96531472,1000.0,0.0,0.0
1080,999.96531472,1000.0,0.0,0.0
1140,999.96531472,1000.0,0.0,0.0
1200,999.96531472,1000.0,0.0,0.0
1260,999.96531472,1000.0,0.0,0.0
1320,999.96531472,1000.0,0.0,0.0
1380,999.96531472,1000.0,0.0,0.0
1440,999.96531472,1000.0,0.0,0.0
1500,999.96531472,1000.0,0.0,0.0
1560,999.96531472,1000.0,0.0,0.0
1620,999.96531472,1000.0,0.0,0.0
1680,999.96531472,1000.0,0.0,0.0
1740,999.96531472,1000.0,0.0,0.0
1800,999.96531472,1000.0,0.0,0.0
1860,999.96531472,1000.0,0.0,0.0
1920,999.96531472,1000.0,0.0,0.0
1980,999.96531472,1000.0,0.0,0.0
2040,999.96531472,1000.0,0.0,0.0
2100,999.96531472,1000.0,0.0,0.0
2160,999.96531472,1000.0,0.0,0.0
2220,999.96531472,1000.0,0.0,0.0
2280,999.96531472,1000.0,0.0,0.0
2340,999.96531472,1000.0,0.0,0.0
2400,999.96531472,1000.0,0.0,0.0
2460,999.96531472,1000.0,0.0,0.0
2520,999.96531472,1000.0,0.0,0.0
2580,999.96531472,1000.0,0.0,0.0
2640,999.96531472,1000.0,0.0,0.0
2700,999.96531472,1000.0,0.0,0.0
2760,999.96531472,1000.0,0.0,0.0
2820,999.96531472,1000.0,0.0,0.0
2880,999.96531472,1000.0,0.0,0.0
2940,999.96531472,1000.0,0.0,0.0
3000,999.96531472,1000.0,0.0,0.0
3060,999.96531472,1000.0,0.0,0.0
3120,999.96531472,1000.0,0.0,0.0
3180,999.96531472,1000.0,0.0,0.0
3240,999.96531472,1000.0,0.0,0.0
3300,999.96531472,1000.0,0.0,0.0
3360,999.96531472,1000.0,0.0,0.0
3420,999.96531472,1000.0,0.0,0.0
3480,999.96531472,1000.0,0.0,0.0
3540,999.96531472,1000.0,0.0,0.0
3600,999.96531472,1000.0,0.0,0.0
3660,999.96531472,1000.0,0.0,0.0
3720,999.96531472,1000.0,0.0,0.0
3780,999.96531472,1000.0,0.0,0.0
3840,999.96531472,1000.0,0.0,0.0
3900,999.96531472,1000.0,0.0,0.0
3960,999.96531472,1000.0,0.0,0.0
4020,999.96531472,1000.0,0.0,0.0
4080,999.96531472,1000.0,0.0,0.0
4140,999.96531472,1000.0,0.0,0.0
4200,999.96531472,1000.0,0.0,0.0
4260,999.96531472,999.96531472,0.0,0.0
4320,999.96531472,999.96531472,0.0,0.0
4380,999.96531472,999.96531472,0.0,0.0
4440,999.96531472,999.96531472,0.0,0.0
4500,999.96531472,999.96531472,0.0,0.0
4560,999.96531472,999.96531472,0.0,0.0
4620,999.96531472,999.96531472,0.0,0.0
4680,999.96531472,999.96531472,0.0,0.0
4740,999.96531472,999.96531472,0.0,0.0
4800,999.96531472,999.96531472,0.0,0.0
4860,999.96531472,999.96531472,0.0,0.0
4920,999.96531472,999.96531472,0.0,0.0
4980,999.96531472,999.96531472,0.0,0.0
5040,999.96531472,999.96531472,0.0,0.0
5100,999.96531472,999.96531472,0.0,0.0
5160,999.959850986,999.96531472,0.0,0.0
5220,999.92143271,999.948938342,0.0,0.0
5280,1000.00082877,999.92143271,0.0,0.0
5340,1000.2048642999999,1000.00082877,0.0,0.0
5400,1000.280734668,1000.2048642999999,0.0,0.0
5460,1000.344909836,1000.280734668,0.0,0.0
5520,1000.344909836,1000.344909836,0.0,0.0
5580,1000.344909836,1000.344909836,0.0,0.0
5640,1000.344909836,1000.344909836,0.0,0.0
5700,1000.3107464440001,1000.344909836,0.0,0.0
5760,1000.3184773360001,1000.3107464440001,0.0,0.0
5820,1000.3130101600001,1000.3184773360001,0.0,0.0
5880,1000.3052236960001,999.7537501600001,0.0,-0.5592600000000018
5940,999.9184114100001,998.2446736960001,0.0,-2.0605499999999872
6000,999.9887268652208,965.0899014100002,0.0,-34.82850999999998
6060,999.9397964812208,926.294857178,0.0,-73.69386968722068
6120,999.9397964812208,918.3932867940002,0.0,-81.54650968722056
6180,999.9397964812208,903.5696867940003,0.0,-96.37010968722048
6240,999.9397964812208,987.8396067940002,0.0,-12.100189687220583
6300,999.9397964812208,955.5870467940001,0.0,-44.352749687220744
6360,999.9397964812208,913.4520867940003,0.0,-86.48770968722053
