,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,4126,HYPE,0.0,-0.060117796000000015,999.939882204,0.0,999.939882204,1.0,11.63,25.846,11.63,25.846,entry_initial_normal_long
1,4451,HYPE,0.4303099999999888,-0.060203858000000006,1000.309988346,0.0,1000.309988346,1.0,-11.63,25.883,0.0,25.846,close_trailing_long
2,4506,HYPE,0.0,-0.060126174000000004,1000.249862172,0.0,1000.249862172,1.0,11.67,25.761,11.67,25.761,entry_initial_normal_long
3,4514,HYPE,2.5440599999999995,-0.060634985999999995,1002.733287186,0.0,1002.733287186,1.0,-11.67,25.979,0.0,25.761,close_trailing_long
4,4648,HYPE,0.0,-0.060251172,1002.673036014,0.0,1002.673036014,1.0,11.86,25.401,11.86,25.401,entry_initial_normal_long
5,4652,HYPE,1.9806200000000187,-0.06064729600000001,1004.593008718,0.0,1004.593008718,1.0,-11.86,25.568,0.0,25.401,close_trailing_long
6,5013,HYPE,0.0,-0.060381924000000003,1004.532626794,0.0,1004.532626794,1.0,11.78,25.629,11.78,25.629,entry_initial_normal_long
7,6425,HYPE,0.0,-0.076937042,1004.4556897519999,0.0,1004.4556897519999,1.0,17.29,22.249,29.07,23.618673202614378,entry_trailing_normal_long
8,6835,HYPE,0.0,-0.18680926000000003,1004.2688804919999,0.0,1004.2688804919999,1.0,42.67,21.89,71.74,22.59048132143853,entry_trailing_normal_long
9,6844,HYPE,0.8022358001114582,-0.111621882,1004.9594944101113,0.0,1004.9594944101113,1.0,-24.67,22.623,47.07,22.59048132143853,close_trailing_long
10,6864,HYPE,2.2833609868970415,-0.111963288,1007.1308921090084,0.0,1007.1308921090084,1.0,-24.68,22.683,22.39,22.59048132143853,close_trailing_long
11,6866,HYPE,2.3177832129912614,-0.101623732,1009.3470515899996,0.0,1009.3470515899996,1.0,-22.39,22.694,0.0,22.59048132143853,close_trailing_long
12,6892,HYPE,0.0,-0.06067136800000001,1009.2863802219996,0.0,1009.2863802219996,1.0,13.43,22.588,13.43,22.588,entry_initial_normal_long
13,6915,HYPE,6.661279999999982,-0.06200362400000001,1015.8856565979996,0.0,1015.8856565979996,1.0,-13.43,23.084,0.0,22.588,close_trailing_long
14,6958,HYPE,0.0,-0.061060578000000004,1015.8245960199996,0.0,1015.8245960199996,1.0,13.27,23.007,13.27,23.007,entry_initial_normal_long
15,6961,HYPE,2.3355199999999785,-0.06152768199999999,1018.0985883379996,0.0,1018.0985883379996,1.0,-13.27,23.183,0.0,23.007,close_trailing_long
16,6972,HYPE,0.0,-0.06118468800000001,1018.0374036499995,0.0,1018.0374036499995,1.0,13.24,23.106,13.24,23.106,entry_initial_normal_long
17,6974,HYPE,0.47663999999997103,-0.06128001600000001,1018.4527636339996,0.0,1018.4527636339996,1.0,-13.24,23.142,0.0,23.106,close_trailing_long
18,7020,HYPE,0.0,-0.06120888,1018.3915547539996,0.0,1018.3915547539996,1.0,12.99,23.56,12.99,23.56,entry_initial_normal_long
19,7344,HYPE,2.8707900000000013,-0.061783038000000005,1021.2005617159996,0.0,1021.2005617159996,1.0,-12.99,23.781,0.0,23.56,close_trailing_long
20,7382,HYPE,0.0,-0.06136894000000001,1021.1391927759996,0.0,1021.1391927759996,1.0,13.06,23.495,13.06,23.495,entry_initial_normal_long
21,8130,HYPE,0.0,-0.07946348400000001,1021.0597292919996,0.0,1021.0597292919996,1.0,19.17,20.726,32.23,21.848033509152966,entry_trailing_normal_long
22,8466,HYPE,0.0,-0.18834111000000003,1020.8713881819996,0.0,1020.8713881819996,1.0,47.31,19.905,79.54,20.69232675383455,entry_trailing_normal_long
23,8656,HYPE,0.8121567475484053,-0.11343222800000001,1021.5701127015479,0.0,1021.5701127015479,1.0,-27.37,20.722,52.17,20.69232675383455,close_trailing_long
24,8659,HYPE,1.6618402124716816,-0.113684934,1023.1182679800196,0.0,1023.1182679800196,1.0,-27.39,20.753,24.78,20.69232675383455,close_trailing_long
25,8664,HYPE,3.2133030399798335,-0.103193832,1026.2283771879995,0.0,1026.2283771879995,1.0,-24.78,20.822,0.0,20.69232675383455,close_trailing_long
26,8674,HYPE,0.0,-0.061692138,1026.1666850499996,0.0,1026.1666850499996,1.0,15.03,20.523,15.03,20.523,entry_initial_normal_long
27,8682,HYPE,4.629239999999998,-0.062617986,1030.7333070639995,0.0,1030.7333070639995,1.0,-15.03,20.831,0.0,20.523,close_trailing_long
28,8687,HYPE,0.0,-0.06194163600000001,1030.6713654279995,0.0,1030.6713654279995,1.0,15.03,20.606,15.03,20.606,entry_initial_normal_long
29,8691,HYPE,3.2164199999999794,-0.06258492,1033.8252005079994,0.0,1033.8252005079994,1.0,-15.03,20.82,0.0,20.606,close_trailing_long
30,8697,HYPE,0.0,-0.062124224,1033.7630762839995,0.0,1033.7630762839995,1.0,15.04,20.653,15.04,20.653,entry_initial_normal_long
31,8706,HYPE,0.8422400000000141,-0.06229267199999999,1034.5430236119994,0.0,1034.5430236119994,1.0,-15.04,20.709,0.0,20.653,close_trailing_long
32,8708,HYPE,0.0,-0.062184848000000015,1034.4808387639994,0.0,1034.4808387639994,1.0,15.07,20.632,15.07,20.632,entry_initial_normal_long
