,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,38,HYPE,0.0,-0.060395147999999996,999.939604852,0.0,999.939604852,1.0,12.54,24.081,12.54,24.081,entry_initial_normal_long
1,374,HYPE,0.0,-0.059747424,999.879857428,0.0,999.879857428,1.0,12.76,23.412,25.3,23.743591304347824,entry_grid_normal_long
2,664,HYPE,0.33243886956521945,-0.008186796,1000.2041095015653,0.0,1000.2041095015653,1.0,-1.71,23.938,23.59,23.743591304347824,close_trailing_long
3,864,HYPE,16.664181130434823,-0.1153551,1016.7529355320002,0.0,1016.7529355320002,1.0,-23.59,24.45,0.0,23.743591304347824,close_grid_long
4,943,HYPE,0.0,-0.061407528,1016.6915280040001,0.0,1016.6915280040001,1.0,13.02,23.582,13.02,23.582,entry_initial_normal_long
5,1240,HYPE,9.179099999999977,-0.06324334799999999,1025.807384656,0.0,1025.807384656,1.0,-13.02,24.287,0.0,23.582,close_grid_long
6,2010,HYPE,0.0,-0.061949988,1025.7454346680001,0.0,1025.7454346680001,1.0,12.57,24.642,12.57,24.642,entry_initial_normal_long
7,2148,HYPE,9.264090000000024,-0.06380280600000002,1034.9457218620003,0.0,1034.9457218620003,1.0,-12.57,25.379,0.0,24.642,close_grid_long
8,2291,HYPE,0.0,-0.06250242,1034.8832194420002,0.0,1034.8832194420002,1.0,12.66,24.685,12.66,24.685,entry_initial_normal_long
9,3641,HYPE,9.343079999999995,-0.06437103599999999,1044.1619284060002,0.0,1044.1619284060002,1.0,-12.66,25.423,0.0,24.685,close_grid_long
10,4203,HYPE,0.0,-0.06306892800000001,1044.0988594780003,0.0,1044.0988594780003,1.0,12.48,25.268,12.48,25.268,entry_initial_normal_long
11,4458,HYPE,9.422399999999987,-0.064953408,1053.4563060700004,0.0,1053.4563060700004,1.0,-12.48,26.023,0.0,25.268,close_grid_long
12,5019,HYPE,0.0,-0.063621632,1053.3926844380005,0.0,1053.3926844380005,1.0,12.52,25.408,12.52,25.408,entry_initial_normal_long
13,5242,HYPE,0.0,-0.062597402,1053.3300870360006,0.0,1053.3300870360006,1.0,12.67,24.703,25.19,25.053400952759034,entry_grid_normal_long
14,5254,HYPE,0.0,-0.106770048,1053.2233169880005,0.0,1053.2233169880005,1.0,21.98,24.288,47.17,24.69674390502438,entry_grid_normal_long
15,5325,HYPE,2.167095670977338,-0.116458722,1055.273953936978,0.0,1055.273953936978,1.0,-23.49,24.789,23.68,24.69674390502438,close_trailing_long
16,5393,HYPE,0.0,-0.098973796,1055.1749801409778,0.0,1055.1749801409778,1.0,20.66,23.953,44.34,24.350200173003547,entry_grid_normal_long
17,5446,HYPE,0.0,-0.18192038000000002,1054.9930597609778,0.0,1054.9930597609778,1.0,38.69,23.51,83.03,23.958686928471362,entry_grid_normal_long
18,5511,HYPE,0.0,-0.33238611,1054.6606736509777,0.0,1054.6606736509777,1.0,72.45,22.939,155.48,23.483536954405565,entry_grid_normal_long
19,5552,HYPE,3.3556990304911576,-0.2613384,1057.7550342814689,0.0,1057.7550342814689,1.0,-55.5,23.544,99.98,23.483536954405565,close_trailing_long
20,5555,HYPE,1.2502931177862529,-0.261668792,1058.7436586072552,0.0,1058.7436586072552,1.0,-55.66,23.506,44.32,23.483536954405565,close_trailing_long
21,5578,HYPE,3.8356743667809776,-0.09108481800000001,1062.4882481560362,0.0,1062.4882481560362,1.0,-19.23,23.683,25.09,23.483536954405565,close_trailing_long
22,5655,HYPE,17.549527813964364,-0.12135029400000001,1079.9164256760005,0.0,1079.9164256760005,1.0,-25.09,24.183,0.0,23.483536954405565,close_grid_long
23,5704,HYPE,0.0,-0.06521684400000001,1079.8512088320006,0.0,1079.8512088320006,1.0,13.86,23.527,13.86,23.527,entry_initial_normal_long
24,5872,HYPE,0.0,-0.064184444,1079.7870243880006,0.0,1079.7870243880006,1.0,14.03,22.874,27.89,23.198509860164933,entry_grid_normal_long
25,5934,HYPE,0.0,-0.10948132,1079.6775430680007,0.0,1079.6775430680007,1.0,24.34,22.49,52.23,22.868333141872487,entry_grid_normal_long
26,5945,HYPE,0.0,-0.201117192,1079.4764258760006,0.0,1079.4764258760006,1.0,45.58,22.062,97.81,22.492577446068907,entry_grid_normal_long
27,5945,HYPE,0.0,-0.36707328,1079.1093525960005,0.0,1079.1093525960005,1.0,85.35,21.504,183.16,22.031914173400303,entry_grid_normal_long
28,5948,HYPE,0.9129942258137252,-0.266856888,1079.7554899338143,0.0,1079.7554899338143,1.0,-60.52,22.047,122.64,22.031914173400303,close_trailing_long
29,5950,HYPE,16.23527765887772,-0.27009760000000005,1095.720669992692,0.0,1095.720669992692,1.0,-60.56,22.3,62.08,22.031914173400303,close_trailing_long
30,5952,HYPE,2.835244450753576,-0.152763512,1098.4031509314455,0.0,1098.4031509314455,1.0,-34.54,22.114,27.54,22.031914173400303,close_trailing_long
31,6055,HYPE,0.0,-0.102699414,1098.3004515174455,0.0,1098.3004515174455,1.0,24.03,21.369,51.57,21.72301699312477,entry_grid_normal_long
32,6077,HYPE,0.8910813412928916,-0.10210261200000001,1099.0894302467384,0.0,1099.0894302467384,1.0,-23.46,21.761,28.11,21.72301699312477,close_trailing_long
33,6116,HYPE,0.0,-0.103359608,1098.9860706387385,0.0,1098.9860706387385,1.0,24.53,21.068,52.64,21.417782060728292,entry_grid_normal_long
34,6136,HYPE,0.0,-0.189948108,1098.7961225307386,0.0,1098.7961225307386,1.0,45.93,20.678,98.57,21.073070789050803,entry_grid_normal_long
35,6144,HYPE,0.8974590614567536,-0.271727082,1099.4218545101953,0.0,1099.4218545101953,1.0,-64.43,21.087,34.14,21.073070789050803,close_trailing_long
36,6150,HYPE,0.06881030208903248,-0.020833956,1099.4698308562843,0.0,1099.4698308562843,1.0,-4.94,21.087,29.2,21.073070789050803,close_trailing_long
37,6190,HYPE,18.33553295971657,-0.12673384000000001,1117.6786299760008,0.0,1117.6786299760008,1.0,-29.2,21.701,0.0,21.073070789050803,close_grid_long
38,6311,HYPE,0.0,-0.06749016000000001,1117.6111398160008,0.0,1117.6111398160008,1.0,15.71,21.48,15.71,21.48,entry_initial_normal_long
39,6423,HYPE,10.085819999999993,-0.06950732400000001,1127.6274524920009,0.0,1127.6274524920009,1.0,-15.71,22.122,0.0,21.48,close_grid_long
40,6461,HYPE,0.0,-0.068123608,1127.559328884001,0.0,1127.559328884001,1.0,15.89,21.436,15.89,21.436,entry_initial_normal_long
