,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,60,HYPE,0.0,-0.111045288,999.888954712,0.0,999.888954712,1.0,17.02,32.622,17.02,32.622,entry_initial_normal_long
1,61,HYPE,3.165719999999999,-0.11167843200000001,1002.94299628,0.0,1002.94299628,1.0,-17.02,32.808,0.0,32.622,close_grid_long
2,182,HYPE,0.0,-0.11140326400000002,1002.8315930159999,0.0,1002.8315930159999,1.0,17.12,32.536,17.12,32.536,entry_initial_normal_long
3,184,HYPE,3.184319999999999,-0.112040128,1005.9038728879999,0.0,1005.9038728879999,1.0,-17.12,32.722,0.0,32.536,close_grid_long
4,205,HYPE,0.0,-0.11174187600000003,1005.7921310119999,0.0,1005.7921310119999,1.0,17.19,32.502,17.19,32.502,entry_initial_normal_long
5,299,HYPE,3.197339999999999,-0.11238134400000002,1008.8770896679999,0.0,1008.8770896679999,1.0,-17.19,32.688,0.0,32.502,close_grid_long
6,355,HYPE,0.0,-0.11205240800000002,1008.76503726,0.0,1008.76503726,1.0,17.42,32.162,17.42,32.162,entry_initial_normal_long
7,368,HYPE,3.2052799999999566,-0.112693464,1011.857623796,0.0,1011.857623796,1.0,-17.42,32.346,0.0,32.162,close_grid_long
8,369,HYPE,0.0,-0.11239423800000001,1011.745229558,0.0,1011.745229558,1.0,17.49,32.131,17.49,32.131,entry_initial_normal_long
9,370,HYPE,3.218159999999956,-0.11303786999999998,1014.8503516879999,0.0,1014.8503516879999,1.0,-17.49,32.315,0.0,32.131,close_grid_long
10,379,HYPE,0.0,-0.11272716,1014.737624528,0.0,1014.737624528,1.0,17.55,32.116,17.55,32.116,entry_initial_normal_long
11,383,HYPE,3.229199999999956,-0.113373,1017.8534515279999,0.0,1017.8534515279999,1.0,-17.55,32.3,0.0,32.116,close_grid_long
12,746,HYPE,0.0,-0.11305823999999998,1017.740393288,0.0,1017.740393288,1.0,17.4,32.488,17.4,32.488,entry_initial_normal_long
13,802,HYPE,3.236399999999999,-0.11370551999999999,1020.8630877679999,0.0,1020.8630877679999,1.0,-17.4,32.674,0.0,32.488,close_grid_long
14,904,HYPE,0.0,-0.11339806400000003,1020.7496897039999,0.0,1020.7496897039999,1.0,17.53,32.344,17.53,32.344,entry_initial_normal_long
15,906,HYPE,3.24305000000004,-0.11404667400000004,1023.87869303,0.0,1023.87869303,1.0,-17.53,32.529,0.0,32.344,close_grid_long
16,923,HYPE,0.0,-0.11369120600000002,1023.765001824,0.0,1023.765001824,1.0,17.59,32.317,17.59,32.317,entry_initial_normal_long
17,1593,HYPE,3.25415000000004,-0.11434203600000001,1026.904809788,0.0,1026.904809788,1.0,-17.59,32.502,0.0,32.317,close_grid_long
18,2831,HYPE,0.0,-0.11403801599999999,1026.790771772,0.0,1026.790771772,1.0,17.89,31.872,17.89,31.872,entry_initial_normal_long
19,2838,HYPE,3.2559800000000387,-0.11468921200000003,1029.93206256,0.0,1029.93206256,1.0,-17.89,32.054,0.0,31.872,close_grid_long
20,2865,HYPE,0.0,-0.114399548,1029.8176630120001,0.0,1029.8176630120001,1.0,17.98,31.813,17.98,31.813,entry_initial_normal_long
21,2945,HYPE,3.272360000000039,-0.11505402000000002,1032.9749689920002,0.0,1032.9749689920002,1.0,-17.98,31.995,0.0,31.813,close_grid_long
22,2975,HYPE,0.0,-0.114720988,1032.8602480040001,0.0,1032.8602480040001,1.0,18.14,31.621,18.14,31.621,entry_initial_normal_long
23,2981,HYPE,3.2833400000000172,-0.11537765600000001,1036.0282103480001,0.0,1036.0282103480001,1.0,-18.14,31.802,0.0,31.621,close_grid_long
24,3004,HYPE,0.0,-0.115062944,1035.913147404,0.0,1035.913147404,1.0,18.22,31.576,18.22,31.576,entry_initial_normal_long
25,3029,HYPE,3.2795999999999945,-0.11571886399999999,1039.0770285400001,0.0,1039.0770285400001,1.0,-18.22,31.756,0.0,31.576,close_grid_long
26,4031,HYPE,0.0,-0.11537452,1038.9616540200002,0.0,1038.9616540200002,1.0,17.65,32.684,17.65,32.684,entry_initial_normal_long
27,4038,HYPE,3.300550000000083,-0.11603463,1042.1461693900003,0.0,1042.1461693900003,1.0,-17.65,32.871,0.0,32.684,close_grid_long
28,4238,HYPE,0.0,-0.11572967999999999,1042.0304397100003,0.0,1042.0304397100003,1.0,17.7,32.692,17.7,32.692,entry_initial_normal_long
29,4239,HYPE,3.3098999999999577,-0.11639165999999998,1045.2239480500002,0.0,1045.2239480500002,1.0,-17.7,32.879,0.0,32.692,close_grid_long
30,4355,HYPE,0.0,-0.11607855000000003,1045.1078695,0.0,1045.1078695,1.0,17.85,32.515,17.85,32.515,entry_initial_normal_long
31,4362,HYPE,3.320099999999999,-0.11674257,1048.3112269300002,0.0,1048.3112269300002,1.0,-17.85,32.701,0.0,32.515,close_grid_long
32,6361,HYPE,0.0,-0.11645748399999999,1048.1947694460002,0.0,1048.1947694460002,1.0,16.06,36.257,16.06,36.257,entry_initial_normal_long
33,6365,HYPE,3.3244200000000115,-0.11712236799999999,1051.4020670780003,0.0,1051.4020670780003,1.0,-16.06,36.464,0.0,36.257,close_grid_long
34,6418,HYPE,0.0,-0.11677474800000001,1051.2852923300004,0.0,1051.2852923300004,1.0,16.13,36.198,16.13,36.198,entry_initial_normal_long
35,6419,HYPE,3.338910000000012,-0.11744252999999999,1054.5067598000005,0.0,1054.5067598000005,1.0,-16.13,36.405,0.0,36.198,close_grid_long
36,6423,HYPE,0.0,-0.117104368,1054.3896554320006,0.0,1054.3896554320006,1.0,16.18,36.188,16.18,36.188,entry_initial_normal_long
37,6464,HYPE,3.349260000000012,-0.11777422000000001,1057.6211412120006,0.0,1057.6211412120006,1.0,-16.18,36.395,0.0,36.188,close_grid_long
38,6580,HYPE,0.0,-0.11745515799999999,1057.5036860540006,0.0,1057.5036860540006,1.0,16.33,35.963,16.33,35.963,entry_initial_normal_long
39,6586,HYPE,3.3639799999999336,-0.11812795399999998,1060.7495381000006,0.0,1060.7495381000006,1.0,-16.33,36.169,0.0,35.963,close_grid_long
40,6596,HYPE,0.0,-0.11778509600000003,1060.6317530040005,0.0,1060.6317530040005,1.0,16.39,35.932,16.39,35.932,entry_initial_normal_long
