,balance,equity,balance_btc,equity_btc
0,999.74725421,1000.0,0.0,0.0
60,999.74725421,1000.0,0.0,0.0
120,999.74725421,1000.0,0.0,0.0
180,999.74725421,1000.0,0.0,0.0
240,1017.9371746959998,984.1042442099999,0.0,-15.64301000000013
300,1017.9371746959998,1017.9371746959998,0.0,0.0
360,1036.172542536,1023.1763251359998,0.0,5.4964400000000175
420,1036.172542536,1036.172542536,0.0,0.0
480,1036.172542536,1036.172542536,0.0,0.0
540,1036.172542536,1036.172542536,0.0,0.0
600,1036.172542536,1036.172542536,0.0,0.0
660,1036.172542536,1036.172542536,0.0,0.0
720,1045.171513438,1036.172542536,0.0,0.0
780,1054.795834432,1042.433223438,0.0,-2.7382900000000068
840,1054.795834432,1054.795834432,0.0,0.0
900,1054.529272748,1054.795834432,0.0,0.0
960,1054.529272748,1030.694392748,0.0,-23.83488000000017
1020,1054.529272748,1028.790912748,0.0,-25.738360000000142
1080,1054.529272748,1041.4118127479999,0.0,-13.117460000000154
1140,1054.529272748,1029.452992748,0.0,-25.076280000000068
1200,1054.529272748,1027.9219327479998,0.0,-26.60734000000018
1260,1054.529272748,1006.5284727479999,0.0,-48.000800000000154
1320,1054.529272748,1024.0735927479998,0.0,-30.455680000000175
1380,1054.529272748,1005.825012748,0.0,-48.70426000000013
1440,1054.529272748,1011.4940727479999,0.0,-43.03520000000012
1500,1054.529272748,1021.3011327479999,0.0,-33.22814000000018
1560,1064.191924824,1036.239312748,0.0,-18.289960000000153
1620,1064.191924824,1064.191924824,0.0,0.0
1680,1064.191924824,1064.191924824,0.0,0.0
1740,1064.191924824,1064.191924824,0.0,0.0
1800,1064.191924824,1064.191924824,0.0,0.0
1860,1064.191924824,1064.191924824,0.0,0.0
1920,1064.191924824,1064.191924824,0.0,0.0
1980,1064.191924824,1064.191924824,0.0,0.0
2040,1064.191924824,1064.191924824,0.0,0.0
2100,1064.191924824,1064.191924824,0.0,0.0
2160,1064.191924824,1064.191924824,0.0,0.0
2220,1064.191924824,1064.191924824,0.0,0.0
2280,1064.191924824,1064.191924824,0.0,0.0
2340,1064.191924824,1064.191924824,0.0,0.0
2400,1064.191924824,1064.191924824,0.0,0.0
2460,1064.191924824,1064.191924824,0.0,0.0
2520,1064.191924824,1064.191924824,0.0,0.0
2580,1064.191924824,1064.191924824,0.0,0.0
2640,1064.191924824,1064.191924824,0.0,0.0
2700,1064.191924824,1064.191924824,0.0,0.0
2760,1064.191924824,1064.191924824,0.0,0.0
2820,1063.9229945319998,1064.191924824,0.0,0.0
2880,1073.660822488,1070.2844945319998,0.0,6.36150000000009
2940,1073.660822488,1073.660822488,0.0,0.0
3000,1073.660822488,1073.660822488,0.0,0.0
3060,1073.660822488,1073.660822488,0.0,0.0
3120,1073.660822488,1073.660822488,0.0,0.0
3180,1073.660822488,1073.660822488,0.0,0.0
3240,1073.660822488,1073.660822488,0.0,0.0
3300,1073.660822488,1073.660822488,0.0,0.0
3360,1073.660822488,1073.660822488,0.0,0.0
3420,1073.660822488,1073.660822488,0.0,0.0
3480,1073.660822488,1073.660822488,0.0,0.0
3540,1073.660822488,1073.660822488,0.0,0.0
3600,1073.660822488,1073.660822488,0.0,0.0
3660,1073.660822488,1073.660822488,0.0,0.0
3720,1073.660822488,1073.660822488,0.0,0.0
3780,1073.660822488,1073.660822488,0.0,0.0
3840,1073.660822488,1073.660822488,0.0,0.0
3900,1073.660822488,1073.660822488,0.0,0.0
3960,1073.660822488,1073.660822488,0.0,0.0
4020,1073.660822488,1073.660822488,0.0,0.0
4080,1073.660822488,1073.660822488,0.0,0.0
4140,1073.660822488,1073.660822488,0.0,0.0
4200,1073.660822488,1073.660822488,0.0,0.0
4260,1073.660822488,1073.660822488,0.0,0.0
4320,1073.660822488,1073.660822488,0.0,0.0
4380,1073.660822488,1073.660822488,0.0,0.0
4440,1073.660822488,1073.660822488,0.0,0.0
4500,1073.660822488,1073.660822488,0.0,0.0
4560,1073.660822488,1073.660822488,0.0,0.0
4620,1073.660822488,1073.660822488,0.0,0.0
4680,1073.660822488,1073.660822488,0.0,0.0
4740,1073.660822488,1073.660822488,0.0,0.0
4800,1073.660822488,1073.660822488,0.0,0.0
4860,1073.660822488,1073.660822488,0.0,0.0
4920,1073.660822488,1073.660822488,0.0,0.0
4980,1073.660822488,1073.660822488,0.0,0.0
5040,1073.660822488,1073.660822488,0.0,0.0
5100,1073.660822488,1073.660822488,0.0,0.0
5160,1073.660822488,1073.660822488,0.0,0.0
5220,1073.660822488,1073.660822488,0.0,0.0
5280,1073.660822488,1073.660822488,0.0,0.0
5340,1073.660822488,1073.660822488,0.0,0.0
5400,1073.660822488,1073.660822488,0.0,0.0
5460,1073.660822488,1073.660822488,0.0,0.0
5520,1073.660822488,1073.660822488,0.0,0.0
5580,1073.660822488,1073.660822488,0.0,0.0
5640,1073.660822488,1073.660822488,0.0,0.0
5700,1073.660822488,1073.660822488,0.0,0.0
5760,1073.660822488,1073.660822488,0.0,0.0
5820,1073.660822488,1073.660822488,0.0,0.0
5880,1073.660822488,1073.660822488,0.0,0.0
5940,1073.660822488,1073.660822488,0.0,0.0
6000,1073.660822488,1073.660822488,0.0,0.0
6060,1073.660822488,1073.660822488,0.0,0.0
6120,1073.660822488,1073.660822488,0.0,0.0
6180,1073.660822488,1073.660822488,0.0,0.0
6240,1073.660822488,1073.660822488,0.0,0.0
6300,1073.660822488,1073.660822488,0.0,0.0
6360,1073.660822488,1073.660822488,0.0,0.0
6420,1083.2467009719999,1073.660822488,0.0,0.0
6480,1083.2467009719999,1083.2467009719999,0.0,0.0
6540,1083.2467009719999,1083.2467009719999,0.0,0.0
6600,1092.948094372,1083.2467009719999,0.0,0.0
6660,1092.948094372,1092.948094372,0.0,0.0
6720,1092.948094372,1092.948094372,0.0,0.0
6780,1092.948094372,1092.948094372,0.0,0.0
6840,1092.948094372,1092.948094372,0.0,0.0
6900,1092.948094372,1092.948094372,0.0,0.0
6960,1092.948094372,1092.948094372,0.0,0.0
7020,1092.948094372,1092.948094372,0.0,0.0
7080,1092.948094372,1092.948094372,0.0,0.0
7140,1092.948094372,1092.948094372,0.0,0.0
7200,1092.948094372,1092.948094372,0.0,0.0
7260,1092.948094372,1092.948094372,0.0,0.0
7320,1092.948094372,1092.948094372,0.0,0.0
7380,1092.948094372,1092.948094372,0.0,0.0
7440,1092.948094372,1092.948094372,0.0,0.0
7500,1092.948094372,1092.948094372,0.0,0.0
7560,1092.948094372,1092.948094372,0.0,0.0
7620,1092.948094372,1092.948094372,0.0,0.0
7680,1092.948094372,1092.948094372,0.0,0.0
7740,1092.671848774,1092.948094372,0.0,0.0
7800,1092.671848774,1071.9512987740002,0.0,-20.720549999999868
7860,1092.671848774,1069.976068774,0.0,-22.695779999999942
7920,1092.671848774,1081.091578774,0.0,-11.58026999999998
7980,1092.671848774,1089.7283687740003,0.0,-2.9434799999997443
8040,1102.69572274,1089.922018774,0.0,-2.7498299999999207
8100,1102.69572274,1102.69572274,0.0,0.0
8160,1102.69572274,1102.69572274,0.0,0.0
8220,1102.69572274,1102.69572274,0.0,0.0
8280,1102.69572274,1102.69572274,0.0,0.0
8340,1102.69572274,1102.69572274,0.0,0.0
8400,1112.5623117,1102.69572274,0.0,0.0
8460,1112.5623117,1112.5623117,0.0,0.0
8520,1112.5623117,1112.5623117,0.0,0.0
8580,1112.5623117,1112.5623117,0.0,0.0
8640,1112.5623117,1112.5623117,0.0,0.0
8700,1112.5623117,1112.5623117,0.0,0.0
8760,1112.5623117,1112.5623117,0.0,0.0
8820,1122.5271907860003,1112.5623117,0.0,0.0
8880,1142.6568202500005,1122.5271907860003,0.0,0.0
8940,1142.6568202500005,1142.6568202500005,0.0,0.0
9000,1163.1347641200007,1142.6568202500005,0.0,0.0
9060,1173.5225355280008,1163.1347641200007,0.0,0.0
9120,1183.6992151440008,1173.5225355280008,0.0,0.0
9180,1183.6992151440008,1171.7155951440009,0.0,-11.983620000000036
9240,1183.6992151440008,1159.9088551440009,0.0,-23.790359999999854
9300,1194.5853920280008,1177.2430951440008,0.0,-6.456120000000035
9360,1194.5853920280008,1194.5853920280008,0.0,0.0
9420,1194.5853920280008,1194.5853920280008,0.0,0.0
9480,1194.5853920280008,1194.5853920280008,0.0,0.0
9540,1194.5853920280008,1194.5853920280008,0.0,0.0
9600,1194.5853920280008,1194.5853920280008,0.0,0.0
9660,1194.5853920280008,1194.5853920280008,0.0,0.0
9720,1194.5853920280008,1194.5853920280008,0.0,0.0
9780,1194.5853920280008,1194.5853920280008,0.0,0.0
9840,1194.5853920280008,1194.5853920280008,0.0,0.0
9900,1194.5853920280008,1194.5853920280008,0.0,0.0
9960,1194.5853920280008,1194.5853920280008,0.0,0.0
10020,1194.5853920280008,1194.5853920280008,0.0,0.0
10080,1194.5853920280008,1194.5853920280008,0.0,0.0
10140,1194.5853920280008,1194.5853920280008,0.0,0.0
10200,1194.5853920280008,1194.5853920280008,0.0,0.0
10260,1194.5853920280008,1194.5853920280008,0.0,0.0
10320,1194.5853920280008,1194.5853920280008,0.0,0.0
10380,1194.5853920280008,1194.5853920280008,0.0,0.0
10440,1194.2834678680008,1194.5853920280008,0.0,0.0
10500,1205.2630869480008,1179.8330678680009,0.0,-14.450399999999915
10560,1205.2630869480008,1205.2630869480008,0.0,0.0
10620,1216.011929608001,1205.2630869480008,0.0,0.0
10680,1216.011929608001,1216.011929608001,0.0,0.0
10740,1215.7045944080012,1216.011929608001,0.0,0.0
10800,1215.7045944080012,1213.0825944080011,0.0,-2.6220000000000994
10860,1215.7045944080012,1207.5625944080011,0.0,-8.141999999999982
10920,1226.8949592080012,1205.7225944080012,0.0,-9.981999999999942
10980,1226.8949592080012,1226.8949592080012,0.0,0.0
11040,1226.8949592080012,1226.8949592080012,0.0,0.0
11100,1226.8949592080012,1226.8949592080012,0.0,0.0
11160,1226.8949592080012,1226.8949592080012,0.0,0.0
11220,1226.8949592080012,1226.8949592080012,0.0,0.0
11280,1226.8949592080012,1226.8949592080012,0.0,0.0
11340,1226.8949592080012,1226.8949592080012,0.0,0.0
11400,1226.8949592080012,1226.8949592080012,0.0,0.0
11460,1226.8949592080012,1226.8949592080012,0.0,0.0
11520,1226.8949592080012,1226.8949592080012,0.0,0.0
11580,1226.8949592080012,1226.8949592080012,0.0,0.0
11640,1226.8949592080012,1226.8949592080012,0.0,0.0
