,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,207,HYPE,0.0,-0.303709032,999.696290968,0.0,999.696290968,1.0,46.86,32.406,46.86,32.406,entry_initial_normal_long
1,213,HYPE,0.5930400000000225,-0.16026906000000002,1000.129061908,0.0,1000.129061908,1.0,-24.71,32.43,22.15,32.406,close_trailing_long
2,215,HYPE,0.0,-0.16025087600000001,999.9688110320001,0.0,999.9688110320001,1.0,24.74,32.387,46.89,32.39597526124973,entry_initial_partial_long
3,221,HYPE,0.39613154190662214,-0.16024492799999998,1000.2046976459067,0.0,1000.2046976459067,1.0,-24.72,32.412,22.17,32.39597526124973,close_trailing_long
4,222,HYPE,0.0,-0.16022196,1000.0444756859067,0.0,1000.0444756859067,1.0,24.76,32.355,46.93,32.37435694740905,entry_initial_partial_long
5,284,HYPE,4.345409121100087,-0.1610574,1004.2288274070069,0.0,1004.2288274070069,1.0,-24.74,32.55,22.19,32.37435694740905,close_trailing_long
6,287,HYPE,2.8767793369931804,-0.144252752,1006.961353992,0.0,1006.961353992,1.0,-22.19,32.504,0.0,32.37435694740905,close_trailing_long
7,287,HYPE,0.0,-0.16231844,1006.799035552,0.0,1006.799035552,1.0,25.24,32.155,25.24,32.155,entry_initial_partial_long
8,289,HYPE,0.0,-0.14345776200000002,1006.6555777899999,0.0,1006.6555777899999,1.0,22.31,32.151,47.55,32.15312323869611,entry_initial_partial_long
9,296,HYPE,6.016109173501558,-0.162483288,1012.5092036755015,0.0,1012.5092036755015,1.0,-25.08,32.393,22.47,32.15312323869611,close_trailing_long
10,301,HYPE,11.883860826498438,-0.14687290800000002,1024.2461915939998,0.0,1024.2461915939998,1.0,-22.47,32.682,0.0,32.15312323869611,close_trailing_long
11,360,HYPE,0.0,-0.31109463,1023.9350969639999,0.0,1023.9350969639999,1.0,48.51,32.065,48.51,32.065,entry_initial_normal_long
12,365,HYPE,0.40928000000013665,-0.164126396,1024.180250568,0.0,1024.180250568,1.0,-25.58,32.081,22.93,32.065,close_trailing_long
13,369,HYPE,3.5770799999999725,-0.147765506,1027.609565062,0.0,1027.609565062,1.0,-22.93,32.221,0.0,32.065,close_trailing_long
14,379,HYPE,0.0,-0.31210032000000004,1027.297464742,0.0,1027.297464742,1.0,48.72,32.03,48.72,32.03,entry_initial_normal_long
15,389,HYPE,11.277910000000002,-0.16682572200000004,1038.40854902,0.0,1038.40854902,1.0,-25.69,32.469,23.03,32.03,close_trailing_long
16,394,HYPE,5.826590000000003,-0.14869549800000004,1044.086443522,0.0,1044.086443522,1.0,-23.03,32.283,0.0,32.03,close_trailing_long
17,747,HYPE,0.0,-0.31709433600000003,1043.769349186,0.0,1043.769349186,1.0,48.96,32.383,48.96,32.383,entry_initial_normal_long
