,minute,coin,pnl,fee_paid,balance,balance_btc,balance_usd,btc_price,qty,price,psize,pprice,type
0,40,HYPE,0.0,-0.3037212,999.6962788,0.0,999.6962788,1.0,63.54,23.9,63.54,23.9,entry_initial_normal_long
1,54,HYPE,2.4455000000000133,-0.16061910000000001,1001.9811596999999,0.0,1001.9811596999999,1.0,-33.5,23.973,30.04,23.9,close_trailing_long
2,57,HYPE,2.643520000000029,-0.144119904,1004.480559796,0.0,1004.480559796,1.0,-30.04,23.988,0.0,23.9,close_trailing_long
3,80,HYPE,0.0,-0.305095028,1004.175464768,0.0,1004.175464768,1.0,63.98,23.843,63.98,23.843,entry_initial_normal_long
4,110,HYPE,2.934509999999991,-0.16143178,1006.948542988,0.0,1006.948542988,1.0,-33.73,23.93,30.25,23.843,close_trailing_long
5,120,HYPE,3.962750000000007,-0.1450427,1010.766250288,0.0,1010.766250288,1.0,-30.25,23.974,0.0,23.843,close_trailing_long
6,266,HYPE,0.0,-0.307003762,1010.459246526,0.0,1010.459246526,1.0,64.87,23.663,64.87,23.663,entry_initial_normal_long
7,664,HYPE,9.404999999999951,-0.16373592,1019.700510606,0.0,1019.700510606,1.0,-34.2,23.938,30.67,23.663,close_trailing_long
8,666,HYPE,10.059759999999983,-0.147160794,1029.613109812,0.0,1029.613109812,1.0,-30.67,23.991,0.0,23.663,close_trailing_long
9,982,HYPE,0.0,-0.31270779,1029.3004020219998,0.0,1029.3004020219998,1.0,67.05,23.319,67.05,23.319,entry_initial_normal_long
10,990,HYPE,2.262400000000002,-0.16531781,1031.3974842119999,0.0,1031.3974842119999,1.0,-35.35,23.383,31.7,23.319,close_trailing_long
11,994,HYPE,0.0,-0.16548370199999998,1031.2320005099998,0.0,1031.2320005099998,1.0,35.51,23.301,67.21,23.309489808064274,entry_initial_partial_long
12,1002,HYPE,3.242206100282755,-0.16581948600000002,1034.3083871242825,0.0,1034.3083871242825,1.0,-35.43,23.401,31.78,23.309489808064274,close_trailing_long
13,1004,HYPE,0.0,-0.16612232400000004,1034.1422648002824,0.0,1034.1422648002824,1.0,35.67,23.286,67.45,23.297067547817385,entry_initial_partial_long
14,1008,HYPE,2.7349486750919363,-0.16618913999999999,1036.7110243353743,0.0,1036.7110243353743,1.0,-35.55,23.374,31.9,23.297067547817385,close_trailing_long
15,1010,HYPE,0.572045224625474,-0.1487497,1037.1343198599998,0.0,1037.1343198599998,1.0,-31.9,23.315,0.0,23.297067547817385,close_trailing_long
16,1010,HYPE,0.0,-0.166290888,1036.9680289719997,0.0,1036.9680289719997,1.0,35.72,23.277,35.72,23.277,entry_initial_partial_long
17,1013,HYPE,3.532320000000007,-0.16681113600000003,1040.3335378359998,0.0,1040.3335378359998,1.0,-35.68,23.376,0.04,23.277,close_trailing_long
18,1016,HYPE,0.004039999999999964,-0.00018702400000000002,1040.3373908119997,0.0,1040.3373908119997,1.0,-0.04,23.378,0.0,23.277,close_trailing_long
19,5030,HYPE,0.0,-0.31594669999999997,1040.0214441119997,0.0,1040.0214441119997,1.0,62.9,25.115,62.9,25.115,entry_initial_normal_long
20,5039,HYPE,7.2974000000000805,-0.16807239000000002,1047.1507717219997,0.0,1047.1507717219997,1.0,-33.17,25.335,29.73,25.115,close_trailing_long
21,5046,HYPE,9.186570000000032,-0.151171104,1056.1861706179998,0.0,1056.1861706179998,1.0,-29.73,25.424,0.0,25.115,close_trailing_long
22,5219,HYPE,0.0,-0.320770268,1055.8654003499998,0.0,1055.8654003499998,1.0,64.19,24.986,64.19,24.986,entry_initial_normal_long
23,5222,HYPE,2.166400000000002,-0.16958850000000003,1057.8622118499998,0.0,1057.8622118499998,1.0,-33.85,25.05,30.34,24.986,close_trailing_long
24,5225,HYPE,0.0,-0.169686944,1057.6925249059998,0.0,1057.6925249059998,1.0,33.97,24.976,64.31,24.980717773285647,entry_initial_partial_long
25,5514,HYPE,0.0,-1.58253936,1056.1099855459997,0.0,1056.1099855459997,1.0,344.15,22.992,408.46,23.30511374430789,entry_trailing_cropped_long
26,5528,HYPE,3.7965028350389556,-0.17275104000000002,1059.7337373410387,0.0,1059.7337373410387,1.0,-36.9,23.408,371.56,23.30511374430789,close_trailing_long
27,5535,HYPE,0.4328974323067026,-0.169841028,1059.9967937453455,0.0,1059.9967937453455,1.0,-36.42,23.317,335.14,23.30511374430789,close_trailing_long
28,5545,HYPE,0.7244562948635915,-0.16994595,1060.551304090209,0.0,1060.551304090209,1.0,-36.43,23.325,298.71,23.30511374430789,close_trailing_long
29,5552,HYPE,8.780304019977438,-0.17165034,1069.1599577701863,0.0,1069.1599577701863,1.0,-36.45,23.546,262.26,23.30511374430789,close_trailing_long
30,5555,HYPE,7.38056103412818,-0.17272208800000002,1076.3677967163146,0.0,1076.3677967163146,1.0,-36.74,23.506,225.52,23.30511374430789,close_trailing_long
31,5557,HYPE,2.141212598051183,-0.172839474,1078.3361698403658,0.0,1078.3361698403658,1.0,-36.99,23.363,188.53,23.30511374430789,close_trailing_long
32,5565,HYPE,6.92600463594968,-0.17412270400000002,1085.0880517723153,0.0,1085.0880517723153,1.0,-37.06,23.492,151.47,23.30511374430789,close_trailing_long
33,5567,HYPE,0.4432384747588396,-0.17389818599999998,1085.3573920610743,0.0,1085.3573920610743,1.0,-37.29,23.317,114.18,23.30511374430789,close_trailing_long
34,5578,HYPE,14.095157337315747,-0.17667518,1099.27587421839,0.0,1099.27587421839,1.0,-37.3,23.683,76.88,23.30511374430789,close_trailing_long
35,5583,HYPE,18.394562740048027,-0.17977235200000002,1117.490664606438,0.0,1117.490664606438,1.0,-37.78,23.792,39.1,23.30511374430789,close_trailing_long
36,5584,HYPE,0.0,-0.15336568000000003,1117.337298926438,0.0,1117.337298926438,1.0,32.24,23.785,71.34,23.52198412394783,entry_initial_partial_long
37,5594,HYPE,9.738843925024446,-0.180903024,1126.8952398274625,0.0,1126.8952398274625,1.0,-38.04,23.778,33.3,23.52198412394783,close_trailing_long
38,5608,HYPE,11.82202867253718,-0.15902081999999998,1138.5582476799998,0.0,1138.5582476799998,1.0,-33.3,23.877,0.0,23.52198412394783,close_trailing_long
39,5620,HYPE,0.0,-0.34577574,1138.21247194,0.0,1138.21247194,1.0,72.7,23.781,72.7,23.781,entry_initial_normal_long
40,5658,HYPE,12.418920000000062,-0.18478893000000002,1150.44660301,0.0,1150.44660301,1.0,-38.33,24.105,34.37,23.781,close_trailing_long
41,5662,HYPE,5.774160000000096,-0.164625426,1156.056137584,0.0,1156.056137584,1.0,-34.37,23.949,0.0,23.781,close_trailing_long
42,5704,HYPE,0.0,-0.351088714,1155.70504887,0.0,1155.70504887,1.0,74.11,23.687,74.11,23.687,entry_initial_normal_long
43,5743,HYPE,2.735600000000011,-0.18568471200000003,1158.254964158,0.0,1158.254964158,1.0,-39.08,23.757,35.03,23.687,close_trailing_long
44,5757,HYPE,0.910779999999993,-0.16613327800000002,1158.9996108799999,0.0,1158.9996108799999,1.0,-35.03,23.713,0.0,23.687,close_trailing_long
45,5758,HYPE,0.0,-0.351987768,1158.6476231119998,0.0,1158.6476231119998,1.0,74.58,23.598,74.58,23.598,entry_initial_normal_long
46,5785,HYPE,0.4718400000000179,-0.18566904,1158.9337940719997,0.0,1158.9337940719997,1.0,-39.32,23.61,35.26,23.598,close_trailing_long
47,5787,HYPE,0.0,-0.185895806,1158.7478982659998,0.0,1158.7478982659998,1.0,39.47,23.549,74.73,23.57211976448548,entry_initial_partial_long
48,5794,HYPE,0.4677248722067048,-0.185700416,1159.0299227222065,0.0,1159.0299227222065,1.0,-39.37,23.584,35.36,23.57211976448548,close_trailing_long
49,5798,HYPE,3.3549651277935437,-0.167373024,1162.217514826,0.0,1162.217514826,1.0,-35.36,23.667,0.0,23.57211976448548,close_trailing_long
50,5856,HYPE,0.0,-0.35298093599999997,1161.86453389,0.0,1161.86453389,1.0,75.24,23.457,75.24,23.457,entry_initial_normal_long
51,5986,HYPE,0.0,-1.7383926120000002,1160.126141278,0.0,1160.126141278,1.0,399.19,21.774,474.43,22.040907488986786,entry_trailing_cropped_long
52,5989,HYPE,0.475535947136468,-0.189073848,1160.4126033771365,0.0,1160.4126033771365,1.0,-42.87,22.052,431.56,22.040907488986786,close_trailing_long
53,6002,HYPE,0.46777118942721857,-0.18598656800000002,1160.6943879985638,0.0,1160.6943879985638,1.0,-42.17,22.052,389.39,22.040907488986786,close_trailing_long
54,6012,HYPE,9.578762114537396,-0.18785284800000002,1170.0852972651012,0.0,1170.0852972651012,1.0,-42.18,22.268,347.21,22.040907488986786,close_trailing_long
55,6015,HYPE,14.673333568281828,-0.19037054400000003,1184.568260289383,0.0,1184.568260289383,1.0,-42.52,22.386,304.69,22.040907488986786,close_trailing_long
